"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NR4A2",0.0157270774288547,13.6493827160494,56.6773060789772,"['TCEAL5', 'NDUFS5']",0.42001199983725,0,0,2,"NR4A2",0.42001199983725,0.569801481895233,0.523945262433518,NA,NA,NA,0.856570611954185,0.951633513512691
"RFX5",0.0205763786166025,11.3724279835391,44.1660924433732,"['NDUFA7', 'LSM7']",0.42001199983725,0,0,2,"RFX5",0.42001199983725,2.7582087497595e-27,8.72037484846479e-13,0.857466026007131,0.855649264193795,-0.136495021111957,0.870881015646023,0.850627788554018
"DLX4",0.0287869081397101,Inf,Inf,"['LSM3']",0.42001199983725,0,0,1,"DLX4",0.42001199983725,0.680876239194843,0.416651381571695,NA,NA,NA,0.299960523438377,0.0542914235534443
"E2F1",0.0374919741815913,4.46394815014853,14.6579468806009,"['NEDD8', 'PHB', 'PA2G4']",0.42001199983725,0,0,3,"E2F1",0.42001199983725,4.76684044526588e-21,1.97940152574183e-12,0.996845126379187,0.996834351778606,-0.00545490661209343,0.00359269284030131,0.0409678581044358
"POLR2A",0.0395132823221396,3.34878048780488,10.8203062593366,"['GABARAPL1', 'NEDD8', 'POLR2I', 'POLR2K']",0.42001199983725,0,0,4,"POLR2A",0.42001199983725,7.00474520333295e-20,2.69260727949402e-12,0.880123924863246,0.87862974755367,-0.0520340934559997,0.0235200767534949,0.0589326032648345
"EPAS1",0.0413126557216967,4.27717391304348,13.6295841875947,"['PSMC3', 'NEDD8', 'PHB']",0.42001199983725,0,0,3,"EPAS1",0.42001199983725,0.000438837042800904,7.95037403724606e-05,0.828548707373308,0.826396873931737,0.477403992689981,0.137360033463755,0.15560458877023
"TP53",0.057500201264668,1.92508960573477,5.49799206054634,"['PSMC3', 'RPS19BP1', 'TMSB4X', 'COX17', 'BAG1', 'NEDD8', 'TXN', 'TRIAP1', 'PHB']",0.50107318244925,0,0,9,"TP53",0.50107318244925,0.241268402808123,0.0645429796730912,NA,NA,NA,0.892505298443971,0.442735842337391
"PBX3",0.0839130262209838,16.9662576687117,42.041952483615,"['ZNHIT3']",0.639836824935002,0,0,1,"PBX3",0.639836824935002,4.3127973010945e-10,2.88707459612684e-05,0.965042414429472,0.965857101565786,-0.0756183075405587,0.629778507421406,0.766611644729136
"ESR1",0.116219896161172,1.52699303405573,3.28650316920034,"['HAX1', 'RPL18A', 'ZNHIT3', 'SNRPD1', 'BAG1', 'MYL6B', 'NEDD8', 'SEC61B', 'PHB', 'CCT7', 'RPL29', 'AP2M1']",0.663848628338428,0,0,12,"ESR1",0.663848628338428,0.0002849185228894,0.0238693355103788,0.964223577468463,0.965320514684242,-0.262972617423123,0.915059213662272,0.778858819404049
"CTNNB1",0.129207238291408,1.94575471698113,3.98167116474618,"['RPL41', 'SNRPD1', 'RPLP2', 'NEDD8', 'DNAJC8']",0.663848628338428,0,0,5,"CTNNB1",0.663848628338428,6.03277697495062e-10,0.000244010339417671,NA,NA,NA,0.204391897058283,0.130217896471337
"ILF3",0.138877197803373,1.77335224792667,3.5008903047405,"['GABARAPL1', 'RPL18A', 'NEDD8', 'RPL29', 'UQCRH', 'LSM2']",0.663848628338428,0,0,6,"ILF3",0.663848628338428,4.71845107836878e-41,4.91296540471069e-25,0.990786315107961,0.99058578959213,-0.00352015580062825,0.0750167960252332,0.226428429990682
"AR",0.141818096631539,2.07083333333333,4.04477248312266,"['PSMC3', 'BAG1', 'PA2G4', 'PHB']",0.663848628338428,0,0,4,"AR",0.663848628338428,0.00150620234584865,2.31919566129954e-05,0.651842976944511,0.649586926132127,0.630490757061677,0.252594505694856,0.354128225243795
"ESR2",0.14670964345609,1.85978944490019,3.56949362140627,"['RPL18A', 'ZNHIT3', 'MRPS21', 'CWC15', 'RPL29']",0.663848628338428,0,0,5,"ESR2",0.663848628338428,4.33793579546452e-16,4.41178111306372e-07,0.915755137113664,0.916031393556216,-0.197656172096646,0.851092950724267,0.439308752725862
"HNF4G",0.160824136001499,6.78282208588957,12.3952263979051,"['HAX1']",0.663848628338428,0,0,1,"HNF4G",0.663848628338428,NA,NA,NA,NA,NA,NA,NA
"HTT",0.17959346687724,1.72606568832984,2.96375748731783,"['CHCHD2', 'NDUFA13', 'NDUFS5', 'COX6C', 'UQCRH']",0.663848628338428,0,0,5,"HTT",0.663848628338428,6.25653573926175e-10,1.03242773363342e-07,NA,NA,NA,0.265010736792312,0.760573097266183
"POLE",0.185006994782841,5.65132924335378,9.53583620839807,"['NEDD8']",0.663848628338428,0,0,1,"POLE",0.663848628338428,2.49211255327506e-12,2.58665353512833e-10,0.446197998650156,0.444030371113801,0.330558345144397,0.00498753627420848,0.0269637926493151
"IKZF1",0.185006994782841,5.65132924335378,9.53583620839807,"['AP2M1']",0.663848628338428,0,0,1,"IKZF1",0.663848628338428,0.218536746442505,0.103572751280537,NA,0.88181106930776,NA,0.806390325394001,0.929193845940295
"VDR",0.202682574316735,2.51760402377686,4.01838352495075,"['GABARAPL1', 'BAG1']",0.669385408452095,0,0,2,"VDR",0.669385408452095,0.398202158913036,0.594141194055285,NA,NA,NA,0.426727439203915,0.230152872101716
"CIITA",0.208497094435899,4.84312007011393,7.59318977932192,"['PSMC3']",0.669385408452095,0,0,1,"CIITA",0.669385408452095,1.07113950001163e-06,0.000151285113488222,0.938125161764445,0.938290089535633,0.115394667904841,0.836558722082034,0.659797213938967
"RNF2",0.234710583806476,2.26460905349794,3.28232907728108,"['PHB', 'RNF5']",0.684529482600663,0,0,2,"RNF2",0.684529482600663,0.0017915363125704,0.621212421715485,NA,NA,NA,0.796124822519434,0.915998533637009
"NCOR1",0.245460320880906,2.19115890083632,3.0777455507633,"['BAG1', 'PHB']",0.684529482600663,0,0,2,"NCOR1",0.684529482600663,1.8795062974861e-18,3.30662032062897e-14,NA,NA,NA,0.0921138309669279,0.744463921387637
"BATF",0.253477364569091,3.76550783912747,5.16808702911965,"['SNAPC5']",0.684529482600663,0,0,1,"BATF",0.684529482600663,NA,NA,NA,NA,NA,NA,NA
"POU5F1",0.272722618464162,1.546875,2.00985476470033,"['PSMB6', 'CCT7', 'RPL29', 'AP2M1']",0.684529482600663,0,0,4,"POU5F1",0.684529482600663,0.00116147713341059,0.539644047615987,0.851673789411829,0.849775164171076,-0.706576605824226,0.897483269368464,0.917115851639006
