pathway,pval,padj,log2err,ES,NES,size,leadingEdge
DE_ANOVA_DOWN_SD,4.48595625105414e-35,1.07662950025299e-33,1.54318309134871,0.633644285044625,1.46051249088137,771,TMEM141|TMEM160|ATOX1|BRK1|SDHAF1|BAG1|TMSB10|FAU|UQCR10|MRPS18B|SNRNP25|COA8|NDUFA6|GLRX2|RNF5|LSM7|COA3|ATP5IF1|RPL18A|NDUFA7|NCBP2AS2|UQCR11|SERF2|LSM4|MRPS26|RND2|HINT2|DNAJC19|EMC4|PRADC1|NHP2|UQCC3|DBNDD2|COX8A|RANBP1|SET|PSMB10|RPL35|H2AZ1|C12orf57|TMEM203|KRT222|PRDX5|PHPT1|GABARAPL1|RPL11|COX5B|ATP5MC1|FIS1|ISCU|MRPL54|GUK1|MZT2A|MRPL57|DUSP28|RPS5|ELOB|RNASEK|HIGD2A|LSM10|OAZ1|PFDN6|RPS15|RPL18|HSBP1|SMDT1|GPX4|RPS10|RNF181|HMGN2|TSR2|NME2|BTF3|VPS25|VDAC1|ATP6V1E1|FNDC4|STUB1|JPT1|HRAS|RPL15|NENF|GADD45GIP1|COPS7A|UQCRFS1|TIMM13|RPS19|RPL13|UFC1|RPL19|DCTN2|MRPS7|NDUFB7|PMVK|NT5C3B|RPS9|GABARAPL2|MICOS13|ACP1|PIN1|EDF1|BPGM|DRAP1|ARL6IP4|PARK7|RPS7|PFDN5|SLC25A5|FKBP1B|IMP3|UBE2M|PLEKHJ1|RPL7A|GNG3|TPI1|UBE2S|NDUFA8|FAM241B|MSRB1|SURF2|RPL3|MDP1|TMEM219|ATP5MC2|SAC3D1|UBXN1|HMGCS1|BEX3|USE1|MEA1|IDH3B|C1orf122|STOML2|GSTO1|RPL14|UXT|POP7|CKS1B|CALM3|BEX1|ROM1|RPS18|NUBP2|RAN|TIMM17B|CDKN2D|MRPL2|BCAN|MRPS10|RPL28|PSME1|CHMP3|BLOC1S1|MRPL17|CCNDBP1|ITM2C|AP2M1|DCAF11|MMP24OS|NDUFAF8|DPM2|FABP3|NDUFB4|MCRIP1|GPKOW|ATP5F1D|COMMD3|NDUFA12|MYL12B|RRAS|DNAJC8|TM2D2|CHMP2A|SNX15|SARS1|MRPL20|NDUFB11|NSG1|RPL6|NSDHL|GOT1|POLR3H|C1orf43|VEGFB|NDUFA11|ATP6V1G1|CUEDC2|TPRG1L|TMEM14C|EMC9|MAGED2|UBA52|SRP14|CCDC115|RAB33A|RPA2|PSMD8|ASPHD2|COMMD8|RPL13A|COPS6|TRAPPC1|PIP4P1|ACTG1|VDAC2|PPDPF|GET3|RAB3A|EMC7|DCXR|ZNF32|NABP2|MRPL15|ITM2A|EIF5|BAX|PMM1|SKP1|PFKM|PSMA7|PPIB|TTC9B|FABP5|TSR3|MAP1LC3A|MRPS34|SF3B5|AHCY|NUDT8|SOD1|FBXO2|DHRS7|SSR4|NARS1|AP2S1|RAD23A|LIN7B|APEX1|FAM32A|MRPL55|LARP6|PRAF2|DCTN6|SLC25A4|SCG5|C12orf43|DDA1|DIRAS1|TPGS1|RPP21|PINK1|LRPAP1|DHPS|NDUFS3|SNN|SMIM19|ALKBH7|TAF10|AARS1|RAC3|SAP18|IMPDH2|ATRAID|ARFIP2|PSME4|SHISA4|TUBA1A|PNMA1|CCNQ|ZNHIT2|NDUFAF3|PEX11B|FIBP|EIF6|CHCHD4|ARHGDIG|CNDP2|TUBG1|COPE|C16orf74|NUDT16|POLR2E|FAM3C|NR2F6|ATP6V0E2|PITHD1|TMEM97|PEF1|OAZ2|PSMC3|TRPT1|ALDOA|NAXE|RAE1|GSTP1|ERLEC1|STARD10|CLPP|GPANK1|OTUB1|ANXA6|TVP23A|EXOSC4|MSMO1|MANBAL|H3-3A|RTRAF|ARL2|MTX1|OMG|SYT5|LUC7L2|PTPMT1|BORCS6|CFL1|REX1BD|SCAND1|SYT11|FEN1|ZDHHC4|NOP53|ARF5|KCTD17|SSU72|TRNP1|ACLY|STMN1|DNAJC30|EIF3G|ELP5|COA7|GAMT|TBCC|CYTH2|EGFL7|ATP5F1A|STMN2|SCN2B|DDX54|PHLDA3|FAM210B|RPLP0|DHCR24|EIF4B|PIGP|CRIP2|PAQR4|CREB3|MYO1D|DNAJC14|UROD|SLC25A11|PAXX|CAPNS1|PTGES2|RNF26|RDH14|CDK5|GSTM4|EFNB3|PSMD2|INSIG1|GPR12|CD81|GRINA|MDH2|MIF|NGRN|CITED4|SURF1|PDXP|THY1|KAT5|TMEM186|NUDT18|VPS4A|DHCR7|RTN4|TCP1|STMN3|MRPL12|MMD2|CACNB3|BTBD6|DUSP26
All_DE_sleep_wake_genes,3.61791411509703e-29,4.34149693811644e-28,1.40258870935552,0.595598235939476,1.37639574289561,1023,TMEM141|NEDD8|TMEM160|ATOX1|BRK1|SDHAF1|BAG1|TMSB10|FAU|UQCR10|MRPS18B|SNRNP25|COA8|NDUFA6|GLRX2|RNF5|LSM7|COA3|ATP5IF1|RPL18A|NDUFA7|NCBP2AS2|FAM174C|UQCR11|SERF2|LSM4|TXN|MRPS26|RND2|HINT2|DNAJC19|EMC4|PRADC1|NHP2|UQCC3|DBNDD2|COX8A|RANBP1|SET|PSMB10|RPL35|H2AZ1|MRPL51|ABRACL|C12orf57|TMEM203|KRT222|PRDX5|PHPT1|GABARAPL1|RPL11|COX5B|ATP5MC1|FIS1|ISCU|MRPL54|GUK1|MZT2A|MRPL57|DUSP28|RPS5|ELOB|RNASEK|HIGD2A|LSM10|OAZ1|PFDN6|RPS15|RPL18|HSBP1|SMDT1|GPX4|RPS10|RNF181|HAX1|HMGN2|TSR2|NME2|BTF3|VPS25|VDAC1|ATP6V1E1|FNDC4|STUB1|JPT1|HRAS|POLR3K|RPL15|NENF|GADD45GIP1|COPS7A|C14orf119|UQCRFS1|NRIP2|TIMM13|RPS19|RPL13|UFC1|RPL19|DCTN2|MRPS7|NDUFB7|PMVK|NT5C3B|RPS9|GABARAPL2|MICOS13|ACP1|PIN1|EDF1|BPGM|DRAP1|ARL6IP4|PARK7|RPS7|PFDN5|SLC25A5|FKBP1B|IMP3|UBE2M|PLEKHJ1|RPL7A|GNG3|TPI1|UBE2S|NDUFA8|FAM241B|MSRB1|SURF2|SIDT1|RPL3|MDP1|TMEM219|ATP5MC2|SAC3D1|UBXN1|HMGCS1|BEX3|USE1|MEA1|IDH3B|C1orf122|STOML2|GSTO1|RPL14|UXT|POP7|CKS1B|GADD45A|CALM3|BEX1|PTPN9|ROM1|SDF2L1|RPS18|NUBP2|RAN|TIMM17B|CDKN2D|MRPL2|BCAN|MRPS10|RPL28|NDUFAF4|PSME1|CHMP3|BLOC1S1|MRPL17|CCNDBP1|ITM2C|AP2M1|DCAF11|MMP24OS|NDUFAF8|DPM2|FABP3|NDUFB4|MCRIP1|GPKOW|ATP5F1D|SEC62|COMMD3|EMP1|NDUFA12|MYL12B|RRAS|XBP1|DNAJC8|ANKRD33B|TM2D2|CHMP2A|SNX15|CRH|SARS1|MRPL20|NDUFB11|NSG1|RPL6|NSDHL|GOT1|POLR3H|C1orf43|NDUFAB1|UBE2V2|VEGFB|NDUFA11|ATP6V1G1|HINT1|CUEDC2|TPRG1L|TMEM14C|EMC9|MAGED2|UBA52|HOMER1|SRP14|CCDC115|MANF|RAB33A|RPA2|PSMD8|ASPHD2|COMMD8|SERBP1|RPL13A|COPS6|MED7|TRAPPC1|PIP4P1|ACTG1|VDAC2|PPDPF|GET3|CCT4|RAB3A|EMC7|SPRED2|DCXR|ZNF32|NABP2|MRPL15|ITM2A|EIF5|BAX|PMM1|SKP1|PFKM|SRSF3|PSMA7|PPIB|TTC9B|FABP5|TSR3|MAP1LC3A|MRPS34|SF3B5|AHCY|NUDT8|SOD1|FBXO2|ARPC5L|DHRS7|SSR4|NARS1|AP2S1|RAD23A|LIN7B|APEX1|FAM32A|MRPL55|LARP6|SLC38A2|PRAF2|IRF3|DCTN6|SLC25A4|SCG5|C12orf43|DDA1|DIRAS1|TPGS1|RPP21|PINK1|LRPAP1|DHPS|NDUFS3|SNN|SMIM19|ALKBH7|TAF10|AARS1|RAC3|SAP18|IMPDH2|NOTCH4|ATRAID|ARFIP2|PSME4|SHISA4|TUBA1A|PNMA1|CCNQ|ZNHIT2|NDUFAF3|PEX11B|FIBP|EIF6|CHCHD4|ARHGDIG|CNDP2|TUBG1|COPE|C16orf74|TRPM1|NUDT16|POLR2E|FAM3C|NR2F6|ATP6V0E2|PITHD1|TMEM97|PEF1|OAZ2|PSMC3|TRPT1|ALDOA|NAXE|RAE1|GSTP1|ERLEC1|STARD10|CLPP|GPANK1|OTUB1|ANXA6|TVP23A|EXOSC4|MSMO1|MANBAL|H3-3A|RTRAF|ARL2|MTX1|OMG|SYT5|LUC7L2|PTPMT1|SEMA3F|BORCS6|CFL1|REX1BD|SCAND1|APLP2|SYT11|FEN1|ZDHHC4|HSP90B1|NOP53|ARF5|KCTD17|SSU72|TRNP1|ACLY|STMN1|DNAJC30|EIF3G|TSPAN31|ELP5|RPL7L1|COA7|GAMT|SPRED1|UBASH3B|TBCC|CYTH2|EGFL7|ATP5F1A|STMN2|IL15RA|SCN2B|DDX54|PHLDA3|FAM210B|CHKA|RPLP0|DHCR24|EIF4B|SH3RF3|PIGP|CRIP2|C18orf54|PAQR4|CREB3|MYO1D|DNAJC14|UROD|SNTB2|SLC25A11|PAXX|DIO2|NOCT|CAPNS1|PTGES2|RNF26|RDH14|CALR|CDK5|GSTM4|EFNB3|PSMD2|INSIG1|GPR12|CD81|GRINA|MDH2|MIF|NR4A3|NGRN|CITED4|SURF1|PDXP|THY1|KAT5|TMEM186|NUDT18|VPS4A|ZFP36L1|DHCR7|RTN4|TCP1|STMN3|MRPL12|MMD2|CACNB3|BTBD6|PCSK1|DUSP26|ETV5|SV2A|DMRT3|EXT1|TMEM106C|APOBEC4|NGB|RPL4|HTRA2|NDUFS2|PUF60|YDJC|UBL7|CTSV|DNAJB5|YPEL3|SPEF1
midbrain_DEG_BHQ1_positiveL2FC,4.20987001633743e-27,3.36789601306994e-26,1.34992572002205,0.755403755191132,1.70027295084818,181,TOMM6|CHCHD2|UQCR10|COX7A2|ATP5MJ|NDUFA6|UQCRH|CHCHD10|COPS9|ATP5IF1|RPLP2|ATP5MF|UQCRB|RPL36A|COX6C|UBL5|RPL39|SPCS1|RPS13|NDUFB2|COX4I1|RND2|CYCS|RPS28|DBNDD2|COX8A|H2AZ1|ATP5MK|RPS21|ATP5ME|PRDX5|TIMM8B|RPL11|NDUFA1|TOMM7|COX5B|NDUFB3|COX7C|RPL17|COX7B|RPS5|ELOB|HIGD2A|OAZ1|PRR13|RPS15|RPL9|SMDT1|RNF181|NDUFB5|RPL10|ATP5PF|RPL32|RPL30|RPL38|AP1S2|NME1|RPS29|RPL34|NDUFA4|UQCRFS1|RPS19|RPL22|C1orf53|RPS27|RPL13|RPL22L1|RPL26|RPL37|ATP5PO|ACP1|NDUFC1|RPS25|SLC25A5|MRPL34|RPL7A|RPS26|SNRPG|PSMB6|MPC2|NDUFA8|SURF2|RPS23|COX6A1|AURKAIP1|MEA1|ATP5PB|RPL14|ISCA1|NDUFA2|RPS11|MMP24OS|MRPL30|NDUFB4|RPS3|NDUFA12|ATP5MC3|MRPL43|NDUFB11|GOT1|POLR3H|NDUFAB1|UBE2V2|WBP2|HINT1|NEFL|ATP5PD|UBA52|DBI|TPT1|RPL13A|SLIRP|RPS20|RPS17|CYC1|PSMA2|SOD1|SSR4
midbrain_DEG_BHQ1,1.16335098363841e-22,6.98010590183048e-22,1.22950405660873,0.701877850994372,1.58890204541516,229,TOMM6|CHCHD2|UQCR10|COX7A2|ATP5MJ|NDUFA6|UQCRH|CHCHD10|COPS9|ATP5IF1|RPLP2|ATP5MF|UQCRB|RPL36A|COX6C|UBL5|RPL39|SPCS1|RPS13|NDUFB2|COX4I1|RND2|CYCS|RPS28|DBNDD2|COX8A|H2AZ1|ATP5MK|RPS21|ATP5ME|PRDX5|TIMM8B|RPL11|NDUFA1|TOMM7|COX5B|NDUFB3|COX7C|RPL17|COX7B|RPS5|ELOB|HIGD2A|OAZ1|PRR13|RPS15|RPL9|SMDT1|RNF181|NDUFB5|RPL10|ATP5PF|RPL32|RPL30|RPL38|AP1S2|NME1|RPS29|RPL34|NDUFA4|UQCRFS1|RPS19|RPL22|C1orf53|RPS27|RPL13|RPL22L1|RPL26|RPL37|ATP5PO|ACP1|NDUFC1|RPS25|SLC25A5|MRPL34|RPL7A|RPS26|SNRPG|PSMB6|MPC2|NDUFA8|SURF2|RPS23|COX6A1|AURKAIP1|MEA1|ATP5PB|RPL14|ISCA1|NDUFA2|RPS11|MMP24OS|MRPL30|NDUFB4|RPS3|NDUFA12|ATP5MC3|MRPL43|NDUFB11|GOT1|POLR3H|NDUFAB1|UBE2V2|WBP2|HINT1|NEFL|ATP5PD|UBA52|DBI|TPT1|RPL13A|SLIRP|RPS20|RPS17|CYC1|PSMA2|SOD1|SSR4|RGS4|PINK1|SAP18|PRDX1|CLTC|GSTP1|CLPP|SLC25A3|ETFB|STUM|LUC7L2|SNX3|CFL1
Up_sleep_2OR3,1.78754698395378e-19,8.58022552297816e-19,1.14219120216838,0.626818347508392,1.43549363867978,427,TMEM141|BRK1|SDHAF1|TMSB10|SNRNP25|COA8|COA3|RPL18A|NCBP2AS2|SERF2|MRPS26|HINT2|DNAJC19|EMC4|PRADC1|NHP2|UQCC3|DBNDD2|COX8A|PSMB10|TMEM203|KRT222|PRDX5|GABARAPL1|COX5B|ATP5MC1|FIS1|ISCU|MRPL54|MZT2A|MRPL57|DUSP28|RPS5|ELOB|RNASEK|LSM10|RPS15|RPL18|SMDT1|RPS10|HMGN2|NME2|VPS25|ATP6V1E1|FNDC4|STUB1|HRAS|RPL15|NENF|UQCRFS1|TIMM13|RPL13|UFC1|RPL19|DCTN2|RPS9|ACP1|PIN1|EDF1|DRAP1|ARL6IP4|PARK7|PFDN5|SLC25A5|FKBP1B|UBE2M|GNG3|TPI1|NDUFA8|RPL3|TMEM219|SAC3D1|UBXN1|HMGCS1|BEX3|C1orf122|STOML2|GSTO1|RPL14|POP7|BEX1|RPS18|RAN|CDKN2D|MRPL2|RPL28|PSME1|MRPL17|AP2M1|NDUFAF8|FABP3|NDUFB4|MCRIP1|ATP5F1D|NDUFA12|MYL12B|RRAS|NDUFB11|NSG1|VEGFB|NDUFA11|ATP6V1G1|CUEDC2|EMC9|UBA52|RAB33A|PSMD8|ASPHD2|COMMD8|RPL13A|COPS6|PIP4P1|ACTG1|GET3|RAB3A|EMC7|ZNF32|NABP2|MRPL15|EIF5|PMM1|PFKM|TTC9B|FABP5|MAP1LC3A|MRPS34|SF3B5|AHCY|DHRS7|NARS1|AP2S1|RAD23A|LIN7B|APEX1|MRPL55|LARP6|PRAF2|DCTN6|SLC25A4|SCG5|C12orf43|TPGS1|PINK1|LRPAP1|DHPS|NDUFS3|SNN|SMIM19|TAF10|RAC3|SAP18|ATRAID|ARFIP2|SHISA4|PNMA1|ZNHIT2|NDUFAF3|PEX11B|FIBP|CHCHD4|CNDP2|C16orf74|NUDT16|POLR2E|ATP6V0E2|PITHD1|TMEM97|PEF1|TRPT1|ALDOA|RAE1|GSTP1|STARD10|CLPP|GPANK1|ANXA6|EXOSC4|H3-3A|ARL2|MTX1|OMG|SYT5|PTPMT1|BORCS6|CFL1|FEN1|ZDHHC4|NOP53|ARF5|KCTD17|SSU72|STMN1|DNAJC30|COA7|GAMT|TBCC|CYTH2|EGFL7|ATP5F1A|STMN2|PHLDA3|DHCR24|EIF4B|PIGP|CRIP2|CREB3|DNAJC14|SLC25A11|PTGES2
sleep_UP_wake_No_Change,2.19883124854462e-19,8.79532499417848e-19,1.13308993200902,0.643272690886702,1.46911197259078,347,TMEM141|BRK1|SDHAF1|TMSB10|SNRNP25|COA8|COA3|RPL18A|NCBP2AS2|SERF2|MRPS26|HINT2|DNAJC19|EMC4|PRADC1|NHP2|UQCC3|DBNDD2|COX8A|PSMB10|TMEM203|KRT222|PRDX5|GABARAPL1|COX5B|ATP5MC1|FIS1|ISCU|MRPL54|MZT2A|MRPL57|DUSP28|RPS5|ELOB|RNASEK|LSM10|RPS15|RPL18|SMDT1|RPS10|HMGN2|NME2|VPS25|ATP6V1E1|STUB1|HRAS|RPL15|NENF|UQCRFS1|TIMM13|RPL13|UFC1|RPL19|DCTN2|RPS9|ACP1|PIN1|EDF1|PARK7|PFDN5|SLC25A5|UBE2M|GNG3|TPI1|NDUFA8|RPL3|SAC3D1|BEX3|STOML2|GSTO1|RPL14|POP7|BEX1|RPS18|RAN|CDKN2D|MRPL2|RPL28|MRPL17|AP2M1|NDUFAF8|NDUFB4|MCRIP1|ATP5F1D|NDUFA12|MYL12B|RRAS|NDUFB11|NSG1|VEGFB|NDUFA11|ATP6V1G1|CUEDC2|EMC9|UBA52|RAB33A|PSMD8|ASPHD2|RPL13A|COPS6|ACTG1|GET3|RAB3A|EMC7|NABP2|MRPL15|EIF5|PMM1|PFKM|TTC9B|FABP5|MAP1LC3A|MRPS34|SF3B5|NARS1|AP2S1|LIN7B|APEX1|MRPL55|PRAF2|SLC25A4|C12orf43|TPGS1|PINK1|LRPAP1|DHPS|SMIM19|TAF10|SAP18|ARFIP2|SHISA4|PNMA1|ZNHIT2|NDUFAF3|PEX11B|FIBP|CHCHD4|CNDP2|C16orf74|NUDT16|POLR2E|ATP6V0E2|PITHD1|PEF1|ALDOA|STARD10|CLPP|GPANK1|ANXA6|EXOSC4|H3-3A|ARL2|MTX1|SYT5|PTPMT1|CFL1|FEN1|ZDHHC4|NOP53|ARF5|KCTD17|SSU72|STMN1|DNAJC30|COA7|GAMT|TBCC|EGFL7|ATP5F1A|STMN2|PHLDA3|EIF4B|PIGP|CRIP2|CREB3|DNAJC14|SLC25A11|PTGES2
midbrain_DEG_BHQ05,1.01171105583801e-17,3.46872362001603e-17,1.0864405425825,0.72325453600779,1.6199099661968,149,CHCHD2|UQCR10|COX7A2|ATP5MJ|UQCRH|CHCHD10|COPS9|RPLP2|ATP5MF|RPL36A|COX6C|UBL5|NDUFB2|RND2|CYCS|RPS28|DBNDD2|COX8A|H2AZ1|RPS21|ATP5ME|TIMM8B|NDUFA1|TOMM7|COX5B|NDUFB3|COX7C|RPL17|COX7B|ELOB|HIGD2A|OAZ1|RPS15|RPL9|SMDT1|RNF181|NDUFB5|RPL10|ATP5PF|RPL30|AP1S2|RPS29|RPL34|NDUFA4|UQCRFS1|RPS19|RPL22|C1orf53|RPL13|RPL22L1|RPL26|RPL37|NDUFC1|RPS25|SLC25A5|MRPL34|RPL7A|RPS26|RPS23|COX6A1|AURKAIP1|MEA1|ATP5PB|NDUFA2|NDUFB4|RPS3|NDUFA12|ATP5MC3|MRPL43|NDUFB11|POLR3H|WBP2|HINT1|ATP5PD|DBI|RPL13A|SLIRP|RPS20|RPS17|CYC1|PSMA2
sleep_No_Change_wake_No Change,3.95221274523863e-09,1.18566382357159e-08,0.761460801445585,0.665253138139754,1.47986604588568,115,ATOX1|BAG1|FAU|UQCR10|NDUFA6|GLRX2|RNF5|LSM7|ATP5IF1|NDUFA7|UQCR11|LSM4|TXN|RPL35|C12orf57|RPL11|HIGD2A|OAZ1|HSBP1|BTF3|GADD45GIP1|RPS19|NDUFB7|MICOS13|ACP1|BPGM|RPS7|PFDN5|IMP3|MDP1|MEA1|IDH3B|UXT|ROM1|RPS18|BCAN|CHMP3|ITM2C|SEC62|COMMD3|NDUFA12|DNAJC8|ANKRD33B|TM2D2|MRPL20|GOT1|C1orf43|TRAPPC1|PPDPF|PMM1|SKP1|SRSF3|SSR4|AARS1|EIF6|OAZ2|REX1BD|SCAND1|SYT11|STMN1|FAM210B|CHKA|RPLP0|C18orf54|UROD|PSMD2|CD81|NGRN|RTN4|TCP1|MMD2|CACNB3|NGB|RPL4|YPEL3
Down_SD_3OR6,5.32145436497736e-07,1.4190544973273e-06,0.659444398037935,0.564087580787502,1.28591027967104,321,TMEM141|TMEM160|MRPS18B|RND2|RANBP1|SET|H2AZ1|PHPT1|COX5B|FIS1|GUK1|PFDN6|HSBP1|RNF181|TSR2|VDAC1|FNDC4|JPT1|COPS7A|MRPS7|PMVK|NT5C3B|GABARAPL2|BPGM|DRAP1|ARL6IP4|FKBP1B|PLEKHJ1|UBE2S|FAM241B|MSRB1|SURF2|MDP1|TMEM219|ATP5MC2|UBXN1|HMGCS1|USE1|C1orf122|CKS1B|CALM3|MRPS10|PSME1|BLOC1S1|CCNDBP1|DCAF11|MMP24OS|DPM2|FABP3|CHMP2A|SNX15|SARS1|NSDHL|TPRG1L|TMEM14C|MAGED2|SRP14|CCDC115|RPA2|COMMD8|PIP4P1|VDAC2|ZNF32|ITM2A|BAX|PPIB|TSR3|AHCY|SOD1|FBXO2|DHRS7|RAD23A|LIN7B|FAM32A|LARP6|DCTN6|SCG5|DIRAS1|RPP21|PINK1|LRPAP1|NDUFS3|SNN|ALKBH7|AARS1|RAC3|SAP18|IMPDH2|ATRAID|PSME4|CCNQ|CNDP2|TUBG1|COPE|FAM3C|NR2F6|TMEM97|PSMC3|TRPT1|NAXE|RAE1|GSTP1|ERLEC1|OTUB1|TVP23A|MSMO1|MANBAL|RTRAF|OMG|LUC7L2|BORCS6|SYT11|NOP53|TRNP1|ACLY|EIF3G|ELP5|CYTH2|EGFL7|DDX54|DHCR24|EIF4B|PAQR4|CREB3|MYO1D|UROD|CAPNS1|RNF26|RDH14|CDK5|EFNB3|INSIG1|GPR12|SURF1|PDXP|KAT5|NUDT18|VPS4A|DHCR7|MRPL12|DUSP26|SV2A|TMEM106C|HTRA2|PUF60|UBL7|CTSV
sleep_No_Change_wake_DOWN,3.14707866533126e-06,7.55298879679502e-06,0.627256739718528,0.571265448137572,1.29402031053586,236,TMEM160|MRPS18B|RND2|RANBP1|SET|H2AZ1|PHPT1|COX5B|FIS1|GUK1|PFDN6|HSBP1|RNF181|TSR2|VDAC1|JPT1|COPS7A|MRPS7|PMVK|NT5C3B|GABARAPL2|BPGM|PLEKHJ1|UBE2S|FAM241B|MSRB1|SURF2|MDP1|ATP5MC2|USE1|CKS1B|CALM3|MRPS10|BLOC1S1|CCNDBP1|DCAF11|MMP24OS|DPM2|CHMP2A|SNX15|SARS1|NSDHL|TPRG1L|TMEM14C|MAGED2|SRP14|CCDC115|RPA2|VDAC2|ITM2A|BAX|PPIB|TSR3|SOD1|FBXO2|RAD23A|FAM32A|DIRAS1|RPP21|PINK1|LRPAP1|ALKBH7|AARS1|SAP18|IMPDH2|PSME4|CCNQ|CNDP2|TUBG1|COPE|FAM3C|NR2F6|PSMC3|NAXE|ERLEC1|OTUB1|TVP23A|MSMO1|MANBAL|RTRAF|LUC7L2|SYT11|TRNP1|ACLY|EIF3G|ELP5|EGFL7|DDX54|PAQR4|CREB3|MYO1D|UROD|CAPNS1|RNF26|RDH14|CDK5|INSIG1|GPR12|KAT5|VPS4A|DHCR7|MRPL12|DUSP26|SV2A|TMEM106C|HTRA2|PUF60|UBL7
sleep_UP_wake_DOWN,0.0421957804219578,0.0920635209206352,0.0687740931754234,0.535187597097489,1.17973021808652,88,TMEM141|FNDC4|DRAP1|ARL6IP4|FKBP1B|TMEM219|UBXN1|HMGCS1|C1orf122|PSME1|FABP3|COMMD8|PIP4P1|ZNF32|AHCY|DHRS7|RAD23A|LIN7B|LARP6|DCTN6|SCG5|NDUFS3|SNN|RAC3|ATRAID|TMEM97|TRPT1|RAE1|GSTP1|OMG|BORCS6|NOP53|CYTH2|DHCR24|EIF4B|EFNB3|SURF1|PDXP|NUDT18|CTSV|GRHPR|SNAPIN
sleep_DOWN_wake_No_Change,0.43005699430057,0.742425757424258,0.0166089291355437,0.456537135365418,1.0173127716462,122,NCBP2AS2|ABRACL|ATP5MC1|MRPL54|HAX1|POLR3K|C14orf119|NRIP2|CALM3|SDF2L1|SEC62|XBP1|NDUFAB1|UBE2V2|HOMER1|MANF|SERBP1|MED7|CCT4|SPRED2|SAP18|IMPDH2|SEMA3F|FEN1|RPL7L1|SPRED1|UBASH3B|SH3RF3|NOCT|ZFP36L1|ETV5|DNAJB5|SPEF1|RBM8A|MKKS|NR4A1|KCNF1|IQGAP2|TTC9|NMNAT1|CAPN12|HSPA5|YIPF5|ATF4|MYO9B|EGR3|INA|CD80|BDNF|SHC4|SPRY4|PES1
sleep_No_Change_wake_UP,0.45965403459654,0.742425757424258,0.0156425559987369,0.460950819924964,1.01256311815008,80,NEDD8|FAM174C|MRPL51|MRPL57|PTPN9|NDUFAF4|EMP1|HINT1|SPRED2|ARPC5L|SLC38A2|DDA1|NOTCH4|TRPM1|APLP2|TSPAN31|SPRED1|UBASH3B|IL15RA|SNTB2|DIO2|CALR|NR4A3|TMEM186|DMRT3|EXT1
AD_GWAS_genes,0.464453554644536,0.742425757424258,0.015492249443265,0.500004024104833,1.02540550957791,22,SEC61G|COX7C|ADAMTS1
Down_sleep_7OR8,0.482451754824518,0.742425757424258,0.0149428920481416,0.44824703178236,1.00398158517923,147,NCBP2AS2|ABRACL|ATP5MC1|MRPL54|HAX1|POLR3K|C14orf119|NRIP2|SIDT1|CALM3|SDF2L1|SEC62|XBP1|CRH|NDUFAB1|UBE2V2|HOMER1|MANF|SERBP1|MED7|CCT4|SPRED2|SAP18|IMPDH2|PSME4|SEMA3F|FEN1|HSP90B1|RPL7L1|SPRED1|UBASH3B|SH3RF3|DIO2|NOCT|CALR|ZFP36L1|PCSK1|ETV5|APOBEC4|DNAJB5|SPEF1|RBM8A|HIVEP3|MKKS|NR4A1|KCNF1|IQGAP2|TTC9|TRIB1|NMNAT1|CBLN4|CAPN12|HSPA5|YIPF5|ATF4|MYO9B|EGR3|INA|CD80|BDNF|SHC4|SPRY4|PES1|NPTX2|FLT3|JAK2|IFT70A|TLCD4
sleep_UP_wake_UP,0.494950504949505,0.742425757424258,0.0145737629273614,0.464982267332805,1.00286364405966,53,GPX4|RPL7A|NUBP2|TIMM17B|RPL6|POLR3H|DCXR|PSMA7|NUDT8|DCTN6|DDA1|DHPS|TUBA1A|ARHGDIG|PAXX|GSTM4|CITED4|THY1
sleep_DOWN_wake_UP,0.541745825417458,0.764817635883471,0.013269029186396,0.472203222683926,0.987950989110956,30,SIDT1|CRH|SPRED2|PSME4|HSP90B1|SPRED1|DIO2|CALR|PCSK1|APOBEC4|DNAJB5|HIVEP3|IQGAP2|TRIB1|CBLN4|BDNF|NPTX2|FLT3|THAP1|CDKN1A|HIP1|SCG2
Up_SD_4OR7,0.714028597140286,0.922644577647498,0.00913024404119478,0.426809099824967,0.946463509404066,105,NEDD8|FAM174C|MRPL51|MRPL57|SIDT1|PTPN9|NDUFAF4|EMP1|CRH|HINT1|SPRED2|ARPC5L|SLC38A2|DDA1|NOTCH4|PSME4|TRPM1|APLP2|HSP90B1|TSPAN31|SPRED1|UBASH3B|IL15RA|SNTB2|DIO2|CALR|NR4A3|TMEM186|PCSK1|DMRT3|EXT1|APOBEC4|DNAJB5|HIVEP3|IQGAP2|FZD1|TRIB1|PER2|PVT1|CBLN4
