GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
TMEM141,NM_032928
TMSB10,NM_021103
BRK1,NM_018462
LSM3,NM_014463
TMA7,NM_001329417
ATOX1,NM_004045
TOMM6,NM_001134493
NUDT1,NM_001367553
NDUFA5,NM_001282419
MRPS33,NM_016071
ELOC,NM_001204857
OTUD6B-AS1,NR_110438
POLR2K,NM_005034
BAG1,NM_001172415
SEC61B,NM_006808
CHCHD1,NM_203298
SELENOH,NM_001321335
ATP5MG,NM_006476
MYL6B,NM_001199629
NEDD8,NM_006156
RSL24D1,NM_016304
C18orf32,NM_001035005
C19orf53,NM_014047
SDHAF1,NM_001042631
POLR2I,NM_006233
TMEM160,NM_017854
SELENOW,NM_003009
ZNF667-AS1,NM_198879
DDT,NM_001084392
RPS19BP1,NM_194326
LAGE3,NM_006014
LAMTOR5,NM_001382293
RPL29,NM_000992
COX7A2,NM_001366292
CHCHD2,NM_001320327
FAU,NM_001997
RPL41,NM_001035267
SNAPC5,NM_001329613
CENPX,NM_001271006
MRPS12,NM_021107
UQCR10,NM_001003684
SELENOM,NM_080430
MRPS18B,NM_014046
ATP5MPL,NA
SNRNP25,NM_024571
GLRX2,NM_001243399
MORN2,NM_001145450
COX17,NM_001382002
LSM2,NM_021177
COA8,NM_001302652
SNRPD1,NM_001291916
NDUFA6,NM_002490
RNF5,NM_006913
UQCRH,NM_001297565
MRPS18C,NM_001297767
COMMD5,NM_001081003
COX14,NM_001257133
MRPL46,NM_022163
SPAG7,NM_004890
LSM7,NM_016199
TMSB4X,NM_021109
TRIAP1,NM_016399
CHCHD10,NM_001301339
FCGR3A,NM_000569
SERTAD4-AS1,NR_024337
NDUFS6,NM_004553
UQCRQ,NM_014402
ATP5IF1,NM_016311
COPS9,NM_001163424
MRPS24,NM_032014
RPLP2,NM_001004
COA3,NM_001040431
ATP5F1E,NM_006886
BEX4,NM_001080425
GIHCG,NR_038269
ATP5MF,NM_001003713
POMP,NM_015932
LAMTOR2,NM_001145264
UQCRB,NM_001199975
GCHFR,NM_005258
CTXN2,NM_001145668
NDUFA7,NM_005001
RPL18A,NM_000980
NCBP2AS2,NM_001355243
MRPL36,NM_032479
DMAC1,NM_001318058
SMIM10L1,NM_001271592
C9orf16,NA
IDI1,NM_001317955
MRPS36,NM_033281
PFDN4,NM_002623
MRPL52,NM_001318870
FAM174C,NM_017914
CCDC43,NM_001099225
TGFBR3L,NM_001195259
TIMM10,NM_012456
UBXN10-AS1,NA
MTLN,NM_001355251
SPCS1,NM_014041
MRFAP1,NM_001272053
RPS14,NM_001025070
LAMTOR4,NM_001008395
COX6C,NM_004374
TXN,NM_001244938
RPS13,NM_001017
ANAPC15,NM_001278485
SERF2,NM_001018108
RILP,NM_031430
EIF1,NM_005801
UQCR11,NM_006830
UBL5,NM_001048241
LSM4,NM_001252129
RPL36A,NM_001199972
