GENE_SYMBOLS,refseq_ids
AURKAIP1,NM_001127229
MRPL20-AS1,NR_015434
MRPL20,NM_001318485
ANKRD65,NM_001145210
TPRG1L,NM_182752
SMIM1,NM_001163724
RPL22,NM_000983
CAMTA1-DT,NR_149049
PARK7,NM_001123377
FBXO2,NM_012168
BX284668.5,NA
AKR7A3,NM_012067
AKR7A2,NM_001320979
MICOS10,NM_001032363
UBXN10-AS1,NA
PINK1,NM_032409
RPL11,NM_000975
SYF2,NM_015484
ZNF593,NM_015871
HMGN2,NM_005517
NUDC,NM_006600
RPA2,NM_001286076
DNAJC8,NM_014280
ATP5IF1,NM_016311
FABP3,NM_001320996
EIF3I,NM_001394168
TMEM54,NM_001329722
C1orf216,NM_001348691
LSM10,NM_032881
MRPS15,NM_031280
C1orf122,NM_001142726
NDUFS5,NM_001184979
CAP1,NM_001105530
PPT1,NM_000310
PPCS,NM_001077447
SVBP,NM_199342
EBNA1BP2,NM_001159936
RPS8,NM_001012
PRDX1,NM_001202431
UQCRH,NM_001297565
BEND5,NM_001302082
KTI12,NM_138417
TMEM59,NM_001305043
SERBP1,NM_001018067
GADD45A,NM_001199741
RPL5,NM_000969
C1orf194,NA
SARS,NA
CELSR2,NM_001408
LAMTOR5,NM_001382293
ATP5PB,NM_001002014
BCAS2,NM_005872
POLR3GL,NM_001330685
BOLA1,NM_001321025
MRPS21,NM_018997
MLLT11,NM_006818
PSMD4,NM_001330692
RIIAD1,NM_001144956
MRPL9,NM_001300733
S100A6,NM_014624
S100A13,NM_001024210
RPS27,NM_001030
TPM3,NM_001043351
C1orf43,NM_001098616
HAX1,NM_001018837
PMVK,NM_001323011
CKS1B,NM_001826
DPM3,NM_018973
SSR2,NM_003145
LAMTOR2,NM_001145264
BCAN,NM_021948
DUSP23,NM_001319658
TSTD1,NM_001113205
KLHDC9,NM_001007255
PFDN2,NM_012394
UFC1,NM_016406
DUSP12,NM_007240
RGS4,NM_001102445
MGST3,NM_004528
MPC2,NM_001143674
EEF1AKNMT,NA
GAS5,NR_002578
RNASEL,NM_021133
GLRX2,NM_001243399
C1orf53,NM_001024594
SHISA4,NM_198149
TIMM17A,NM_006335
SNRPE,NM_001304464
SERTAD4-AS1,NR_024337
NEK2,NM_001204182
NENF,NM_013349
PYCR2,NM_001271681
MRPL55,NM_001321284
GUK1,NM_000858
HIST3H2A,NA
TSNAX,NM_005999
ACP1,NM_001040649
RPS7,NM_001011
YWHAQ,NM_006826
ODC1,NM_001287188
FKBP1B,NM_001322963
SF3B6,NM_016047
PTRHD1,NM_001013663
POMC,NM_000939
OST4,NM_001134693
ATRAID,NM_001170795
SNX17,NM_001267059
FNDC4,NM_022823
MRPL33,NM_004891
GPATCH11,NM_001278505
CEBPZOS,NM_001322373
GEMIN6,NM_024775
MORN2,NM_001145450
CALM2,NM_001305624
RPS27A,NM_001135592
CCT4,NM_001256721
UGP2,NM_001001521
RAB1A,NM_004161
FBXO48,NM_001024680
SNRPG,NM_001317165
PRADC1,NM_032319
CCT7,NM_001009570
BOLA3,NM_001035505
MRPL53,NM_053050
POLE4,NM_019896
TMSB10,NM_021103
RNF181,NM_016494
MRPL35,NM_001363782
CHMP3,NM_001005753
ANKRD39,NM_016466
COX5B,NM_001862
COA5,NM_001008215
MRPL30,NM_016503
TXNDC9,NM_005783
PDCL3,NM_024065
MTLN,NM_001355251
CHCHD5,NM_001304353
DBI,NM_001079862
MZT2B,NM_001330282
CCDC115,NM_001321118
IMP4,NM_001320304
MZT2A,NM_001085365
SSB,NM_001294145
ATP5MC3,NM_001002256
ASNSD1,NM_001353497
COQ10B,NM_001320818
NIF3L1,NM_001136039
NDUFB3,NM_001257102
SUMO1,NM_001005781
EEF1B2,NM_001037663
RPL37A,NM_000998
ARPC2,NM_005731
STK16,NM_001008910
ITM2C,NM_001012514
PTMA,NM_001099285
TRAF3IP1,NM_001139490
COPS9,NM_001163424
DUSP28,NM_001033575
