"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"KLF15","KLF15","MA1513.1","14.4467",2.92183e-52,0.882645,0.860109,0.0918478,4512,"True",2.31993302e-49,1.83995213316182e-13,4.53868190329305e-06,0.828531164903655,0.826383323854647,-0.157606212729787,0.0176764080097032,0.214259952825445
"SP9","SP9","MA1564.1","13.0716",3.54867e-43,0.87863,0.865208,0.0605666,4512,"False",1.40882199e-40,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","12.9426",7.26855e-43,0.8045,0.791926,0.0606074,4512,"False",1.9237429e-40,4.93711846392765e-11,3.53840376678333e-06,0.890092793030933,0.888871211058516,-0.156410187172307,0.00295474217025591,0.0327665807133337
"KLF14","KLF14","MA0740.1","12.8598",3.63813e-42,0.829965,0.818128,0.0563085,4512,"False",7.22168805e-40,NA,NA,NA,NA,NA,NA,NA
"SP1","SP1","MA0079.4","12.6485",5.14171e-41,0.825284,0.812589,0.0625038,4512,"False",8.16503548e-39,2.02209503263385e-17,5.56302930592507e-08,0.472725664168783,0.470384981514314,-0.43395129016111,0.0248657446014513,0.197034744696626
"CTCFL","CTCFL","MA1102.2","12.6353",1.17237e-40,0.852916,0.839568,0.0637228,4512,"False",1.5514363e-38,NA,NA,NA,NA,NA,NA,NA
"SP3","SP3","MA0746.2","12.6189",1.607e-40,0.865557,0.852593,0.0616923,4512,"False",1.82279714285714e-38,9.4571655229839e-07,0.00173346962764517,NA,NA,NA,0.000883764149379102,0.00520258949838025
"KLF5","KLF5","MA0599.1","12.387",6.08865e-39,0.939427,0.92756,0.0562246,4512,"True",6.042985125e-37,3.07619417285345e-11,2.24870523195603e-11,0.88182842288395,0.880305586737918,0.219110688046564,0.33391251345047,0.352057591711918
"HINFP","HINFP","MA0131.2","12.1865",6.02311e-38,0.830094,0.819262,0.0535066,4512,"False",5.31372148888889e-36,0.00106040377484857,0.0443952272710321,NA,NA,NA,0.00025448194014869,0.00101935058705359
"NRF1","NRF1","MA0506.1","12.1178",9.23508e-38,0.857695,0.844252,0.0686576,4512,"False",7.33265352e-36,8.77181691159854e-28,7.93780096472571e-14,0.88182842288395,0.880305586737918,-0.163468709090396,0.0158777175117772,0.344046643468815
"TFDP1","TFDP1","MA1122.1","12.1411",1.63312e-37,0.862204,0.849665,0.0608001,4512,"False",1.17881570909091e-35,2.96965866518639e-18,1.01684998680827e-10,0.755691880475937,0.752850886298584,-0.00266075027963667,0.514425077634915,0.434333748027135
"ZBTB14","ZBTB14","MA1650.1","11.9372",2.46456e-36,0.834119,0.820331,0.0680298,4512,"False",1.6307172e-34,1.16055670950859e-23,1.09938877632205e-13,0.951768513405996,0.952802179186244,0.0121384346681101,0.758402868837371,0.800598638208149
"KLF16","KLF16","MA0741.1","11.8744",4.5467e-36,0.883154,0.870747,0.0623669,4512,"True",2.77698446153846e-34,1.84757476505833e-21,1.30624839586754e-13,0.9496409935214,0.950544677955204,-0.00455682163317396,0.0583940303411183,0.220789571253564
"KLF2","KLF2","MA1515.1","11.8577",8.28696e-36,0.905814,0.894352,0.0563467,4512,"False",4.69989017142857e-34,0.00854924308701399,0.0883242578402368,0.996134945762698,0.996062743449999,0.0824885544605102,0.73678147952128,0.411937651726002
"SP2","SP2","MA0516.2","11.6884",3.04568e-35,0.799429,0.78945,0.0526305,4512,"False",1.61217994666667e-33,0.511228469024114,0.0302942478339559,NA,NA,NA,0.013342742773038,0.00352303450369108
"EGR1","EGR1","MA0162.4","11.7156",3.74363e-35,0.825212,0.812172,0.0663397,4512,"True",1.8577763875e-33,1.46082320025536e-11,0.10479062622573,0.98685561764554,0.986854561271294,-0.072807970400588,0.732292496839891,0.895182137958741
"KLF11","KLF11","MA1512.1","11.5615",2.79129e-34,0.876275,0.865068,0.0577214,4512,"False",1.30369662352941e-32,5.13958987358101e-05,0.00748218531373085,0.865679003967386,0.864165472914466,-0.200284806648102,0.0908524329063845,0.0821496724986943
"EGR3","EGR3","MA0732.1","11.4017",1.95983e-33,0.791871,0.780667,0.0588719,4512,"True",8.64502788888889e-32,5.49624115759071e-24,0.00243122639320019,0.731549359279726,0.729042353975302,-0.224236306663131,0.740433917086816,0.472929272144292
"ZNF148","ZNF148","MA1653.1","11.3112",9.38204e-33,0.864475,0.850645,0.0711661,4512,"False",3.92070513684211e-31,1.68402446473934e-09,6.46341531950544e-06,NA,NA,NA,0.0346549351607257,0.106681882823181
"KLF3","KLF3","MA1516.1","11.245",1.23432e-32,0.856915,0.846119,0.0580362,4512,"False",4.80188514285714e-31,0.415422212195856,0.938076697111392,NA,NA,NA,0.617607728367229,0.932008682861197
"ZBTB7A","ZBTB7A","MA0750.2","11.1893",1.27002e-32,0.840158,0.829929,0.0576296,4512,"False",4.80188514285714e-31,3.22874048254008e-05,0.000343534980648937,0.970425795430487,0.97116672444366,0.163314594316214,0.855568704101062,0.790631527417439
"SP8","SP8","MA0747.1","10.958",4.64815e-31,0.879415,0.870403,0.049471,4512,"False",1.67755959090909e-29,NA,NA,NA,NA,NA,NA,NA
"E2F6","E2F6","MA0471.2","10.8689",1.57982e-30,0.86204,0.852237,0.0537139,4512,"False",5.45381339130435e-29,0.406865529529492,0.00173356089841301,NA,NA,NA,0.156504907260632,0.958578294790173
