"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","20.514",2.1977e-97,0.843104,0.805366,0.0688526,1107,"False",1.7449738e-94,2.47424464303094e-25,3.12398856216848e-19,0.836602425225784,0.834305560055447,0.167140223986094,0.509741904789859,0.268400677920106
"ELK3","ELK3","MA0759.1","19.5851",6.36794e-89,0.860562,0.827514,0.0627935,1107,"False",2.52807218e-86,1.02427917682218e-05,3.78047066490282e-05,0.900070546195778,0.899600427875076,0.327200236811808,0.684896942749488,0.820517677509417
"ELK4","ELK4","MA0076.2","18.5452",1.24483e-79,0.884093,0.852902,0.059058,1107,"False",3.29465006666667e-77,0.00515591930587592,3.03333738733056e-05,NA,NA,NA,0.99702094429809,0.492172004205504
"FEV","FEV","MA0156.2","18.4561",3.49518e-79,0.870189,0.840666,0.059232,1107,"False",6.9379323e-77,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","18.4216",6.2613e-79,0.859444,0.82927,0.0610053,1107,"False",9.9429444e-77,0.00035102380094375,0.0198324284993732,0.987763106385627,0.987742927619331,-0.068069731944541,0.827603860040696,0.971479930256339
"ETS2","ETS2","MA1484.1","18.0297",1.18681e-75,0.877034,0.848397,0.0586658,1107,"False",1.57054523333333e-73,1.38162416262763e-31,1.31479578230611e-11,0.943567910427145,0.943925768437698,-0.0377576485928233,0.650787500570258,0.961396534618182
"ETV5","ETV5","MA0765.2","17.8192",1.03461e-73,0.883073,0.853063,0.0594437,1107,"False",1.065776275e-71,8.45476474118498e-54,3.17085081488709e-37,0.546998878068075,0.544614567773175,0.138629827060479,0.884284350991169,0.397006520363608
"ZBTB7A","ZBTB7A","MA0750.2","17.8614",1.07383e-73,0.861547,0.829929,0.0578019,1107,"False",1.065776275e-71,3.22874048254008e-05,0.000343534980648937,0.970425795430487,0.97116672444366,0.163314594316214,0.855568704101062,0.790631527417439
"ERG","ERG","MA0474.2","17.3992",1.49111e-70,0.875528,0.84857,0.0566769,1107,"False",1.31549037777778e-68,0.00200258633886654,8.21958560685089e-05,0.702298600793936,0.700213909864767,0.633309360652451,0.0412984045110583,0.233418882421485
"ETS1","ETS1","MA0098.3","17.3416",3.87521e-70,0.873595,0.846278,0.0580454,1107,"False",3.07691674e-68,0.000379788119723195,7.80125492320852e-05,0.817562088831391,0.815655915815412,0.515036298100135,0.731455164460892,0.222884242535532
"ERF","ERF","MA0760.1","17.1869",4.98807e-69,0.857713,0.83128,0.05777,1107,"False",3.60047961818182e-67,1.01632961938246e-08,4.25958893147186e-06,0.889510154882814,0.888068459953755,0.249694920282876,0.987139989218725,0.542347241246252
"ETV3","ETV3","MA0763.1","16.9312",3.86355e-67,0.860862,0.835857,0.0563974,1107,"False",2.55638225e-65,0.00059723745243689,0.0810543397731882,0.719183020830536,0.716841482293551,0.396692811565471,0.831567522307673,0.782150415808528
