"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NFIX","NFIX","MA1528.1","3.99049",3.21641e-05,0.774357,0.756761,0.0461109,127,"False",0.0244411726666667,0.000856747139735977,0.0584700597696577,NA,NA,NA,0.974412329658951,0.728134446780044
"NFIB","NFIB","MA1643.1","3.73188",9.2886e-05,0.72707,0.711735,0.0439717,127,"False",0.0244411726666667,0.00572622413382942,0.164622859026385,NA,NA,NA,0.569590238625398,0.900301778252815
"EGR3","EGR3","MA0732.1","3.55905",0.000182446,0.800516,0.780667,0.0582021,127,"False",0.0244411726666667,5.49624115759071e-24,0.00243122639320019,0.731549359279726,0.729042353975302,-0.224236306663131,0.740433917086816,0.472929272144292
"ZBTB14","ZBTB14","MA1650.1","3.54024",0.000196619,0.843573,0.820331,0.0627047,127,"False",0.0244411726666667,1.16055670950859e-23,1.09938877632205e-13,0.951768513405996,0.952802179186244,0.0121384346681101,0.758402868837371,0.800598638208149
"KLF15","KLF15","MA1513.1","3.53226",0.000202463,0.891433,0.860109,0.0872777,127,"False",0.0244411726666667,1.83995213316182e-13,4.53868190329305e-06,0.828531164903655,0.826383323854647,-0.157606212729787,0.0176764080097032,0.214259952825445
"ZNF460","ZNF460","MA1596.1","3.51127",0.000219104,0.800383,0.777914,0.0636699,127,"False",0.0244411726666667,0.00156998596392756,0.00158444238915925,NA,NA,NA,0.145570140234298,0.0198876471813297
"ZNF148","ZNF148","MA1653.1","3.48136",0.000245136,0.874871,0.850645,0.0694212,127,"False",0.0244411726666667,1.68402446473934e-09,6.46341531950544e-06,NA,NA,NA,0.0346549351607257,0.106681882823181
"SP9","SP9","MA1564.1","3.45582",0.000269608,0.885377,0.865208,0.0584413,127,"False",0.0244411726666667,NA,NA,NA,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","3.44858",0.000277041,0.946349,0.92756,0.0541263,127,"False",0.0244411726666667,3.07619417285345e-11,2.24870523195603e-11,0.88182842288395,0.880305586737918,0.219110688046564,0.33391251345047,0.352057591711918
"KLF4","KLF4","MA0039.4","3.38266",0.000352672,0.900355,0.879556,0.063409,127,"False",0.0274262758181818,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","3.36237",0.000379961,0.795276,0.780201,0.0453523,127,"False",0.0274262758181818,0.0091352930700886,0.344421944445681,0.917825062781869,NA,0.517404122414112,0.263085923874651,0.0183238780539787
"SP3","SP3","MA0746.2","3.32978",0.000427366,0.872001,0.852593,0.0594895,127,"False",0.0282773836666667,9.4571655229839e-07,0.00173346962764517,NA,NA,NA,0.000883764149379102,0.00520258949838025
"KLF14","KLF14","MA0740.1","3.1716",0.000747018,0.834656,0.818128,0.051999,127,"False",0.0456255609230769,NA,NA,NA,NA,NA,NA,NA
