"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","20.3777",3.63779e-96,0.843468,0.805366,0.0703776,1072,"False",2.88840526e-93,2.47424464303094e-25,3.12398856216848e-19,0.836602425225784,0.834305560055447,0.167140223986094,0.509741904789859,0.268400677920106
"ELK3","ELK3","MA0759.1","19.8472",3.0544e-91,0.861543,0.827514,0.0636411,1072,"False",1.2125968e-88,1.02427917682218e-05,3.78047066490282e-05,0.900070546195778,0.899600427875076,0.327200236811808,0.684896942749488,0.820517677509417
"ELK4","ELK4","MA0076.2","18.9687",3.67576e-83,0.885312,0.852902,0.0594728,1072,"False",9.6698878e-81,0.00515591930587592,3.03333738733056e-05,NA,NA,NA,0.99702094429809,0.492172004205504
"FEV","FEV","MA0156.2","18.9182",4.87148e-83,0.87141,0.840666,0.0597031,1072,"False",9.6698878e-81,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","18.6686",5.87326e-81,0.860335,0.82927,0.0615308,1072,"False",9.32673688e-79,0.00035102380094375,0.0198324284993732,0.987763106385627,0.987742927619331,-0.068069731944541,0.827603860040696,0.971479930256339
"ETS2","ETS2","MA1484.1","18.4441",5.51187e-79,0.87815,0.848397,0.0587257,1072,"False",7.2940413e-77,1.38162416262763e-31,1.31479578230611e-11,0.943567910427145,0.943925768437698,-0.0377576485928233,0.650787500570258,0.961396534618182
"ZBTB7A","ZBTB7A","MA0750.2","18.3982",5.1792e-78,0.863015,0.829929,0.0580976,1072,"False",5.87469257142857e-76,3.22874048254008e-05,0.000343534980648937,0.970425795430487,0.97116672444366,0.163314594316214,0.855568704101062,0.790631527417439
"ETV5","ETV5","MA0765.2","18.0633",1.1391e-75,0.883973,0.853063,0.0602206,1072,"False",1.13055675e-73,8.45476474118498e-54,3.17085081488709e-37,0.546998878068075,0.544614567773175,0.138629827060479,0.884284350991169,0.397006520363608
"ERG","ERG","MA0474.2","17.8792",2.68547e-74,0.876705,0.84857,0.0566889,1072,"False",2.36918131111111e-72,0.00200258633886654,8.21958560685089e-05,0.702298600793936,0.700213909864767,0.633309360652451,0.0412984045110583,0.233418882421485
"ETS1","ETS1","MA0098.3","17.6207",2.70132e-72,0.874474,0.846278,0.0584214,1072,"False",2.14484808e-70,0.000379788119723195,7.80125492320852e-05,0.817562088831391,0.815655915815412,0.515036298100135,0.731455164460892,0.222884242535532
"ERF","ERF","MA0760.1","17.0724",3.56832e-68,0.857969,0.83128,0.0591006,1072,"False",2.57567825454545e-66,1.01632961938246e-08,4.25958893147186e-06,0.889510154882814,0.888068459953755,0.249694920282876,0.987139989218725,0.542347241246252
"ETV6","ETV6","MA0645.1","16.8625",3.19213e-66,0.879398,0.851358,0.058537,1072,"False",2.11212601666667e-64,5.06966161869462e-22,3.69057419803962e-10,0.982791539410524,0.983080218209739,-0.0492098155090624,0.0712892927098456,0.664916407075077
"YY2","YY2","MA0748.2","16.4067",2.0022e-62,0.853597,0.821895,0.0614501,1072,"False",1.22288215384615e-60,0.00455246565593758,0.00955399572700834,0.965367370065909,0.966283182613587,0.00207439067884774,0.846357966992704,0.766611644729136
"ETV3","ETV3","MA0763.1","16.2603",3.70597e-62,0.860273,0.835857,0.0581368,1072,"False",2.10181441428571e-60,0.00059723745243689,0.0810543397731882,0.719183020830536,0.716841482293551,0.396692811565471,0.831567522307673,0.782150415808528
"NRF1","NRF1","MA0506.1","16.0467",1.3087e-59,0.87927,0.844252,0.0649486,1072,"False",6.92738533333333e-58,8.77181691159854e-28,7.93780096472571e-14,0.88182842288395,0.880305586737918,-0.163468709090396,0.0158777175117772,0.344046643468815
"HINFP","HINFP","MA0131.2","15.5239",1.36645e-55,0.846404,0.819262,0.0448539,1072,"False",6.781008125e-54,0.00106040377484857,0.0443952272710321,NA,NA,NA,0.00025448194014869,0.00101935058705359
"ELF2","ELF2","MA1483.1","15.3703",1.57053e-55,0.81502,0.790052,0.0594825,1072,"False",7.33529894117647e-54,4.53833301758199e-22,1.07300169501522e-10,0.939943934884615,0.94026023164246,-0.120364362004186,0.0278177148915303,0.479465121383423
"ELF4","ELF4","MA0641.1","14.7802",1.69543e-51,0.804275,0.779983,0.0600351,1072,"False",7.47873011111111e-50,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","14.5493",5.9011e-49,0.904795,0.860109,0.0724925,1072,"False",2.46603863157895e-47,1.83995213316182e-13,4.53868190329305e-06,0.828531164903655,0.826383323854647,-0.157606212729787,0.0176764080097032,0.214259952825445
"Gmeb1","Gmeb1","MA0615.1","14.4467",1.17439e-48,0.83674,0.817285,0.039074,1072,"False",4.6623283e-47,1.47350737114616e-11,1.62039920850622e-06,0.827081098860856,0.825164122977966,0.032201282104277,0.125788378728206,0.932746263450158
"ETV2","ETV2","MA0762.1","14.0817",4.61182e-47,0.826924,0.805106,0.0586925,1072,"False",1.74370718095238e-45,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","14.193",5.63054e-47,0.864818,0.835763,0.0576701,1072,"False",2.03211307272727e-45,0.00219827625002946,0.176142853978262,NA,NA,NA,0.523614292402793,0.2351496816378
"SP4","SP4","MA0685.1","13.6754",6.59625e-44,0.818049,0.791926,0.0580284,1072,"False",2.2771402173913e-42,4.93711846392765e-11,3.53840376678333e-06,0.890092793030933,0.888871211058516,-0.156410187172307,0.00295474217025591,0.0327665807133337
"ZBTB33","ZBTB33","MA0527.1","13.6255",1.21369e-43,0.795578,0.772676,0.052025,1072,"False",4.01529108333333e-42,6.5607952428946e-23,7.42494069050696e-17,0.825430942607044,0.823397931994594,0.187286098729979,0.850739719480986,0.627691112981771
"SP1","SP1","MA0079.4","13.5859",2.46954e-43,0.839397,0.812589,0.0591472,1072,"False",7.84325904e-42,2.02209503263385e-17,5.56302930592507e-08,0.472725664168783,0.470384981514314,-0.43395129016111,0.0248657446014513,0.197034744696626
"KLF14","KLF14","MA0740.1","13.3934",4.36708e-42,0.842388,0.818128,0.0518811,1072,"False",1.33363904615385e-40,NA,NA,NA,NA,NA,NA,NA
"SP9","SP9","MA1564.1","13.2623",4.11204e-41,0.892044,0.865208,0.0511501,1072,"False",1.20924435555556e-39,NA,NA,NA,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","13.1528",2.22207e-40,0.850238,0.820331,0.0534351,1072,"False",6.30115564285714e-39,1.16055670950859e-23,1.09938877632205e-13,0.951768513405996,0.952802179186244,0.0121384346681101,0.758402868837371,0.800598638208149
"HES1","HES1","MA1099.2","12.9921",1.13898e-39,0.878767,0.85239,0.0563125,1072,"False",3.11844868965517e-38,1.22531897570119e-06,2.33724877187072e-08,0.835157814580878,0.833045195840018,0.363991166820359,0.807946181267022,0.899753282133473
"TFDP1","TFDP1","MA1122.1","12.9995",1.57126e-39,0.876111,0.849665,0.0494595,1072,"False",4.15860146666667e-38,2.96965866518639e-18,1.01684998680827e-10,0.755691880475937,0.752850886298584,-0.00266075027963667,0.514425077634915,0.434333748027135
