"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"COX7A1",3.06080508272416e-06,"2.44527762076293","3.36593807309195","2.24188340586272","6.14448275967416",0.0266779771010238,0.0266779771010238,-1.00823824814815
"ATP5IF1",3.98898630120407e-05,"3.16155814034032","3.40737444394557","7.77349835207758","18.333755565458",0.0282148599702081,0.347680046012947,-0.858023625727019
"SNRPG",3.32230459246349e-05,"2.68537217933475","3.30431528425862","1.41239467916896","2.5352664713555",0.0282148599702081,0.289572068279118,-0.585012130586011
"NDUFC1",2.27648719714332e-05,"2.63525213032388","3.21355476685866","5.58588065772511","9.43534244358648",0.0282148599702081,0.198418624103012,-0.524220370426664
"UQCRQ",1.46360720796072e-05,"3.06475607828253","3.55221154753514","2.62456014011924","6.84590331406793",0.0282148599702081,0.127568004245856,-0.958737100692627
"COX7A2",4.03411984989085e-05,"2.88703574061744","3.37880820774998","6.40875612654077","14.6019489877859",0.0282148599702081,0.351613886116486,-0.823489812038759
"ATP5MF",1.40584819168565e-05,"2.80948111337233","3.32699178022908","5.66199720882268","10.6353227375348",0.0282148599702081,0.122533728387321,-0.630404101204597
"ATP5MD",2.79354068054301e-05,"3.21865655275612","3.52947772438439","8.52173328898604","21.1770810364589",0.0282148599702081,0.243485005716129,-0.910299755875123
"TMEM258",2.04325707425226e-05,"2.96815773210241","3.36699634289048","1.38710991370986","3.36032666980243",0.0282148599702081,0.178090286591827,-0.884815808566633
"CWC15",2.90803449622504e-05,"2.89444552025066","3.39818397233775","1.74911529726299","3.89860311579162",0.0282148599702081,0.253464286690974,-0.801508197853803
"DDIT3",4.20827420390896e-05,"3.26751649807721","3.27331781723194","1.97292518484548","4.24471283355667",0.0282148599702081,0.366793179612705,-0.766156862482961
"DDT",3.91562235479316e-05,"3.34142363435115","3.47057331754279","2.36448228173588","5.13364486147328",0.0282148599702081,0.341285644443772,-0.775256816587021
"TCEAL8",1.02971154944591e-05,"3.14888115263279","3.50388390592185","3.27175946394976","5.98359679132558",0.0282148599702081,0.0897496586497055,-0.603693954697753
"NCBP2AS2",5.62825660569383e-05,"3.53764554082252","3.54762650650746","2.55542785658103","4.47668551365744",0.0288564026913103,0.490558845752274,-0.56066326372775
"ATOX1",5.32665791265492e-05,"3.44604874585156","3.53665203399936","2.95095904143522","7.3343101116566",0.0288564026913103,0.464271503667003,-0.910433136554183
"SELENOH",5.16166836556014e-05,"3.6835363063973","3.75341081470082","7.19892969926937","13.3752344043936",0.0288564026913103,0.449891014742222,-0.619472456097817
