Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,KLF4 human,0.0001439390782093315,5.880128543757704,52.01632515903688,"['IFITM3', 'CDKN1C', 'HSPA8', 'CDKN1A', 'LXN', 'CDKN1B', 'CCND1', 'ODC1', 'HBA2', 'SOD1', 'VEGFA']",0.06880287938406046,0,0,11
2,MECP2 human,0.000333700589579178,11.213475738396625,89.76686061651644,"['RELN', 'ABCB1', 'CCND1', 'DLX5', 'GAD1', 'ALOX5', 'IGFBP3']",0.07975444090942355,0,0,7
3,POU5F1 human,0.0007805833931521875,8.409414556962025,60.17330498472334,"['CDKN1A', 'DLX5', 'GADD45A', 'ID2', 'SPP1', 'THY1', 'DKK1']",0.09526413764633587,0,0,7
4,XBP1 human,0.000870656931818278,6.408653211977311,45.15705304153733,"['PRNP', 'HSPA5', 'WFS1', 'GAD1', 'DDIT3', 'ERP29', 'VEGFA', 'HSPA1A']",0.09526413764633587,0,0,8
5,CEBPA human,0.0010890191701755172,4.069517249786664,27.764191222468785,"['MSR1', 'SPI1', 'IL5', 'SLC10A1', 'SFTPD', 'SPP1', 'FN1', 'HOMER3', 'GAPDH', 'CSF2RA', 'PCK2']",0.09526413764633587,0,0,11
6,CEBPD human,0.0013710938312604707,9.607750098853302,63.33569561756891,"['C3', 'CASP8', 'DDIT3', 'GAPDH', 'GADD45G', 'SOD1']",0.09526413764633587,0,0,6
7,SMAD3 human,0.0014548352878089668,4.807205067300079,31.404810141920578,"['CDKN1A', 'ZFP36', 'JUN', 'TGFB1', 'BGLAP', 'FST', 'ANGPTL4', 'GLI2', 'VEGFA']",0.09526413764633587,0,0,9
8,SMAD1 mouse,0.001594378872742023,6.726977848101265,43.33028760015309,"['CDKN1A', 'BMP2', 'HEY1', 'ID2', 'SPP1', 'ID3', 'RUNX1']",0.09526413764633587,0,0,7
9,REST human,0.0024095388846302928,3.5263338615953512,21.25786853535291,"['GJD2', 'GLRA1', 'VGF', 'TUBB3', 'PENK', 'CD59', 'TAC3', 'CARTPT', 'TAC1', 'VIP', 'CHGB']",0.12797328742814224,0,0,11
10,ING4 human,0.0029415960485096996,5.605353375527426,32.672500410412425,"['CDKN1A', 'CDKN1B', 'ANGPT1', 'CCND1', 'ARL6IP5', 'SPP1', 'BAX']",0.1290048088389898,0,0,7
11,VDR human,0.0029687299105206856,3.698095963442498,21.52151714034719,"['CDKN1A', 'CDKN1B', 'CALB1', 'BGLAP', 'IGFBP3', 'DDIT4', 'PHB', 'PLD1', 'CYP3A5', 'CYP3A7']",0.1290048088389898,0,0,10
12,HSF1 human,0.0036148173749069594,3.93251997408767,22.11143489078726,"['STIP1', 'CDKN1A', 'LDHA', 'JUN', 'ABCB1', 'UBB', 'FKBP4', 'HSPA1B', 'HSPA1A']",0.1316292535736027,0,0,9
13,MEN1 human,0.0038181130667723122,19.203476886606083,106.92493894856831,"['CASP8', 'CDKN2C', 'CDKN1B', 'BRCA1']",0.1316292535736027,0,0,4
14,JUN human,0.0038552501046661873,2.00730411686587,11.157237406601796,"['BEX2', 'CDKN1A', 'SPI1', 'ABCB1', 'GSTP1', 'ALOX12', 'BRCA1', 'ETS1', 'LDHA', 'CCND1', 'HEY1', 'NPY', 'MYB', 'PENK', 'TIMP2', 'PCK2', 'MSR1', 'JUN', 'CCK', 'DCN', 'RHOB', 'VEGFA', 'DDIT3', 'NOX5', 'CDK5R1']",0.1316292535736027,0,0,25
15,ATF2 human,0.004321652317381068,4.27138020489821,23.25389559013332,"['CDKN1A', 'JUN', 'DUSP10', 'CCND1', 'KAT5', 'DUSP1', 'FN1', 'PCK2']",0.13771665384721005,0,0,8
16,SPI1 human,0.004793664907619667,3.110958329449054,16.6139486560333,"['HCK', 'MSR1', 'IL5', 'ERAP2', 'DAPK2', 'IL18', 'WAS', 'PEBP1', 'CSF2RA', 'IFIT3', 'CLEC4G']",0.14321073911513757,0,0,11
17,SP7 mouse,0.0053834707959969155,8.003293807641633,41.81258410863205,"['BGLAP', 'SATB2', 'SPP1', 'DKK1', 'VEGFA']",0.15137053179332505,0,0,5
18,TCF4 human,0.006615112174508719,3.8439256034823903,19.290350574733104,"['JUN', 'ABCB1', 'CCND1', 'FST', 'VIM', 'NOTUM', 'PLD1', 'VEGFA']",0.16697420538572375,0,0,8
19,EGR1 mouse,0.0066370500048718644,2.40515873015873,12.062081941530522,"['CDKN1C', 'JUN', 'GADD45B', 'PTGES2', 'GADD45A', 'NGB', 'ENO1', 'NR4A1', 'MAP1LC3B', 'CCND1', 'ID3', 'BAX', 'GNRH1', 'LTB', 'CDK5R1']",0.16697420538572375,0,0,15
20,POU2F1 human,0.008012300728915305,4.203322784810126,20.288503116081543,"['IL5', 'CCND1', 'GADD45A', 'SPP1', 'GNRH1', 'HIST2H2BE', 'MAD2L1']",0.1750056677573173,0,0,7
21,CEBPB human,0.008740743710547848,2.7830302777546083,13.190895589832445,"['CDKN1A', 'XBP1', 'ABCB1', 'IL5', 'SLC10A1', 'DDIT3', 'SFTPD', 'PLAC1', 'PTPN13', 'PCK2', 'GADD45G']",0.1750056677573173,0,0,11
