Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4783-5p,0.2610082630183061,1.1449241948435003,1.5378658572543915,"['C11ORF96', 'DLX2', 'OLFML2B', 'TCF7', 'IER5L', 'CEND1', 'FIGNL2', 'PRELP', 'RND2', 'CPLX1', 'C1QTNF4', 'CRHBP', 'SLCO2B1', 'H1FX', 'SOX4', 'KLRG1', 'JUN', 'TSPYL1', 'CCDC115', 'ISLR2', 'PNMA8A', 'G0S2', 'TBCC', 'SSTR1', 'RUNX1', 'C1QL1', 'CLDN5', 'INF2', 'MAFB', 'FAM163A', 'DOK7', 'PECAM1', 'CALM3', 'INSM1', 'NFKBIE', 'TMEM35A']",0.9999943797214295,0,0,36
2,hsa-miR-937,0.4596278963405607,1.0490254574383453,0.8154473907407827,"['NANOS1', 'SNAI3', 'DIRAS1', 'H2AFX', 'C4ORF36', 'NTN1', 'DHDDS', 'OSCAR', 'POU3F4', 'FRAT1', 'MMP25', 'LBH', 'RASD1', 'CLMN', 'INAFM1', 'CAMK2N2', 'CDH23', 'PECAM1', 'SNCB', 'ATP6V0C', 'NFE2L1']",0.9999943797214295,0,0,21
3,hsa-miR-1181,0.49166480607966917,1.0367048270978403,0.7360169718161632,"['KCNE1', 'ECM2', 'LGI4', 'STMN3', 'PARK7', 'SSTR1', 'PRLR', 'RUNX1', 'MAFB', 'RBP2', 'SYNPO2L', 'C10ORF95', 'ZNF319', 'SDHAF1', 'ID3', 'H1FX']",0.9999943797214295,0,0,16
4,mmu-miR-5105,0.5328101948780374,1.0061238098039793,0.6334455149782516,"['CCDC71L', 'CEBPB', 'PPP1R14B', 'H2AFX', 'PTPRK', 'DEXI', 'TRIOBP', 'MAFB', 'NFIA', 'INAFM1', 'CAMK2N2', 'GIPC2', 'KCTD13', 'H1FX', 'IER2', 'TRIM67', 'CBLN1']",0.9999943797214295,0,0,17
5,hsa-miR-4750,0.5998307713703525,0.9681832901554405,0.494845945516372,"['GYPE', 'WDR86', 'CEND1', 'NRL', 'TMEM160', 'HIF3A', 'CPLX1', 'CBARP', 'LRP5L', 'MUSTN1', 'MKNK2', 'LEPR', 'GYG2', 'SNCB', 'IER5', 'TNS3', 'ST3GAL1', 'SNX8', 'SLC16A3', 'STK32B', 'POLR2J3', 'METAP1D', 'HSPA5', 'TPRG1', 'LGI3', 'C20ORF27', 'PEX10', 'KRT10', 'PNMA8B', 'RUNX1', 'RNF125', 'BDH1', 'GGCX', 'CDK5', 'VGF', 'SDHAF1', 'KCP', 'MUC20', 'KDM7A']",0.9999943797214295,0,0,39
6,hsa-miR-3939,0.6377103480204915,0.9374514173187543,0.4217322990818264,"['UBL4A', 'RPH3AL', 'USP5', 'LGI4', 'DIRAS1', 'HMGB3', 'PDXP', 'SSTR1', 'NYNRIN', 'H1F0', 'RNF213', 'MAFB', 'PEA15', 'TIFA', 'FAM43A', 'TNFRSF14', 'NPTX1', 'DHCR7']",0.9999943797214295,0,0,18
7,mmu-miR-5122,0.656202440713948,0.9213980463980463,0.388172041165426,"['CCDC71L', 'ENTPD1', 'DLX2', 'RASL10B', 'ASIP', 'RTL6', 'LRP8', 'PNMA8B', 'ARL4C', 'CLDN5', 'ANGPTL7', 'RTL8A', 'RTL8B', 'ARF5', 'KLRG1']",0.9999943797214295,0,0,15
8,mmu-miR-671-3p,0.7075770758520442,0.9257985656252895,0.3202417915036097,"['CDKN1C', 'GRAMD1C', 'CCDC71L', 'KANK1', 'SHC3', 'SRXN1', 'TCF7', 'PEBP1', 'KCNA5', 'ADRA1D', 'SPINT2', 'HIF3A', 'ADO', 'RND3', 'CDC14A', 'PHF21B', 'TCHP', 'RGS5', 'UPK1B', 'DDT', 'RFK', 'TIMM17A', 'FGFBP3', 'TAF9B', 'HMGN2', 'SERF2', 'ZNF641', 'YWHAG', 'NTNG1', 'SMIM15', 'SCARA5', 'IMP3', 'TPRG1', 'CLEC11A', 'EMP2', 'FOXP2', 'TIRAP', 'RHOB', 'BYSL', 'CHDH', 'GIPC2', 'SDHAF1', 'RIMBP2', 'TMCC3', 'KCTD12', 'DHCR7', 'B4GALT7']",0.9999943797214295,0,0,47
9,mmu-miR-1893,0.7325520398379658,0.8852320872638749,0.2755027237796495,"['CUBN', 'JUN', 'CEBPB', 'ONECUT2', 'ITGB4', 'DCAKD', 'H2AFX', 'ASIP', 'TNFSF13B', 'SNAPC5', 'PAX8', 'PNMA1', 'PRKAR1A', 'FLRT1', 'RTL8A', 'CALM3', 'PHLDA1', 'CCDC184', 'SOX4', 'RTL8B', 'YWHAG', 'KLRG1']",0.9999943797214295,0,0,22
10,hsa-miR-4664-3p,0.7485003265945394,0.9163239829637245,0.2654440656959352,"['RAB3B', 'YWHAB', 'ADRA1D', 'RTL6', 'ETS1', 'GLI2', 'TXNDC17', 'ADGRE2', 'MMP25', 'C20ORF203', 'CCND1', 'C19ORF53', 'HMG20B', 'SLC39A7', 'IER5', 'PHLDA1', 'HRAS', 'SGCG', 'HIST1H2AC', 'SKP1', 'NANOS1', 'ENTPD1', 'TMEM255A', 'COL23A1', 'IL17RE', 'KMO', 'PRLR', 'FOXP2', 'TIRAP', 'CYP39A1', 'CLDN5', 'SLC25A15', 'FAM169B', 'INF2', 'VGF', 'ZNF837', 'PAPPA', 'TMEM106A', 'YAP1', 'RPS19BP1', 'INSIG1', 'TXK', 'NXPH4', 'SCRT2', 'RNF213', 'CAMK2N2', 'RPRM', 'ISOC2', 'CMTM7', 'ST8SIA2', 'SPRY4', 'ISG15', 'TMCO4', 'C6ORF120', 'PINK1', 'RPL27A', 'C18ORF32', 'CDK2AP2', 'LRP10']",0.9999943797214295,0,0,59
