Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-378a-3p,0.004321652317381068,4.27138020489821,23.25389559013332,"['DNAJB1', 'IL17RE', 'STK32B', 'GLI3', 'NFE2L1', 'KIF15', 'HLA-E', 'POLR2L']",0.9999959460630632,0,0,8
2,hsa-miR-517-5p,0.02362527991048012,2.29826707090195,8.608016724081013,"['RPL41', 'ARL6IP1', 'CABP7', 'ADAMTS18', 'DNAJB9', 'CCDC65', 'TMEM97', 'MTRNR2L8', 'ALDOA', 'MARCH4', 'ACTG1']",0.9999959460630632,0,0,11
3,hsa-miR-877-5p,0.02818523115057042,1.4119962228710785,5.039354024271815,"['YAP1', 'BTG2', 'COLEC10', 'ZNF174', 'CDKN1B', 'RNASEK', 'PCNA', 'TMEM167A', 'NDUFB11', 'RPLP1', 'RAB1B', 'MPI', 'HMGB3', 'TXN2', 'ACTG1', 'MC4R', 'UBL5', 'TUBA1B', 'PGRMC1', 'TMEM147', 'DNAJB4', 'UBC', 'LEPR', 'RPL35', 'DNAJB9', 'SERF2', 'HNRNPA0', 'EIF5A', 'HSPA8', 'CMTM8', 'EIF1AX', 'TUBB', 'HMGA1', 'TBCC', 'RPL23A', 'NR2F2', 'EEF1A1', 'TUBB2B', 'CD4', 'RPS27', 'MRPL51', 'VDAC1', 'PHPT1', 'SLC25A5', 'RPS24', 'RTL8C']",0.9999959460630632,0,0,46
4,hsa-miR-5590-5p,0.035288271364311154,1.7767897226922678,5.941948410448791,"['TIMM8B', 'SERPINA3', 'CUBN', 'HSP90AA1', 'NDUFB5', 'EBF1', 'RNF6', 'TMEM81', 'EEF1A1', 'NWD1', 'FRAT2', 'SALL1', 'NR4A3', 'GGCX', 'SNRPE', 'CALM2', 'SOX4']",0.9999959460630632,0,0,17
5,mmu-miR-763,0.038999056476968316,7.197867298578199,23.351449399542187,"['CDKN2AIPNL', 'SLC10A1', 'RAD18']",0.9999959460630632,0,0,3
6,hsa-miR-423-5p,0.04076656290924808,1.3036949456227342,4.171684422040467,"['CCNI', 'ARL6IP1', 'PLXND1', 'CD81', 'MRPL34', 'ACTG1', 'SALL1', 'RPL18A', 'PTTG1', 'PEA15', 'ATP6V1E1', 'RPS10', 'NANOS1', 'RPS9', 'TSPYL1', 'TUBB', 'PGAM1', 'NME2', 'SLC39A11', 'COPZ1', 'HIST2H2BE', 'RUNX1', 'C12ORF10', 'PKM', 'TXNIP', 'RIN3', 'ALDOC', 'MFGE8', 'FKBP4', 'GAPDH', 'C22ORF39', 'CEBPB', 'RPL10', 'EPB41', 'DLX5', 'WBP2', 'NOLC1', 'COPS7A', 'CCDC106', 'RGPD2', 'ZFP36L1', 'RPS15A', 'MCRIP1', 'PCBP1', 'MICALL1', 'MKNK2', 'SLITRK5', 'RPS2', 'RABAC1', 'SNX8', 'HES4', 'PCP4L1', 'SPRY4', 'C20ORF27', 'RPL23A', 'PNMA8B', 'EIF1', 'DRAP1', 'NECAP1', 'CALM3', 'RAD18', 'RTL8C', 'RNF187']",0.9999959460630632,0,0,63
7,hsa-miR-3912-3p,0.05822023216118199,3.0,8.530567059057578,"['RPL13A', 'NEDD9', 'MTRNR2L1', 'ACTB', 'HNRNPA0']",0.9999959460630632,0,0,5
8,hsa-miR-4254,0.05986313654396834,1.634106433677522,4.601144301522271,"['CCDC71L', 'BTG2', 'CDKN1A', 'CEBPB', 'PRKCH', 'AHCY', 'WBP2', 'CYP3A5', 'ZNF69', 'GEM', 'BRIP1', 'EFNA3', 'PKM', 'TSPAN6', 'SUMO2', 'SLIT3', 'ANKMY1']",0.9999959460630632,0,0,17
9,hsa-miR-6859-5p,0.060863820898005,1.3749499799919969,3.848644975920976,"['LGALS3BP', 'YAP1', 'BTG2', 'TMEM167A', 'SATB2', 'HIF3A', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'DUSP7', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999959460630632,0,0,36
10,hsa-miR-3125,0.060863820898005,1.3749499799919969,3.848644975920976,"['LGALS3BP', 'YAP1', 'BTG2', 'TMEM167A', 'SATB2', 'HIF3A', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'DUSP7', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999959460630632,0,0,36
11,hsa-miR-769-3p,0.063337405476885,1.4069036711073604,3.8820400368685877,"['ISCA2', 'RNASEK', 'RPL32', 'LDB1', 'CD81', 'ATXN7L3B', 'MTRNR2L1', 'ACTG1', 'LDHA', 'PEG10', 'UBC', 'TMED2', 'PHLDA3', 'ATP6V1F', 'ISOC2', 'IGFBP5', 'ANXA2', 'HMGCS1', 'SPRY4', 'RPL13A', 'NDUFC2', 'RPSA', 'CACYBP', 'PEX10', 'RPL23A', 'EEF2', 'CD4', 'INAFM1', 'MFGE8', 'ZNF257', 'GAPDH']",0.9999959460630632,0,0,31
12,hsa-miR-1180-3p,0.0642101802974151,1.6762181616832779,4.602213704798781,"['USP5', 'RPLP1', 'TUBB', 'ACTG1', 'COX6B1', 'EIF1', 'STIP1', 'PCBP1', 'RPL27A', 'SUMO2', 'TCEAL1', 'MKNK2', 'RPL35', 'POLR2I', 'RPL19']",0.9999959460630632,0,0,15
13,hsa-miR-3916,0.08142175186006995,1.332200572536707,3.341309334528032,"['LGALS3BP', 'YAP1', 'BTG2', 'TMEM167A', 'SATB2', 'HIF3A', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'DUSP7', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999959460630632,0,0,36
14,hsa-miR-548au-3p,0.0858757909246254,1.4787582199113014,3.6301345231084756,"['ZNF551', 'UBL4A', 'MOAP1', 'CLIC5', 'FICD', 'KCNJ11', 'TMEM167A', 'TUBB', 'SATB2', 'PITPNC1', 'COPZ1', 'LDHA', 'NWD1', 'TUBB2A', 'KBTBD6', 'PEG10', 'TXNIP', 'RTL8A', 'GPC4', 'HSPA1B']",0.9999959460630632,0,0,20
15,hsa-miR-190a-5p,0.09117805813252113,1.6012164484992728,3.834818924788092,"['CDKN1B', 'OMD', 'ATXN7L3B', 'MTRNR2L8', 'ENO4', 'FOXP2', 'CYGB', 'HACD4', 'SPRED1', 'LDHA', 'DUSP10', 'TRIM5', 'GPC5', 'ZNF850']",0.9999959460630632,0,0,14
16,hsa-miR-6721-5p,0.09639484123889587,1.2788922908193574,2.991716051975165,"['IFITM3', 'CDKN1A', 'UPK2', 'SOWAHC', 'HAAO', 'FAM13A', 'THY1', 'CCDC106', 'ADO', 'MRPL34', 'CPLX1', 'UBL5', 'STIP1', 'ZFP36', 'SPRED1', 'PEA15', 'MKNK2', 'HMGN2', 'PGAM1', 'HMGA1', 'C20ORF27', 'CHCHD10', 'RPL13A', 'IMP4', 'SSTR1', 'TMPRSS12', 'WNT16', 'RUNX1', 'ARL4C', 'SLC7A5', 'FKBP8', 'TXNIP', 'RTL8A', 'ID3', 'CALM3', 'CALR', 'MFGE8', 'RPS24', 'TOMM5', 'NFE2L1', 'RBMS2', 'ITM2C']",0.9999959460630632,0,0,42
17,mmu-miR-130b-3p,0.10115653206231724,2.399604743083004,5.497701167100756,"['TGFB1', 'NFIA', 'IRF1', 'TIMP2', 'MEOX2']",0.9999959460630632,0,0,5
18,hsa-miR-4633-5p,0.10209621230185086,1.8004750593824228,4.108395383700578,"['CHCHD4', 'NPFFR1', 'IGFBP5', 'ERAP2', 'CFL2', 'C18ORF32', 'KLRD1', 'BEST3', 'TRIOBP']",0.9999959460630632,0,0,9
19,hsa-miR-3657,0.10209621230185086,1.8004750593824228,4.108395383700578,"['SPI1', 'NDUFA11', 'CBY3', 'C18ORF32', 'POLR2E', 'RABAC1', 'EEF2', 'MARCH4', 'YWHAH']",0.9999959460630632,0,0,9
20,mmu-miR-1938,0.10425188213377405,3.5983412322274884,8.135652928624802,"['MOCS3', 'STK32B', 'PTRHD1']",0.9999959460630632,0,0,3
21,hsa-miR-486-3p,0.11135379848301308,1.2801060992679036,2.8098876416874567,"['IFITM3', 'DAZAP2', 'CDKN1A', 'CEBPB', 'RPL10', 'ARHGAP18', 'ATXN7L3B', 'SLC4A2', 'THY1', 'CCDC106', 'MRPL34', 'NTN1', 'TUBB8', 'UBL5', 'STIP1', 'SPRED1', 'RPL18A', 'UBB', 'PEA15', 'CFL1', 'MKNK2', 'ATP6V1E1', 'IER5', 'ATP6AP1', 'TUBB', 'PGAM1', 'PRKCD', 'HMGA1', 'C20ORF27', 'WNT16', 'COPZ1', 'ARL4C', 'TUBB2A', 'CALM3', 'CALR', 'MFGE8', 'RNF187']",0.9999959460630632,0,0,37
22,hsa-miR-6126,0.11475908631815965,1.5281814575745556,3.308390982529445,"['LGALS3BP', 'CITED2', 'CD81', 'SATB2', 'MRPL49', 'C20ORF27', 'UQCR11', 'HLA-E', 'RPS14', 'ZFP36', 'HAX1', 'TMCC3', 'KCTD12', 'OTUB1']",0.9999959460630632,0,0,14
23,hsa-miR-6865-5p,0.11540600228502534,1.477997984548203,3.1914394420308794,"['CDKN1A', 'SLC13A4', 'PLEKHB2', 'WBP2', 'TSC22D3', 'HMGA1', 'ISLR2', 'HIST2H2BE', 'LDHA', 'C1QTNF1', 'THAP5', 'ARSK', 'BUB3', 'HMGN2', 'HSPA1B', 'HNRNPA0']",0.9999959460630632,0,0,16
24,hsa-miR-6815-5p,0.11540600228502534,1.477997984548203,3.1914394420308794,"['CDKN1A', 'SLC13A4', 'PLEKHB2', 'WBP2', 'TSC22D3', 'HMGA1', 'ISLR2', 'HIST2H2BE', 'LDHA', 'C1QTNF1', 'THAP5', 'ARSK', 'BUB3', 'HMGN2', 'HSPA1B', 'HNRNPA0']",0.9999959460630632,0,0,16
25,hsa-miR-4666a-5p,0.1267546255758469,1.4325975781391524,2.9590333683930807,"['CERS4', 'EIF1AX', 'MOGAT1', 'ALYREF', 'MRPL17', 'ADO', 'BACH1', 'RBM3', 'RPS14', 'TUBB2A', 'CCND1', 'BDH1', 'DNAJB4', 'TSPAN6', 'GSG1', 'TXNIP', 'FKBP5']",0.9999959460630632,0,0,17
26,hsa-miR-4708-3p,0.12739268066150622,1.5226301232084485,3.137350422349218,"['MOGAT1', 'SATB2', 'HDDC3', 'PDZD11', 'FAM186A', 'RPL37A', 'ZNF724', 'TXNIP', 'MATR3', 'ATP6V1E1', 'LDLR', 'NFE2L1', 'SCN2B']",0.9999959460630632,0,0,13
27,mmu-miR-363-3p,0.1380578375113139,2.3990517581983406,4.750320569082347,"['STK10', 'BTG2', 'TAGAP', 'ZPBP']",0.9999959460630632,0,0,4
28,mmu-miR-92b-3p,0.1380578375113139,2.3990517581983406,4.750320569082347,"['STK10', 'BTG2', 'TAGAP', 'ZPBP']",0.9999959460630632,0,0,4
29,hsa-miR-4251,0.13978447875623035,1.3313780600107437,2.619690672948713,"['MRPS17', 'PPP1R15A', 'MOAP1', 'CLIC5', 'FEN1', 'ONECUT2', 'NDUFB11', 'LRRC75A', 'ENTPD5', 'TUBB', 'COX17', 'DCTN3', 'ABRACL', 'PLET1', 'BACH1', 'LSM4', 'MYL12B', 'TSPAN15', 'TUBB2A', 'CHAC1', 'LAMTOR1', 'LDLR', 'OTUD1']",0.9999959460630632,0,0,23
30,hsa-miR-6743-3p,0.13995216892344994,1.919652036378015,3.7749085107142806,"['TIMM8A', 'MOCS3', 'RPL35', 'PDYN', 'FOSL2', 'ZNF442']",0.9999959460630632,0,0,6
31,hsa-miR-4715-5p,0.13995216892344994,1.919652036378015,3.7749085107142806,"['PER2', 'SPRED2', 'CCND1', 'CBX4', 'H3F3B', 'RTL8A']",0.9999959460630632,0,0,6
32,mmu-miR-878-5p,0.14025054926694677,4.7966837741808135,9.422244982897109,"['NPY1R', 'RGS8']",0.9999959460630632,0,0,2
33,mmu-miR-196a-5p,0.14025054926694677,4.7966837741808135,9.422244982897109,"['ECM2', 'PLA2R1']",0.9999959460630632,0,0,2
34,hsa-miR-4641,0.14087667613306787,1.553300083900438,3.044266870231231,"['HSP90AB1', 'UQCRB', 'DNAJB4', 'HMGA1', 'CDCA8', 'ANKRD65', 'SH3BGRL3', 'KLRD1', 'HNRNPAB', 'PHLDA3', 'FSIP2']",0.9999959460630632,0,0,11
35,hsa-miR-502-5p,0.14159286831535947,1.4614973354259007,2.8569342079212565,"['DAZAP2', 'CERS4', 'RAB1B', 'RPLP0', 'TPRG1L', 'TOMM20', 'SRP9', 'FYCO1', 'H1F0', 'IFI27', 'IRF1', 'CALM1', 'TRIM67', 'FSIP2']",0.9999959460630632,0,0,14
36,hsa-miR-502-3p,0.14159286831535947,1.4614973354259007,2.8569342079212565,"['CRYBG1', 'SET', 'PLEKHB2', 'SLC2A12', 'COL23A1', 'EMP2', 'SSTR1', 'KMO', 'MANBAL', 'RBM3', 'AGBL5', 'RPS27', 'PEG10', 'OIP5']",0.9999959460630632,0,0,14
37,hsa-miR-4678,0.14159286831535947,1.4614973354259007,2.8569342079212565,"['DUSP1', 'HSBP1', 'GADD45A', 'C1ORF220', 'VEGFC', 'ANTXR2', 'PITPNC1', 'SYNPO2L', 'PPP1R1A', 'TSPAN6', 'PPIF', 'LRIG3', 'CALM3', 'RPRM']",0.9999959460630632,0,0,14
38,hsa-miR-3200-5p,0.1416794524319878,1.5162400650854246,2.9630183682565145,"['GRAMD1C', 'C6', 'ONECUT2', 'PAX8', 'VEGFC', 'TNFSF9', 'RTL6', 'LAMTOR1', 'PLET1', 'EEF2', 'ZNF442', 'PFN2']",0.9999959460630632,0,0,12
