Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Translation (GO:0002181),4.490838971628217e-36,16.231286959228136,1321.0810633673802,"['EIF4A2', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPLP0', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPL7A', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPL13A', 'RPS3A', 'RPSA', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPS15A', 'RPL14', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'EIF3I', 'RPL27A', 'RPL22L1', 'FAU', 'RPS21', 'RPS24', 'RPS23']",1.778372232764774e-32,0,0,67
2,Macromolecule Biosynthetic Process (GO:0009059),3.166346955847133e-25,5.555067187107073,313.37272114260054,"['MRPS17', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'RPL10A', 'RPL8', 'MRPL34', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'EEF1B2', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'EIF5A', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPL13A', 'RPSA', 'RPS3A', 'MRPS7', 'EEF1A1', 'EEF1G', 'MRPL51', 'EEF1A2', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'EIF5A2', 'RPL11', 'MRPL12', 'RPS15A', 'POLD1', 'RPL14', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'EEF2', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'B4GAT1', 'RPL27A', 'FAU', 'INHA', 'RPS21', 'EIF4G2', 'RPS24', 'RPS23']",6.269366972577323e-22,0,0,82
3,Peptide Biosynthetic Process (GO:0043043),7.513242484244902e-25,6.330726983062217,351.6589704712903,"['MRPS17', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'RPL10A', 'RPL8', 'MRPL34', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPL13A', 'RPSA', 'RPS3A', 'MRPS7', 'EEF1A1', 'MRPL51', 'EEF1A2', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'MRPL12', 'RPS15A', 'RPL14', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'FAU', 'RPS21', 'RPS24', 'RPS23']",9.91748007920327e-22,0,0,73
4,Translation (GO:0006412),1.3104043671872921e-24,4.6158730158730155,253.8347339687548,"['MRPS17', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'RPL8', 'MRPL34', 'RPL10A', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'RPS15', 'EEF1B2', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'MRPL40', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'MRPL9', 'RPL39', 'RPS10', 'CHCHD1', 'RPS13', 'EIF5A', 'RPS9', 'RPL21', 'MRPS24', 'RPS7', 'RPS5', 'MRPL49', 'MRPS2', 'RPL13A', 'MRPL47', 'RPSA', 'RPS3A', 'MRPS7', 'EEF1A1', 'EEF1G', 'MRPL51', 'EEF1A2', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'AURKAIP1', 'RPL29', 'UBA52', 'RPL10', 'RPL12', 'EIF5A2', 'MRPS34', 'RPL11', 'MRPL17', 'MRPL12', 'MRPL57', 'MRPL54', 'RPS15A', 'RPL14', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'GADD45GIP1', 'RPL41', 'NDUFA7', 'RPL35A', 'RPL23A', 'EEF2', 'MRPL21', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPL27A', 'RPL22L1', 'FAU', 'RPS21', 'RPS24', 'RPS23']",1.2973003235154193e-21,0,0,94
5,Cellular Respiration (GO:0045333),9.576276382993914e-14,5.736623616236162,171.9662066626391,"['NDUFB9', 'COX7B', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'MTLN', 'UQCRH', 'CHCHD5', 'BLOC1S1', 'UQCRFS1', 'CYC1', 'COX8A', 'NDUFA7', 'NDUFA6', 'MDH2', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NR4A3', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",7.58441089533118e-11,0,0,41
6,Aerobic Electron Transport Chain (GO:0019646),1.3063913378651885e-12,6.486314176245211,177.48989565103037,"['NDUFB9', 'COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB5', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'UQCRH', 'UQCRFS1', 'CYC1', 'COX8A', 'NDUFA7', 'NDUFA6', 'UQCC3', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",8.622182829910244e-10,0,0,34
7,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),2.3453629136756443e-12,6.276573971078976,168.07774426970505,"['NDUFB9', 'COX7B', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB5', 'COX4I1', 'NDUFB3', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX6A1', 'COX5B', 'COX7C', 'UQCRH', 'UQCRFS1', 'CYC1', 'COX8A', 'NDUFA7', 'NDUFA6', 'UQCC3', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'COX6C', 'COX6B1', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'CYCS']",1.326805305450793e-09,0,0,34
8,Gene Expression (GO:0010467),1.0866590496386799e-11,2.6266759936406996,66.31129733957792,"['MRPS17', 'RPL30', 'RPL3', 'NXT1', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'RPL8', 'MRPL34', 'RPL10A', 'RPL9', 'MRPL35', 'RPL6', 'RPL7', 'RPS15', 'RPS4X', 'RPS14', 'RPL7A', 'CASP7', 'RPS16', 'CASP8', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'RPS9', 'RPL21', 'RPS7', 'RPS5', 'RPL13A', 'RPSA', 'RPS3A', 'MRPS7', 'EEF1A1', 'MRPL51', 'EEF1A2', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'MRPL12', 'DEDD2', 'RBM15B', 'EXOSC4', 'RPS15A', 'RPL14', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL41', 'ANGPT2', 'RBPMS', 'ALYREF', 'RPL35A', 'RPL23A', 'RPS26', 'RPS25', 'TSPAN15', 'RPS28', 'RPS27', 'RPL27A', 'STUB1', 'FAU', 'RPS21', 'RPS24', 'RPS23']",5.378962295711466e-09,0,0,84
9,Proton Motive Force-Driven ATP Synthesis (GO:0015986),4.459374277806823e-09,5.31184613925851,102.13754471381665,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFB2', 'ATP5MC3', 'ATP5MC1', 'ATP5F1B', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'ATP5PO']",1.9621246822350023e-06,0,0,27
10,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),5.3965670859144794e-09,7.475491316270567,142.31468694236418,"['COX8A', 'COX7B', 'UQCRB', 'NDUFA4', 'COX4I1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX6A1', 'COX6C', 'COX7C', 'MTLN', 'UQCRH', 'COX6B1', 'CHCHD5', 'NR4A3', 'UQCRQ', 'LEPR', 'CYCS', 'CYC1']",2.137040566022134e-06,0,0,21
11,Oxidative Phosphorylation (GO:0006119),9.248934661688309e-09,4.841537798896809,89.56243349343895,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFB2', 'UQCRH', 'ATP5F1B', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'CHCHD10', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'ATP5PO']",3.3296164782077913e-06,0,0,28
12,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),1.7901602749492828e-08,5.278710487043821,94.1636202936406,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFB3', 'NDUFB2', 'ATP5F1B', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'ATP5F1D', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'ATP5PO']",5.907528907332633e-06,0,0,25
13,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",5.064366101740131e-08,31.21838034576888,524.4204564744942,"['COX8A', 'COX7B', 'NDUFA4', 'COX4I1', 'CYCS', 'COX7A2', 'COX5B', 'COX6A1', 'COX6C', 'COX7C', 'COX6B1']",1.542683827914686e-05,0,0,11
14,Aerobic Respiration (GO:0009060),1.1130855906737258e-06,4.020137299771167,55.109547999459906,"['NDUFB9', 'NDUFA13', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'MDH2', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'CHCHD10', 'NDUFC1', 'ATP5F1D', 'UQCRH', 'NDUFS6', 'BLOC1S1', 'NDUFS5']",0.00031484420993342524,0,0,24
15,Protein Insertion Into Mitochondrial Membrane (GO:0051204),1.250714693536806e-06,7.1023245214220605,96.53334186759888,"['TIMM8B', 'MOAP1', 'TIMM8A', 'NDUFA13', 'HSP90AA1', 'MTX1', 'TIMM13', 'TIMM10', 'MAIP1', 'TOMM20', 'TOMM22', 'TIMM10B', 'TOMM7', 'ROMO1', 'TOMM5']",0.0003301886790937168,0,0,15
16,Proton Transmembrane Transport (GO:1902600),7.543716313917443e-06,4.83088503649635,56.97930165730612,"['ATP6V0B', 'RNASEK', 'ATP6AP1', 'HVCN1', 'ATP6AP2', 'ATP1A3', 'ATP1B1', 'ATP5F1B', 'UCP3', 'ATP6V1B2', 'ATP5PO', 'ATP6V0A4', 'ATP6V1E1', 'ATP6V0E2', 'ATP6V0C', 'ATP5MF', 'ATP6V1F']",0.0018670697876945672,0,0,17
17,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),1.2006874883523483e-05,2.898833091904072,32.84386927417325,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'COX17', 'NDUFB3', 'NDUFB2', 'CHCHD4', 'UQCRFS1', 'COX14', 'COA3', 'NDUFA6', 'PET100', 'UQCC3', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFAF8', 'SCO2', 'NDUFS5', 'NDUFAF4', 'SDHAF1', 'TMEM126A', 'NDUFAF3']",0.0027968955611031173,0,0,29
18,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",2.785401291122849e-05,15.114341965773134,158.52728221683458,"['UQCC3', 'UQCRB', 'UQCRQ', 'CYCS', 'UQCRFS1', 'UQCR11', 'UQCR10', 'UQCRH']",0.005913278275038646,0,0,8
19,Protein Targeting To Mitochondrion (GO:0006626),3.1327291295184724e-05,3.412157221206581,35.3875539028579,"['BCAP31', 'TIMM8B', 'FIS1', 'TIMM8A', 'NDUFA13', 'HSP90AA1', 'MTX1', 'AIP', 'TIMM13', 'TIMM10', 'TOMM20', 'TOMM22', 'CHCHD4', 'TIMM10B', 'GRPEL2', 'TIMM17A', 'TOMM7', 'TIMM17B', 'ROMO1', 'MGARP', 'TOMM5']",0.005913278275038646,0,0,21
20,NADH Dehydrogenase Complex Assembly (GO:0010257),3.1358293882780694e-05,3.5535632708999545,36.850564009577106,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFAF8', 'NDUFS5', 'NDUFAF4', 'TMEM126A', 'NDUFAF3']",0.005913278275038646,0,0,20
21,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),3.1358293882780694e-05,3.5535632708999545,36.850564009577106,"['NDUFB9', 'NDUFA13', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'NDUFB11', 'NDUFB5', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFAF8', 'NDUFS5', 'NDUFAF4', 'TMEM126A', 'NDUFAF3']",0.005913278275038646,0,0,20
22,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),3.777241005131634e-05,10.205181818181819,103.92887375156079,"['RPL30', 'RPS19', 'ROMO1', 'FAU', 'HMGN2', 'PGLYRP1', 'CXCL14', 'RPL39', 'GAPDH']",0.006732502366918533,0,0,9
23,Establishment Of Protein Localization To Mitochondrion (GO:0072655),3.942200590256053e-05,4.024444951338199,40.81264629590626,"['BCAP31', 'TIMM8B', 'FIS1', 'TIMM13', 'AIP', 'TIMM10', 'TOMM20', 'TOMM22', 'CHCHD4', 'PINK1', 'GRPEL2', 'TIMM17A', 'TOMM7', 'TIMM17B', 'ROMO1', 'MGARP', 'TOMM5']",0.006732502366918533,0,0,17
24,Glycolytic Process (GO:0006096),4.080304464799111e-05,8.101734554667706,81.8822369475417,"['LDHA', 'TPI1', 'PKM', 'PGAM1', 'PGK1', 'ALDOC', 'ENO1', 'ENO2', 'GAPDH', 'ENO4']",0.006732502366918533,0,0,10
25,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",4.6917452805314895e-05,4.483159813846375,44.684195536515766,"['NDUFB9', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'NDUFB10', 'NDUFB5', 'NDUFA4', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5']",0.0071494509687777446,0,0,15
26,Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953),4.6940839693995286e-05,19.830154405086287,197.6396626564702,"['CEACAM1', 'TGFB1', 'HLA-B', 'KLRD1', 'HLA-A', 'LGALS9', 'HLA-E']",0.0071494509687777446,0,0,7
27,Mitochondrial Transport (GO:0006839),5.981255607276121e-05,3.4834732655766683,33.87432148935179,"['BCAP31', 'TIMM8B', 'FIS1', 'HSP90AA1', 'AIP', 'TIMM13', 'TIMM10', 'MAIP1', 'TOMM20', 'TOMM22', 'PINK1', 'TIMM17A', 'PPIF', 'TOMM7', 'TIMM17B', 'MGARP', 'SLC25A5', 'SLC25A4', 'TOMM5']",0.008471619938826402,0,0,19
