Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4783-5p,0.2398417069764647,1.1686280320654348,1.6685392061178999,"['C11ORF96', 'OLFML2B', 'TCF7', 'IER5L', 'CEND1', 'FIGNL2', 'PRELP', 'RND2', 'CPLX1', 'CRHBP', 'SLCO2B1', 'H1FX', 'KLRG1', 'JUN', 'TSPYL1', 'CCDC115', 'PNMA8A', 'G0S2', 'TBCC', 'SSTR1', 'RUNX1', 'C1QL1', 'CLDN5', 'INF2', 'MAFB', 'FAM163A', 'DOK7', 'PECAM1', 'CALM3', 'INSM1', 'NFKBIE', 'TMEM35A']",0.9999951363232457,0,0,32
2,hsa-miR-1181,0.2731963772622372,1.2229575676908098,1.5868662169288357,"['KCNE1', 'ECM2', 'LGI4', 'STMN3', 'PARK7', 'SSTR1', 'PRLR', 'RUNX1', 'MAFB', 'RBP2', 'SYNPO2L', 'C10ORF95', 'ZNF319', 'SDHAF1', 'ID3', 'H1FX']",0.9999951363232457,0,0,16
3,hsa-miR-3939,0.49239116867860555,1.032812377364414,0.7317287929280646,"['UBL4A', 'RPH3AL', 'USP5', 'LGI4', 'DIRAS1', 'HMGB3', 'PDXP', 'SSTR1', 'H1F0', 'RNF213', 'MAFB', 'PEA15', 'TIFA', 'FAM43A', 'TNFRSF14', 'NPTX1', 'DHCR7']",0.9999951363232457,0,0,17
4,mmu-miR-1893,0.5559444453343168,0.9884140767824497,0.5802849643469101,"['CUBN', 'JUN', 'CEBPB', 'ONECUT2', 'ITGB4', 'H2AFX', 'ASIP', 'TNFSF13B', 'SNAPC5', 'PAX8', 'PNMA1', 'PRKAR1A', 'FLRT1', 'RTL8A', 'CALM3', 'PHLDA1', 'CCDC184', 'SDK2', 'RTL8B', 'YWHAG', 'KLRG1']",0.9999951363232457,0,0,21
5,hsa-miR-4664-3p,0.6499297353366045,0.9523002020727226,0.4103376067674655,"['RAB3B', 'YWHAB', 'RTL6', 'ETS1', 'GLI2', 'TXNDC17', 'MMP25', 'C20ORF203', 'CCND1', 'C19ORF53', 'SLC39A7', 'IER5', 'PHLDA1', 'HRAS', 'SGCG', 'HIST1H2AC', 'SKP1', 'NANOS1', 'ENTPD1', 'TMEM255A', 'COL23A1', 'IL17RE', 'KMO', 'PRLR', 'FOXP2', 'CYP39A1', 'CLDN5', 'SLC25A15', 'FAM169B', 'INF2', 'VGF', 'PAPPA', 'TMEM106A', 'YAP1', 'RPS19BP1', 'INSIG1', 'TXK', 'NXPH4', 'SCRT2', 'RNF213', 'CAMK2N2', 'RPRM', 'ISOC2', 'CMTM7', 'ST8SIA2', 'SPRY4', 'ISG15', 'TMCO4', 'C6ORF120', 'PINK1', 'RPL27A', 'C18ORF32', 'CDK2AP2']",0.9999951363232457,0,0,53
6,hsa-miR-4321,0.6758262912417047,0.9205939797421373,0.36070639812125116,"['NANOS1', 'IQCA1', 'RNF32', 'SCOC', 'RPL41', 'ERAP2', 'PCP4L1', 'NXN', 'RTL9', 'MAT2B', 'PCDH18', 'YBX3', 'CYGB', 'EIF1', 'GHR', 'TRIM5', 'PCBP1', 'RFX5', 'PNPO', 'SLC16A6', 'RTL8A', 'MATR3', 'NES']",0.9999951363232457,0,0,23
7,hsa-miR-937,0.6995043685878936,0.8940779166835973,0.3195284623150239,"['NANOS1', 'JUND', 'DIRAS1', 'H2AFX', 'NTN1', 'FRAT1', 'MMP25', 'LBH', 'RASD1', 'INAFM1', 'CAMK2N2', 'CDH23', 'PECAM1', 'SNCB', 'ATP6V0C', 'NFE2L1']",0.9999951363232457,0,0,16
8,mmu-miR-5105,0.730681928463996,0.8631147540983607,0.270825586078898,"['CEBPB', 'PPP1R14B', 'H2AFX', 'PTPRK', 'DEXI', 'TRIOBP', 'MAFB', 'INAFM1', 'CAMK2N2', 'H1FX', 'IER2', 'TRIM67', 'CBLN1']",0.9999951363232457,0,0,13
9,hsa-miR-3124-5p,0.744086831688617,0.8530097005125599,0.2521475705178914,"['CUTA', 'CPLX1', 'NTN1', 'RHOB', 'TYMP', 'FGF17', 'ARL4C', 'FRAT1', 'TUBB2B', 'C1QTNF1', 'TNS3', 'DNAL4', 'IER2']",0.9999951363232457,0,0,13
10,hsa-miR-523,0.7447634546581761,0.8327347242921014,0.24539744801484042,"['RNASEK', 'MAFB', 'ARL6IP1', 'SSTR1', 'NPTX1', 'DHCR7', 'ASCL1', 'IER5', 'CPLX1']",0.9999951363232457,0,0,9
11,mmu-miR-5122,0.7603850766501224,0.8359547531145164,0.2289933314734582,"['ARL4C', 'CLDN5', 'ENTPD1', 'ANGPTL7', 'ASIP', 'RTL8A', 'RTL6', 'LRP8', 'PNMA8B', 'RTL8B', 'ARF5', 'KLRG1']",0.9999951363232457,0,0,12
12,hsa-miR-1471,0.7676421205184846,0.8749960491798098,0.2313766432087273,"['NPB', 'ASIP', 'TPRG1L', 'FIGNL2', 'CPLX1', 'NTN1', 'PRAM1', 'CBARP', 'C1QTNF1', 'CCND1', 'C10ORF95', 'SNCB', 'CDIPT', 'FIS1', 'METAP1D', 'ATP6AP1', 'PMM2', 'EMP2', 'ELP5', 'EEF2', 'RHOB', 'ATAD3C', 'FNDC5', 'VGF', 'FAT2', 'TTPAL', 'PDE9A']",0.9999951363232457,0,0,27
