Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-378a-3p,0.0017572690375340905,5.035690847594528,31.94639432707385,"['DNAJB1', 'IL17RE', 'STK32B', 'GLI3', 'NFE2L1', 'KIF15', 'HLA-E', 'POLR2L']",0.9999951554000726,0,0,8
2,hsa-miR-877-5p,0.006944991110008698,1.5746103679172658,7.825395599925818,"['YAP1', 'SLC25A3', 'ZNF174', 'CDKN1B', 'RNASEK', 'PCNA', 'TMEM167A', 'NDUFB11', 'RPLP1', 'RAB1B', 'MPI', 'HMGB3', 'TXN2', 'ACTG1', 'MC4R', 'UBL5', 'TUBA1B', 'PGRMC1', 'TMEM147', 'DNAJB4', 'UBC', 'LEPR', 'RPL35', 'SAP18', 'DNAJB9', 'SERF2', 'HNRNPA0', 'EIF5A', 'HSPA8', 'EIF1AX', 'TUBB', 'HMGA1', 'TBCC', 'RPL23A', 'EEF1A1', 'TUBB2B', 'CD4', 'RPS27', 'MRPL51', 'VDAC1', 'PHPT1', 'SLC25A5', 'RPS24', 'RTL8C']",0.9999951554000726,0,0,44
3,hsa-miR-769-3p,0.011529202432028903,1.6612609803004315,7.413995313655155,"['ISCA2', 'RNASEK', 'RPL32', 'CD81', 'ZFAND5', 'ATXN7L3B', 'MTRNR2L1', 'ACTG1', 'LDHA', 'PEG10', 'UBC', 'TMED2', 'PHLDA3', 'ATP6V1F', 'ISOC2', 'IGFBP5', 'ANXA2', 'HMGCS1', 'SPRY4', 'RPL13A', 'NDUFC2', 'RPSA', 'CACYBP', 'PEX10', 'RPL23A', 'EEF2', 'CD4', 'INAFM1', 'MFGE8', 'ZNF257', 'GAPDH']",0.9999951554000726,0,0,31
4,hsa-miR-423-5p,0.012926286406967122,1.4173663036012167,6.163406507033139,"['CCNI', 'ARL6IP1', 'PLXND1', 'CD81', 'MRPL34', 'ACTG1', 'RPL18A', 'PTTG1', 'PEA15', 'ATP6V1E1', 'RPS10', 'NANOS1', 'RPS9', 'TSPYL1', 'TUBB', 'PGAM1', 'NME2', 'SLC39A11', 'COPZ1', 'HIST2H2BE', 'RUNX1', 'C12ORF10', 'PKM', 'TXNIP', 'RIN3', 'ALDOC', 'MFGE8', 'FKBP4', 'GAPDH', 'C22ORF39', 'CEBPB', 'RPL10', 'EPB41', 'DLX5', 'WBP2', 'NOLC1', 'COPS7A', 'CCDC106', 'ZFP36L1', 'RPS15A', 'MCRIP1', 'PCBP1', 'MKNK2', 'RPS2', 'RABAC1', 'HES4', 'PCP4L1', 'SPRY4', 'C20ORF27', 'RPL23A', 'PNMA8B', 'EIF1', 'DRAP1', 'NECAP1', 'APEX1', 'CALM3', 'RAD18', 'RTL8C', 'RNF187']",0.9999951554000726,0,0,59
5,hsa-miR-6859-5p,0.01554590465680051,1.5656940651507798,6.519484392590465,"['LGALS3BP', 'YAP1', 'TMEM167A', 'SATB2', 'HIF3A', 'PPP1CC', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999951554000726,0,0,35
6,hsa-miR-3125,0.01554590465680051,1.5656940651507798,6.519484392590465,"['LGALS3BP', 'YAP1', 'TMEM167A', 'SATB2', 'HIF3A', 'PPP1CC', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999951554000726,0,0,35
7,hsa-miR-3916,0.022102074213312912,1.517395029389664,5.784437038653246,"['LGALS3BP', 'YAP1', 'TMEM167A', 'SATB2', 'HIF3A', 'PPP1CC', 'UBL5', 'SPRED1', 'C1QTNF1', 'DNAJB4', 'CFL1', 'GRPEL2', 'ATP6V1E1', 'HMGN2', 'TRIM67', 'HNRNPA0', 'HSP90AA1', 'IGFBP5', 'EIF1AX', 'SMKR1', 'TUBB', 'HMGA1', 'COX6B1', 'FAM160A1', 'BACE2', 'CD4', 'TUBB2A', 'MRPL51', 'TCP1', 'FARSA', 'ISCU', 'RPS24', 'RNF187', 'ITM2C', 'FSIP2']",0.9999951554000726,0,0,35
8,mmu-miR-763,0.026786361365778107,8.483227561196736,30.708116693732055,"['CDKN2AIPNL', 'SLC10A1', 'RAD18']",0.9999951554000726,0,0,3
9,hsa-miR-3912-3p,0.034458365051399244,3.536184210526316,11.909880775882295,"['RPL13A', 'NEDD9', 'MTRNR2L1', 'ACTB', 'HNRNPA0']",0.9999951554000726,0,0,5
10,hsa-miR-5590-5p,0.04392964035705415,1.7704535095715588,5.532961126424665,"['TIMM8B', 'SERPINA3', 'CUBN', 'HSP90AA1', 'NDUFB5', 'EBF1', 'RNF6', 'TMEM81', 'EEF1A1', 'NWD1', 'FRAT2', 'NR4A3', 'GGCX', 'SNRPE', 'CALM2']",0.9999951554000726,0,0,15
