"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ETV4 (mouse)",0.08138353543953,1.38332151964738,3.47017587076471,"['RTL1', 'ECM2', 'PCDH12', 'PDC', 'TCEAL8', 'CLDN20', 'LEPR', 'PDE6C', 'LGALS9', 'PDZD9', 'TRPC7', 'KCNJ13', 'ARHGEF38', 'LSR', 'TYR', 'ETV4', 'CP', 'TMPRSS11F', 'F5', 'PLSCR2', 'ARMC3', 'NFE2L3', 'KCTD14', 'KLRD1', 'EVI2B']",0.999995299367697,0,0,25,"ETV4",0.999995299367697,3.17276001703296e-14,7.56308356789435e-08,0.978632902750825,0.978696219333027,0.083892311766129,0.322845395845012,0.0672888413857711
"FOXA2 (human)",0.122213830928637,2.56609195402299,5.39388180730757,"['GYPB', 'SPDYE1', 'SPDYE5']",0.999995299367697,0,0,3,"FOXA2",0.999995299367697,NA,NA,NA,NA,NA,NA,NA
"NR3C1 (mouse)",0.173842242646268,1.28995291510871,2.25691070474551,"['HAAO', 'IL18', 'HTR2B', 'CP', 'MRPL54', 'TCEAL8', 'INSL6', 'CASP8', 'SALL2', 'PTTG1', 'PLSCR2', 'LIPI', 'PNOC', 'CRH', 'MTCP1', 'KCTD14', 'KLRD1', 'PDZD9', 'HSPA1A']",0.999995299367697,0,0,19,"NR3C1",0.999995299367697,0.0276683297353865,0.22766803807325,NA,NA,NA,0.0764204631431697,0.591372213835435
"SP4 (human)",0.203542086455389,2.4838065468438,3.95392813167493,"['CCND1', 'NEK5']",0.999995299367697,0,0,2,"SP4",0.999995299367697,0.00081987474925887,0.016297988508596,NA,NA,NA,0.208408355223598,0.933289660346601
"POU2F2 (mouse)",0.219151748725394,1.2066340766535,1.83165951488851,"['BSPH1', 'DUSP5', 'ANKRD55', 'ARHGEF38', 'GLYAT', 'KCTD4', 'RND3', 'FMO5', 'AK7', 'MRPL54', 'F5', 'TCEAL7', 'INSL6', 'GABRR2', 'CCND1', 'UBE2S', 'MYOT', 'KCNQ1', 'IQUB', 'FSD2', 'ATP6V0A4', 'GLIPR1L1', 'PVALB', 'CBR3']",0.999995299367697,0,0,24,"POU2F2",0.999995299367697,1.99098587512713e-11,8.69975376416159e-05,0.938701989872739,0.938539922815148,-0.138149996913981,0.738573385026444,0.350827481634178
"FOXA3 (human)",0.23484971860673,1.54320048676605,2.23580347114522,"['PLN', 'C6ORF118', 'CYP2C18', 'PDC', 'ETV5']",0.999995299367697,0,0,5,"FOXA3",0.999995299367697,NA,NA,NA,NA,NA,NA,NA
"MYB (human)",0.306524260972953,1.13275898141961,1.33944034086923,"['RTL1', 'ACSM3', 'C12ORF40', 'GLYAT', 'PDC', 'ACMSD', 'TNFSF13B', 'HSD11B1', 'SPRED2', 'PLN', 'PTTG1', 'NPY', 'LEPR', 'PDE6C', 'BCL2L14', 'TRPC7', 'OMD', 'FMO5', 'CP', 'ZPBP', 'ASPN', 'UBE2S', 'CBLN4', 'EVI2B', 'ZNF695']",0.999995299367697,0,0,25,"MYB",0.999995299367697,0.362463535074951,0.00449173184049051,0.778446025652466,0.782750662538571,0.935503567001246,0.280302097454102,0.121780847208183
"SNAI2 (human)",0.307941603872312,1.13813320825516,1.34054463592249,"['HIPK4', 'KCNE1', 'C9ORF153', 'LSR', 'SPDYE5', 'GPR3', 'FGF1', 'LRP8', 'BEST3', 'CORT', 'CYP26A1', 'ZFP36', 'SALL2', 'STAG3', 'SAP25', 'SPDYE2', 'KCNQ1', 'PNOC', 'PDE6C', 'C6ORF118', 'MASP2', 'ACOT6', 'MUC6']",0.999995299367697,0,0,23,"SNAI2",0.999995299367697,NA,NA,NA,NA,NA,NA,NA
"SNAI1 (human)",0.30991999866733,1.13668272186924,1.3315568394426,"['HIPK4', 'KCNE1', 'C9ORF153', 'LSR', 'SPDYE5', 'GPR3', 'FGF1', 'LRP8', 'BEST3', 'CORT', 'CYP26A1', 'ZFP36', 'SALL2', 'STAG3', 'SAP25', 'SPDYE2', 'KCNQ1', 'PNOC', 'PDE6C', 'C6ORF118', 'MASP2', 'ACOT6', 'MUC6']",0.999995299367697,0,0,23,"SNAI1",0.999995299367697,NA,NA,NA,NA,NA,NA,NA
"TCF3 (human)",0.30991999866733,1.13668272186924,1.3315568394426,"['HIPK4', 'KCNE1', 'C9ORF153', 'LSR', 'SPDYE5', 'GPR3', 'FGF1', 'LRP8', 'BEST3', 'CORT', 'CYP26A1', 'ZFP36', 'SALL2', 'STAG3', 'SAP25', 'SPDYE2', 'KCNQ1', 'PNOC', 'PDE6C', 'C6ORF118', 'MASP2', 'ACOT6', 'MUC6']",0.999995299367697,0,0,23,"TCF3",0.999995299367697,0.0526277556162876,0.266642476755352,NA,NA,NA,0.589173094048564,0.101863051309794
