Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),1.3502790190157527e-50,11.834324386477874,1358.9229651267235,"['MRPS17', 'COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL40', 'MPC2', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS26', 'ENDOG', 'MRPS24', 'PAM16', 'MRPS18B', 'MRPL49', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPS18C', 'COX6B1', 'MRPL52', 'MRPL50', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DMAC1', 'NDUFB10', 'UQCRB', 'MRPS36', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'MRPS34', 'NDUFB3', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL57', 'MTLN', 'MRPL54', 'UQCRH', 'MRPL55', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'GADD45GIP1', 'ATP5PF', 'COA3', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'UQCC3', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'MRPL27', 'NDUFA1', 'COX6C', 'ATP5F1D', 'MRPL21', 'ATP5F1E', 'TIMM10B', 'UQCRQ', 'NDUFAF4', 'ATP5PO', 'NDUFAF3', 'CYCS']",3.618747770962217e-48,0,0,90
2,Organelle Inner Membrane (GO:0019866),1.6851754790826623e-47,10.698736842105264,1152.24999583633,"['MRPS17', 'COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL40', 'MPC2', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS26', 'ENDOG', 'MRPS24', 'MRPL49', 'MRPS18B', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPS18C', 'COX6B1', 'MRPL52', 'MRPL50', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DMAC1', 'UQCRB', 'NDUFB10', 'NDUFB5', 'MRPS36', 'NDUFB11', 'NDUFB4', 'NDUFB3', 'MRPS34', 'NDUFB2', 'NDUFB1', 'ATP5MC3', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'MTLN', 'COX5A', 'MRPL54', 'UQCRH', 'MRPL55', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'GADD45GIP1', 'DNAJC19', 'COA3', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'UQCC3', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'MRPL27', 'NDUFA1', 'COX6C', 'ATP5F1D', 'MRPL21', 'ATP5F1E', 'TIMM10B', 'UQCRQ', 'NDUFAF4', 'ATP5PO', 'NDUFAF3', 'CYCS']",2.2581351419707675e-45,0,0,89
3,Mitochondrial Membrane (GO:0031966),6.645996571500661e-46,8.28809612518629,862.168367493815,"['IFI27L2', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'CISD2', 'COX6A1', 'MPC2', 'CHCHD1', 'TMEM14C', 'ENDOG', 'MRPS18B', 'MRPS18C', 'COX6B1', 'VDAC2', 'UBA52', 'UQCRB', 'NDUFB10', 'NDUFB11', 'ATP5MC3', 'MTLN', 'UQCRH', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'COA3', 'FIS1', 'UQCC3', 'MRPL27', 'MRPL21', 'TIMM10B', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'COX7B', 'COX4I1', 'MRPL34', 'COX7C', 'MRPL40', 'HINT2', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'COX8A', 'MRPS26', 'MRPS24', 'MRPL49', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPL52', 'MRPL50', 'SMDT1', 'MRPL51', 'HAX1', 'NDUFS6', 'NDUFS5', 'SLC25A5', 'NDUFB9', 'NDUFB8', 'NDUFB7', 'DMAC1', 'NDUFB5', 'MRPS36', 'NDUFB4', 'NDUFB3', 'MRPS34', 'NDUFB2', 'NDUFB1', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'COX5A', 'MRPL54', 'MRPL55', 'RPS27A', 'GADD45GIP1', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'ATP5PO', 'TOMM7', 'BAX', 'TOMM5']",5.93709027054059e-44,0,0,101
4,Cytosolic Large Ribosomal Subunit (GO:0022625),1.019026761650575e-31,42.723375451263536,3048.795179642659,"['RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL8', 'RPL9', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL23A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52']",5.461983442447082e-30,0,0,35
5,Large Ribosomal Subunit (GO:0015934),1.019026761650575e-31,42.723375451263536,3048.795179642659,"['RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL8', 'RPL9', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL23A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52']",5.461983442447082e-30,0,0,35
6,Ribosome (GO:0005840),3.8921071632389275e-30,43.79136690647482,2965.4901505886955,"['RPL30', 'RPL32', 'RPL11', 'RPL8', 'RPL9', 'RPS4X', 'RPL7A', 'RPL18A', 'RPS19', 'RPL36AL', 'RPL38', 'RPL15', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL19', 'BTF3', 'RPS9', 'RPL41', 'RPS7', 'RPS5', 'MRPS7', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPL27', 'RPS21', 'RPS23']",1.7384745329133875e-28,0,0,33
7,Cytosolic Small Ribosomal Subunit (GO:0022627),2.968871907582052e-23,37.48525754884547,1944.4081060344047,"['RPS27L', 'RPS15', 'RPS4X', 'RPS14', 'RPS15A', 'RPS16', 'RPS19', 'RPS2', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS3A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",1.1366538160457e-21,0,0,26
8,Small Ribosomal Subunit (GO:0015935),9.363605437637361e-23,34.07330857419667,1728.287712136079,"['RPS27L', 'RPS15', 'RPS4X', 'RPS14', 'RPS15A', 'RPS16', 'RPS19', 'RPS2', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS3A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",3.1368078216085163e-21,0,0,26
9,Mitochondrial Respiratory Chain Complex I (GO:0005747),1.2725042204914786e-20,36.65371024734982,1679.132676537176,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFA4', 'NDUFB4', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFB1', 'NDUFC1', 'NDUFS6', 'NDUFS5']",3.410311310917163e-19,0,0,23
10,Respiratory Chain Complex I (GO:0045271),1.2725042204914786e-20,36.65371024734982,1679.132676537176,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFA7', 'NDUFB7', 'NDUFA6', 'NDUFA11', 'NDUFB10', 'NDUFA5', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFA4', 'NDUFB4', 'NDUFA3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFA1', 'NDUFB1', 'NDUFC1', 'NDUFS6', 'NDUFS5']",3.410311310917163e-19,0,0,23
11,Polysomal Ribosome (GO:0042788),7.411127155991619e-19,85.3660245183888,3563.7015179126206,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL8', 'RPS26', 'RPL7A', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21', 'RPL19', 'RPS23']",1.8056200707325035e-17,0,0,18
12,Mitochondrial Respiratory Chain Complex IV (GO:0005751),8.159519510757388e-15,inf,inf,"['COX8A', 'COX7B', 'NDUFA4', 'COX4I1', 'UQCRFS1', 'COX7A2', 'COX5B', 'COX6A1', 'COX6C', 'COX5A', 'COX7C', 'COX6B1']",1.6821163299099848e-13,0,0,12
13,Respiratory Chain Complex IV (GO:0045277),8.159519510757388e-15,inf,inf,"['COX8A', 'COX7B', 'NDUFA4', 'COX4I1', 'UQCRFS1', 'COX7A2', 'COX5B', 'COX6A1', 'COX6C', 'COX5A', 'COX7C', 'COX6B1']",1.6821163299099848e-13,0,0,12
