Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-92a-3p,3.856898076437919e-05,1.7638429507030189,17.926045639661922,"['RPL3', 'CCNI', 'COX4I1', 'RPLP1', 'GOLIM4', 'PARK7', 'RPL8', 'RPL9', 'DNPH1', 'RPS15', 'RPL7A', 'RPS14', 'CHCHD5', 'CHCHD2', 'RPL18A', 'UQCRFS1', 'ELOB', 'MRPL9', 'RPS10', 'RPL39', 'ZNF17', 'RPS8', 'VBP1', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'MED29', 'RPL24', 'VDAC2', 'CD2BP2', 'ERH', 'RPL27', 'GEMIN6', 'SNRPE', 'PFDN2', 'KPTN', 'FKBP4', 'PFDN6', 'RBMS2', 'NDUFB10', 'KLHL15', 'GSTP1', 'GLO1', 'RPL11', 'KLHL11', 'TMEM160', 'C12ORF57', 'RPS15A', 'RPL15', 'POLR2I', 'CCT7', 'BCL9L', 'POLR2L', 'BTF3', 'NDUFA7', 'NDUFA5', 'ATP2B4', 'PDAP1', 'CHCHD10', 'PA2G4', 'ATOX1', 'MYO1D', 'RPS25', 'LSM7', 'RPS28', 'PSMG3', 'FAU', 'PFKM', 'RPS24', 'RPS23']",0.06629451895634798,0,0,71
2,hsa-miR-100-5p,5.2365338828078975e-05,2.880952380952381,28.398312967825508,"['SET', 'RPL21', 'RPL10', 'RPS8', 'KLHL15', 'RPLP1', 'NDUFA2', 'RPL36A', 'COX5A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'RPS27', 'NUDCD2', 'RPS15A', 'PSMA2', 'UBN2', 'RPL26', 'RPL15', 'ZNF511', 'RPL19']",0.06629451895634798,0,0,22
3,hsa-miR-484,0.00037917744523725946,1.7809597668734725,14.029521728760036,"['NDUFA13', 'CDCA7L', 'RPS15', 'RPS14', 'CHCHD2', 'PRADC1', 'RPLP2', 'ARL6IP4', 'ELOB', 'RPS10', 'SEPHS2', 'AP2M1', 'COX8A', 'RPS9', 'MRPS24', 'RPL21', 'MRPS18B', 'MRPL46', 'C12ORF10', 'MZT2B', 'CD2BP2', 'FKBP4', 'RPL28', 'UBA52', 'RBMS2', 'SRSF9', 'CUTA', 'POM121', 'SET', 'DCTN3', 'RPS27L', 'TIMM10', 'COX5A', 'BLOC1S6', 'NRIP2', 'EMC6', 'SLC19A1', 'ATP6V1F', 'FIS1', 'HOMER1', 'PA2G4', 'PSMC5', 'UQCRQ', 'RPS29', 'UBE2S', 'PIN1', 'FAU', 'RPS24', 'RPS23']",0.320025763780247,0,0,49
4,hsa-miR-324-5p,0.0011991405264289506,2.274336403033586,15.297528267546747,"['RPL41', 'WBP2', 'GMNN', 'CHCHD10', 'PA2G4', 'MEA1', 'COX5A', 'ETS1', 'UBL5', 'LDHA', 'PSMC5', 'RPL36AL', 'UBE2S', 'OSTC', 'CACHD1', 'PIN1', 'RPL27', 'RPL37', 'SEC61B', 'RPS2', 'C8ORF33']",0.6620743697316294,0,0,21
5,hsa-miR-877-5p,0.0013074138422820485,2.5127714390872287,16.684059226504935,"['CMTM8', 'RNASEK', 'DGKD', 'NDUFB11', 'RPLP1', 'RPL23A', 'UBL5', 'RNF126', 'RPS27', 'MRPL51', 'NACA', 'RPL35', 'SRSF3', 'PHPT1', 'SLC25A5', 'SERF2', 'RPS24']",0.6620743697316294,0,0,17
6,hsa-miR-652-3p,0.0017845101799307574,2.8433973524305554,17.99475664458172,"['BTF3', 'POM121', 'RPL32', 'RPL21', 'RPL35A', 'EML4', 'RPS16', 'RPS19', 'RPL18A', 'RPS29', 'RPL27', 'RPL26', 'RPL29']",0.7377448662017642,0,0,13
7,hsa-miR-744-5p,0.0020395790139859198,1.9825452450674474,12.281891302443373,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'KLHL15', 'RPLP1', 'UBL5', 'RPL7A', 'RPS14', 'PRDX5', 'HINT1', 'RPL18A', 'COTL1', 'RPL13', 'RPL37', 'RPL18', 'POLR2L', 'TMEM14C', 'DCXR', 'PA2G4', 'MRPL46', 'UFC1', 'PIN1', 'FKBP4', 'C8ORF33']",0.7377448662017642,0,0,26
8,hsa-miR-4477a,0.0029565972109211387,2.7961871750433276,16.284200725237945,"['RPS14', 'GPATCH11', 'RPS19', 'RPL10', 'MRFAP1', 'GOLIM4', 'RPL15', 'HMGN2', 'DLGAP3', 'CLEC2D', 'RPS24', 'RPL7']",0.9357630172565404,0,0,12
9,hsa-miR-3176,0.003867123055683418,3.034091762408951,16.855121408320393,"['BLOC1S6', 'NPFFR1', 'IGFBP5', 'FICD', 'SDHAF1', 'NME2', 'CYCS', 'TIMM17B', 'RPS10', 'LSM3']",0.9998617869844006,0,0,10
10,hsa-miR-186-5p,0.0040336788657621275,1.6662752215223657,9.186302682193217,"['SETD2', 'RPL32', 'RPLP1', 'PVT1', 'COX17', 'GOLIM4', 'MRFAP1', 'COX6A1', 'RPL9', 'RPS4X', 'SPRED2', 'BLOC1S6', 'LDHA', 'RPL18A', 'SUMO2', 'ARL6IP4', 'FAM192A', 'RPS2', 'CCT4', 'BTF3', 'RANBP1', 'NDUFA7', 'IGFBP5', 'RPS7', 'NDUFA4', 'NDUFA2', 'PDAP1', 'MZT2B', 'RPS26', 'GAREM1', 'PSMA2', 'POLR1B', 'C18ORF32', 'SRSF3', 'RPL27', 'DNAJC8', 'RPL29', 'RPS21']",0.9998617869844006,0,0,38
