"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"YY1 (mouse)",7.08067242186483e-07,2.39284511784512,33.8844259237271,"['NDUFA13', 'RPL3', 'RPL32', 'POP4', 'MRPS12', 'MRPL36', 'RPL10A', 'PCSK6', 'HDDC3', 'RPL7', 'RPS15', 'PSMD8', 'RPL7A', 'PPP1CC', 'HMGN2', 'RPS10', 'TNS3', 'TRIM67', 'SLC13A3', 'ENDOG', 'SSR4', 'RPL13A', 'NDUFC1', 'MRPL47', 'NME1', 'RPL26', 'KPTN', 'CLEC4G', 'CUTA', 'NDUFB7', 'NDUFB11', 'NDUFB2', 'COPS7A', 'HMGCR', 'COX5B', 'UQCRH', 'MRPL54', 'RPL14', 'TMEM208', 'PCBD1', 'RPL15', 'SCAND1', 'CDIPT', 'GADD45GIP1', 'RANBP1', 'FIS1', 'XBP1', 'NDUFA6', 'H3F3B', 'RPL35A', 'KRT10', 'DOHH', 'DRAP1', 'RPS25', 'LSM7', 'RPS28', 'PINK1', 'CXCL12', 'RPL27A', 'PSMG3', 'STUB1', 'FAU']",0.000118263255129762,0,0,62,"YY1",0.000118263255129762,7.13501785664133e-06,0.000308109083641054,NA,NA,NA,0.867145708948978,0.105158212648832
"NR1H3 (human)",1.12818808427717e-06,2.40392156862745,32.9214599068664,"['POP5', 'RPL3', 'TRADD', 'MRPS12', 'COX6A1', 'ALKBH7', 'RPL9', 'RPL6', 'TXN2', 'TOMM22', 'RPS15', 'PSMD8', 'RINL', 'RPL18A', 'RPS19', 'SPDYE2', 'GSG1', 'TIMM17B', 'TMED2', 'MDP1', 'HRAS', 'GABARAPL2', 'ZNF18', 'NDUFC1', 'NME1', 'UFC1', 'TMEM126A', 'UBA52', 'RBMS2', 'SRSF9', 'NECAB2', 'IDI1', 'SET', 'WBP2', 'RPL11', 'TMEM160', 'TIMM10', 'LAGE3', 'EXOSC4', 'CAMK2N2', 'TDG', 'RPL13', 'FADD', 'SERF2', 'SAC3D1', 'SLC25A25', 'RPL19', 'ATP6V1F', 'VEGFB', 'PNMA5', 'DOHH', 'RPS25', 'RPS27', 'BAX', 'RPS21', 'ZNF257', 'RPS24', 'FERMT3', 'SCN2B']",0.000118263255129762,0,0,59,"NR1H3",0.000118263255129762,0.00323908660444749,1.20478930023419e-05,0.780957238367387,0.785225702697993,0.521102933163985,0.723088401046321,0.47921830127058
"TFAP2D (human)",1.48797211749424e-06,2.37467700258398,31.8636448444814,"['COX4I1', 'TRADD', 'TRIAP1', 'ALKBH7', 'SRP14', 'RPL8', 'TMEM141', 'RPL9', 'SNAPC5', 'RPS14', 'HINT2', 'RINL', 'RPL18A', 'C19ORF53', 'SEC61G', 'GSG1', 'RPL38', 'SEPHS2', 'RPS12', 'COX8A', 'RPS7', 'GPX4', 'RPL23', 'DCXR', 'SSR2', 'MRPL47', 'C12ORF10', 'UFC1', 'TMEM126A', 'ERP29', 'SNRPE', 'VPS25', 'PRR13', 'SET', 'WBP2', 'PHB', 'COX7A1', 'LAGE3', 'EXOSC4', 'TDG', 'EIF4H', 'RPL13', 'LDLR', 'SERF2', 'ATP6V1F', 'SDF2L1', 'NDUFA1', 'PNMA5', 'DOHH', 'OCEL1', 'RPS25', 'DBNDD2', 'RPS27', 'PRPH2', 'BAX', 'RNF181', 'NDUFAF3', 'POLR3K', 'ZNF257']",0.000118263255129762,0,0,59,"TFAP2D",0.000118263255129762,NA,NA,NA,NA,NA,NA,NA
"NRF1 (mouse)",1.65403154027638e-06,2.25828571428571,30.0629653799868,"['COX7B', 'NDUFA13', 'RPL30', 'COX4I1', 'GMNN', 'PARK7', 'COX6A1', 'MEA1', 'RPL8', 'COX7C', 'TOMM22', 'RPS15', 'RPS14', 'HINT1', 'RPS16', 'RPS19', 'CFL2', 'RPL35', 'RPL38', 'CHCHD1', 'RPS10', 'COX8A', 'GABARAPL2', 'ATP6V1G1', 'RPS9', 'RPL21', 'SSR4', 'IMP4', 'RPSA', 'COX6B1', 'TCP1', 'ERP29', 'RPL27', 'SNRNP25', 'UBA52', 'SRSF9', 'PRR13', 'COX7A2', 'PHB', 'COX5B', 'MRPL54', 'PSMB6', 'LDHA', 'TDG', 'BAG1', 'EIF4H', 'PCBD1', 'RPS2', 'TIMM8B', 'BTF3', 'NDUFA6', 'RPL23A', 'DOHH', 'COX6C', 'DNAJA1', 'RPS25', 'LSM7', 'RPS28', 'SPCS1', 'UBE2S', 'RPS21', 'POLR3K', 'TOMM5', 'RPS24', 'RPS23']",0.000118263255129762,0,0,65,"NRF1",0.000118263255129762,1.3710271005232e-14,1.31784098118692e-06,NA,0.604927209289281,NA,0.000600887404615366,0.153577959461344
"RARA (human)",5.68813899120385e-06,2.30932299977205,27.8899881450373,"['POP5', 'RPL3', 'TRADD', 'COX6A1', 'MEA1', 'RPL8', 'RPL10A', 'RPL9', 'RPS15', 'RINL', 'RPL18A', 'RPS19', 'KAT5', 'GSG1', 'TIMM17B', 'MDP1', 'RPS10', 'RPS12', 'GABARAPL1', 'GPX4', 'COX6B1', 'C12ORF10', 'GCHFR', 'CORT', 'ERP29', 'SNRPE', 'UBA52', 'RBMS2', 'IDI1', 'SET', 'WBP2', 'TIMM10', 'AXDND1', 'OAZ1', 'TDG', 'RPL13', 'SERF2', 'RPL19', 'ATP6V1F', 'OST4', 'NDUFA6', 'SDF2L1', 'VEGFB', 'PNMA5', 'DOHH', 'RPS26', 'RPS25', 'LSM7', 'RPS27', 'CYCS', 'NDUFAF3', 'RPS21', 'RPS24', 'FERMT3', 'SCN2B']",0.000309536454954049,0,0,55,"RARA",0.000309536454954049,1.72603847534762e-06,0.0295474523392766,0.493496658882574,0.494232714018586,-0.146203306953096,0.441077359779354,0.254027238459436
"HIF1A (human)",6.49377178225278e-06,2.11789652247668,25.2975687602418,"['MRPS17', 'POP5', 'COX7B', 'SLC25A3', 'RPL3', 'RPS15', 'EEF1B2', 'RPS4X', 'CALB2', 'SPRED2', 'KAT5', 'C9ORF16', 'SUMO2', 'GSG1', 'TMED2', 'BANF1', 'RPS10', 'RPL39', 'RPS13', 'GABARAPL2', 'CCDC115', 'MRPL47', 'RPSA', 'COPZ1', 'COX6B1', 'GCHFR', 'CORT', 'NEIL2', 'NDUFS5', 'SNURF', 'RPL24', 'SNRPE', 'RPP25', 'RPL29', 'KPTN', 'DCTPP1', 'SLC25A6', 'BEX4', 'AHCY', 'RPL10', 'RPS19BP1', 'WBP2', 'GMPR2', 'NDUFB3', 'COX7A2', 'COX7A1', 'PSMB10', 'C12ORF57', 'RPS15A', 'DDT', 'BLOC1S1', 'UCP3', 'RPL13', 'RPL17', 'XBP1', 'TAF13', 'TBCC', 'DOHH', 'RPS26', 'FABP6', 'MAFF', 'FAU', 'POLR3K', 'ZNF257', 'BEX5', 'RPS23']",0.000309536454954049,0,0,66,"HIF1A",0.000309536454954049,8.10375244811794e-10,3.17358082367836e-07,0.905286212676009,0.907512433246763,0.21206496719726,0.457269379900062,0.984211068051209
"ESR1 (human)",7.75984084980012e-06,2.17190575487693,25.5558349082987,"['MESP1', 'COX7B', 'COX4I1', 'BRCA1', 'TXN2', 'PSMD8', 'SPRED2', 'RINL', 'CALB1', 'RPS19', 'KAT5', 'C9ORF16', 'TMED2', 'GABARAPL1', 'ENDOG', 'GPX4', 'CCDC115', 'PGAM1', 'CLEC11A', 'BOLA1', 'MRPL47', 'COX6B1', 'NME1', 'MZT2B', 'EEF1G', 'ARL4D', 'SCNN1G', 'NEIL2', 'RPL24', 'UBA52', 'PRR13', 'SLC25A6', 'IDI1', 'SF3B5', 'STOML2', 'FICD', 'GTF3C6', 'NDUFB3', 'TMEM160', 'PHB', 'LAGE3', 'AXDND1', 'IGFBP6', 'POLR2I', 'SAC3D1', 'POLR2L', 'GADD45GIP1', 'OST4', 'PMM1', 'SURF2', 'NDUFA3', 'OCEL1', 'LSM7', 'FABP6', 'BAX', 'CALM3', 'FAU', 'ZNF257', 'RPS24', 'NOP10', 'RPS23']",0.000317044926148976,0,0,61,"ESR1",0.000317044926148976,5.08989621795102e-05,0.383072144242222,0.716056609321262,0.721285304669092,-0.942249653801997,0.87389263524166,0.292555894751709
"CRX (human)",1.85051203359888e-05,2.11574074074074,23.056206628659,"['MRPS17', 'RPL3', 'NDUFA11', 'TRIAP1', 'COX6A1', 'RND2', 'RPL6', 'TXN2', 'SPRED2', 'MAP1LC3B', 'RPL18A', 'KAT5', 'C19ORF53', 'SPDYE2', 'GSG1', 'TMED2', 'RPS10', 'GABARAPL2', 'ATP6V1G1', 'GABARAPL1', 'GPX4', 'CCDC115', 'IMP3', 'NME2', 'RPS3A', 'COX6B1', 'NME1', 'MZT2B', 'DPM3', 'UFC1', 'RPL24', 'RPL29', 'SET', 'AHCY', 'RPL10', 'LAGE3', 'AXDND1', 'BLOC1S1', 'PRDX1', 'RPL13', 'SCAND1', 'SAC3D1', 'SLC25A25', 'GADD45GIP1', 'FIS1', 'ANKRD34A', 'RPL41', 'PMM1', 'TAF13', 'NDUFA3', 'OCEL1', 'RPS27', 'PRPH2', 'PSMG3', 'BAX', 'FAU', 'ZNF257', 'RPS24', 'SCN2B']",0.000574579122502877,0,0,59,"CRX",0.000574579122502877,NA,NA,NA,NA,NA,NA,NA
"PITX1 (human)",2.00901791084922e-05,2.12246040633499,22.955002445515,"['COX7B', 'RPL3', 'GMNN', 'COX6A1', 'ALKBH7', 'RPL6', 'TXN2', 'PSMD8', 'SPRED2', 'KAT5', 'SPDYE2', 'C9ORF16', 'GSG1', 'RPL35', 'TMED2', 'RPS10', 'SEPHS2', 'RPL39', 'CCDC51', 'COX8A', 'GPX4', 'TINF2', 'NME2', 'COPZ1', 'COX6B1', 'GCHFR', 'UFC1', 'RPL24', 'RPL27', 'RPL29', 'UBA52', 'PRR13', 'SET', 'AHCY', 'GTF3C6', 'RPL11', 'COX7A2', 'TMEM160', 'RPS15A', 'BLOC1S1', 'RPL14', 'RPL13', 'RPL17', 'GADD45GIP1', 'PMM1', 'TAF13', 'NDUFA2', 'DOHH', 'OCEL1', 'RPS26', 'SVOPL', 'RPS27', 'PRPH2', 'TSR2', 'NDUFAF3', 'FAU', 'ZNF257', 'RPS24']",0.000574579122502877,0,0,58,"PITX1",0.000574579122502877,NA,NA,NA,NA,NA,NA,NA
"FOXF2 (human)",2.00901791084922e-05,2.12246040633499,22.955002445515,"['MRPS17', 'MRFAP1', 'COX6A1', 'ALKBH7', 'RPL6', 'TXN2', 'RPS15', 'PSMD8', 'SPRED2', 'RPS16', 'C19ORF53', 'SPDYE2', 'C9ORF16', 'SUMO2', 'GSG1', 'RPS10', 'RPS13', 'ATP6V1G1', 'RPS9', 'RPS7', 'NME2', 'COX6B1', 'MZT2B', 'UFC1', 'SNRPE', 'RPL29', 'VPS25', 'PRR13', 'SET', 'AHCY', 'GMPR2', 'RPL11', 'LAGE3', 'RPS15A', 'BLOC1S1', 'PRDX1', 'ZNF428', 'RPL13', 'FADD', 'SCAND1', 'LDLR', 'SERF2', 'ATP6V1F', 'GADD45GIP1', 'ANKRD34A', 'RPL41', 'H3F3B', 'NDUFA3', 'DOHH', 'LSM4', 'OCEL1', 'RPS27', 'BAX', 'NDUFAF3', 'FAU', 'ZNF257', 'RPS24', 'SCN2B']",0.000574579122502877,0,0,58,"FOXF2",0.000574579122502877,NA,NA,NA,NA,NA,NA,NA
