Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),0.003667541622409339,inf,inf,"['NDUFB11', 'COX14']",0.13125837094440673,0,0,2
2,Positive Regulation Of Inflammatory Response (GO:0050729),0.010582083519073249,32.8,149.1938484966497,"['DDT', 'ETS1']",0.13125837094440673,0,0,2
3,Cellular Respiration (GO:0045333),0.010582083519073249,32.8,149.1938484966497,"['NDUFB11', 'CYCS']",0.13125837094440673,0,0,2
4,Positive Regulation Of Response To External Stimulus (GO:0032103),0.010582083519073249,32.8,149.1938484966497,"['DDT', 'ETS1']",0.13125837094440673,0,0,2
5,Positive Regulation Of Defense Response (GO:0031349),0.010582083519073249,32.8,149.1938484966497,"['DDT', 'ETS1']",0.13125837094440673,0,0,2
6,Chemical Synaptic Transmission (GO:0007268),0.018792686109780677,7.214285714285714,28.67164569121419,"['CORT', 'SLC32A1', 'CRH']",0.13125837094440673,0,0,3
7,Regulation Of Inflammatory Response (GO:0050727),0.02035783957177335,16.36,63.71057138293782,"['DDT', 'ETS1']",0.13125837094440673,0,0,2
8,Regulation Of Cell Migration (GO:0030334),0.032641371470804814,10.88,37.233261080551415,"['CORT', 'IGFBP5']",0.13125837094440673,0,0,2
9,ADP Transport (GO:0015866),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
10,Protein K11-linked Ubiquitination (GO:0070979),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
11,Protein K27-linked Ubiquitination (GO:0044314),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
12,Protein K29-linked Ubiquitination (GO:0035519),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
13,Protein K6-linked Ubiquitination (GO:0085020),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
14,ATP Transport (GO:0015867),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
15,Protein K63-linked Ubiquitination (GO:0070534),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
16,B Cell Differentiation (GO:0030183),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
17,Erythrocyte Differentiation (GO:0030218),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
18,Sterol Biosynthetic Process (GO:0016126),0.0616436074070898,inf,inf,['MSMO1'],0.13125837094440673,0,0,1
19,Protein Deneddylation (GO:0000338),0.0616436074070898,inf,inf,['COPS7A'],0.13125837094440673,0,0,1
20,Oxidative Phosphorylation (GO:0006119),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
21,Regulation Of Protein Neddylation (GO:2000434),0.0616436074070898,inf,inf,['COPS7A'],0.13125837094440673,0,0,1
22,Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
23,Protein Insertion Into ER Membrane (GO:0045048),0.0616436074070898,inf,inf,['EMC6'],0.13125837094440673,0,0,1
24,Protein Insertion Into ER Membrane By Stop-Transfer Membrane-Anchor Sequence (GO:0045050),0.0616436074070898,inf,inf,['EMC6'],0.13125837094440673,0,0,1
25,Exit From Mitosis (GO:0010458),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
26,Synapse Assembly (GO:0007416),0.0616436074070898,inf,inf,['CBLN4'],0.13125837094440673,0,0,1
27,Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
28,Synaptic Vesicle Cycle (GO:0099504),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
29,Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
30,tRNA 5'-End Processing (GO:0099116),0.0616436074070898,inf,inf,['RPP25'],0.13125837094440673,0,0,1
31,tRNA 5'-Leader Removal (GO:0001682),0.0616436074070898,inf,inf,['RPP25'],0.13125837094440673,0,0,1
32,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),0.0616436074070898,inf,inf,['DDT'],0.13125837094440673,0,0,1
33,Regulation Of Epidermis Development (GO:0045682),0.0616436074070898,inf,inf,['MAFF'],0.13125837094440673,0,0,1
34,Regulation Of Signal Transduction (GO:0009966),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
35,Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),0.0616436074070898,inf,inf,['EMC6'],0.13125837094440673,0,0,1
36,Cellular Response To Acidic pH (GO:0071468),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
37,Cellular Response To Alcohol (GO:0097306),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
38,Protein Modification By Small Protein Removal (GO:0070646),0.0616436074070898,inf,inf,['COPS7A'],0.13125837094440673,0,0,1
39,Protein Neddylation (GO:0045116),0.0616436074070898,inf,inf,['COPS7A'],0.13125837094440673,0,0,1
40,Free Ubiquitin Chain Polymerization (GO:0010994),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
41,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
42,Protein Polymerization (GO:0051258),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
43,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
44,L-amino Acid Transport (GO:0015807),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
45,Negative Regulation Of Macrophage Migration (GO:1905522),0.0616436074070898,inf,inf,['DDT'],0.13125837094440673,0,0,1
46,Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
47,Positive Regulation Of miRNA Transcription (GO:1902895),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
48,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
49,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),0.0616436074070898,inf,inf,['COX14'],0.13125837094440673,0,0,1
50,Positive Regulation Of Mitophagy (GO:1901526),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
51,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
52,Translation (GO:0006412),0.0616436074070898,inf,inf,['MRPL54'],0.13125837094440673,0,0,1
53,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
54,NADH Dehydrogenase Complex Assembly (GO:0010257),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
55,Mitochondrial Gene Expression (GO:0140053),0.0616436074070898,inf,inf,['MRPL54'],0.13125837094440673,0,0,1
56,Regulation Of Glucagon Secretion (GO:0070092),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
57,Mitochondrial Membrane Organization (GO:0007006),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
58,Proton Motive Force-Driven ATP Synthesis (GO:0015986),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
59,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
60,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
61,Cellular Response To Ketone (GO:1901655),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
62,Mitochondrial Translation (GO:0032543),0.0616436074070898,inf,inf,['MRPL54'],0.13125837094440673,0,0,1
63,Mitochondrial Transport (GO:0006839),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
64,Glycine Transport (GO:0015816),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
65,Regulation Of Translation (GO:0006417),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
66,Mitotic Nuclear Division (GO:0140014),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
67,Cellular Response To pH (GO:0071467),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
68,Negative Regulation Of Peptide Hormone Secretion (GO:0090278),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
69,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
70,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
71,Monoatomic Cation Homeostasis (GO:0055080),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
72,Positive Regulation Of Peptide Hormone Secretion (GO:0090277),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
73,Regulation Of Vasculature Development (GO:1901342),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
74,Negative Regulation Of Protein Metabolic Process (GO:0051248),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
75,Acidic Amino Acid Transport (GO:0015800),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
76,Cholesterol Biosynthetic Process (GO:0006695),0.0616436074070898,inf,inf,['MSMO1'],0.13125837094440673,0,0,1
77,Multicellular Organismal-Level Water Homeostasis (GO:0050891),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
78,Cholesterol Metabolic Process (GO:0008203),0.0616436074070898,inf,inf,['MSMO1'],0.13125837094440673,0,0,1
79,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635),0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
80,Respiratory Chain Complex IV Assembly (GO:0008535),0.0616436074070898,inf,inf,['COX14'],0.13125837094440673,0,0,1
81,Adenine Nucleotide Transport (GO:0051503),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
82,Response To Acidic pH (GO:0010447),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
83,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),0.0616436074070898,inf,inf,['CORT'],0.13125837094440673,0,0,1
84,Regulation Of NMDA Receptor Activity (GO:2000310),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
85,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
86,Aerobic Electron Transport Chain (GO:0019646),0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
87,Aerobic Respiration (GO:0009060),0.0616436074070898,inf,inf,['NDUFB11'],0.13125837094440673,0,0,1
88,Positive Regulation Of Autophagy Of Mitochondrion (GO:1903599),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
89,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
90,Regulation Of miRNA Transcription (GO:1902893),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
91,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),0.0616436074070898,inf,inf,['TCEAL7'],0.13125837094440673,0,0,1
92,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
93,Regulation Of Mitochondrial Membrane Permeability (GO:0046902),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
94,Regulation Of Mitophagy (GO:1901524),0.0616436074070898,inf,inf,['SLC25A5'],0.13125837094440673,0,0,1
95,Negative Regulation Of Amide Metabolic Process (GO:0034249),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
96,Intracellular Sodium Ion Homeostasis (GO:0006883),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
97,Intrinsic Apoptotic Signaling Pathway (GO:0097193),0.0616436074070898,inf,inf,['CYCS'],0.13125837094440673,0,0,1
98,Neurotransmitter Loading Into Synaptic Vesicle (GO:0098700),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
99,Positive Regulation Of Circadian Rhythm (GO:0042753),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
100,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
101,Neurotransmitter Secretion (GO:0007269),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
102,Secondary Alcohol Biosynthetic Process (GO:1902653),0.0616436074070898,inf,inf,['MSMO1'],0.13125837094440673,0,0,1
103,Regulation Of Neurotransmitter Receptor Activity (GO:0099601),0.0616436074070898,inf,inf,['CRH'],0.13125837094440673,0,0,1
104,Autophagosome Assembly (GO:0000045),0.0616436074070898,inf,inf,['EMC6'],0.13125837094440673,0,0,1
105,Neutral Amino Acid Transport (GO:0015804),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
106,Autophagosome Organization (GO:1905037),0.0616436074070898,inf,inf,['EMC6'],0.13125837094440673,0,0,1
107,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
108,Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),0.0616436074070898,inf,inf,['UBE2S'],0.13125837094440673,0,0,1
109,Sensory Perception Of Sour Taste (GO:0050915),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
110,Sensory Perception Of Taste (GO:0050909),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
111,Negative Regulation Of Cell Migration (GO:0030336),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
112,Negative Regulation Of Cell Motility (GO:2000146),0.0616436074070898,inf,inf,['IGFBP5'],0.13125837094440673,0,0,1
113,Nuclear Body Organization (GO:0030575),0.0616436074070898,inf,inf,['ETS1'],0.13125837094440673,0,0,1
114,Signal Release From Synapse (GO:0099643),0.0616436074070898,inf,inf,['SLC32A1'],0.13125837094440673,0,0,1
115,Sodium Ion Homeostasis (GO:0055078),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
116,Sodium Ion Import Across Plasma Membrane (GO:0098719),0.0616436074070898,inf,inf,['SCNN1G'],0.13125837094440673,0,0,1
117,Anterograde Trans-Synaptic Signaling (GO:0098916),0.1007917250081031,4.617142857142857,10.59495318896988,"['CORT', 'CRH']",0.17278410201646321,0,0,2
118,Negative Regulation Of Cell Population Proliferation (GO:0008285),0.1007917250081031,4.617142857142857,10.59495318896988,"['IGFBP5', 'ETS1']",0.17278410201646321,0,0,2
119,Regulation Of DNA-templated Transcription (GO:0006355),0.10432934788396317,3.0859375,6.974843890068768,"['TCEAL7', 'MAFF', 'ETS1']",0.17278410201646321,0,0,3
120,Lymphocyte Differentiation (GO:0030098),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
121,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
122,B Cell Activation (GO:0042113),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
123,Regulation Of Protein Deacetylation (GO:0090311),0.11961976293447454,15.76923076923077,33.48497137568065,['SPRED2'],0.17278410201646321,0,0,1
124,Steroid Biosynthetic Process (GO:0006694),0.11961976293447454,15.76923076923077,33.48497137568065,['MSMO1'],0.17278410201646321,0,0,1
125,Macromolecule Modification (GO:0043412),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
126,Regulation Of Protein Modification Process (GO:0031399),0.11961976293447454,15.76923076923077,33.48497137568065,['SPRED2'],0.17278410201646321,0,0,1
127,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
128,Regulation Of Epinephrine Secretion (GO:0014060),0.11961976293447454,15.76923076923077,33.48497137568065,['CRH'],0.17278410201646321,0,0,1
129,Protein Modification By Small Protein Conjugation (GO:0032446),0.11961976293447454,15.76923076923077,33.48497137568065,['COPS7A'],0.17278410201646321,0,0,1
130,Positive Regulation Of Macroautophagy (GO:0016239),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
131,Protein Polyubiquitination (GO:0000209),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
132,Negative Regulation Of Mitochondrial Membrane Permeability (GO:0035795),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
133,Protein Ubiquitination (GO:0016567),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
134,Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901029),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
135,Negative Regulation Of Mitochondrion Organization (GO:0010823),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
136,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
137,Mitotic Cell Cycle Phase Transition (GO:0044772),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
138,"Positive Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043517)",0.11961976293447454,15.76923076923077,33.48497137568065,['SPRED2'],0.17278410201646321,0,0,1
139,Modification-Dependent Protein Catabolic Process (GO:0019941),0.11961976293447454,15.76923076923077,33.48497137568065,['UBE2S'],0.17278410201646321,0,0,1
140,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
141,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
142,Monoatomic Ion Transport (GO:0006811),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC32A1'],0.17278410201646321,0,0,1
143,"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043516)",0.11961976293447454,15.76923076923077,33.48497137568065,['SPRED2'],0.17278410201646321,0,0,1
144,Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17278410201646321,0,0,1
145,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17278410201646321,0,0,1
146,Zymogen Activation (GO:0031638),0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17278410201646321,0,0,1
147,Myeloid Cell Differentiation (GO:0030099),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
148,Positive Regulation Of Angiogenesis (GO:0045766),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
149,Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
150,Positive Regulation Of Behavior (GO:0048520),0.11961976293447454,15.76923076923077,33.48497137568065,['CRH'],0.17278410201646321,0,0,1
151,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),0.11961976293447454,15.76923076923077,33.48497137568065,['TCEAL7'],0.17278410201646321,0,0,1
152,Amino Acid Transport (GO:0006865),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC32A1'],0.17278410201646321,0,0,1
153,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),0.11961976293447454,15.76923076923077,33.48497137568065,['SPRED2'],0.17278410201646321,0,0,1
154,Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
155,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
156,Response To Peptide Hormone (GO:0043434),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
157,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),0.11961976293447454,15.76923076923077,33.48497137568065,['CRH'],0.17278410201646321,0,0,1
158,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
159,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC25A5'],0.17278410201646321,0,0,1
160,Neurotransmitter Transport (GO:0006836),0.11961976293447454,15.76923076923077,33.48497137568065,['SLC32A1'],0.17278410201646321,0,0,1
161,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17278410201646321,0,0,1
162,Negative Regulation Of Catecholamine Secretion (GO:0033604),0.11961976293447454,15.76923076923077,33.48497137568065,['CRH'],0.17278410201646321,0,0,1
163,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),0.11961976293447454,15.76923076923077,33.48497137568065,['DDT'],0.17278410201646321,0,0,1
164,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.11961976293447454,15.76923076923077,33.48497137568065,['DDT'],0.17278410201646321,0,0,1
165,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
166,Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),0.11961976293447454,15.76923076923077,33.48497137568065,['IGFBP5'],0.17278410201646321,0,0,1
167,Positive Regulation Of Vasculature Development (GO:1904018),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
168,Positive Regulation Of Endothelial Cell Migration (GO:0010595),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
169,Positive Regulation Of Epithelial Cell Migration (GO:0010634),0.11961976293447454,15.76923076923077,33.48497137568065,['ETS1'],0.17278410201646321,0,0,1
170,Sodium Ion Transmembrane Transport (GO:0035725),0.11961976293447454,15.76923076923077,33.48497137568065,['SCNN1G'],0.17278410201646321,0,0,1
171,Sodium Ion Transport (GO:0006814),0.11961976293447454,15.76923076923077,33.48497137568065,['SCNN1G'],0.17278410201646321,0,0,1
172,Regulation Of Cell Population Proliferation (GO:0042127),0.14273857235533638,3.5733333333333333,6.956352674273068,"['SLC25A5', 'ETS1']",0.20497922890562842,0,0,2
173,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.16494910123239415,3.208,5.7811956028001426,"['SPRED2', 'DDT']",0.2118829865287493,0,0,2
174,Negative Regulation Of Epithelial Cell Differentiation (GO:0030857),0.1741386488475146,7.865384615384615,13.747933019745053,['SPRED2'],0.2118829865287493,0,0,1
175,Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719),0.1741386488475146,7.865384615384615,13.747933019745053,['SPRED2'],0.2118829865287493,0,0,1
176,Organic Hydroxy Compound Biosynthetic Process (GO:1901617),0.1741386488475146,7.865384615384615,13.747933019745053,['MSMO1'],0.2118829865287493,0,0,1
