Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Parkinson disease,0.00021029078290625848,inf,inf,"['NDUFB11', 'CYCS', 'SLC25A5']",0.011289094963225174,0,0,3
2,Huntington disease,0.0008063639259446553,51.25,365.0524890623965,"['NDUFB11', 'CYCS', 'SLC25A5']",0.011289094963225174,0,0,3
3,Alzheimer disease,0.0008063639259446553,51.25,365.0524890623965,"['NDUFB11', 'CYCS', 'SLC25A5']",0.011289094963225174,0,0,3
4,Pathways of neurodegeneration,0.0008063639259446553,51.25,365.0524890623965,"['NDUFB11', 'CYCS', 'SLC25A5']",0.011289094963225174,0,0,3
5,Prion disease,0.0019325914793101285,25.5625,159.73733859411362,"['NDUFB11', 'CYCS', 'SLC25A5']",0.021645024568273438,0,0,3
6,Spinocerebellar ataxia,0.003667541622409339,inf,inf,"['CYCS', 'SLC25A5']",0.029340332979274714,0,0,2
7,Amyotrophic lateral sclerosis,0.003667541622409339,inf,inf,"['NDUFB11', 'CYCS']",0.029340332979274714,0,0,2
8,Thermogenesis,0.010582083519073249,32.8,149.1938484966497,"['NDUFB11', 'COX14']",0.05925966770681019,0,0,2
9,Diabetic cardiomyopathy,0.010582083519073249,32.8,149.1938484966497,"['NDUFB11', 'SLC25A5']",0.05925966770681019,0,0,2
10,Retrograde endocannabinoid signaling,0.010582083519073249,32.8,149.1938484966497,"['SLC32A1', 'NDUFB11']",0.05925966770681019,0,0,2
11,Influenza A,0.02035783957177335,16.36,63.71057138293782,"['CYCS', 'SLC25A5']",0.08769530892456212,0,0,2
12,Cellular senescence,0.02035783957177335,16.36,63.71057138293782,"['SLC25A5', 'ETS1']",0.08769530892456212,0,0,2
13,Non-alcoholic fatty liver disease,0.02035783957177335,16.36,63.71057138293782,"['NDUFB11', 'CYCS']",0.08769530892456212,0,0,2
14,Human T-cell leukemia virus 1 infection,0.032641371470804814,10.88,37.233261080551415,"['SLC25A5', 'ETS1']",0.13056548588321926,0,0,2
15,Aldosterone-regulated sodium reabsorption,0.0616436074070898,inf,inf,['SCNN1G'],0.15008878325204475,0,0,1
16,Steroid biosynthesis,0.0616436074070898,inf,inf,['MSMO1'],0.15008878325204475,0,0,1
17,Taste transduction,0.0616436074070898,inf,inf,['SCNN1G'],0.15008878325204475,0,0,1
18,Long-term depression,0.0616436074070898,inf,inf,['CRH'],0.15008878325204475,0,0,1
19,Ubiquitin mediated proteolysis,0.0616436074070898,inf,inf,['UBE2S'],0.15008878325204475,0,0,1
20,Neutrophil extracellular trap formation,0.0616436074070898,inf,inf,['SLC25A5'],0.15008878325204475,0,0,1
21,RNA transport,0.0616436074070898,inf,inf,['RPP25'],0.15008878325204475,0,0,1
22,Renal cell carcinoma,0.0616436074070898,inf,inf,['ETS1'],0.15008878325204475,0,0,1
23,Ribosome biogenesis in eukaryotes,0.0616436074070898,inf,inf,['RPP25'],0.15008878325204475,0,0,1
24,Human immunodeficiency virus 1 infection,0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17874537124102033,0,0,1
25,Shigellosis,0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17874537124102033,0,0,1
26,Small cell lung cancer,0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17874537124102033,0,0,1
27,Synaptic vesicle cycle,0.11961976293447454,15.76923076923077,33.48497137568065,['SLC32A1'],0.17874537124102033,0,0,1
28,Apoptosis,0.11961976293447454,15.76923076923077,33.48497137568065,['CYCS'],0.17874537124102033,0,0,1
