Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-1908,0.00013823764612284063,9.24,82.1115952320175,"['SPRED2', 'IGFBP5', 'SLC32A1', 'MAFF', 'CYCS', 'MSMO1', 'RPP25']",0.03635650093030708,0,0,7
2,hsa-miR-663,0.00013823764612284063,9.24,82.1115952320175,"['SPRED2', 'IGFBP5', 'SLC32A1', 'MAFF', 'CYCS', 'MSMO1', 'RPP25']",0.03635650093030708,0,0,7
3,hsa-miR-4670-5p,0.0008063639259446553,51.25,365.0524890623965,"['SPRED2', 'CYCS', 'COPS7A']",0.14138247501562956,0,0,3
4,mmu-miR-1948,0.0016661120298021978,8.264462809917354,52.86993795635607,"['SPRED2', 'IGFBP5', 'DDT', 'COPS7A', 'MSMO1']",0.178010649763126,0,0,5
5,mmu-miR-5115,0.0019325914793101285,25.5625,159.73733859411362,"['IGFBP5', 'SLC32A1', 'MSMO1']",0.178010649763126,0,0,3
6,mmu-miR-192,0.0029954074136245945,6.958041958041958,40.43092063132035,"['CORT', 'SPRED2', 'CBLN4', 'ETS1', 'CCDC184']",0.178010649763126,0,0,5
7,mmu-miR-215,0.0029954074136245945,6.958041958041958,40.43092063132035,"['CORT', 'SPRED2', 'CBLN4', 'ETS1', 'CCDC184']",0.178010649763126,0,0,5
8,hsa-miR-4715-5p,0.003044063980503608,5.585714285714285,32.366766741010665,"['SPRED2', 'SCNN1G', 'IGFBP5', 'CYCS', 'ETS1', 'CCDC184']",0.178010649763126,0,0,6
9,hsa-miR-4730,0.003705604035433413,17.0,95.16445301728555,"['IGFBP5', 'RPP25', 'ETS1']",0.178010649763126,0,0,3
10,mmu-miR-3098-5p,0.003891749128855081,6.444805194805195,35.761557471302964,"['TCEAL8', 'TCEAL7', 'IGFBP5', 'MSMO1', 'ETS1']",0.178010649763126,0,0,5
11,mmu-miR-542-5p,0.004061079462276638,8.76086956521739,48.2400327110812,"['CCDC178', 'RPP25', 'SLC25A5', 'CBLN4']",0.178010649763126,0,0,4
12,mmu-miR-1839-3p,0.004061079462276638,8.76086956521739,48.2400327110812,"['SPRED2', 'CYCS', 'CBLN4', 'CCDC184']",0.178010649763126,0,0,4
13,hsa-miR-3618,0.004566567918134624,5.0519480519480515,27.224914501032007,"['TCEAL7', 'MAFF', 'CRH', 'CYCS', 'EMC6', 'CBLN4']",0.18238825514547433,0,0,6
14,hsa-miR-3677-3p,0.006217377720606143,12.71875,64.61642716020972,"['SPRED2', 'IGFBP5', 'NAP1L5']",0.18238825514547433,0,0,3
15,mmu-miR-361,0.006241423179883152,5.610795454545454,28.483467106790336,"['TCEAL8', 'CCDC178', 'CYCS', 'COPS7A', 'SLC25A5']",0.18238825514547433,0,0,5
16,hsa-miR-4506,0.006241423179883152,5.610795454545454,28.483467106790336,"['TCEAL8', 'SPRED2', 'IGFBP5', 'ETS1', 'NAP1L5']",0.18238825514547433,0,0,5
17,hsa-miR-192,0.006241423179883152,5.610795454545454,28.483467106790336,"['SPRED2', 'CYCS', 'COX14', 'COPS7A', 'CBLN4']",0.18238825514547433,0,0,5
