"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ILF3",4.12370778624624e-22,7.03602350030921,346.454636827938,"['RPL3', 'RPL32', 'RPL8', 'RPL9', 'RPL7', 'RPS4X', 'RPS14', 'RPL7A', 'RPS16', 'MRPL40', 'RPL18A', 'SUMO1', 'SUMO2', 'MRPL9', 'RPS13', 'RPL21', 'RPS8', 'RPL23', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'SRSF3', 'RPL27', 'RPL29', 'SF3B5', 'NDUFB9', 'RPL10', 'RPL12', 'RPL11', 'RPS27L', 'NEDD8', 'UQCRH', 'MRPL55', 'MRPL20', 'RPS15A', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPL17', 'RPL19', 'NDUFA2', 'RPL23A', 'RPS26', 'RPS25', 'RPS28', 'LAMTOR2', 'SLIRP', 'RPS24', 'RPS23']",8.24741557249249e-20,0,0,51,"ILF3",8.24741557249249e-20,8.5750626488528e-23,3.31900554752378e-17,0.945288807368685,0.94502017113112,0.104620174321775,0.199182377409597,0.0639620268796803
"ILF2",2.4392208848312e-13,6.16602150537634,179.073149708197,"['RPL10', 'RPL11', 'MRPS34', 'NEDD8', 'RPL8', 'RPL9', 'RPL7', 'MRPL55', 'RPS4X', 'RPL7A', 'RPS16', 'RPS15A', 'SUMO1', 'SUMO2', 'RPS2', 'RPL18', 'RPL17', 'RPS13', 'RPL19', 'MRPS26', 'RPL21', 'RPS8', 'RPL23', 'RPL23A', 'MRPL21', 'RPS26', 'MRPL50', 'SRSF3', 'FKBP3', 'MAP3K14', 'RPS24', 'RPS23']",2.4392208848312e-11,0,0,32,"ILF2",2.4392208848312e-11,2.00365037059175e-22,8.25484200738865e-11,0.840808307661391,0.844642756568516,-0.196571413653655,0.00895281923153597,0.0205836454600457
"ESR1",4.97663036511479e-13,2.99080448572233,84.72606116736,"['MRPS17', 'RPL3', 'MYL6B', 'ALKBH7', 'RPL8', 'RPL9', 'RPL7', 'RPS4X', 'RPL7A', 'RPS14', 'NSDHL', 'RPS16', 'RPL18A', 'SUMO1', 'RPS19', 'RPL36AL', 'MED10', 'SEC61B', 'RPS10', 'RPS13', 'AP2M1', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL22', 'NME2', 'RPS3A', 'EDF1', 'NME1', 'HAX1', 'POLR1B', 'RPL37A', 'SRSF3', 'RPL24', 'SLC25A5', 'RPL29', 'FKBP4', 'RPL28', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'NEDD8', 'LDHA', 'RPS15A', 'EXOSC4', 'BLOC1S1', 'BAG1', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'CCT7', 'RPL17', 'RPL19', 'CCT4', 'BTF3', 'FIS1', 'XBP1', 'GADD45A', 'IDH1', 'RPL23A', 'RPS26', 'MYO1D', 'RPS25', 'PSMC5', 'NACA', 'RPS24', 'RPS23']",3.3177535767432e-11,0,0,71,"ESR1",3.3177535767432e-11,5.08989621795102e-05,0.383072144242222,0.716056609321262,0.721285304669092,-0.942249653801997,0.87389263524166,0.292555894751709
"RAD21",1.02310642860389e-10,4.95812807881773,114.051856949671,"['RPL30', 'RPL10', 'RPL11', 'MEA1', 'RPS4X', 'RPS14', 'RPS16', 'RPS15A', 'RPS19', 'SUMO1', 'TMSB4X', 'SUMO2', 'RPL13', 'RPS2', 'RPS27A', 'CCT7', 'RPS10', 'RPL17', 'RPS13', 'RFC3', 'RPS7', 'RPL23', 'RPS5', 'RPL22', 'RPL35A', 'RPS3A', 'RPL23A', 'RPS25', 'NACA', 'UBA52']",5.11553214301943e-09,0,0,30,"RAD21",5.11553214301943e-09,3.0438797952686e-15,1.96172328491202e-05,0.808904599648062,0.813709450205714,-0.129177200796129,0.911545229832325,0.438313101758087
"ESR2",0.000370700439913052,2.35424028268551,18.5987719397786,"['POM121', 'RPS9', 'RPL32', 'RPS7', 'RPL23', 'RPS27L', 'RPL23A', 'CWC15', 'RPL7', 'RPS26', 'RPS4X', 'MYO1D', 'RPS25', 'RPL7A', 'RPS16', 'EXOSC4', 'RPL18A', 'RPL36AL', 'MED10', 'RPL29', 'RPS27A', 'RPL17', 'RPS13', 'RPS24']",0.0148280175965221,0,0,24,"ESR2",0.0148280175965221,1.41119989828e-06,0.00490702245575403,NA,NA,NA,0.827143477991978,0.333010343005961
"RFX5",0.00113114090552546,8.68696581196581,58.9369671706804,"['NDUFA7', 'LSM7', 'RPS19', 'NDUFA2', 'SLIRP']",0.0333502609631039,0,0,5,"RFX5",0.0333502609631039,3.59127896979293e-18,2.96812907232752e-08,0.657789597570613,0.661762087899229,-0.250233064988135,0.013595307317195,0.0164116483847105
"CHD2",0.00116725913370864,41.5911413969336,280.869008000291,"['SUMO1', 'SUMO2', 'PARK7']",0.0333502609631039,0,0,3,"CHD2",0.0333502609631039,2.50646268569467e-14,1.49376215600864e-06,NA,NA,NA,0.00184910510901832,0.373716554695665
"EED",0.00393872338645127,3.59516683294535,19.9060742823579,"['RPS15', 'RPL7A', 'RPL3', 'RPS3A', 'RPL15', 'RPS10', 'E2F6', 'RPL19']",0.0984680846612817,0,0,8,"EED",0.0984680846612817,0.00111654269961874,0.0489033996188982,NA,NA,NA,0.0171970946142118,0.235681369674628
"HTT",0.0046525434456482,2.08254433012259,11.1839736821961,"['NDUFB9', 'SETD2', 'NDUFA13', 'FICD', 'NDUFB10', 'MRFAP1', 'COX5B', 'COX6C', 'COX6A1', 'COX5A', 'UQCRH', 'COX6B1', 'LDHA', 'PSMC5', 'CHCHD2', 'SUMO1', 'NDUFS5', 'VDAC2', 'CYC1']",0.103389854347738,0,0,19,"HTT",0.103389854347738,2.50765776870846e-06,0.000170105869243246,NA,NA,NA,0.15438431957601,0.538064135426496
"CTCF",0.00566796148046887,3.74660245414962,19.3808963218558,"['SUMO1', 'H2AFZ', 'POLR1B', 'SUMO2', 'RPL36A', 'FAU', 'RPL17']",0.113359229609377,0,0,7,"CTCF",0.113359229609377,2.24430742205134e-07,2.24306111123845e-06,NA,NA,NA,0.967709309664541,0.0831759906944703
