Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-92a-3p,4.086474970250542e-05,1.760008928190433,17.785317429850625,"['RPL3', 'CCNI', 'COX4I1', 'RPLP1', 'GOLIM4', 'PARK7', 'RPL8', 'RPL9', 'DNPH1', 'RPS15', 'RPL7A', 'RPS14', 'CHCHD5', 'CHCHD2', 'RPL18A', 'UQCRFS1', 'ELOB', 'MRPL9', 'RPS10', 'RPL39', 'ZNF17', 'RPS8', 'VBP1', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'MED29', 'RPL24', 'VDAC2', 'CD2BP2', 'ERH', 'RPL27', 'GEMIN6', 'SNRPE', 'PFDN2', 'KPTN', 'FKBP4', 'PFDN6', 'RBMS2', 'NDUFB10', 'KLHL15', 'GSTP1', 'GLO1', 'RPL11', 'KLHL11', 'TMEM160', 'C12ORF57', 'RPS15A', 'RPL15', 'POLR2I', 'CCT7', 'BCL9L', 'POLR2L', 'BTF3', 'NDUFA7', 'NDUFA5', 'ATP2B4', 'PDAP1', 'CHCHD10', 'PA2G4', 'ATOX1', 'MYO1D', 'RPS25', 'LSM7', 'RPS28', 'PSMG3', 'FAU', 'PFKM', 'RPS24', 'RPS23']",0.05217297463941844,0,0,71
2,hsa-miR-100-5p,4.1145879053169116e-05,2.9352577730534146,29.641368292386552,"['SET', 'RPL21', 'RPL10', 'RPS8', 'KLHL15', 'RPLP1', 'NDUFA2', 'RPL36A', 'COX5A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'RPS27', 'NUDCD2', 'RPS15A', 'PSMA2', 'UBN2', 'RPL26', 'RPL15', 'ZNF511', 'RPL19']",0.05217297463941844,0,0,22
3,hsa-miR-484,0.0004456763569259934,1.766287824115245,13.628531178894422,"['NDUFA13', 'CDCA7L', 'RPS15', 'RPS14', 'CHCHD2', 'PRADC1', 'RPLP2', 'ARL6IP4', 'ELOB', 'RPS10', 'SEPHS2', 'AP2M1', 'COX8A', 'RPS9', 'MRPS24', 'RPL21', 'MRPS18B', 'MRPL46', 'C12ORF10', 'MZT2B', 'CD2BP2', 'FKBP4', 'RPL28', 'UBA52', 'RBMS2', 'SRSF9', 'CUTA', 'POM121', 'SET', 'DCTN3', 'RPS27L', 'TIMM10', 'COX5A', 'BLOC1S6', 'NRIP2', 'EMC6', 'SLC19A1', 'ATP6V1F', 'FIS1', 'HOMER1', 'PA2G4', 'PSMC5', 'UQCRQ', 'RPS29', 'UBE2S', 'PIN1', 'FAU', 'RPS24', 'RPS23']",0.37674508038810645,0,0,49
4,hsa-miR-324-5p,0.001103120900346098,2.291658151796297,15.605302699692572,"['RPL41', 'WBP2', 'GMNN', 'CHCHD10', 'PA2G4', 'MEA1', 'COX5A', 'ETS1', 'UBL5', 'LDHA', 'PSMC5', 'RPL36AL', 'UBE2S', 'OSTC', 'CACHD1', 'PIN1', 'RPL27', 'RPL37', 'SEC61B', 'RPS2', 'C8ORF33']",0.6004580196446554,0,0,21
5,hsa-miR-877-5p,0.0011838683352615445,2.53917418588244,17.111413463284315,"['CMTM8', 'RNASEK', 'DGKD', 'NDUFB11', 'RPLP1', 'RPL23A', 'UBL5', 'RNF126', 'RPS27', 'MRPL51', 'NACA', 'RPL35', 'SRSF3', 'PHPT1', 'SLC25A5', 'SERF2', 'RPS24']",0.6004580196446554,0,0,17
6,hsa-miR-744-5p,0.001785834120057383,2.004185559818626,12.68222503456217,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'KLHL15', 'RPLP1', 'UBL5', 'RPL7A', 'RPS14', 'PRDX5', 'HINT1', 'RPL18A', 'COTL1', 'RPL13', 'RPL37', 'RPL18', 'POLR2L', 'TMEM14C', 'DCXR', 'PA2G4', 'MRPL46', 'UFC1', 'PIN1', 'FKBP4', 'C8ORF33']",0.7305418368997669,0,0,26
7,hsa-miR-652-3p,0.0020164798337138677,2.7986135181975738,17.369320380793884,"['BTF3', 'POM121', 'RPL32', 'RPL21', 'RPL35A', 'EML4', 'RPS16', 'RPS19', 'RPL18A', 'RPS29', 'RPL27', 'RPL26', 'RPL29']",0.7305418368997669,0,0,13
8,hsa-miR-1180-3p,0.002316974859491958,3.981836033382425,24.15976179799142,"['FAM200B', 'RPLP1', 'SUMO2', 'RPL35', 'ZSWIM6', 'POLR2I', 'COX6B1', 'RPL19']",0.7344810304589506,0,0,8
9,hsa-miR-4477a,0.003740332405913147,2.7046545373367565,15.115180398840776,"['RPS14', 'GPATCH11', 'RPS19', 'RPL10', 'MRFAP1', 'GOLIM4', 'RPL15', 'HMGN2', 'DLGAP3', 'CLEC2D', 'RPS24', 'RPL7']",0.9821957254855933,0,0,12
10,hsa-miR-3176,0.003873011535826472,3.03335832083958,16.846431570137494,"['BLOC1S6', 'NPFFR1', 'IGFBP5', 'FICD', 'SDHAF1', 'NME2', 'CYCS', 'TIMM17B', 'RPS10', 'LSM3']",0.9821957254855933,0,0,10
