Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-3605-3p,0.03770406751134947,1.7556486968251674,5.754994129348224,"['FIS1', 'MOCS3', 'WBP2', 'SAMD4A', 'TIMM13', 'RFX2', 'OPRK1', 'MRPL57', 'SPRED2', 'CXCL12', 'DDT', 'CAMK2N2', 'UCP3', 'EIF4H', 'CYCS', 'ELOB', 'EMC6', 'SNX8', 'SERF2']",0.9999846120585815,0,0,19
2,hsa-miR-3193,0.08361886248512572,1.5426109837874544,3.827967801178303,"['UQCC3', 'NDUFA11', 'RFX2', 'OPRK1', 'AMPD2', 'PHB', 'PTRHD1', 'DRAP1', 'SCNN1G', 'OXLD1', 'MAP1LC3B', 'CCDC85B', 'DDIT3', 'SDHAF1', 'SERF2', 'COPS9', 'RPS23', 'PHLDA3', 'TRIM67']",0.9999846120585815,0,0,19
3,hsa-miR-1203,0.13588541809442273,1.4456039076376554,2.8853433795081376,"['PLEKHF1', 'IGFBP5', 'CLEC11A', 'SAMD4A', 'CPT1B', 'TXN2', 'LSM10', 'RINL', 'KAT5', 'CAMK2N2', 'DOK7', 'RPP25', 'CCDC184', 'SNX8', 'SERF2', 'SLC25A25', 'TRIM67']",0.9999846120585815,0,0,17
4,hsa-miR-517c,0.15022617398286267,1.6157059314954052,3.062753642876768,"['RPL27A', 'SLC2A12', 'BOLA1', 'TNS3', 'UBA52', 'LDLR', 'BACH2', 'VAMP2', 'TOMM5', 'TRIM67']",0.9999846120585815,0,0,10
5,hsa-miR-517a,0.15022617398286267,1.6157059314954052,3.062753642876768,"['RPL27A', 'SLC2A12', 'BOLA1', 'TNS3', 'UBA52', 'LDLR', 'BACH2', 'VAMP2', 'TOMM5', 'TRIM67']",0.9999846120585815,0,0,10
6,hsa-miR-3944-3p,0.15160011219777844,1.4311310190369542,2.699841641593726,"['CHRNB1', 'TIMM8A', 'SLC13A3', 'RFX2', 'MRPL49', 'C20ORF27', 'HMGCR', 'DEXI', 'LTBP1', 'BACH2', 'SDHAF1', 'BAG1', 'MAFF', 'TNS3', 'SNX8', 'AP2M1']",0.9999846120585815,0,0,16
7,mmu-miR-542-5p,0.15505548560680338,1.3910546748625041,2.5928873183842867,"['CCDC178', 'TRAPPC1', 'IL1R1', 'SSR2', 'GMPR2', 'SAMD4A', 'C20ORF27', 'MANF', 'CPLX3', 'CALB1', 'RPL15', 'SLC25A5', 'CBLN4', 'RPP25', 'VPS25', 'LDLR', 'RBMS2', 'TRIM67']",0.9999846120585815,0,0,18
8,mmu-miR-673-3p,0.15505548560680338,1.3910546748625041,2.5928873183842867,"['BTF3', 'FIS1', 'IGFBP5', 'IMP3', 'GLRX5', 'NPY1R', 'SAMD4A', 'PCSK6', 'CPT1B', 'ADRA2A', 'BACH2', 'COX6B1', 'CALB2', 'SELENOM', 'PRPH2', 'KCTD13', 'PHPT1', 'SCN2B']",0.9999846120585815,0,0,18
9,hsa-miR-4523,0.16414849397020126,1.47119341563786,2.6584226831326228,"['IDI1', 'H3F3B', 'LOXL3', 'OPRK1', 'ANAPC11', 'TRMT112', 'SVOPL', 'RPL27A', 'TIMM17B', 'TNS3', 'CCDC184', 'ITM2C', 'TCEAL9']",0.9999846120585815,0,0,13
10,hsa-miR-4449,0.17446611109348056,1.3333333333333333,2.328033015957409,"['SET', 'PLEKHF1', 'RPL10', 'NDUFA11', 'NDUFA4', 'WBP2', 'RFX2', 'LSM4', 'SCNN1G', 'CXCL12', 'CCDC85B', 'UCP3', 'C9ORF16', 'BAX', 'CALM3', 'FADD', 'CDIPT', 'HRAS', 'LDLR', 'TRIM67']",0.9999846120585815,0,0,20
