"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ETS1 (human)",0.000219518549528378,2.39374060407271,20.1650475568366,"['DGKD', 'PLEKHF1', 'CDCA7L', 'CAMK2A', 'GOLIM4', 'MAGT1', 'ETS1', 'CASP9', 'SPRED2', 'NEURL1B', 'NRIP2', 'NOS1', 'CMTM8', 'HOMER1', 'IL1R1', 'IDH1', 'ATP2B4', 'SAMD4A', 'SYT6', 'SULF2', 'XKR8', 'IGSF11', 'CLEC4A', 'FAM200B', 'POLR1B', 'CDH11', 'ARHGEF3', 'KCTD13', 'OR6A2', 'MAP3K14']",0.0526844518868108,0,0,30,"ETS1",0.0526844518868108,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"GATA2 (human)",0.00141589858978481,1.97429454967143,12.9513542869879,"['POM121', 'DGKD', 'NPFFR1', 'MVK', 'PLEKHF1', 'FICD', 'KLHL15', 'CDCA7L', 'PVT1', 'CAMK2A', 'MAGT1', 'AXDND1', 'ETS1', 'CASP9', 'SPRED2', 'NRIP2', 'PLXNC1', 'DLGAP3', 'BCL9L', 'CMTM8', 'IGFBP5', 'HOMER1', 'IL1R1', 'IDH1', 'ATP2B4', 'SAMD4A', 'GGH', 'ACYP1', 'SYT6', 'SULF2', 'XKR8', 'EML4', 'IGSF11', 'FRMD3', 'CLEC4A', 'PRPH2', 'C18ORF54', 'ARHGEF3', 'SNURF', 'OR6A2', 'CLEC2D', 'FKBP3', 'MAP3K14', 'FERMT3', 'GPR19']",0.169907830774177,0,0,45,"GATA2",0.169907830774177,NA,NA,NA,NA,NA,NA,NA
"CEBPB (human)",0.00474013506499607,2.6,13.9143930872861,"['FRMD3', 'SPRED2', 'DGKD', 'PLEKHF1', 'CAMK2A', 'COTL1', 'RAD54L2', 'NOS1', 'ACYP1', 'ETS1', 'CLEC2D', 'BCL9L']",0.328523942598305,0,0,12,"CEBPB",0.328523942598305,6.17086141213904e-15,6.45593210264713e-06,0.941208547719384,0.941227306481497,-0.181378161230061,0.0980519797775594,0.0999488920701654
"HMGA1 (human)",0.00547539904330508,2.66470971950424,13.8764495404867,"['FRMD3', 'SCNN1G', 'POM121', 'FICD', 'POLR1B', 'IDH1', 'ARHGEF3', 'NPY1R', 'SAMD4A', 'RAD54L2', 'AXDND1']",0.328523942598305,0,0,11,"HMGA1",0.328523942598305,1.03470666454906e-19,3.68769643805912e-09,0.87611898250923,0.878429182957741,-0.155205777246804,0.0303028503441233,0.0524945361902455
"SP1 (mouse)",0.0112544389235775,2.01826964761256,9.05596108902604,"['DGKD', 'IGFBP5', 'HOMER1', 'CHKA', 'FICD', 'ODF2', 'GGH', 'RTN4RL2', 'ETS1', 'CASP9', 'XKR8', 'EML4', 'NEURL1B', 'POLR1B', 'PLXNC1', 'DLGAP3', 'BCL9L']",0.540213068331719,0,0,17,"SP1",0.540213068331719,3.26440696717854e-11,0.000775580420000031,0.797191673120785,0.802567142635491,-0.387437020317759,0.0968530110235186,0.590200997148204
"RELA (mouse)",0.0186614667454689,2.13152289669862,8.48622034886341,"['SPRED2', 'POM121', 'MVK', 'HOMER1', 'CDH11', 'NOS1', 'KPTN', 'E2F6', 'ETS1', 'RBMS2', 'GPR19', 'SULF2']",0.746458669818756,0,0,12,"RELA",0.746458669818756,1.32482910600916e-07,0.000200648552706854,0.934592042524953,0.934726256887232,0.175694482620863,0.372890920143867,0.695316589803298
"NFE2L2 (human)",0.0377669390061586,6.99349593495935,22.9129389136395,"['SCNN1G', 'ZBBX']",0.945599866829415,0,0,2,"NFE2L2",0.945599866829415,3.65033211413303e-09,9.84897558372178e-07,NA,NA,NA,0.60345154647895,0.501123450778607
"CBEPB (human)",0.0440585199890447,1.7393571201886,5.43068433759274,"['FICD', 'ODF2', 'CDCA7L', 'GMNN', 'TMEM200C', 'NPY1R', 'KLHL11', 'MAGT1', 'XKR8', 'IGSF11', 'SPRED2', 'POLR1B', 'OR6A2', 'CLEC2D', 'FERMT3']",0.945599866829415,0,0,15,"CBEPB",0.945599866829415,NA,NA,NA,NA,NA,NA,NA
"PURA (human)",0.0450877193207699,2.7099530938765,8.3985385795441,"['IL1R1', 'CAMK2A', 'CDH11', 'ARHGEF3', 'SULF2']",0.945599866829415,0,0,5,"PURA",0.945599866829415,2.95711858750021e-12,1.76454411147139e-08,0.876763003828754,0.878895093109271,0.0906846331035388,0.298713322821706,0.113362059651536
"Nkx2-5 (mouse)",0.0499995863335312,3.03285714285714,9.08565311586578,"['KLHL15', 'POLR1B', 'ZBBX', 'GPR19']",0.945599866829415,0,0,4,"Nkx2-5",0.945599866829415,NA,NA,NA,NA,NA,NA,NA
