Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Negative Regulation Of Cell Population Proliferation (GO:0008285),0.005404534915542521,30.357142857142858,158.479976673953,"['IGFBP5', 'ETS1']",0.04666054933248654,0,0,2
2,Negative Regulation Of Protein Metabolic Process (GO:0051248),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
3,Multicellular Organismal-Level Water Homeostasis (GO:0050891),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
4,Response To Acidic pH (GO:0010447),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
5,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
6,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
7,Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
8,Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
9,Regulation Of miRNA Transcription (GO:1902893),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
10,Regulation Of Signal Transduction (GO:0009966),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
11,Cellular Response To Acidic pH (GO:0071468),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
12,Cellular Response To Alcohol (GO:0097306),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
13,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
14,Negative Regulation Of Amide Metabolic Process (GO:0034249),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
15,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),0.013698509895775864,inf,inf,['IGFBP5'],0.04666054933248654,0,0,1
16,Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
17,Positive Regulation Of miRNA Transcription (GO:1902895),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
18,Intracellular Sodium Ion Homeostasis (GO:0006883),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
19,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),0.013698509895775864,inf,inf,['ETS1'],0.04666054933248654,0,0,1
20,Cellular Response To Ketone (GO:1901655),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
21,Sensory Perception Of Sour Taste (GO:0050915),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
22,Sensory Perception Of Taste (GO:0050909),0.013698509895775864,inf,inf,['SCNN1G'],0.04666054933248654,0,0,1
