Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-92a-3p,2.0400074998877772e-05,1.8643509118093555,20.13493760974339,"['RPL3', 'CCNI', 'RPLP1', 'COX4I1', 'PARK7', 'RPL8', 'RPL9', 'DNPH1', 'RPS15', 'CHCHD5', 'RPS14', 'RPL7A', 'CHCHD2', 'RPL18A', 'UQCRFS1', 'ELOB', 'MRPL9', 'RPS10', 'RPL39', 'ZNF17', 'RPS8', 'VBP1', 'RPL23', 'RPS5', 'RPL22', 'RPS3A', 'MED29', 'RPL24', 'VDAC2', 'CD2BP2', 'PFDN2', 'SNRPE', 'GEMIN6', 'ERH', 'RPL27', 'FKBP4', 'PFDN6', 'NDUFB10', 'GLO1', 'GSTP1', 'RPL11', 'TMEM160', 'C12ORF57', 'RPS15A', 'RPL15', 'CCT7', 'POLR2I', 'POLR2L', 'BTF3', 'NDUFA7', 'NDUFA5', 'PDAP1', 'CHCHD10', 'PA2G4', 'ATOX1', 'MYO1D', 'RPS25', 'LSM7', 'RPS28', 'PSMG3', 'FAU', 'PFKM', 'RPS24', 'RPS23']",0.04838897789733808,0,0,64
2,hsa-miR-100-5p,5.326331803782773e-05,3.036925960637301,29.88414919435263,"['SET', 'RPL21', 'RPL10', 'RPS8', 'RPLP1', 'NDUFA2', 'RPL36A', 'COX5A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'RPS27', 'NUDCD2', 'RPS15A', 'PSMA2', 'UBN2', 'RPL26', 'RPL15', 'RPL19']",0.06317029519286368,0,0,20
3,hsa-miR-484,0.0002828511052295183,1.8687064733417056,15.268434290795287,"['CUTA', 'NDUFA13', 'SET', 'DCTN3', 'RPS27L', 'TIMM10', 'COX5A', 'RPS15', 'RPS14', 'CHCHD2', 'BLOC1S6', 'PRADC1', 'RPLP2', 'ARL6IP4', 'ELOB', 'EMC6', 'RPS10', 'SEPHS2', 'AP2M1', 'SLC19A1', 'ATP6V1F', 'COX8A', 'FIS1', 'RPS9', 'MRPS24', 'RPL21', 'MRPS18B', 'PA2G4', 'MRPL46', 'C12ORF10', 'MZT2B', 'PSMC5', 'UQCRQ', 'RPS29', 'UBE2S', 'CD2BP2', 'PIN1', 'FAU', 'FKBP4', 'UBA52', 'RPL28', 'RPS24', 'RPS23', 'SRSF9']",0.22364094053480577,0,0,44
4,hsa-miR-615-3p,0.001083883421703245,1.7356214649177935,11.849443415482625,"['BEX4', 'RPL3', 'MRFAP1', 'UQCR11', 'RPL9', 'MRPL54', 'RPL7', 'C12ORF57', 'RPS15', 'RPL7A', 'RPL36AL', 'RPL13', 'UQCRFS1', 'RPL15', 'CYC1', 'RPS2', 'CCT7', 'HRAS', 'SEPHS2', 'GADD45GIP1', 'SPAG7', 'RPL21', 'GADD45A', 'RPL23', 'MRPS18B', 'HLA-B', 'EDF1', 'PA2G4', 'MRPL46', 'MRPL21', 'MYO1D', 'SMDT1', 'NACA', 'RPL37A', 'TOMM7', 'POMK', 'CD2BP2', 'LAMTOR2', 'PFDN2', 'RPL29', 'FKBP4', 'DCTPP1', 'UBA52', 'PFDN6']",0.44963874153754024,0,0,44
5,hsa-miR-324-5p,0.0011132422214891419,2.392770295548073,16.271983191974186,"['RPL41', 'WBP2', 'CHCHD10', 'PA2G4', 'MEA1', 'COX5A', 'UBL5', 'LDHA', 'PSMC5', 'RPL36AL', 'UBE2S', 'OSTC', 'CACHD1', 'PIN1', 'RPL27', 'RPL37', 'SEC61B', 'RPS2', 'C8ORF33']",0.44963874153754024,0,0,19
6,hsa-miR-744-5p,0.0011373661253057511,2.140994140994141,14.513885148733648,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'RPLP1', 'DCXR', 'PA2G4', 'MRPL46', 'UBL5', 'RPL7A', 'RPS14', 'PRDX5', 'HINT1', 'RPL18A', 'UFC1', 'RPL13', 'PIN1', 'RPL37', 'RPL18', 'FKBP4', 'C8ORF33', 'POLR2L', 'TMEM14C']",0.44963874153754024,0,0,24
7,hsa-miR-1303,0.0015614712195111062,2.866341463414634,18.522662025142587,"['HDDC2', 'CHRNB1', 'RPS8', 'USP54', 'H2AFZ', 'NDUFB5', 'RPL7A', 'RNF126', 'RPS16', 'UBE2S', 'UBN2', 'SUMO2', 'SRSF3']",0.5291156760971919,0,0,13
8,hsa-miR-877-5p,0.0019408513048437513,2.5606985062066063,15.99061109001129,"['RNASEK', 'NDUFB11', 'RPLP1', 'RPL23A', 'UBL5', 'RNF126', 'RPS27', 'MRPL51', 'NACA', 'RPL35', 'SRSF3', 'PHPT1', 'SLC25A5', 'SERF2', 'RPS24']",0.5754624118861723,0,0,15
9,mmu-miR-1969,0.003389464067905181,16.350597609561753,92.98721326162455,"['GPATCH11', 'TRADD', 'SNRPB2']",0.8933120854523432,0,0,3
10,hsa-miR-652-3p,0.004564324162313179,2.7479757085020244,14.810173376541997,"['BTF3', 'RPS16', 'RPL32', 'RPS19', 'RPL18A', 'RPL21', 'RPS29', 'RPL35A', 'RPL27', 'RPL26', 'RPL29']",0.9999912799628009,0,0,11
