Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Parkinson disease,9.561876189330043e-05,inf,inf,"['NDUFB11', 'CYCS', 'SLC25A5']",0.004817917464374807,0,0,3
2,Huntington disease,0.00037060903572113903,69.33333333333333,547.7584918401844,"['NDUFB11', 'CYCS', 'SLC25A5']",0.004817917464374807,0,0,3
3,Alzheimer disease,0.00037060903572113903,69.33333333333333,547.7584918401844,"['NDUFB11', 'CYCS', 'SLC25A5']",0.004817917464374807,0,0,3
4,Pathways of neurodegeneration,0.00037060903572113903,69.33333333333333,547.7584918401844,"['NDUFB11', 'CYCS', 'SLC25A5']",0.004817917464374807,0,0,3
5,Prion disease,0.0008977827765757128,34.583333333333336,242.62222521421964,"['NDUFB11', 'CYCS', 'SLC25A5']",0.009336940876387412,0,0,3
6,Spinocerebellar ataxia,0.002194249367038133,inf,inf,"['CYCS', 'SLC25A5']",0.016300138155140417,0,0,2
7,Amyotrophic lateral sclerosis,0.002194249367038133,inf,inf,"['NDUFB11', 'CYCS']",0.016300138155140417,0,0,2
8,Thermogenesis,0.006391539395938089,43.78947368421053,221.25858264743206,"['NDUFB11', 'COX14']",0.033236004858878065,0,0,2
9,Diabetic cardiomyopathy,0.006391539395938089,43.78947368421053,221.25858264743206,"['NDUFB11', 'SLC25A5']",0.033236004858878065,0,0,2
10,Retrograde endocannabinoid signaling,0.006391539395938089,43.78947368421053,221.25858264743206,"['SLC32A1', 'NDUFB11']",0.033236004858878065,0,0,2
11,Influenza A,0.012412497160762663,21.842105263157894,95.86612439556218,"['CYCS', 'SLC25A5']",0.05378748769663821,0,0,2
12,Non-alcoholic fatty liver disease,0.012412497160762663,21.842105263157894,95.86612439556218,"['NDUFB11', 'CYCS']",0.05378748769663821,0,0,2
13,Steroid biosynthesis,0.04794499451833866,inf,inf,['MSMO1'],0.13850776194186723,0,0,1
14,Long-term depression,0.04794499451833866,inf,inf,['CRH'],0.13850776194186723,0,0,1
15,Ubiquitin mediated proteolysis,0.04794499451833866,inf,inf,['UBE2S'],0.13850776194186723,0,0,1
16,Neutrophil extracellular trap formation,0.04794499451833866,inf,inf,['SLC25A5'],0.13850776194186723,0,0,1
17,RNA transport,0.04794499451833866,inf,inf,['RPP25'],0.13850776194186723,0,0,1
18,Ribosome biogenesis in eukaryotes,0.04794499451833866,inf,inf,['RPP25'],0.13850776194186723,0,0,1
19,Human immunodeficiency virus 1 infection,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
20,Shigellosis,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
21,Small cell lung cancer,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
22,Synaptic vesicle cycle,0.09369583364652895,20.8,49.24819235532791,['SLC32A1'],0.15225572967560955,0,0,1
23,Apoptosis,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
24,Morphine addiction,0.09369583364652895,20.8,49.24819235532791,['SLC32A1'],0.15225572967560955,0,0,1
25,Necroptosis,0.09369583364652895,20.8,49.24819235532791,['SLC25A5'],0.15225572967560955,0,0,1
26,Nicotine addiction,0.09369583364652895,20.8,49.24819235532791,['SLC32A1'],0.15225572967560955,0,0,1
27,Colorectal cancer,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
28,Cushing syndrome,0.09369583364652895,20.8,49.24819235532791,['CRH'],0.15225572967560955,0,0,1
29,Oxidative phosphorylation,0.09369583364652895,20.8,49.24819235532791,['NDUFB11'],0.15225572967560955,0,0,1
30,GABAergic synapse,0.09369583364652895,20.8,49.24819235532791,['SLC32A1'],0.15225572967560955,0,0,1
31,Hepatitis B,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
32,Herpes simplex virus 1 infection,0.09369583364652895,20.8,49.24819235532791,['CYCS'],0.15225572967560955,0,0,1
33,Human cytomegalovirus infection,0.1373480342895735,10.375,20.59683572415542,['CYCS'],0.20336281264371275,0,0,1
34,p53 signaling pathway,0.1373480342895735,10.375,20.59683572415542,['CYCS'],0.20336281264371275,0,0,1
35,Epstein-Barr virus infection,0.1373480342895735,10.375,20.59683572415542,['CYCS'],0.20336281264371275,0,0,1
36,Neuroactive ligand-receptor interaction,0.14078963952257037,3.5526315789473686,6.964893074256544,"['CORT', 'CRH']",0.20336281264371275,0,0,2
37,Salmonella infection,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
38,Alcoholism,0.17899324576674097,6.9,11.870809728299957,['CRH'],0.20683663955267845,0,0,1
39,Kaposi sarcoma-associated herpesvirus infection,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
40,Toxoplasmosis,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
41,Tuberculosis,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
42,Cellular senescence,0.17899324576674097,6.9,11.870809728299957,['SLC25A5'],0.20683663955267845,0,0,1
43,Viral myocarditis,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
44,cGMP-PKG signaling pathway,0.17899324576674097,6.9,11.870809728299957,['SLC25A5'],0.20683663955267845,0,0,1
45,Hepatitis C,0.17899324576674097,6.9,11.870809728299957,['CYCS'],0.20683663955267845,0,0,1
46,Human T-cell leukemia virus 1 infection,0.2187193269674764,5.1625,7.846824388029159,['SLC25A5'],0.2230079412217406,0,0,1
47,Legionellosis,0.2187193269674764,5.1625,7.846824388029159,['CYCS'],0.2230079412217406,0,0,1
48,Lipid and atherosclerosis,0.2187193269674764,5.1625,7.846824388029159,['CYCS'],0.2230079412217406,0,0,1
49,Measles,0.2187193269674764,5.1625,7.846824388029159,['CYCS'],0.2230079412217406,0,0,1
50,Calcium signaling pathway,0.2187193269674764,5.1625,7.846824388029159,['SLC25A5'],0.2230079412217406,0,0,1
51,Pathogenic Escherichia coli infection,0.2187193269674764,5.1625,7.846824388029159,['CYCS'],0.2230079412217406,0,0,1
52,Pathways in cancer,0.3913901919678777,2.2666666666666666,2.1262473085404787,['CYCS'],0.3913901919678777,0,0,1
