"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ETS1 (human)",0.00022575839225815,2.38912732474964,20.0592209864865,"['DGKD', 'PLEKHF1', 'CDCA7L', 'CAMK2A', 'GOLIM4', 'MAGT1', 'ETS1', 'CASP9', 'SPRED2', 'NEURL1B', 'NRIP2', 'NOS1', 'CMTM8', 'HOMER1', 'IL1R1', 'IDH1', 'ATP2B4', 'SAMD4A', 'SYT6', 'SULF2', 'XKR8', 'IGSF11', 'CLEC4A', 'FAM200B', 'POLR1B', 'CDH11', 'ARHGEF3', 'KCTD13', 'OR6A2', 'MAP3K14']",0.0541820141419559,0,0,30,"ETS1",0.0541820141419559,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"GATA2 (human)",0.00144931539915208,1.97115384615385,12.8847703305229,"['POM121', 'DGKD', 'NPFFR1', 'MVK', 'PLEKHF1', 'FICD', 'KLHL15', 'CDCA7L', 'PVT1', 'CAMK2A', 'MAGT1', 'AXDND1', 'ETS1', 'CASP9', 'SPRED2', 'NRIP2', 'PLXNC1', 'DLGAP3', 'BCL9L', 'CMTM8', 'IGFBP5', 'HOMER1', 'IL1R1', 'IDH1', 'ATP2B4', 'SAMD4A', 'GGH', 'ACYP1', 'SYT6', 'SULF2', 'XKR8', 'EML4', 'IGSF11', 'FRMD3', 'CLEC4A', 'PRPH2', 'C18ORF54', 'ARHGEF3', 'SNURF', 'OR6A2', 'CLEC2D', 'FKBP3', 'MAP3K14', 'FERMT3', 'GPR19']",0.17391784789825,0,0,45,"GATA2",0.17391784789825,NA,NA,NA,NA,NA,NA,NA
"CEBPB (human)",0.00482650426217661,2.59355044699872,13.833045806737,"['FRMD3', 'SPRED2', 'DGKD', 'PLEKHF1', 'CAMK2A', 'COTL1', 'RAD54L2', 'NOS1', 'ACYP1', 'ETS1', 'CLEC2D', 'BCL9L']",0.324932772597745,0,0,12,"CEBPB",0.324932772597745,6.17086141213904e-15,6.45593210264713e-06,0.941208547719384,0.941227306481497,-0.181378161230061,0.0980519797775594,0.0999488920701654
"HMGA1 (human)",0.00541554620996242,2.6689497716895,13.9278650982469,"['FRMD3', 'SCNN1G', 'POM121', 'FICD', 'POLR1B', 'IDH1', 'ARHGEF3', 'NPY1R', 'SAMD4A', 'RAD54L2', 'AXDND1']",0.324932772597745,0,0,11,"HMGA1",0.324932772597745,1.03470666454906e-19,3.68769643805912e-09,0.87611898250923,0.878429182957741,-0.155205777246804,0.0303028503441233,0.0524945361902455
"SP1 (mouse)",0.0114225441037091,2.01463211347605,9.00976989194497,"['DGKD', 'IGFBP5', 'HOMER1', 'CHKA', 'FICD', 'ODF2', 'GGH', 'RTN4RL2', 'ETS1', 'CASP9', 'XKR8', 'EML4', 'NEURL1B', 'POLR1B', 'PLXNC1', 'DLGAP3', 'BCL9L']",0.548282116978036,0,0,17,"SP1",0.548282116978036,3.26440696717854e-11,0.000775580420000031,0.797191673120785,0.802567142635491,-0.387437020317759,0.0968530110235186,0.590200997148204
"RELA (mouse)",0.0201683681670447,2.10594111461619,8.22083562360691,"['SPRED2', 'POM121', 'MVK', 'HOMER1', 'CDH11', 'NOS1', 'KPTN', 'E2F6', 'ETS1', 'RBMS2', 'GPR19', 'SULF2']",0.806734726681789,0,0,12,"RELA",0.806734726681789,1.32482910600916e-07,0.000200648552706854,0.934592042524953,0.934726256887232,0.175694482620863,0.372890920143867,0.695316589803298
"NFE2L2 (human)",0.0376649253505954,7.00406504065041,22.9665112313581,"['SCNN1G', 'ZBBX']",0.935952157917609,0,0,2,"NFE2L2",0.935952157917609,3.65033211413303e-09,9.84897558372178e-07,NA,NA,NA,0.60345154647895,0.501123450778607
"CBEPB (human)",0.0432408916450107,1.74434964146319,5.47894756566259,"['FICD', 'ODF2', 'CDCA7L', 'GMNN', 'TMEM200C', 'NPY1R', 'KLHL11', 'MAGT1', 'XKR8', 'IGSF11', 'SPRED2', 'POLR1B', 'OR6A2', 'CLEC2D', 'FERMT3']",0.935952157917609,0,0,15,"CBEPB",0.935952157917609,NA,NA,NA,NA,NA,NA,NA
"PURA (human)",0.0448497697241312,2.71412966651674,8.42584408414308,"['IL1R1', 'CAMK2A', 'CDH11', 'ARHGEF3', 'SULF2']",0.935952157917609,0,0,5,"PURA",0.935952157917609,2.95711858750021e-12,1.76454411147139e-08,0.876763003828754,0.878895093109271,0.0906846331035388,0.298713322821706,0.113362059651536
"Nkx2-5 (mouse)",0.0508265492331811,3.01560283687943,8.98449541510534,"['KLHL15', 'POLR1B', 'ZBBX', 'GPR19']",0.935952157917609,0,0,4,"Nkx2-5",0.935952157917609,NA,NA,NA,NA,NA,NA,NA
