Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-1273,0.0027757263449825764,3.338,19.650281333472318,"['SPRED2', 'NEURL1B', 'DGKD', 'MVK', 'IGFBP5', 'CHKA', 'IL1R1', 'CLEC2D', 'RBMS2']",0.4586484800968139,0,0,9
2,hsa-miR-3655,0.003786161246172366,2.484782608695652,13.856148291471705,"['CCDC178', 'COLGALT2', 'IGFBP5', 'IL1R1', 'ATP2B4', 'MOB3B', 'SYT6', 'CASP9', 'NEURL1B', 'ARHGEF3', 'COTL1', 'ETFRF1', 'CLEC2D', 'RBMS2']",0.4586484800968139,0,0,14
3,mmu-miR-1982.1,0.0038741847733845644,2.28211543438875,12.673545539852482,"['COLGALT2', 'DGKD', 'IL1R1', 'LRRK1', 'ATP2B4', 'GOLIM4', 'SAMD4A', 'ETS1', 'IGSF11', 'NEURL1B', 'PRPH2', 'ARHGEF3', 'NABP1', 'ETFRF1', 'PLXNC1', 'RBMS2', 'BCL9L']",0.4586484800968139,0,0,17
4,mmu-miR-1898,0.00490437248232841,2.336070415879017,12.422353753482751,"['COLGALT2', 'POM121', 'PLEKHF1', 'IGFBP5', 'KLHL15', 'CDCA7L', 'CAMK2A', 'SAMD4A', 'FAM219A', 'ETS1', 'MOB3B', 'NEURL1B', 'COTL1', 'NABP1', 'MAP3K14']",0.4586484800968139,0,0,15
5,mmu-miR-380-5p,0.0053440202869010234,2.3805970149253732,12.45475281978025,"['CCDC178', 'PLEKHF1', 'IGFBP5', 'ATP2B4', 'NPY1R', 'CASP9', 'XKR8', 'PRPH2', 'NRIP2', 'ARHGEF3', 'PLXNC1', 'MAP3K14', 'PLTP', 'RBMS2']",0.4586484800968139,0,0,14
6,mmu-miR-673-3p,0.005475564917017351,3.2280701754385963,16.8100457586633,"['IGFBP5', 'PRPH2', 'ATP2B4', 'NPY1R', 'SAMD4A', 'KCTD13', 'FAM219A', 'DLGAP3']",0.4586484800968139,0,0,8
7,hsa-miR-4715-5p,0.006537880044633607,2.320408163265306,11.671983297673075,"['COLGALT2', 'IGFBP5', 'HOMER1', 'GMNN', 'ATP2B4', 'ETS1', 'SYT6', 'EML4', 'SPRED2', 'SCNN1G', 'ZFP69', 'NABP1', 'CLEC2D', 'RBMS2']",0.4586484800968139,0,0,14
8,hsa-miR-4798-3p,0.006585882834680125,2.728206147323794,13.703307185265604,"['IGFBP5', 'CHKA', 'POLR1B', 'CAMK2A', 'C18ORF54', 'ETS1', 'CLEC2D', 'MOB3B', 'RBMS2', 'SYT6']",0.4586484800968139,0,0,10
9,hsa-miR-621,0.0066132291494979826,2.591780821917808,13.00732691963718,"['SPRED2', 'NEURL1B', 'PRPH2', 'KLHL15', 'CDCA7L', 'ARHGEF3', 'NABP1', 'MAP3K14', 'MOB3B', 'RBMS2', 'SYT6']",0.4586484800968139,0,0,11
10,hsa-miR-3200-3p,0.009034070151764575,2.2249649368863955,10.472358781767014,"['CHKA', 'CAMK2A', 'NPY1R', 'SAMD4A', 'ETS1', 'MOB3B', 'SYT6', 'IGSF11', 'NEURL1B', 'POLR1B', 'ARHGEF3', 'COTL1', 'MAP3K14', 'BCL9L']",0.4586484800968139,0,0,14
11,mmu-miR-434-5p,0.009561667900748786,4.1455696202531644,19.276870131947444,"['IL1R1', 'GOLIM4', 'SAMD4A', 'ETFRF1', 'SYT6']",0.4586484800968139,0,0,5
12,hsa-miR-2909,0.01092965571819706,2.1143057503506313,9.548787209248491,"['POM121', 'IGFBP5', 'IL1R1', 'KLHL15', 'IDH1', 'ATP2B4', 'SYT6', 'SPRED2', 'FAM200B', 'PRPH2', 'C18ORF54', 'NABP1', 'XKR4', 'CLEC2D', 'RBMS2']",0.4586484800968139,0,0,15
13,mmu-miR-1948,0.011247387422009588,2.300513698630137,10.32382991878996,"['EML4', 'IGSF11', 'SPRED2', 'NEURL1B', 'IGFBP5', 'CHKA', 'LRRK1', 'C18ORF54', 'NPY1R', 'SAMD4A', 'MOB3B', 'SYT6']",0.4586484800968139,0,0,12
14,hsa-miR-3680,0.011400821836871165,2.1027911969940956,9.408034664251117,"['POM121', 'IGFBP5', 'HOMER1', 'CHKA', 'CAMK2A', 'ATP2B4', 'SAMD4A', 'ETS1', 'MOB3B', 'SYT6', 'POLR1B', 'NABP1', 'PLXNC1', 'E2F6', 'CLEC2D']",0.4586484800968139,0,0,15
15,hsa-miR-2277-3p,0.011425410173990265,2.0553789083200846,9.191480678050546,"['CCDC178', 'COLGALT2', 'DGKD', 'IGFBP5', 'IL1R1', 'CAMK2A', 'ATP2B4', 'FAM219A', 'SYT6', 'FRMD3', 'NEURL1B', 'PRPH2', 'NABP1', 'ZNF511', 'PLTP', 'FERMT3']",0.4586484800968139,0,0,16
16,hsa-miR-423-3p,0.01236577399174781,3.0154509522098456,13.246341648704986,"['IGSF11', 'COLGALT2', 'MVK', 'IGFBP5', 'NRIP2', 'CAMK2A', 'SAMD4A']",0.4586484800968139,0,0,7
17,mmu-miR-698,0.012416215197523001,2.2671734234234235,9.950061858799293,"['IGSF11', 'CCDC178', 'SPRED2', 'DGKD', 'IGFBP5', 'KLHL15', 'LRRK1', 'C18ORF54', 'ATP2B4', 'PLXNC1', 'XKR4', 'MOB3B']",0.4586484800968139,0,0,12
18,hsa-miR-4800-5p,0.01272060499498097,2.1864932107615753,9.543019935340546,"['COLGALT2', 'DGKD', 'IGFBP5', 'CAMK2A', 'LRRK1', 'ATP2B4', 'SPRED2', 'NEURL1B', 'PRPH2', 'NRIP2', 'COTL1', 'XKR4', 'MAP3K14']",0.4586484800968139,0,0,13
19,mmu-miR-193b,0.014370223802710823,2.090066225165563,8.867308706535258,"['POM121', 'IGFBP5', 'KLHL15', 'FAM219A', 'MAGT1', 'ETS1', 'XKR8', 'SPRED2', 'PRPH2', 'POLR1B', 'C18ORF54', 'ARHGEF3', 'PLXNC1', 'E2F6']",0.46631376239796624,0,0,14
20,mmu-miR-193,0.014370223802710823,2.090066225165563,8.867308706535258,"['POM121', 'IGFBP5', 'KLHL15', 'FAM219A', 'MAGT1', 'ETS1', 'XKR8', 'SPRED2', 'PRPH2', 'POLR1B', 'C18ORF54', 'ARHGEF3', 'PLXNC1', 'E2F6']",0.46631376239796624,0,0,14
21,mmu-miR-323-5p,0.016611929605119778,2.048374512353706,8.393489437413983,"['DGKD', 'MVK', 'HOMER1', 'CHKA', 'ATP2B4', 'SAMD4A', 'SYT6', 'NEURL1B', 'PRPH2', 'XKR4', 'MAP3K14', 'RBMS2', 'FERMT3', 'BCL9L']",0.4735401453878619,0,0,14
22,mmu-miR-687,0.01677870811339447,2.101010101010101,8.58818253211409,"['IGFBP5', 'HOMER1', 'IL1R1', 'SAMD4A', 'SYT6', 'SULF2', 'SCNN1G', 'C18ORF54', 'OR6A2', 'XKR4', 'MAP3K14', 'RBMS2', 'BCL9L']",0.4735401453878619,0,0,13
23,mmu-miR-216a,0.016781854150879544,2.0454545454545454,8.36070767668405,"['CMTM8', 'POM121', 'IGFBP5', 'ATP2B4', 'NPY1R', 'SAMD4A', 'XKR8', 'EML4', 'IGSF11', 'NABP1', 'ETFRF1', 'XKR4', 'RBMS2', 'GPR19']",0.4735401453878619,0,0,14
24,mmu-miR-33,0.019117009529910634,1.962826591344699,7.767251827965549,"['HOMER1', 'IL1R1', 'KLHL15', 'ATP2B4', 'GOLIM4', 'SAMD4A', 'MAGT1', 'ETS1', 'MOB3B', 'IGSF11', 'SPRED2', 'NEURL1B', 'C18ORF54', 'PLXNC1', 'RBMS2']",0.4872064086533776,0,0,15
25,hsa-miR-4718,0.019881491056161014,1.9969504447268107,7.823984101370006,"['HOMER1', 'IL1R1', 'LRRK1', 'NPY1R', 'FAM219A', 'ETS1', 'NRIP2', 'C18ORF54', 'ARHGEF3', 'NABP1', 'PLXNC1', 'XKR4', 'E2F6', 'CLEC2D']",0.4872064086533776,0,0,14
26,hsa-miR-614,0.02019991059929484,3.3996955616087163,13.265874199156567,"['EML4', 'NEURL1B', 'CAMK2A', 'XKR4', 'CLEC2D']",0.4872064086533776,0,0,5
27,hsa-miR-1244,0.020268987725179037,2.04318456448961,7.9656885935900315,"['ODF2', 'KLHL15', 'NPY1R', 'MAGT1', 'ETS1', 'EML4', 'ZFP69', 'C18ORF54', 'ARHGEF3', 'NABP1', 'XKR4', 'CLEC2D', 'RBMS2']",0.4872064086533776,0,0,13
28,hsa-miR-1203,0.021298837855045646,2.6861548345647286,10.33928601048037,"['NEURL1B', 'DGKD', 'PLEKHF1', 'IGFBP5', 'CAMK2A', 'SAMD4A', 'MAP3K14']",0.49367663456873656,0,0,7
29,mmu-miR-3099,0.023577627609368577,1.9971869786210374,7.484372321792798,"['CMTM8', 'POM121', 'IGFBP5', 'CAMK2A', 'SAMD4A', 'MOB3B', 'EML4', 'SPRED2', 'ARHGEF3', 'NABP1', 'XKR4', 'MAP3K14', 'BCL9L']",0.5172901705981194,0,0,13
30,mmu-miR-875-5p,0.024850590888182568,2.187416044274891,8.082226119095257,"['EML4', 'SPRED2', 'HOMER1', 'KLHL15', 'C18ORF54', 'ARHGEF3', 'SAMD4A', 'NABP1', 'MOB3B', 'RBMS2']",0.5172901705981194,0,0,10
31,hsa-miR-4730,0.02586386848836802,2.81438127090301,10.286305531987551,"['IGFBP5', 'ATP2B4', 'SAMD4A', 'FAM219A', 'ETS1', 'MAP3K14']",0.5172901705981194,0,0,6
32,mmu-miR-503,0.02625094354615092,1.9646454029468534,7.151414072651535,"['IGFBP5', 'HOMER1', 'CHKA', 'KLHL15', 'SAMD4A', 'FAM219A', 'MOB3B', 'NEURL1B', 'NABP1', 'PLXNC1', 'FKBP3', 'RBMS2', 'BCL9L']",0.5172901705981194,0,0,13
33,mmu-miR-5132,0.02630289003041285,2.564189189189189,9.328716324964338,"['POM121', 'PLEKHF1', 'CDCA7L', 'ATP2B4', 'FAM219A', 'PLTP', 'SYT6']",0.5172901705981194,0,0,7
34,hsa-miR-3201,0.03226724767035162,1.902391953831023,6.5322481357230755,"['IGFBP5', 'KLHL15', 'ATP2B4', 'SAMD4A', 'MOB3B', 'SYT6', 'SPRED2', 'FAM200B', 'SOSTDC1', 'PLXNC1', 'XKR4', 'CLEC2D', 'RBMS2']",0.5757713525182703,0,0,13
35,hsa-miR-4791,0.03226724767035162,1.902391953831023,6.5322481357230755,"['IGFBP5', 'KLHL15', 'ATP2B4', 'SAMD4A', 'MOB3B', 'SYT6', 'SPRED2', 'FAM200B', 'SOSTDC1', 'PLXNC1', 'XKR4', 'CLEC2D', 'RBMS2']",0.5757713525182703,0,0,13
36,mmu-miR-154,0.032700437895169444,2.081645212575004,7.119990195035072,"['FRMD3', 'SCNN1G', 'POM121', 'IGFBP5', 'KLHL15', 'POLR1B', 'LRRK1', 'GGH', 'PLXNC1', 'SYT6']",0.5757713525182703,0,0,10
37,mmu-miR-653,0.0340708108241844,1.8860351652398049,6.373505507670063,"['DGKD', 'IGFBP5', 'HOMER1', 'IL1R1', 'KLHL15', 'CAMK2A', 'SYT6', 'CASP9', 'SPRED2', 'NEURL1B', 'C18ORF54', 'PLXNC1', 'FKBP3']",0.5757713525182703,0,0,13
38,mmu-miR-3098-5p,0.034581638157546744,1.930616205725376,6.4954277663870315,"['NEURL1B', 'COLGALT2', 'DGKD', 'PLEKHF1', 'IGFBP5', 'KLHL15', 'ATP2B4', 'KLHL11', 'PLXNC1', 'ETS1', 'SYT6', 'BCL9L']",0.5757713525182703,0,0,12
39,hsa-miR-4727-3p,0.035241699395924406,1.9245283018867925,6.438558039046512,"['IGSF11', 'NEURL1B', 'IGFBP5', 'IL1R1', 'ZBBX', 'FAM219A', 'XKR4', 'FKBP3', 'MAP3K14', 'MOB3B', 'RBMS2', 'SULF2']",0.5757713525182703,0,0,12
