Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,7.754393058358972e-35,13.615101904443701,1069.3603117526434,"['COX7B', 'COX4I1', 'MRPL34', 'COX6A1', 'COX7C', 'UQCRFS1', 'COX8A', 'ATP6V1G1', 'GPX4', 'NDUFC1', 'COX6B1', 'NDUFS6', 'VDAC2', 'SLC25A5', 'ISCU', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'UQCRH', 'ATP5MC1', 'LDHA', 'CYC1', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'ATP5PO', 'CYCS', 'BAX']",3.024213292759999e-33,0,0,55
2,Myc Targets V1,6.58232382679521e-10,4.758242677824268,100.5962119073952,"['HDDC2', 'SET', 'RPL34', 'GLO1', 'COX5A', 'EEF1B2', 'LDHA', 'SNRPB2', 'RPS2', 'CYC1', 'MRPL9', 'RPL18', 'CCT7', 'RPS10', 'CCT4', 'RANBP1', 'VBP1', 'RPS5', 'RPL22', 'MRPS18B', 'PA2G4', 'NME1', 'LSM7', 'PSMA2', 'POLE3', 'SNRPG', 'SRSF3', 'ERH']",1.283553146225066e-08,0,0,28
3,DNA Repair,2.430546750584268e-05,3.858740017746229,40.99837656708542,"['RFC3', 'GTF2A2', 'GPX4', 'TAF13', 'GMPR2', 'AK1', 'COX17', 'EDF1', 'GTF2H5', 'NME1', 'MRPL40', 'MPC2', 'POLR2I', 'EIF1B', 'SAC3D1', 'POLR2K']",0.00031597107757595484,0,0,16
4,Adipogenesis,0.0004105864303277228,2.9179636689840773,22.754059224075814,"['COX8A', 'COX7B', 'NDUFB7', 'GPX4', 'NDUFA5', 'GADD45A', 'VEGFB', 'CHCHD10', 'UQCR11', 'UQCR10', 'COX6A1', 'UQCRQ', 'DDT', 'ATP5PO', 'CYC1', 'SLC19A1']",0.004003217695695297,0,0,16
5,Reactive Oxygen Species Pathway,0.001076636238867408,5.229276735288759,35.7364258801751,"['NDUFA6', 'GPX4', 'NDUFB4', 'GLRX2', 'TXN', 'ATOX1', 'LAMTOR5']",0.008397762663165782,0,0,7
6,p53 Pathway,0.006880404888460793,2.3564184294407418,11.7327906393511,"['PMM1', 'GADD45A', 'DCXR', 'AK1', 'RPS27L', 'TRIAP1', 'HINT1', 'DDIT3', 'BAX', 'RPL18', 'HRAS', 'ISCU', 'RPS12']",0.04472263177499516,0,0,13
7,Unfolded Protein Response,0.09760935254581474,1.8769999014422287,4.367369518775226,"['RPS14', 'XBP1', 'EXOSC4', 'SPCS1', 'BANF1', 'PDIA6', 'LSM4']",0.47584559366084683,0,0,7
8,Allograft Rejection,0.09760935254581474,1.8769999014422287,4.367369518775226,"['RPS9', 'RPS19', 'RPS3A', 'RPL9', 'RPL39', 'PSMB10', 'NME1']",0.47584559366084683,0,0,7
9,Myc Targets V2,0.13169257845415516,2.1760956175298807,4.4115660556128,"['NDUFAF4', 'PA2G4', 'DCTPP1', 'SLC19A1']",0.5706678399680056,0,0,4
10,Pperoxisome,0.20190076225454753,1.6648335981099027,2.663698759283619,"['IDI1', 'FIS1', 'PRDX5', 'FABP6', 'HRAS']",0.7874129727927354,0,0,5
11,Pancreas Beta Cells,0.236617714735897,2.326814058956916,3.353659110538321,"['SPCS1', 'SRP14']",0.8389173522454529,0,0,2
12,Myogenesis,0.2749798393383009,1.3592184368737474,1.754829150947744,"['CHRNB1', 'AK1', 'BAG1', 'MYL6B', 'COX7A1', 'PFKM', 'OCEL1']",0.8434320579509249,0,0,7
13,Bile Acid Metabolism,0.28918801339807676,1.5157972760122302,1.8806166920588712,"['IDI1', 'PRDX5', 'PEX19', 'PFKM']",0.8434320579509249,0,0,4
14,E2F Targets,0.30277048234135767,1.3118651095294036,1.567390516354796,"['RANBP1', 'RFC3', 'UBE2S', 'NAA38', 'PA2G4', 'DCTPP1', 'NME1']",0.8434320579509249,0,0,7
15,PI3K/AKT/mTOR  Signaling,0.34255605504388936,1.386115114012037,1.4849728027891833,"['DDIT3', 'PIN1', 'HRAS', 'AP2M1']",0.8906457431141124,0,0,4
16,Estrogen Response Late,0.46498152638572743,1.1093181818181819,0.849468831193068,"['XBP1', 'PCP4', 'DCXR', 'BAG1', 'COX6C', 'FKBP4']",0.9920531104348326,0,0,6
17,IL-2/STAT5 Signaling,0.49782707489197964,1.0842315369261477,0.7562542091371215,"['XBP1', 'GPX4', 'GSTO1', 'MAFF', 'ENPP1']",0.9920531104348326,0,0,5
18,Apoptosis,0.5089476161296547,1.0698340161781699,0.7225767886397378,"['GPX4', 'GADD45A', 'DDIT3', 'VDAC2', 'BAX']",0.9920531104348326,0,0,5
19,Coagulation,0.5874297991157176,0.99492838885057,0.5293004412891399,"['MAFF', 'APOC1', 'ISCU']",0.9920531104348326,0,0,3
20,mTORC1 Signaling,0.5929868845995618,0.964990099009901,0.5042874182685322,"['IDI1', 'LDHA', 'XBP1', 'DDIT3', 'PDAP1', 'ATP5MC1']",0.9920531104348326,0,0,6
21,Xenobiotic Metabolism,0.5938446924546442,0.9669945822640433,0.5039370949426233,"['PMM1', 'GSTO1', 'DDT', 'DCXR', 'PSMB10']",0.9920531104348326,0,0,5
22,Protein Secretion,0.640942713816387,0.9283446712018141,0.4129418169471554,"['CD63', 'AP2M1']",0.9920531104348326,0,0,2
23,Glycolysis,0.6425482417677558,0.9121083675345938,0.4034377354886099,"['NSDHL', 'LDHA', 'HAX1', 'TXN', 'FKBP4']",0.9920531104348326,0,0,5
24,UV Response Up,0.6609787058087453,0.8918426882498739,0.3692528876912982,"['POLE3', 'SELENOW', 'PDAP1', 'FKBP4', 'ATP6V1F']",0.9920531104348326,0,0,5
25,Fatty Acid Metabolism,0.6798440782021022,0.8656573705179282,0.33405008423916616,"['IDI1', 'NSDHL', 'LDHA', 'OSTC']",0.9920531104348326,0,0,4
26,Cholesterol Homeostasis,0.6830741759060676,0.8547410192147035,0.325786097003865,"['IDI1', 'NSDHL']",0.9920531104348326,0,0,2
27,Estrogen Response Early,0.7587292919447995,0.7720546385885031,0.2131721833010032,"['XBP1', 'BAG1', 'ENDOD1', 'FKBP4']",0.9920531104348326,0,0,4
28,IL-6/JAK/STAT3 Signaling,0.7619137097265223,0.7059836418424451,0.1919724637623454,['HAX1'],0.9920531104348326,0,0,1
29,Androgen Response,0.765699905391387,0.7211640211640211,0.19252552004040396,"['IDI1', 'PA2G4']",0.9920531104348326,0,0,2
30,Complement,0.8110968254491758,0.6847926525354913,0.14337355973972707,"['MAFF', 'APOC1', 'ATOX1']",0.9920531104348326,0,0,3
31,Interferon Gamma Response,0.818246918654596,0.6751988071570576,0.13543889263605263,"['PSMA2', 'HLA-B', 'PSMB10']",0.9920531104348326,0,0,3
32,heme Metabolism,0.838330801570098,0.6479522862823062,0.114261529359228,"['GLRX5', 'MKRN1', 'ENDOD1']",0.9920531104348326,0,0,3
33,Hypoxia,0.8394295549833198,0.6745517928286853,0.11806863443803886,"['LDHA', 'PRDX5', 'DDIT3', 'MAFF']",0.9920531104348326,0,0,4
34,G2-M Checkpoint,0.9717527442328301,0.3626716604244694,0.01039195213856302,"['UBE2S', 'HMGN2']",0.9966672080570345,0,0,2
35,TNF-alpha Signaling via NF-kB,0.9769741952245548,0.3469022017409114,0.008081100507985526,"['GADD45A', 'MAFF']",0.9966672080570345,0,0,2
36,Apical Junction,0.9912537834028212,0.2067783701447068,0.0018164837233873544,['HRAS'],0.9966672080570345,0,0,1
37,Mitotic Spindle,0.9949161018718523,0.18518265619665414,0.000943851018500287,['SAC3D1'],0.9966672080570345,0,0,1
38,KRAS Signaling Up,0.9952136478145432,0.18305580558055806,0.0008782730980157473,['PCP4'],0.9966672080570345,0,0,1
39,Epithelial Mesenchymal Transition,0.9966672080570345,0.17124499684010955,0.0005716771162277334,['GADD45A'],0.9966672080570345,0,0,1
