Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,3.564298618949951e-41,13.83317329620472,1288.3528926190945,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'MRPS18A', 'RPSA', 'MRPS18C', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'MRPL18', 'MRPL16', 'MRPL17', 'MRPL15', 'MRPL10', 'MRPL20', 'RPL41', 'MRPL27', 'MRPL24', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'MRPS17', 'MRPS14', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPS10', 'MRPL36', 'MRPL35', 'MRPL32', 'RPS4X', 'RPL7A', 'MRPL2', 'RPLP2', 'MRPL9', 'MRPS2', 'MRPS21', 'RPL13A', 'RPS3A', 'MRPS7', 'MRPS6', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",1.1156254677313347e-38,0,0,107
2,Coronavirus disease,7.494996858715828e-24,5.117420298305775,272.49140592273807,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'TBK1', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'MAP3K7', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'PRKCA', 'RPSA', 'ADAM17', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'IFNAR1', 'PIK3R3', 'RPL41', 'ISG15', 'NFKB1', 'RPS26', 'NFKBIA', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'TAB2', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'NFKBIB', 'RPLP1', 'RPLP0', 'ADAR', 'PIK3CB', 'RPS4X', 'RPL7A', 'RPLP2', 'CHUK', 'RPL13A', 'RPS3A', 'PIK3CA', 'TRAF3', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'EGFR', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'MAPK1', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'MAPK3', 'STAT1', 'RPL35A', 'RPL23A', 'MAPK10', 'RPL22L1', 'FAU', 'RPL26L1']",1.172967008389027e-21,0,0,103
3,Oxidative phosphorylation,6.748631725900023e-22,6.910491897463627,336.86942676493425,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V0B', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'COX7A2L', 'PPA2', 'PPA1', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'ATP6V1B2', 'NDUFS3', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1A', 'NDUFB9', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP6V1H', 'COX11', 'ATP6V0E2', 'ATP6V1D', 'NDUFV1', 'ATP5MF', 'ATP6V1C1', 'COX10', 'ATP5ME', 'ATP6V0A1', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'ATP5PO']",7.041072434022357e-20,0,0,76
4,Parkinson disease,1.663131106001427e-14,2.931350569289803,93.00439372721657,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'COX6A1', 'TXN2', 'PSMD8', 'PSMD7', 'PSMD2', 'PSMD1', 'PRKACA', 'MAP3K5', 'COX6B1', 'COX7A2L', 'DDIT3', 'VDAC2', 'VDAC1', 'ATF6', 'UBA52', 'ATF4', 'NDUFB10', 'PSMD14', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ITPR1', 'ATP5MC3', 'ITPR2', 'COX7A2', 'TXN', 'KLC1', 'UQCRH', 'ATP5MC1', 'UBB', 'UBC', 'DRD1', 'NDUFV1', 'XBP1', 'HSPA5', 'EIF2AK3', 'GNAL', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'COX7B', 'COX4I1', 'COX7C', 'UCHL1', 'TUBA1A', 'UQCRFS1', 'COX8A', 'NDUFC2', 'NDUFC1', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'PRKN', 'NDUFB9', 'CAMK2D', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'GNAI3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'PSMA7', 'ADCY5', 'GNAI2', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB3', 'MFN1', 'MFN2', 'RPS27A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'UBE2G1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'MAPK10', 'PSMC5', 'PINK1', 'PSMC3', 'PSMC1', 'ATP5PO', 'BAX']",1.3014000904461166e-12,0,0,109
5,Prion disease,3.430664734859579e-13,2.7451921017689638,78.78935268088576,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'PSMD7', 'PSMD2', 'PSMD1', 'PRKACA', 'COX6B1', 'COX7A2L', 'DDIT3', 'CSNK2B', 'VDAC2', 'VDAC1', 'ATF4', 'NDUFB10', 'PSMD14', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'CACNA1B', 'ITPR1', 'PIK3R3', 'ATP5MC3', 'ITPR2', 'COX7A2', 'CACNA1C', 'KLC1', 'UQCRH', 'ATP5MC1', 'STIP1', 'GRIN2A', 'PPP3R2', 'NDUFV1', 'HSPA8', 'PRNP', 'HSPA5', 'EIF2AK3', 'HSPA2', 'GRIN2B', 'UQCRQ', 'CYCS', 'RYR2', 'GSK3B', 'COX7B', 'COX4I1', 'LAMC1', 'PIK3CB', 'COX7C', 'PPP3CA', 'PPP3CC', 'TUBA1A', 'UQCRFS1', 'RAC1', 'COX8A', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'PIK3CA', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB3', 'MAPK1', 'FYN', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PSMC3', 'PSMC1', 'ATP5PO', 'BAX']",2.1475961240220964e-11,0,0,108
6,Huntington disease,1.932030377313024e-11,2.351395513160219,58.00860884610897,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'PSMD7', 'PSMD2', 'PSMD1', 'EP300', 'AP2M1', 'MAP3K5', 'COX6B1', 'COX7A2L', 'TFAM', 'VDAC2', 'VDAC1', 'NDUFB10', 'PSMD14', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'CACNA1B', 'ITPR1', 'ATP5MC3', 'COX7A2', 'NRF1', 'KLC1', 'UQCRH', 'ATP5MC1', 'PPARGC1A', 'NDUFV1', 'GRIA3', 'GRIA4', 'CREBBP', 'GRIN2B', 'UQCRQ', 'GNAQ', 'CYCS', 'DNAL4', 'RCOR1', 'COX7B', 'COX4I1', 'CLTA', 'COX7C', 'BBC3', 'GRM5', 'TUBA1A', 'UQCRFS1', 'IFT57', 'COX8A', 'NDUFC2', 'NDUFC1', 'WIPI2', 'CREB3', 'PLCB4', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'PPARG', 'PLCB1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'DCTN5', 'NDUFB9', 'NDUFB7', 'DCTN2', 'DNAH7', 'DCTN1', 'HDAC1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'AMBRA1', 'COX5B', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB3', 'POLR2C', 'POLR2D', 'AP2S1', 'POLR2E', 'POLR2G', 'POLR2I', 'DNAI1', 'POLR2K', 'POLR2L', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'AP2B1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PSMC3', 'PSMC1', 'ATP5PO', 'BAX']",1.0078758468316275e-09,0,0,120
7,Diabetic cardiomyopathy,1.2715259075035927e-10,2.809336480461579,64.01251071605995,"['RYR2', 'GSK3B', 'COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'PTEN', 'PIK3CB', 'COX6A1', 'COX7C', 'AKT3', 'UQCRFS1', 'RAC1', 'CTSD', 'PDK2', 'COX8A', 'NDUFC2', 'PRKCA', 'NDUFC1', 'CPT1B', 'COX6B1', 'COX7A2L', 'PLCB4', 'PIK3CA', 'TBC1D4', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'VDAC2', 'VDAC1', 'PLCB1', 'PPARA', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'CAMK2D', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'PIK3R3', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'PDHB', 'COX5B', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'NDUFV1', 'SMAD2', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'NFKB1', 'MAPK10', 'UQCRQ', 'ATP5PO']",5.685537272123207e-09,0,0,81
8,Thermogenesis,3.032754153939669e-10,2.514715257118572,55.113454567245995,"['COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'PRKAG1', 'COX6A1', 'COX7C', 'ACTG1', 'RPTOR', 'RPS6KA6', 'RPS6KA2', 'UQCRFS1', 'PRKACA', 'HRAS', 'COA7', 'PRKG1', 'MAP3K5', 'COA5', 'COX8A', 'MAP2K3', 'RPS6', 'NDUFC2', 'ACSL4', 'NDUFC1', 'CPT1B', 'ARID1B', 'COX6B1', 'CREB3', 'COX7A2L', 'ADCY9', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'ZNF516', 'NDUFS3', 'PPARG', 'SOS1', 'SOS2', 'MGLL', 'NDUFB9', 'PRKAA1', 'NDUFB7', 'COX16', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'ADCY8', 'COX5B', 'UQCRH', 'ADCY5', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'COX11', 'COX14', 'PPARGC1A', 'NDUFV1', 'ATP5MF', 'COX10', 'ATP5ME', 'COA4', 'ATP5PF', 'COA3', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'NDUFAF8', 'RPS6KB1', 'UQCRQ', 'ATP5PO', 'NDUFAF3']",1.1865650627288954e-08,0,0,93
9,Non-alcoholic fatty liver disease,2.229129543992384e-09,2.889493678519025,57.563495225049486,"['GSK3B', 'NDUFA13', 'COX7B', 'GSK3A', 'NDUFA11', 'NDUFA12', 'COX4I1', 'PRKAG1', 'PIK3CB', 'COX6A1', 'COX7C', 'AKT3', 'LEPR', 'UQCRFS1', 'RAC1', 'MAP3K5', 'COX8A', 'NDUFC2', 'NDUFC1', 'COX6B1', 'COX7A2L', 'PIK3CA', 'NDUFS6', 'DDIT3', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'PPARG', 'PPARA', 'ATF4', 'NDUFB9', 'PRKAA1', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'PIK3R3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'ADIPOR1', 'COX5B', 'UQCRH', 'CDC42', 'NDUFV1', 'NDUFA8', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'COX6C', 'NFKB1', 'MAPK10', 'ITCH', 'UQCRQ', 'CYCS', 'BAX']",7.752417191884625e-08,0,0,67
10,Pathways of neurodegeneration,8.08943531981596e-09,1.8361003163525171,34.211519048443485,"['NDUFA13', 'CHRM1', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'COX6A1', 'PSMD8', 'PSMD7', 'TBK1', 'FRAT2', 'PSMD2', 'PSMD1', 'MAP3K5', 'MAP2K3', 'GABARAPL2', 'GABARAPL1', 'PRKCA', 'COX6B1', 'COX7A2L', 'DDIT3', 'CSNK2B', 'VDAC2', 'VDAC1', 'ATF6', 'UBA52', 'SQSTM1', 'ATF4', 'VCP', 'UQCRB', 'NDUFB10', 'PSMD14', 'NDUFB11', 'ITPR1', 'ATP5MC2', 'CACNA1B', 'PSEN2', 'ITPR2', 'ATP5MC3', 'COX7A2', 'CACNA1C', 'KLC1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'GRIN2A', 'ATXN2', 'PPP3R2', 'ATXN1', 'UBB', 'UBC', 'FADD', 'NDUFV1', 'GRIA3', 'GRIA4', 'WNT10B', 'PRNP', 'XBP1', 'HSPA5', 'FUS', 'EIF2AK3', 'BRAF', 'GRIN2B', 'NFKB1', 'UQCRQ', 'GNAQ', 'CYCS', 'CALM3', 'CALM1', 'DNAL4', 'RYR2', 'GSK3B', 'COX7B', 'COX4I1', 'COX7C', 'PPP3CA', 'UCHL1', 'GRM5', 'TUBA1A', 'PPP3CC', 'UQCRFS1', 'RAC1', 'IFT57', 'HRAS', 'COX8A', 'SIGMAR1', 'NDUFC2', 'NDUFC1', 'WIPI2', 'PLCB4', 'TUBB2A', 'ALS2', 'NDUFS6', 'NDUFS5', 'NDUFS4', 'NDUFS3', 'PLCB1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'PRKN', 'DCTN6', 'NDUFB9', 'DCTN5', 'CAMK2D', 'NDUFB7', 'DCTN2', 'DNAH7', 'NDUFB5', 'DCTN1', 'NDUFB4', 'NDUFB3', 'DCTN3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'AMBRA1', 'UQCR10', 'COX5B', 'HSD17B10', 'PSMA7', 'LRP6', 'PSMB6', 'ATP5F1A', 'PSMB5', 'ATP5F1B', 'PSMB3', 'MFN1', 'MFN2', 'MAPK1', 'RPS27A', 'DNAI1', 'MAPK3', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'NDUFA3', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'UBE2G1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PINK1', 'CCS', 'PSMC3', 'APC', 'PSMC1', 'ATP5PO', 'BAX']",2.531993255102396e-07,0,0,158
