"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"AHR (mouse)",0.0155129981044349,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"AHR",0.0865152189013994,7.03569825206318e-07,0.000255854498322929,0.986229516525074,0.98612055570619,0.0373938594120029,0.589501484339427,0.13162939812622
"CBFB (human)",0.0294349886264958,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"CBFB",0.0865152189013994,0.33687362046235,0.243133208571917,NA,NA,NA,0.961510572960705,0.360019616715342
"Sox2 (mouse)",0.0393792784891719,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"Sox2",0.0865152189013994,1.58276064660112e-10,3.00513398250568e-06,0.757735361763109,0.762462050638472,-0.159108608217295,0.00780682356453337,0.00446393470802453
"IRF2 (mouse)",0.0429592242716133,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"IRF2",0.0865152189013994,5.18759493092906e-12,1.1451282907991e-05,NA,NA,NA,0.0407120802142489,0.93366415641489
"CBEPA (mouse)",0.0433569960637944,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"CBEPA",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"Gata1 (mouse)",0.0461413988151177,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"Gata1",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"BCL6 (human)",0.0493235737953758,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"BCL6",0.0865152189013994,0.000542129303952596,0.00120818176811458,0.819214535926864,0.823741757780925,0.216852479733579,0.614414735384961,0.135676196984633
"TP53 (mouse)",0.0497213457014309,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"TP53",0.0865152189013994,0.0476752552816535,0.294652287283817,NA,NA,NA,0.93746489974533,0.406663744168502
"IKZF1 (mouse)",0.0529035211200566,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"IKZF1",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"TEAD2 (mouse)",0.0536990650305301,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"TEAD2",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"FOXJ1 (human)",0.0536990650305301,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"FOXJ1",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"MIR138 (human)",0.0560856968925934,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"MIR138",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"TFAP2D (human)",0.0576767849095389,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"TFAP2D",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"ETS1 (mouse)",0.05807455691934,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"ETS1",0.0865152189013994,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"SPI1 (mouse)",0.0596656450297323,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"SPI1",0.0865152189013994,1.36790171609895e-09,0.000106325031261814,0.832778127030146,0.83688304693982,0.181421472481832,0.543365821727522,0.936286875463506
"FOXA1 (human)",0.0628478214626887,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"FOXA1",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"SMARCA2 (human)",0.0636433656173321,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"SMARCA2",0.0865152189013994,3.33107113402828e-07,0.00147721878709353,NA,NA,NA,0.10119923022176,0.67841813711512
"NR5A2 (mouse)",0.0680188587398536,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"NR5A2",0.0865152189013994,NA,NA,NA,NA,NA,NA,NA
"ZFHX3 (human)",0.0684166308612838,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"ZFHX3",0.0865152189013994,4.95356158003518e-08,0.0290806148417659,0.801732266606279,0.806851958293668,-0.503633575936744,0.557612545075405,0.0701296366335539
"HIF1A (human)",0.0692121751211195,Inf,Inf,"['COX7A1']",0.0865152189013994,0,0,1,"HIF1A",0.0865152189013994,8.10375244811794e-10,3.17358082367836e-07,0.905286212676009,0.907512433246763,0.21206496719726,0.457269379900062,0.984211068051209
"TBP (human)",0.0970562319106719,Inf,Inf,"['COX7A1']",0.11554313322699,0,0,1,"TBP",0.11554313322699,0.403708175061241,0.226546080732502,NA,NA,NA,0.955129277876793,0.292863140802995
"MEF2A (human)",0.110978264524155,Inf,Inf,"['COX7A1']",0.126111664231995,0,0,1,"MEF2A",0.126111664231995,1.4819291245013e-09,1.77992929211591e-05,NA,NA,NA,0.00360741625647201,0.0875501054624043
"NFKB1 (mouse)",0.119331485095908,Inf,Inf,"['COX7A1']",0.129708135973813,0,0,1,"NFKB1",0.129708135973813,3.77458216176712e-15,5.72829983811647e-13,0.910819255461641,0.912698004838497,0.165701378126831,1.00936110652115e-06,0.0001239094256283
"YY1 (human)",0.215990211579289,Inf,Inf,"['COX7A1']",0.224989803728426,0,0,1,"YY1",0.224989803728426,7.13501785664133e-06,0.000308109083641054,NA,NA,NA,0.867145708948978,0.105158212648832
"FOXC1 (human)",0.455051575912455,Inf,Inf,"['COX7A1']",0.455051575912455,0,0,1,"FOXC1",0.455051575912455,NA,NA,NA,NA,NA,NA,NA
