pathway,pval,padj,log2err,ES,NES,size,leadingEdge
sleep_UP_wake_DOWN,0.181481851814819,0.999900009999,0.0306422787557872,0.458563816058716,1.19026390867154,25,HMGB3|HMGCS1|PPP1R1A|TMEM141|LDLR|BDH1|RPRM|BORCS6|MAF1|DRAP1|ASB14|PDXP|TMEM97
midbrain_DEG_BHQ1_negativeL2FC,0.436856314368563,0.999900009999,0.0163805633387207,0.435556312430907,1.04518184838515,13,IGFBP5|RGS4
Down_SD_3OR6,0.474552544745525,0.999900009999,0.0151813031216818,0.346496064410714,1.0068288331902,123,CCDC115|P2RY12|HMGB3|HMGCS1|PPP1R1A|MSMO1|RASGRF2|GATD3|TMEM141|SQLE|EDN1|LDLR|ELP5|STARD4|H1-0|BDH1|INSIG1|CDK5|RPRM|PINK1|VDAC1|BORCS6|TMEM160|METAP1D|NECAB2|MAF1|COPS7A|CYGB|CAMK2N2|HNRNPAB|HLA-A|PRDX3|ARL2BP|DRAP1|VDAC2|DIRAS1|ASB14|PDXP|FJX1|TMEM97|MRPL12|VAMP1|DHDDS|OTUB1|RNF181|SRP14|TESK2|WDR1|HSPB6|LXN|GSTP1|BAX|HSBP1|CALM3
sleep_DOWN_wake_UP,0.64003599640036,0.999900009999,0.0108195196597021,0.377486090952478,0.905833755638619,13,CBLN4|APOBEC4|TMC4|IQGAP2
sleep_UP_wake_UP,0.66993300669933,0.999900009999,0.0101266371150364,0.348406349752517,0.908190990996064,26,MAT2B|ARHGDIG|FKBP5|TUBA4A|SCRT2|DCXR|TIMM17B|TUBA1A|TUBB|SH3BGRL3
sleep_No_Change_wake_DOWN,0.701829817018298,0.999900009999,0.00940362600887002,0.324920971267749,0.934055497679459,99,CCDC115|P2RY12|MSMO1|RASGRF2|GATD3|SQLE|EDN1|ELP5|STARD4|H1-0|INSIG1|CDK5|PINK1|VDAC1|TMEM160|METAP1D|NECAB2|MAF1|COPS7A|CYGB|CAMK2N2|HNRNPAB|HLA-A|PRDX3|ARL2BP|VDAC2|DIRAS1|FJX1|MRPL12|VAMP1|DHDDS|OTUB1|RNF181|SRP14|TESK2|WDR1|HSPB6|LXN|BAX|HSBP1|CALM3
Up_sleep_2OR3,0.770722927707229,0.999900009999,0.00786880787707533,0.313347710771221,0.926283933909783,180,STARD10|KPTN|LSM10|EMC4|LYRM9|ATP6V1E1|GABARAPL1|HMGB3|HMGN2|HMGCS1|PPP1R1A|PACSIN3|TMEM141|MCRIP1|LDLR|SORCS2|MAP1LC3A|SLC25A5|VEGFB|ALDOA|RAB1B|ZNRD2|H1-0|SUMO3|BDH1|SERF2|TMEM203|PNPO|DDAH2|ISCU|SAC3D1|COA3|RPRM|PINK1|GET3|ZBTB22|BORCS6|MYL12B|HRAS|MAF1|NCBP2AS2|ATP5F1D|MDH2|DRAP1|RAB3A|PARK7|UBE2M
sleep_UP_wake_No_Change,0.886511348865114,0.999900009999,0.00516190485074671,0.297815475861811,0.87523230103141,158,STARD10|KPTN|LSM10|EMC4|LYRM9|ATP6V1E1|GABARAPL1|HMGN2|PACSIN3|TMEM141|MCRIP1|SORCS2|MAP1LC3A|SLC25A5|VEGFB|ALDOA|RAB1B|ZNRD2|H1-0|SUMO3|SERF2|TMEM203|PNPO|DDAH2|ISCU|SAC3D1|COA3|PINK1|GET3|ZBTB22|MYL12B|HRAS|NCBP2AS2|ATP5F1D|MDH2|RAB3A|PARK7|UBE2M|BEX1|BEX3|AP2M1|ATP6V0E2|DOHH
sleep_No_Change_wake_No Change,0.9005099490051,0.999900009999,0.00479536099395708,0.288859382593069,0.804619459861012,58,LPAR6|BUB3|MEA1|C18orf54|SSR4|S100A1|IMP3|LGI2|DYNLT3|RPL35|GOT1|LSM7|NDUFA7|PFDN5|ATOX1|SCAND1|UQCR10|WDR1|LSM4|HSBP1|UQCR11|BPGM|IDH3B|ATP5IF1|ITM2C|HIGD2A|TRAPPC1|NDUFA6|NDUFB7|SKP1|C12orf57|OAZ1|SBDS|BAG1|MICOS13|FAU|IER5L|YPEL3
sleep_DOWN_wake_DOWN,0.912008799120088,0.999900009999,0.00448121409696569,0.280370514018372,0.754349579060544,37,TMEM100|MCAM|JUN|CEACAM1|DNAJA4|DNAJB1|ELK3|LRP8|CFAP300|NEDD9|SPAG5|SPINT2|KCNK13|GAB1|CHORDC1|ZNF565|L3MBTL3|RND3|SCN2B|DEPP1|HSPA1B|FNDC4
