GENE_SYMBOLS,refseq_ids
LRP8,NM_001018054
ANKRD55,NM_001039935
SPRED1,NM_152594
SPRY4,NM_001127496
SHC3,NM_016848
RND3,NM_001254738
SPRY4-AS1,NR_120664
KCTD13,NM_001410898
SPRED3,NM_001039616
RIMBP2,NM_001351226
CKMT2,NM_001099735
RPS6KA5,NM_001322227
ZNF641,NM_001172681
SPRED2,NM_001128210
SCN2B,NM_004588
ETS1,NM_001143820
RETREG2,NM_001321109
RASGRF2-AS1,NR_105015
PITPNC1,NM_012417
NSG1,NM_001040101
TMEM221,NM_001190844
PNMA8A,NM_001103149
TMCC3,NM_001301036
N4BP2,NM_001318359
ATP6AP1,NM_001183
SULT4A1,NM_014351
RAB3B,NM_002867
TRIM67,NM_001004342
ATXN7L3B,NM_001136262
RASGRF2,NM_006909
SYT4,NM_020783
RNPC3,NM_017619
ATP6V0E2,NM_001100592
C4orf3,NM_001001701
OIP5-AS1,NR_026757
CCDC184,NM_001013635
KBTBD6,NM_152903
DUSP10,NM_007207
NDN,NM_002487
B4GAT1,NM_006876
ARL4C,NM_001282431
BEST3,NM_001282613
MOAP1,NM_022151
SALL2,NM_001291446
PNMA1,NM_006029
GMNN,NM_001251989
PITHD1,NM_020362
MRFAP1,NM_001272053
CAMK2N2,NM_033259
ETV5,NM_004454
ARL6IP5,NM_006407
SHC4,NM_203349
SERINC1,NM_020755
PRPS1,NM_001204402
THY1,NM_001311160
NAP1L5,NM_153757
COPS7A,NM_001164093
PGAM1,NM_001317079
CDIPT,NM_001286585
TMEM35A,NM_021637
RRAGA,NM_006570
MAP1LC3B,NM_022818
RBMS2,NM_001414459
DYNLL2,NM_080677
TIMP2,NM_003255
PEG10,NM_001040152
RHOBTB1,NM_001242359
ZNF215,NM_001354853
FAIM2,NM_012306
FAM13A,NM_001015045
SLC32A1,NM_080552
MZT1,NM_001071775
ATP6V0C,NM_001198569
CYSTM1,NM_032412
PNMA2,NM_007257
PARD6A,NM_001037281
CDK5R1,NM_003885
NORAD,NR_027451
RPP25,NM_017793
PDXP,NM_020315
ZDHHC22,NM_001364172
YPEL3,NM_001145524
ALDH1B1,NM_000692
PRAF2,NM_007213
ATP6AP2,NM_005765
ACP2,NM_001131064
RAB3A,NM_002866
PCSK1N,NM_013271
RNF187,NM_001010858
AGPAT1,NM_001371437
CMTM8,NM_001320308
PRNP,NM_000311
ACTG1,NM_001199954
DUSP4,NM_001394
RBM15B,NM_013286
CDKN1B,NM_004064
LGI2,NM_018176
OTUB1,NM_017670
PNMA8B,NM_020709
ATP6V0B,NM_001039457
TCEAL7,NM_001348258
GRINA,NM_000837
MRPS34,NM_001300900
TCIM,NM_020130
ISOC2,NM_001136201
EEF1A1,NM_001402
EEF1G,NM_001404
YWHAG,NM_012479
C6orf120,NM_001029863
PRKAR1A,NM_001276289
