"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ZBTB7A","ZBTB7A","MA0750.2","7.91388",2.17906e-16,0.840456,0.829929,0.0586682,2009,"False",1.73017364e-13,0.000183298788272092,0.0649784437926891,NA,NA,NA,0.824226257085927,0.739031208167951
"ELK4","ELK4","MA0076.2","7.77978",5.99253e-16,0.862729,0.852902,0.0574784,2009,"False",2.37903441e-13,0.216234433536582,0.144738503622096,NA,NA,NA,0.939664102582775,0.198893206762858
"ETV5","ETV5","MA0765.2","7.52605",4.74893e-15,0.862584,0.853063,0.0578478,2009,"True",1.25688347333333e-12,2.21786004662904e-47,2.71141802282943e-15,0.705625883524589,0.710056628600608,0.171965741538723,0.525071612226086,0.804727881564744
"ELK1","ELK1","MA0028.2","7.32993",2.02073e-14,0.815494,0.805366,0.0653598,2009,"False",4.01114905e-12,2.60798251141922e-13,1.25347190436997e-06,0.962582329789301,0.963019639617838,0.15006098910641,0.794771887293007,0.913724333027705
"ETV6","ETV6","MA0645.1","7.23846",4.79448e-14,0.860252,0.851358,0.0557562,2009,"False",7.61363424e-12,1.21042656782334e-10,2.13711925443013e-05,0.754838985799621,0.75941410480671,0.103902653787737,0.00134756372924481,0.0995408801158801
"ELK3","ELK3","MA0759.1","7.15568",8.04153e-14,0.836583,0.827514,0.0596848,2009,"True",1.06416247e-11,1.83489520492048e-08,1.04246261946369e-05,0.90071007759344,0.902768985147406,0.276435589786084,0.770369618398888,0.72455491660572
"NRF1","NRF1","MA0506.1","7.15078",1.07618e-13,0.855812,0.844252,0.0703272,2009,"False",1.2206956e-11,1.3710271005232e-14,1.31784098118692e-06,NA,0.604927209289281,NA,0.000600887404615366,0.153577959461344
"SP4","SP4","MA0685.1","7.08677",1.87212e-13,0.801937,0.791926,0.0600452,2009,"False",1.8580791e-11,0.00081987474925887,0.016297988508596,NA,NA,NA,0.208408355223598,0.933289660346601
"SP1","SP1","MA0079.4","7.0269",2.93773e-13,0.822846,0.812589,0.0620826,2009,"False",2.59173068888889e-11,3.26440696717854e-11,0.000775580420000031,0.797191673120785,0.802567142635491,-0.387437020317759,0.0968530110235186,0.590200997148204
"KLF15","KLF15","MA1513.1","6.9196",6.95951e-13,0.875885,0.860109,0.0946518,2009,"False",5.52585094e-11,2.43612848208475e-06,0.0371758648745949,0.90619005148452,0.908589410803197,-0.273152081721284,0.761966018836639,0.975363855012071
"ZBTB14","ZBTB14","MA1650.1","6.80302",1.64409e-12,0.831814,0.820331,0.0699332,2009,"False",1.18673405454545e-10,3.94920986118585e-12,1.32468844537685e-05,0.54337692738802,0.544591079273049,-0.00676023910063084,0.949799788633032,0.706102012987908
"FEV","FEV","MA0156.2","6.72793",2.00092e-12,0.848751,0.840666,0.0566298,2009,"False",1.32394206666667e-10,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","6.69338",2.5444e-12,0.837506,0.82927,0.0581962,2009,"False",1.52293737142857e-10,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","6.71628",2.68528e-12,0.781033,0.772676,0.054483,2009,"True",1.52293737142857e-10,1.41547877752924e-12,8.41093936150296e-09,0.934592042524953,0.934726256887232,0.150764672279324,0.135781752654608,0.0988637959401368
"Gmeb1","Gmeb1","MA0615.1","6.6783",3.68552e-12,0.823947,0.817285,0.042949,2009,"False",1.9484114875e-10,1.98492176377559e-07,0.011791423002243,0.881355284106955,0.883668103644208,-0.183095768376744,0.0186167650351198,0.441349186985249
"HINFP","HINFP","MA0131.2","6.67901",3.92627e-12,0.827922,0.819262,0.0542665,2009,"False",1.9484114875e-10,0.000495075082477803,0.431607492227991,NA,NA,NA,0.000308923654461576,0.000173574753012799
"ERG","ERG","MA0474.2","6.35486",2.84041e-11,0.855969,0.84857,0.0547988,2009,"False",1.27398623333333e-09,0.0117629246815227,0.074150636640686,0.978018348518368,0.978080721083949,0.286903406313592,0.494196477678909,0.968149652437598
