"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ATF3","ATF3","MA0605.2","3.9722",3.5131e-05,0.786239,0.737623,0.0958291,27,"False",0.012285611625,NA,NA,NA,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1475.1","3.9562",3.75006e-05,0.82083,0.780213,0.0860152,27,"False",0.012285611625,NA,NA,NA,NA,NA,NA,NA
"NFYC","NFYC","MA1644.1","3.86493",5.51985e-05,0.865549,0.817713,0.0688115,27,"False",0.012285611625,2.20292379110609e-12,6.36814689431772e-06,NA,NA,NA,0.0236771517212924,0.675614823005471
"JUNB","JUNB","MA1140.2","3.82966",6.33972e-05,0.762656,0.719098,0.0870488,27,"False",0.012285611625,0.000452443648957105,0.252798656942365,0.640764172262577,NA,0.791248031836058,0.224327903645252,0.0192914790453465
"NFYA","NFYA","MA0060.3","3.75625",8.56851e-05,0.86456,0.818924,0.0690334,27,"False",0.012285611625,0.0458426549742511,0.107543991063436,NA,NA,NA,0.522613398552829,0.698363106200008
"JUN","JUN::JUNB","MA1133.1","3.65474",0.000127583,0.809982,0.770415,0.0744869,27,"False",0.012285611625,2.83225218082675e-11,0.0572849372088635,0.806029998663612,0.811116625985436,-0.0442625446268595,0.330525259944909,0.118081710813035
"JUNB","JUN::JUNB","MA1133.1","3.65474",0.000127583,0.809982,0.770415,0.0744869,27,"False",0.012285611625,0.000452443648957105,0.252798656942365,0.640764172262577,NA,0.791248031836058,0.224327903645252,0.0192914790453465
"JDP2","JDP2","MA0656.1","3.54886",0.000191623,0.780598,0.738511,0.0868242,27,"False",0.012285611625,1.40600194671006e-09,0.585174297504849,0.52889799857999,0.530096829509563,-0.84373676773415,0.286682812134594,0.729720213711501
"NFYB","NFYB","MA0502.2","3.53251",0.000204846,0.842345,0.803189,0.0571029,27,"False",0.012285611625,4.35021979759035e-05,0.157527845886963,NA,NA,NA,0.5743499789036,0.110696886223761
"FOSB","FOSB::JUN","MA1127.1","3.50964",0.000222146,0.794467,0.753617,0.0879733,27,"False",0.012285611625,0.564595018443689,0.358238200391281,NA,NA,NA,0.193075096213682,0.000199549083757437
"JUN","FOSB::JUN","MA1127.1","3.50964",0.000222146,0.794467,0.753617,0.0879733,27,"False",0.012285611625,2.83225218082675e-11,0.0572849372088635,0.806029998663612,0.811116625985436,-0.0442625446268595,0.330525259944909,0.118081710813035
"Atf1","Atf1","MA0604.1","3.49814",0.000232698,0.877084,0.839285,0.0670973,27,"False",0.012285611625,2.1319639478665e-16,5.94384414565785e-07,0.844500799223908,0.848329779122865,-0.217736848686423,8.43979120565409e-05,0.0539591449498443
"CREM","CREM","MA0609.2","3.49126",0.000237648,0.766864,0.727025,0.0931706,27,"False",0.012285611625,0.000647590958304926,4.04401292802337e-05,NA,NA,NA,0.353378026723772,0.402476563196055
"BHLHE40","BHLHE40","MA0464.2","3.48672",0.000242899,0.8505,0.809721,0.0720247,27,"False",0.012285611625,0.00578798850966605,0.0181625453604263,0.90201203267284,0.903961469993565,0.373421707659213,0.466092892159819,0.576158587183516
"FOS","FOS::JUN","MA1126.1","3.48137",0.000247569,0.782317,0.74861,0.0639544,27,"False",0.012285611625,0.451211299938797,0.457513240692917,NA,NA,NA,0.17287279126427,4.31836413542974e-05
"JUN","FOS::JUN","MA1126.1","3.48137",0.000247569,0.782317,0.74861,0.0639544,27,"False",0.012285611625,2.83225218082675e-11,0.0572849372088635,0.806029998663612,0.811116625985436,-0.0442625446268595,0.330525259944909,0.118081710813035
"FOSB","FOSB::JUNB","MA1136.1","3.44769",0.00028058,0.818449,0.780211,0.0741947,27,"False",0.0123766955555556,0.564595018443689,0.358238200391281,NA,NA,NA,0.193075096213682,0.000199549083757437
"JUNB","FOSB::JUNB","MA1136.1","3.44769",0.00028058,0.818449,0.780211,0.0741947,27,"False",0.0123766955555556,0.000452443648957105,0.252798656942365,0.640764172262577,NA,0.791248031836058,0.224327903645252,0.0192914790453465
"BHLHE41","BHLHE41","MA0636.1","3.42059",0.000310315,0.813232,0.775543,0.0704305,27,"False",0.0129679005263158,5.37730771917603e-20,2.17202072213569e-10,0.850161715629395,0.853982752931019,-0.143470416809273,0.0300322450012674,0.0279823035501029
"FOSL2","FOSL2::JUN","MA1131.1","3.28779",0.000501081,0.815061,0.777587,0.0799765,27,"False",0.0179582339230769,3.54030676028219e-14,0.37084532090348,0.886550541820191,0.889051693775451,-0.394765599396602,0.44625134594057,0.378719810810168
"JUN","FOSL2::JUN","MA1131.1","3.28779",0.000501081,0.815061,0.777587,0.0799765,27,"False",0.0179582339230769,2.83225218082675e-11,0.0572849372088635,0.806029998663612,0.811116625985436,-0.0442625446268595,0.330525259944909,0.118081710813035
"FOSL1","FOSL1::JUN","MA1129.1","3.24834",0.000576715,0.802627,0.765238,0.0748269,27,"False",0.0179582339230769,NA,NA,NA,NA,NA,NA,NA
"JUN","FOSL1::JUN","MA1129.1","3.24834",0.000576715,0.802627,0.765238,0.0748269,27,"False",0.0179582339230769,2.83225218082675e-11,0.0572849372088635,0.806029998663612,0.811116625985436,-0.0442625446268595,0.330525259944909,0.118081710813035
"ATF7","ATF7","MA0834.1","3.24288",0.000586915,0.765314,0.727749,0.0848494,27,"False",0.0179582339230769,1.2337177562634e-14,4.53970360920016e-09,0.985900156427448,0.985789091355466,-0.0639206277097583,2.39272717564902e-05,0.0215547027451471
"FOSL1","FOSL1::JUND","MA1143.1","3.2425",0.000588053,0.843196,0.80978,0.0725287,27,"False",0.0179582339230769,NA,NA,NA,NA,NA,NA,NA
"JUND","FOSL1::JUND","MA1143.1","3.2425",0.000588053,0.843196,0.80978,0.0725287,27,"False",0.0179582339230769,1.07755516899666e-14,0.000134582073371828,0.97762921936012,0.97779959846904,-0.0454629042920208,0.680373635975991,0.353649847136427
"ARNT2","ARNT2","MA1464.1","3.19696",0.000689995,0.842161,0.803892,0.079035,27,"False",0.0202909640740741,1.16935378280339e-13,1.89318153084712e-07,NA,NA,NA,0.855061062568435,0.0764348786440777
"Creb5","Creb5","MA0840.1","3.16679",0.000765238,0.794508,0.756349,0.0844592,27,"False",0.0216999632857143,0.702524501240235,0.0314263064653098,0.536168641408548,0.537376372882726,1.30105945500025,0.37489153275796,0.0931327663634434
"FOSL2","FOSL2::JUNB","MA1139.1","3.13038",0.000866211,0.786269,0.74857,0.0892111,27,"False",0.0223595010322581,3.54030676028219e-14,0.37084532090348,0.886550541820191,0.889051693775451,-0.394765599396602,0.44625134594057,0.378719810810168
"JUNB","FOSL2::JUNB","MA1139.1","3.13038",0.000866211,0.786269,0.74857,0.0892111,27,"False",0.0223595010322581,0.000452443648957105,0.252798656942365,0.640764172262577,NA,0.791248031836058,0.224327903645252,0.0192914790453465
"E2F2","E2F2","MA0864.2","3.12936",0.000872978,0.782052,0.755513,0.0412744,27,"False",0.0223595010322581,NA,NA,NA,NA,NA,NA,NA
