"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"SMAD3","SMAD3","MA0795.1","2.41793",0.00779993,0.802257,0.752813,0.053063,6,"False",0.877318056074766,3.93957994086895e-11,0.00149198192259915,0.945495103676875,0.945083763353985,-0.122409426540783,0.338281976186447,0.925600333164244
"Smad4","Smad4","MA1153.1","2.26087",0.011875,0.909713,0.855839,0.0743446,6,"False",0.877318056074766,1.14802426846525e-09,2.0532277592501e-05,NA,NA,NA,0.280951413711826,0.601684941650713
"RUNX3","RUNX3","MA0684.2","1.98091",0.0237861,0.869199,0.823821,0.0748447,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"SIX2","SIX2","MA1119.1","1.93063",0.0267605,0.77582,0.737451,0.0279696,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"HIC2","HIC2","MA0738.1","1.92334",0.0272111,0.937666,0.90489,0.0362111,6,"False",0.877318056074766,2.65077078144955e-08,0.00127909685145407,0.950636006254258,0.950170183692004,-0.250429646587572,0.765186964159318,0.538146584237385
"EN2","EN2","MA0642.1","1.86027",0.0314194,0.902227,0.86434,0.0272627,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"Plagl1","Plagl1","MA1615.1","1.84452",0.0325453,0.871632,0.825969,0.0523511,6,"False",0.877318056074766,0.068645277543098,0.086250258370917,NA,NA,NA,0.811669286343789,0.391544717668739
"Hic1","Hic1","MA0739.1","1.80949",0.0351776,0.896499,0.864458,0.0391373,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"KLF4","KLF4","MA0039.4","1.74241",0.0407108,0.928779,0.879556,0.0517363,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"RUNX1","RUNX1","MA0002.2","1.68791",0.0456955,0.88229,0.852338,0.0533109,6,"False",0.877318056074766,0.000877815704717833,0.0232087840762866,0.662162484827991,0.666123874002263,-0.00753010060608132,0.943998061214937,0.700807024406982
"SMAD5","SMAD5","MA1557.1","1.67242",0.0472089,0.812499,0.781728,0.0430919,6,"False",0.877318056074766,1.2564490088428e-10,8.5365651976707e-07,0.945495103676875,0.945083763353985,0.186150331222546,0.304250458996083,0.888198286223552
"ZNF740","ZNF740","MA0753.2","1.66028",0.0484207,0.847525,0.803708,0.0484237,6,"False",0.877318056074766,0.0433000242287891,0.00282338692421169,NA,NA,NA,0.504906188666331,0.136895960173406
"SIX1","SIX1","MA1118.1","1.6473",0.0497431,0.823694,0.788541,0.0241374,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"Rhox11","Rhox11","MA0629.1","1.64574",0.0498919,0.822726,0.793401,0.0489858,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"TWIST1","TWIST1","MA1123.2","1.6187",0.0527444,0.851243,0.816578,0.0470844,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"NFIC","NFIC","MA1527.1","1.60386",0.0543392,0.77649,0.743314,0.0814558,6,"False",0.877318056074766,3.0807443574407e-15,0.00021676187679852,0.658136891812697,0.662105451366478,-0.281565716339801,0.100062362670768,0.74048431014664
"NFATC2","NFATC2","MA0152.1","1.59055",0.0558394,0.938434,0.903213,0.0566931,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"SP1","SP1","MA0079.4","1.57482",0.0576298,0.853627,0.812589,0.0742532,6,"False",0.877318056074766,3.26440696717854e-11,0.000775580420000031,0.797191673120785,0.802567142635491,-0.387437020317759,0.0968530110235186,0.590200997148204
"GSX1","GSX1","MA0892.1","1.5733",0.0578127,0.901011,0.865483,0.0484088,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"HAND2","HAND2","MA1638.1","1.56246",0.0590677,0.901335,0.863946,0.0746598,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"CEBPE","CEBPE","MA0837.1","1.55324",0.0601759,0.851124,0.819648,0.0312732,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"SOX18","SOX18","MA1563.1","1.53845",0.061955,0.940103,0.919466,0.0317427,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"E2F2","E2F2","MA0864.2","1.52942",0.0630577,0.783022,0.755513,0.0552246,6,"False",0.877318056074766,NA,NA,NA,NA,NA,NA,NA
"THRB","THRB","MA1575.1","1.52367",0.0637828,0.764677,0.739063,0.0362845,6,"False",0.877318056074766,0.000865387333497998,0.134511183144196,NA,NA,NA,0.126569869090882,0.80733044002025
