"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","15.4064",8.61923e-55,0.847972,0.805366,0.0712211,480,"False",6.84366862e-52,2.60798251141922e-13,1.25347190436997e-06,0.962582329789301,0.963019639617838,0.15006098910641,0.794771887293007,0.913724333027705
"ELK4","ELK4","MA0076.2","14.9967",7.4428e-52,0.890842,0.852902,0.0586282,480,"False",2.9547916e-49,0.216234433536582,0.144738503622096,NA,NA,NA,0.939664102582775,0.198893206762858
"ELK3","ELK3","MA0759.1","14.8652",3.94262e-51,0.865222,0.827514,0.064464,480,"False",1.04348009333333e-48,1.83489520492048e-08,1.04246261946369e-05,0.90071007759344,0.902768985147406,0.276435589786084,0.770369618398888,0.72455491660572
"FEV","FEV","MA0156.2","14.3073",1.74303e-47,0.875065,0.840666,0.0598283,480,"False",3.45991455e-45,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","14.2301",5.3722e-47,0.864295,0.82927,0.0612683,480,"False",8.5310536e-45,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","14.0145",1.45352e-45,0.888566,0.853063,0.0594382,480,"False",1.92349146666667e-43,2.21786004662904e-47,2.71141802282943e-15,0.705625883524589,0.710056628600608,0.171965741538723,0.525071612226086,0.804727881564744
"ETS1","ETS1","MA0098.3","13.7732",3.99655e-44,0.878881,0.846278,0.0575338,480,"False",4.4494966e-42,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"ZBTB7A","ZBTB7A","MA0750.2","13.7857",4.48312e-44,0.866693,0.829929,0.0584496,480,"False",4.4494966e-42,0.000183298788272092,0.0649784437926891,NA,NA,NA,0.824226257085927,0.739031208167951
"ERG","ERG","MA0474.2","13.6358",2.7277e-43,0.880328,0.84857,0.0566662,480,"False",2.40643755555556e-41,0.0117629246815227,0.074150636640686,0.978018348518368,0.978080721083949,0.286903406313592,0.494196477678909,0.968149652437598
"ETS2","ETS2","MA1484.1","13.407",6.04299e-42,0.880405,0.848397,0.059304,480,"False",4.57986418181818e-40,1.06616862400753e-09,0.000134696082391824,0.976817426228403,0.977095241710596,0.0153225437682646,0.953970604958081,0.601684941650713
"ERF","ERF","MA0760.1","13.3993",6.3449e-42,0.862246,0.83128,0.0584587,480,"False",4.57986418181818e-40,0.820078478439193,0.130933789364953,NA,NA,NA,0.296659111644581,0.171662567411794
"ETV6","ETV6","MA0645.1","13.2222",9.13691e-41,0.8839,0.851358,0.0568781,480,"False",6.04558878333333e-39,1.21042656782334e-10,2.13711925443013e-05,0.754838985799621,0.75941410480671,0.103902653787737,0.00134756372924481,0.0995408801158801
"ETV3","ETV3","MA0763.1","12.4152",2.56284e-36,0.863405,0.835857,0.0579182,480,"False",1.56530381538462e-34,6.66918262793846e-05,4.56787821450083e-05,0.859563895793056,0.862930821383179,0.396991626007929,0.934178684590788,0.96707758220209
"ELF2","ELF2","MA1483.1","12.114",1.3039e-34,0.819167,0.790052,0.0594458,480,"False",7.39497571428571e-33,4.33902874084946e-25,4.7443974401729e-11,0.829222912571918,0.833666829537594,-0.113536993173646,0.125263147239614,0.887084600715537
"ELF4","ELF4","MA0641.1","11.7299",1.44631e-32,0.808504,0.779983,0.0595786,480,"False",7.65580093333333e-31,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","10.8888",3.08534e-28,0.853103,0.821895,0.0616167,480,"False",1.531099975e-26,0.393398577395043,0.0939729780741864,0.958004204603375,NA,0.532509065878201,0.42364730411637,0.859035020241562
"ETV2","ETV2","MA0762.1","10.8576",3.31746e-28,0.829969,0.805106,0.0574378,480,"False",1.54944896470588e-26,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","10.79",9.01731e-28,0.799601,0.772676,0.054363,480,"False",3.97763563333333e-26,1.41547877752924e-12,8.41093936150296e-09,0.934592042524953,0.934726256887232,0.150764672279324,0.135781752654608,0.0988637959401368
"ELF5","ELF5","MA0136.2","10.0099",3.29958e-24,0.885096,0.864397,0.0479058,480,"False",1.37887711578947e-22,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","9.54642",4.20654e-22,0.836376,0.817285,0.0387449,480,"False",1.66999638e-20,1.98492176377559e-07,0.011791423002243,0.881355284106955,0.883668103644208,-0.183095768376744,0.0186167650351198,0.441349186985249
"HINFP","HINFP","MA0131.2","9.41339",1.64009e-21,0.843744,0.819262,0.0461878,480,"False",6.20110219047619e-20,0.000495075082477803,0.431607492227991,NA,NA,NA,0.000308923654461576,0.000173574753012799
"SPDEF","SPDEF","MA0686.1","9.27505",4.4776e-21,0.821936,0.801715,0.0524692,480,"False",1.61600654545455e-19,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","9.19035",1.18456e-20,0.87404,0.844252,0.0675662,480,"False",4.08930713043478e-19,1.3710271005232e-14,1.31784098118692e-06,NA,0.604927209289281,NA,0.000600887404615366,0.153577959461344
"HES1","HES1","MA1099.2","8.8986",1.95169e-19,0.879232,0.85239,0.0558149,480,"False",6.45684108333333e-18,NA,NA,NA,NA,NA,NA,NA
"E2F2","E2F2","MA0864.2","8.82175",3.52197e-19,0.773357,0.755513,0.0424539,480,"False",1.118577672e-17,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","8.78281",4.46692e-19,0.861948,0.839285,0.0603231,480,"False",1.36412864615385e-17,2.1319639478665e-16,5.94384414565785e-07,0.844500799223908,0.848329779122865,-0.217736848686423,8.43979120565409e-05,0.0539591449498443
"ARNT","ARNT::HIF1A","MA0259.1","8.76906",6.30691e-19,0.914728,0.890666,0.0505152,480,"False",1.78244786206897e-17,1.22552266430589e-10,7.77314537191521e-07,NA,NA,NA,0.00139510112582906,0.41214439122181
