"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ELK1","ELK1","MA0028.2","15.1157",8.35839e-53,0.847739,0.805366,0.0715217,467,"False",6.63656166e-50,2.60798251141922e-13,1.25347190436997e-06,0.962582329789301,0.963019639617838,0.15006098910641,0.794771887293007,0.913724333027705
"ELK4","ELK4","MA0076.2","14.5456",6.78938e-49,0.890205,0.852902,0.0589399,467,"False",2.5766094e-46,0.216234433536582,0.144738503622096,NA,NA,NA,0.939664102582775,0.198893206762858
"ELK3","ELK3","MA0759.1","14.5002",9.7353e-49,0.864799,0.827514,0.0648044,467,"False",2.5766094e-46,1.83489520492048e-08,1.04246261946369e-05,0.90071007759344,0.902768985147406,0.276435589786084,0.770369618398888,0.72455491660572
"FEV","FEV","MA0156.2","13.9892",1.7842e-45,0.87476,0.840666,0.0601101,467,"False",3.541637e-43,NA,NA,NA,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","13.9712",2.32419e-45,0.864127,0.82927,0.0614048,467,"False",3.69081372e-43,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","13.5456",1.09199e-42,0.887847,0.853063,0.0596201,467,"False",1.44506676666667e-40,2.21786004662904e-47,2.71141802282943e-15,0.705625883524589,0.710056628600608,0.171965741538723,0.525071612226086,0.804727881564744
"ETS1","ETS1","MA0098.3","13.4695",2.81102e-42,0.878597,0.846278,0.0577887,467,"False",3.18849982857143e-40,4.56691019724721e-26,4.57442455333605e-19,0.141091765269273,0.140770993732209,0.331850689863783,0.310547839258929,0.718889099040543
"ZBTB7A","ZBTB7A","MA0750.2","13.433",6.10305e-42,0.866243,0.829929,0.0586104,467,"False",6.057277125e-40,0.000183298788272092,0.0649784437926891,NA,NA,NA,0.824226257085927,0.739031208167951
"ERG","ERG","MA0474.2","13.3529",1.38343e-41,0.880094,0.84857,0.0569202,467,"False",1.22049268888889e-39,0.0117629246815227,0.074150636640686,0.978018348518368,0.978080721083949,0.286903406313592,0.494196477678909,0.968149652437598
"ETS2","ETS2","MA1484.1","13.1795",1.36627e-40,0.880292,0.848397,0.0595754,467,"False",1.08481838e-38,1.06616862400753e-09,0.000134696082391824,0.976817426228403,0.977095241710596,0.0153225437682646,0.953970604958081,0.601684941650713
"ERF","ERF","MA0760.1","13.1674",1.52646e-40,0.862125,0.83128,0.0586885,467,"False",1.10182658181818e-38,0.820078478439193,0.130933789364953,NA,NA,NA,0.296659111644581,0.171662567411794
"ETV6","ETV6","MA0645.1","12.7385",5.65962e-38,0.883138,0.851358,0.0571051,467,"False",3.7447819e-36,1.21042656782334e-10,2.13711925443013e-05,0.754838985799621,0.75941410480671,0.103902653787737,0.00134756372924481,0.0995408801158801
"ETV3","ETV3","MA0763.1","12.2115",3.46155e-35,0.863322,0.835857,0.0580564,467,"False",2.11420823076923e-33,6.66918262793846e-05,4.56787821450083e-05,0.859563895793056,0.862930821383179,0.396991626007929,0.934178684590788,0.96707758220209
"ELF2","ELF2","MA1483.1","11.7573",1.04661e-32,0.818695,0.790052,0.0595444,467,"False",5.93577385714286e-31,4.33902874084946e-25,4.7443974401729e-11,0.829222912571918,0.833666829537594,-0.113536993173646,0.125263147239614,0.887084600715537
"ELF4","ELF4","MA0641.1","11.3472",1.36888e-30,0.807949,0.779983,0.0595476,467,"False",7.24593813333333e-29,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","10.8044",7.80899e-28,0.800006,0.772676,0.0545711,467,"False",3.8752112875e-26,1.41547877752924e-12,8.41093936150296e-09,0.934592042524953,0.934726256887232,0.150764672279324,0.135781752654608,0.0988637959401368
"ETV2","ETV2","MA0762.1","10.773",8.71883e-28,0.83011,0.805106,0.0574142,467,"False",4.07220648235294e-26,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","10.3058",1.73789e-25,0.851834,0.821895,0.0612981,467,"False",7.66602588888889e-24,0.393398577395043,0.0939729780741864,0.958004204603375,NA,0.532509065878201,0.42364730411637,0.859035020241562
"ELF5","ELF5","MA0136.2","9.65375",1.21111e-22,0.884633,0.864397,0.048051,467,"False",5.06116494736842e-21,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","9.51227",5.9052e-22,0.836569,0.817285,0.0389872,467,"False",2.3443644e-20,1.98492176377559e-07,0.011791423002243,0.881355284106955,0.883668103644208,-0.183095768376744,0.0186167650351198,0.441349186985249
"HINFP","HINFP","MA0131.2","9.27366",6.23679e-21,0.843713,0.819262,0.0465466,467,"False",2.3581006e-19,0.000495075082477803,0.431607492227991,NA,NA,NA,0.000308923654461576,0.000173574753012799
"SPDEF","SPDEF","MA0686.1","9.18375",1.09009e-20,0.822008,0.801715,0.0522263,467,"False",3.93423390909091e-19,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","9.04305",4.7265e-20,0.873965,0.844252,0.0678409,467,"False",1.63167e-18,1.3710271005232e-14,1.31784098118692e-06,NA,0.604927209289281,NA,0.000600887404615366,0.153577959461344
"E2F2","E2F2","MA0864.2","8.83889",3.03579e-19,0.773637,0.755513,0.0427416,467,"False",1.004340525e-17,NA,NA,NA,NA,NA,NA,NA
"HES1","HES1","MA1099.2","8.82117",3.95553e-19,0.879365,0.85239,0.0561606,467,"False",1.256276328e-17,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","8.66586",1.29186e-18,0.861951,0.839285,0.0604226,467,"False",3.85299842857143e-17,2.1319639478665e-16,5.94384414565785e-07,0.844500799223908,0.848329779122865,-0.217736848686423,8.43979120565409e-05,0.0539591449498443
"ARNT","ARNT::HIF1A","MA0259.1","8.684",1.35874e-18,0.914822,0.890666,0.0505583,467,"False",3.85299842857143e-17,1.22552266430589e-10,7.77314537191521e-07,NA,NA,NA,0.00139510112582906,0.41214439122181
"HIF1A","ARNT::HIF1A","MA0259.1","8.684",1.35874e-18,0.914822,0.890666,0.0505583,467,"False",3.85299842857143e-17,8.10375244811794e-10,3.17358082367836e-07,0.905286212676009,0.907512433246763,0.21206496719726,0.457269379900062,0.984211068051209
