Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Complement and coagulation cascades,1.910310073247673e-06,8.736822973464195,115.04862532321418,"['C1QB', 'C1QA', 'SERPINA1', 'C5AR1', 'ITGAX', 'F13A1', 'PLAT', 'VSIG4', 'A2M', 'CD55', 'C1QC']",0.0005157837197768717,0,0,11
2,Neuroactive ligand-receptor interaction,0.00013471799406863003,3.363273983523784,29.97459718605977,"['P2RY13', 'CHRM3', 'GRID2', 'C5AR1', 'ADRB2', 'OPRM1', 'GABRG3', 'GRM1', 'CYSLTR1', 'HRH1', 'GRM5', 'CALCR', 'GRM7', 'HRH2', 'LEPR', 'TSPO']",0.014231536073028147,0,0,16
3,Cytokine-cytokine receptor interaction,0.00015812817858920164,3.47906010230179,30.44909791436738,"['IFNAR2', 'CX3CR1', 'IL4R', 'IL15', 'TNFSF13', 'TNFRSF13C', 'TNFRSF11A', 'TNFRSF1B', 'CSF2RA', 'TNFRSF10D', 'TNFSF13B', 'CXCL12', 'IL3RA', 'LEPR', 'IL21R']",0.014231536073028147,0,0,15
4,Coronavirus disease,0.0002507717618591017,2.308129275304848,19.13662445608338,"['C1QB', 'C1QA', 'RPLP1', 'RPL12', 'C5AR1', 'RPL36A', 'F13A1', 'RELA', 'RPS15A', 'RPL18A', 'RPS19', 'CASP1', 'NLRP3', 'RPS2', 'RPL39', 'RPS10', 'IKBKE', 'RPS13', 'IFNAR2', 'STAT3', 'FCGR2A', 'OAS1', 'RPS29', 'RPL26', 'TLR3', 'TLR2', 'C1QC']",0.016927093925489363,0,0,27
5,JAK-STAT signaling pathway,0.0007374062773475492,2.9267061515681787,21.108492210257673,"['IFNAR2', 'STAT5A', 'CDKN1A', 'IL4R', 'IL15', 'STAT3', 'PDGFB', 'CSF2RA', 'IL3RA', 'LEPR', 'PIM1', 'IL21R', 'SOCS6', 'JAK3', 'PTPN2']",0.03981993897676766,0,0,15
6,Cholesterol metabolism,0.0009107266289002201,4.920997042670047,34.45321805893526,"['LIPC', 'NPC2', 'APOC2', 'LIPG', 'APOC1', 'TSPO', 'APOE', 'PLTP']",0.04098269830050991,0,0,8
7,Toll-like receptor signaling pathway,0.0015348843275851882,2.945777800916285,19.08657886373322,"['IFNAR2', 'TICAM2', 'LY96', 'RELA', 'IRF7', 'SPP1', 'MAP3K8', 'CD14', 'TLR5', 'IKBKE', 'TLR3', 'MAP2K6', 'TLR2']",0.053811101065539275,0,0,13
8,Legionellosis,0.001594402994534497,3.5754396032299054,23.030321478405764,"['HSPA6', 'CASP1', 'CYCS', 'CD14', 'TLR5', 'RELA', 'HSPA1B', 'TLR2', 'HSPD1', 'HSPA1A']",0.053811101065539275,0,0,10
9,Staphylococcus aureus infection,0.001999234089391713,4.21654897700525,26.20581447895402,"['C1QB', 'C1QA', 'FCGR3A', 'SELPLG', 'FCGR2A', 'C5AR1', 'HLA-DPA1', 'C1QC']",0.059977022681751396,0,0,8
10,Lipid and atherosclerosis,0.002521683555582194,2.095550041356493,12.537316558615638,"['XBP1', 'HSP90AA1', 'TICAM2', 'HSPA5', 'SRC', 'STAT3', 'HSPA6', 'LY96', 'RELA', 'HSP90B1', 'HSPD1', 'CASP1', 'IRF7', 'OLR1', 'NLRP3', 'CYCS', 'CD14', 'IKBKE', 'HSPA1B', 'TLR2', 'HSPA1A', 'MAP2K6']",0.06808545600071923,0,0,22
