Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-1282,0.005800289694880699,1.6167106420404573,8.325813121173974,"['DDX3Y', 'CPM', 'TENM2', 'NOTCH1', 'SELPLG', 'AHNAK', 'FAM13A', 'PRICKLE2', 'FMN1', 'CACNA1C', 'LDB2', 'TNFSF13B', 'SH3PXD2B', 'CASP4', 'FFAR4', 'ZNF385B', 'IKBKE', 'SRGAP1', 'LAIR1', 'RGS6', 'CALN1', 'AGFG1', 'P2RY12', 'SLC16A1', 'PLEKHG5', 'SFMBT2', 'SLC11A1', 'MTUS2', 'ATP11A', 'TNFRSF10D', 'PDIA4', 'PLCXD3', 'FGF14', 'UQCRQ', 'ZNF814', 'KIF26B', 'PRKCQ', 'TCF4', 'PTPN2']",0.9999566423258839,0,0,39
2,mmu-miR-1843-3p,0.02432611337666575,1.32523737044285,4.924853584625529,"['CPM', 'PID1', 'SERPINA1', 'FRMPD4', 'MAP3K7CL', 'SLA', 'F13A1', 'PLAT', 'FMN1', 'RORA', 'KBTBD12', 'GRM5', 'GOLGA4', 'PAPOLG', 'SH3PXD2B', 'TBC1D30', 'LEPR', 'PIM1', 'ZNF385B', 'DLGAP1', 'PLXNC1', 'IKBKE', 'CTSD', 'CALN1', 'SRRM4', 'TICAM2', 'KCND2', 'SFMBT2', 'SORCS1', 'NAV2', 'UNC5D', 'KSR2', 'ATG14', 'SYN3', 'TNFRSF1B', 'MPEG1', 'PDIA4', 'KCTD7', 'FGR', 'NME9', 'RBMS1', 'CCDC191', 'MGLL', 'CDH18', 'PFN2', 'NRN1', 'SLC5A3', 'PPM1E', 'PHF21A', 'DNAJB1', 'HSPH1', 'CHSY1', 'KCNMB2', 'ADAMTS17', 'PLXNA2', 'SLC38A2', 'KCNJ2', 'ANGPT2', 'RASL10A', 'MYO10', 'EDEM1', 'TNFSF13', 'VEGFA', 'EEPD1', 'PTPRB', 'FAM135B', 'PIK3AP1']",0.9999566423258839,0,0,67
3,mmu-miR-669f-5p,0.040158888782724785,1.2429905556960958,3.99610459925081,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'TNFAIP3', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'SGCB', 'TRPS1', 'RASGEF1C', 'CHORDC1', 'CLEC5A', 'NEK3', 'THSD7A', 'ERC2', 'DLGAP2', 'GPSM3', 'RGS6', 'KCNH1', 'SRRM4', 'ARG2', 'CD93', 'DUSP1', 'SFMBT2', 'WNT5A', 'MTUS2', 'KAZN', 'TBC1D2B', 'MYRIP', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCTD7', 'CACNB4', 'ELF2', 'CHI3L1', 'KCNQ5', 'PDE5A', 'FAM20A', 'MGLL', 'PPARD', 'BEAN1', 'ABHD3', 'TSHZ2', 'NLRC5', 'CACNA1B', 'NRXN3', 'SEC14L2', 'SEC14L1', 'ZMAT4', 'CHST15', 'IL21R', 'PLXNA2', 'TBC1D14', 'GPC6', 'SRGAP1', 'LAIR1', 'S100A11', 'CD55', 'KCNJ2', 'OPCML', 'GSDMD', 'LMLN', 'ST14', 'TTC12', 'ANGPT2', 'GK', 'LIMK2', 'KCNIP4', 'RAB27B', 'PLXDC1', 'PTPN14', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'CXCL12', 'TCF4', 'MDGA2', 'MXD1']",0.9999566423258839,0,0,89
4,mmu-miR-669l,0.040158888782724785,1.2429905556960958,3.99610459925081,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'TNFAIP3', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'SGCB', 'TRPS1', 'RASGEF1C', 'CHORDC1', 'CLEC5A', 'NEK3', 'THSD7A', 'ERC2', 'DLGAP2', 'GPSM3', 'RGS6', 'KCNH1', 'SRRM4', 'ARG2', 'CD93', 'DUSP1', 'SFMBT2', 'WNT5A', 'MTUS2', 'KAZN', 'TBC1D2B', 'MYRIP', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCTD7', 'CACNB4', 'ELF2', 'CHI3L1', 'KCNQ5', 'PDE5A', 'FAM20A', 'MGLL', 'PPARD', 'BEAN1', 'ABHD3', 'TSHZ2', 'NLRC5', 'CACNA1B', 'NRXN3', 'SEC14L2', 'SEC14L1', 'ZMAT4', 'CHST15', 'IL21R', 'PLXNA2', 'TBC1D14', 'GPC6', 'SRGAP1', 'LAIR1', 'S100A11', 'CD55', 'KCNJ2', 'OPCML', 'GSDMD', 'LMLN', 'ST14', 'TTC12', 'ANGPT2', 'GK', 'LIMK2', 'KCNIP4', 'RAB27B', 'PLXDC1', 'PTPN14', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'CXCL12', 'TCF4', 'MDGA2', 'MXD1']",0.9999566423258839,0,0,89
5,mmu-miR-669a-5p,0.040158888782724785,1.2429905556960958,3.99610459925081,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'TNFAIP3', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'SGCB', 'TRPS1', 'RASGEF1C', 'CHORDC1', 'CLEC5A', 'NEK3', 'THSD7A', 'ERC2', 'DLGAP2', 'GPSM3', 'RGS6', 'KCNH1', 'SRRM4', 'ARG2', 'CD93', 'DUSP1', 'SFMBT2', 'WNT5A', 'MTUS2', 'KAZN', 'TBC1D2B', 'MYRIP', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCTD7', 'CACNB4', 'ELF2', 'CHI3L1', 'KCNQ5', 'PDE5A', 'FAM20A', 'MGLL', 'PPARD', 'BEAN1', 'ABHD3', 'TSHZ2', 'NLRC5', 'CACNA1B', 'NRXN3', 'SEC14L2', 'SEC14L1', 'ZMAT4', 'CHST15', 'IL21R', 'PLXNA2', 'TBC1D14', 'GPC6', 'SRGAP1', 'LAIR1', 'S100A11', 'CD55', 'KCNJ2', 'OPCML', 'GSDMD', 'LMLN', 'ST14', 'TTC12', 'ANGPT2', 'GK', 'LIMK2', 'KCNIP4', 'RAB27B', 'PLXDC1', 'PTPN14', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'CXCL12', 'TCF4', 'MDGA2', 'MXD1']",0.9999566423258839,0,0,89
6,mmu-miR-669p,0.040158888782724785,1.2429905556960958,3.99610459925081,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'TNFAIP3', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'SGCB', 'TRPS1', 'RASGEF1C', 'CHORDC1', 'CLEC5A', 'NEK3', 'THSD7A', 'ERC2', 'DLGAP2', 'GPSM3', 'RGS6', 'KCNH1', 'SRRM4', 'ARG2', 'CD93', 'DUSP1', 'SFMBT2', 'WNT5A', 'MTUS2', 'KAZN', 'TBC1D2B', 'MYRIP', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCTD7', 'CACNB4', 'ELF2', 'CHI3L1', 'KCNQ5', 'PDE5A', 'FAM20A', 'MGLL', 'PPARD', 'BEAN1', 'ABHD3', 'TSHZ2', 'NLRC5', 'CACNA1B', 'NRXN3', 'SEC14L2', 'SEC14L1', 'ZMAT4', 'CHST15', 'IL21R', 'PLXNA2', 'TBC1D14', 'GPC6', 'SRGAP1', 'LAIR1', 'S100A11', 'CD55', 'KCNJ2', 'OPCML', 'GSDMD', 'LMLN', 'ST14', 'TTC12', 'ANGPT2', 'GK', 'LIMK2', 'KCNIP4', 'RAB27B', 'PLXDC1', 'PTPN14', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'CXCL12', 'TCF4', 'MDGA2', 'MXD1']",0.9999566423258839,0,0,89
7,hsa-miR-187,0.04194661918114337,1.39599910793934,4.427212158517516,"['CPM', 'RYR2', 'STEAP1B', 'ZNF490', 'PLOD3', 'FMN1', 'TNFRSF11A', 'FSTL4', 'ADGRE2', 'APOL6', 'SLC17A9', 'TRPS1', 'NFKBIZ', 'LEPR', 'PLXNA2', 'A2M', 'DLGAP2', 'TMSB10', 'SH2B2', 'GPSM3', 'CD276', 'CALN1', 'PDK1', 'CD93', 'ELOVL5', 'ATP2B4', 'UNC5D', 'ATP11A', 'KSR2', 'PLXDC1', 'DNAJC3', 'AGBL4', 'BCL6', 'RCAN3', 'NUPR1', 'RAD18', 'FKBP5']",0.9999566423258839,0,0,37
8,mmu-miR-190,0.05041306673764255,1.239373368750615,3.7026339833675146,"['PTPRT', 'ROBO2', 'CNTNAP2', 'SPON1', 'PID1', 'GALNT13', 'CRTC3', 'SLA', 'PLAT', 'FMN1', 'RORA', 'IKZF2', 'PCSK5', 'FGF2', 'DEPTOR', 'RASSF2', 'NETO1', 'TRPS1', 'PAPOLG', 'CHORDC1', 'FFAR4', 'MS4A14', 'ERC2', 'ANKUB1', 'AGFG1', 'CALN1', 'ELOVL5', 'PDE4D', 'WNT5A', 'TBC1D2B', 'UNC5D', 'ATG14', 'FAM227B', 'RUNX1', 'DNAJC3', 'MS4A6A', 'CACNB4', 'OLFM3', 'CDCP1', 'NRG3', 'KCNQ5', 'FAM20A', 'ASTN1', 'CEBPA', 'CEMIP', 'BEAN1', 'NOTCH1', 'SRC', 'NLRC5', 'CACNA1C', 'PPM1E', 'FSTL4', 'SEC14L1', 'CALCR', 'CHST15', 'PLXNA2', 'TBC1D14', 'GBP2', 'ECT2', 'SOCS6', 'CSMD1', 'KCNJ2', 'OPCML', 'TMEM132D', 'STARD13', 'KCNIP1', 'EDEM1', 'STAT3', 'IGF1', 'L1CAM', 'PLCXD3', 'FGF14', 'CYCS', 'CCSER1', 'TCF4', 'CNTN4', 'SFXN2', 'MDGA2', 'SLC26A3', 'HCN1']",0.9999566423258839,0,0,80
9,mmu-miR-190b,0.05041306673764255,1.239373368750615,3.7026339833675146,"['PTPRT', 'ROBO2', 'CNTNAP2', 'SPON1', 'PID1', 'GALNT13', 'CRTC3', 'SLA', 'PLAT', 'FMN1', 'RORA', 'IKZF2', 'PCSK5', 'FGF2', 'DEPTOR', 'RASSF2', 'NETO1', 'TRPS1', 'PAPOLG', 'CHORDC1', 'FFAR4', 'MS4A14', 'ERC2', 'ANKUB1', 'AGFG1', 'CALN1', 'ELOVL5', 'PDE4D', 'WNT5A', 'TBC1D2B', 'UNC5D', 'ATG14', 'FAM227B', 'RUNX1', 'DNAJC3', 'MS4A6A', 'CACNB4', 'OLFM3', 'CDCP1', 'NRG3', 'KCNQ5', 'FAM20A', 'ASTN1', 'CEBPA', 'CEMIP', 'BEAN1', 'NOTCH1', 'SRC', 'NLRC5', 'CACNA1C', 'PPM1E', 'FSTL4', 'SEC14L1', 'CALCR', 'CHST15', 'PLXNA2', 'TBC1D14', 'GBP2', 'ECT2', 'SOCS6', 'CSMD1', 'KCNJ2', 'OPCML', 'TMEM132D', 'STARD13', 'KCNIP1', 'EDEM1', 'STAT3', 'IGF1', 'L1CAM', 'PLCXD3', 'FGF14', 'CYCS', 'CCSER1', 'TCF4', 'CNTN4', 'SFXN2', 'MDGA2', 'SLC26A3', 'HCN1']",0.9999566423258839,0,0,80
10,mmu-miR-376a,0.05434943788855534,1.5591830905455584,4.54084166976652,"['TMEM132D', 'CPM', 'TSHZ3', 'TSHZ2', 'FAM13A', 'NLRC5', 'ZC3HAV1', 'LDB2', 'KRI1', 'MPEG1', 'PHF21A', 'STXBP5L', 'GNA13', 'CTSO', 'PAPOLG', 'ADAMTS17', 'TBC1D30', 'GAL3ST4', 'ANKUB1']",0.9999566423258839,0,0,19
11,mmu-miR-380-5p,0.054628767660349783,1.2166332128997726,3.5369895733429573,"['ROBO2', 'OSCP1', 'PRR5', 'CNTNAP2', 'CHRM3', 'DOCK5', 'SH2D4A', 'FRMPD4', 'LOXL3', 'PLOD3', 'F13A1', 'FMN1', 'RORA', 'GRM5', 'CLEC1A', 'SH3PXD2B', 'NDST3', 'PIM1', 'ENPP1', 'FLVCR2', 'OLR1', 'DLGAP1', 'PLXNC1', 'IKBKE', 'RGS6', 'PDK1', 'UNC13C', 'SRRM4', 'SEMA6A', 'CD93', 'KCND2', 'ACSL1', 'KCNH7', 'MAMDC2', 'NRG1', 'SORCS1', 'ATP11A', 'KSR2', 'ATG14', 'GABRG3', 'EML1', 'RUNX1', 'KIAA1217', 'PCP4', 'MYADM', 'PRKCQ', 'KCNQ5', 'PDE5A', 'RHOU', 'AIDA', 'FKBP4', 'S100A9', 'MGLL', 'PFN2', 'NSMAF', 'KHDRBS2', 'BEAN1', 'NUFIP2', 'SRC', 'TSHZ2', 'CACNA1B', 'CACNA1C', 'PPM1E', 'FSTL4', 'SEC14L2', 'DRAM1', 'FAM184B', 'OLFML3', 'ZMAT4', 'EPB41L3', 'PLXNA2', 'SLC38A2', 'CSMD1', 'SRGAP1', 'PLTP', 'LMLN', 'P2RY13', 'ANGPT2', 'LRRN3', 'EDEM1', 'MCF2', 'ATP2B4', 'ALOX15B', 'IGF2R', 'STXBP5L', 'PLCXD3', 'DNAJA4', 'CCSER1', 'TCF4', 'MDGA2', 'NOP10', 'HCN1']",0.9999566423258839,0,0,92
12,hsa-miR-4684-3p,0.05498676004603577,1.1902340216322518,3.4524676083604935,"['CRTC3', 'TFRC', 'F13A1', 'RORA', 'ANTXR1', 'RIMS2', 'SALL1', 'RASSF2', 'RASSF4', 'PAPOLG', 'NDST3', 'CLEC5A', 'LEPR', 'PLXNC1', 'THSD7A', 'IFNAR2', 'SRRM4', 'SEMA6A', 'CD93', 'SLC11A1', 'PAQR3', 'WNT5A', 'CACNA2D3', 'KAZN', 'UNC5D', 'EML1', 'PDIA6', 'FOXP1', 'CACNB4', 'OLFM3', 'ZNF711', 'FKBP4', 'FKBP5', 'ASTN1', 'ABHD3', 'TSHZ2', 'CACNA1B', 'TMTC2', 'SLC5A3', 'SPATA6', 'MED12L', 'PHF21A', 'GNG10', 'SEC14L1', 'CALCR', 'MAN2A1', 'ECT2', 'SOCS6', 'EDEM1', 'AZIN2', 'RAB27A', 'NR1D2', 'IGF1', 'PTPRB', 'CXCL12', 'ZNF814', 'TCF4', 'RAD18', 'CPEB4', 'SLC44A5', 'CNTNAP2', 'DOCK5', 'RYR2', 'CPM', 'SH2D4A', 'TNFAIP3', 'FMN1', 'SLC2A3', 'LITAF', 'MS4A4A', 'INSL6', 'ADGRE2', 'FCGR3A', 'GRM5', 'CTSO', 'LRRTM4', 'TRPS1', 'ENOSF1', 'PMEPA1', 'ERC2', 'NRG1', 'NAV2', 'KSR2', 'PARP9', 'NAALADL2', 'RHOB', 'DNAJC3', 'ITPKC', 'NME9', 'RBMS1', 'RHOU', 'TLR5', 'CDH18', 'ST6GALNAC5', 'NUFIP2', 'PRICKLE2', 'DENND3', 'PPM1E', 'RELA', 'TMEM70', 'APOLD1', 'GNA13', 'APOL6', 'OLFML3', 'DNAJB4', 'IL21R', 'GPR155', 'P2RY13', 'GK', 'MYO10', 'KCNIP4', 'DTNBP1', 'FMO5', 'TBX19', 'VMP1', 'EEPD1', 'PER3', 'PTPN2', 'MPHOSPH6']",0.9999566423258839,0,0,119
