Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,CEBPA human,8.213836865620492e-06,11.204506337036458,131.20130032689008,"['CD163', 'STAT3', 'ITGAX', 'SPP1', 'IGF1', 'S100A9', 'CSF2RA', 'HAMP']",0.0011619745103735603,0,0,8
2,STAT3 human,8.420105147634495e-06,4.565997130559541,53.35316618363178,"['PROS1', 'HSPB1', 'PRDM1', 'OPRM1', 'FGF2', 'HIF1A', 'BCL6', 'OAS1', 'PIM1', 'HMOX1', 'CHI3L1', 'A2M', 'HAMP', 'IKBKE', 'S100A11']",0.0011619745103735603,0,0,15
3,STAT1 human,4.1934925890484354e-05,5.310878027681661,53.53041898133767,"['PLSCR1', 'STAT3', 'PIM1', 'IRF7', 'LY96', 'HMOX1', 'OPRM1', 'FGF2', 'TLR3', 'TNFSF13B', 'PSMB9']",0.0038580131819245605,0,0,11
4,ERG human,8.975315932992045e-05,19.173801369863014,178.67005817649934,"['EPB41L3', 'PIM1', 'SPP1', 'HMOX1', 'FGF2']",0.006192967993764511,0,0,5
5,SPI1 human,0.0006991176122659178,4.922271944922548,35.76370978528174,"['CD163', 'BCL6', 'FES', 'STAT3', 'MACROD1', 'ITGAX', 'TNFRSF11A', 'CSF2RA']",0.032782888988324946,0,0,8
6,SMAD1 mouse,0.0008206464811036665,15.312820512820513,108.80399259634025,"['SPP1', 'SMAD6', 'RUNX1', 'OVOL2']",0.032782888988324946,0,0,4
7,NFKB1 human,0.0008314500830372268,2.5367935042190735,17.99180024962064,"['TNFAIP3', 'TNFRSF13C', 'PROX1', 'OPRM1', 'LTC4S', 'HIF1A', 'PSMB9', 'TNFSF13B', 'CXCL12', 'NAMPT', 'NFKBIZ', 'ITGAX', 'IRF7', 'HMOX1', 'OLR1', 'A2M', 'TLR3', 'TLR2']",0.032782888988324946,0,0,18
8,NR1H3 mouse,0.0014053645711686014,12.248888888888889,80.4440697991713,"['ARG2', 'MAP3K8', 'APOE', 'PLTP']",0.04313738582913989,0,0,4
9,RELA human,0.001526818899216673,2.4595614665708125,15.949195692555769,"['STAT3', 'TNFAIP3', 'TNFRSF13C', 'PROX1', 'LTC4S', 'HIF1A', 'PSMB9', 'CXCL12', 'NAMPT', 'NFKBIZ', 'ITGAX', 'IRF7', 'HMOX1', 'OLR1', 'TLR3', 'TLR2', 'PPARD']",0.04313738582913989,0,0,17
10,STAT3 mouse,0.0015629487619253583,4.241438661048133,27.40470293166463,"['CEBPD', 'STAT3', 'TCF4', 'PRDM1', 'JAK3', 'HIF1A', 'HAMP', 'RELA']",0.04313738582913989,0,0,8
