Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4684-3p,0.018849848612169047,1.28999209486166,5.122881617949727,"['DOCK5', 'RYR2', 'CRTC3', 'SH2D4A', 'F13A1', 'TNFAIP3', 'FMN1', 'LITAF', 'ANTXR1', 'MS4A4A', 'RIMS2', 'INSL6', 'ADGRE2', 'CTSO', 'FCGR3A', 'SALL1', 'RASSF2', 'RASSF4', 'TRPS1', 'ENOSF1', 'PAPOLG', 'NDST3', 'CLEC5A', 'PMEPA1', 'PLXNC1', 'ERC2', 'IFNAR2', 'SEMA6A', 'CD93', 'SLC11A1', 'PAQR3', 'WNT5A', 'NRG1', 'NAV2', 'KSR2', 'PARP9', 'NAALADL2', 'FOXP1', 'ITPKC', 'CACNB4', 'NME9', 'RBMS1', 'ZNF711', 'RHOU', 'TLR5', 'CDH18', 'ASTN1', 'FKBP5', 'CREB5', 'NUFIP2', 'ABHD3', 'PRICKLE2', 'TMTC2', 'DENND3', 'SPATA6', 'SLC5A3', 'MED12L', 'PHF21A', 'RELA', 'APOLD1', 'GNA13', 'PLAC8', 'GNG10', 'APOL6', 'SEC14L1', 'CALCR', 'OLFML3', 'MAN2A1', 'IL21R', 'ECT2', 'SOCS6', 'GPR155', 'P2RY13', 'MYO10', 'GK', 'KCNIP4', 'DTNBP1', 'AZIN2', 'RAB27A', 'NR1D2', 'IGF1', 'SSH2', 'FMO5', 'TBX19', 'VMP1', 'EEPD1', 'PTPRB', 'PER3', 'CXCL12', 'TCF4', 'RAD18', 'PTPN2', 'MPHOSPH6', 'CPEB4']",0.9999821229795979,0,0,94
2,mmu-miR-1843-3p,0.02000551845241321,1.3942803023031094,5.454071958215941,"['PID1', 'SERPINA1', 'FRMPD4', 'MAP3K7CL', 'SLA', 'F13A1', 'PLAT', 'FMN1', 'KBTBD12', 'GOLGA4', 'PAPOLG', 'SH3PXD2B', 'TBC1D30', 'PIM1', 'PLXNC1', 'IKBKE', 'CTSD', 'CALN1', 'SFMBT2', 'SORCS1', 'NAV2', 'KSR2', 'ATG14', 'SYN3', 'TNFRSF1B', 'MPEG1', 'KCTD7', 'PDIA4', 'FGR', 'NME9', 'RBMS1', 'CCDC191', 'MGLL', 'CDH18', 'CREB5', 'NRN1', 'SLC5A3', 'PHF21A', 'CHSY1', 'STK38', 'KCNMB2', 'ADAMTS17', 'PLXNA2', 'SLC38A2', 'ANGPT2', 'RASL10A', 'MYO10', 'TNFSF13', 'EEPD1', 'PTPRB', 'FAM135B', 'PIK3AP1']",0.9999821229795979,0,0,52
3,hsa-miR-4669,0.02479766445472464,1.2949587831405829,4.787470139100443,"['PTPRT', 'DOCK5', 'SERPINA1', 'BTG1', 'RNPEPL1', 'UBXN2B', 'ZNF490', 'TNFAIP2', 'FMN1', 'PCTP', 'IKZF2', 'TNFSF13B', 'RIMS2', 'SPN', 'KBTBD12', 'TRPS1', 'RASGEF1C', 'ENOSF1', 'SH3PXD2B', 'TBC1D30', 'FFAR4', 'PMEPA1', 'PLXNC1', 'CLIC1', 'HERC6', 'CALN1', 'SEMA6A', 'SLC11A1', 'MTUS2', 'ATP11A', 'MYRIP', 'ATG14', 'DUSP6', 'FOXP1', 'KCTD7', 'MS4A6A', 'ITPKC', 'SLC7A5', 'CACNB4', 'NME9', 'RBMS1', 'RHOU', 'FAM20A', 'ROR2', 'SYNC', 'ERGIC1', 'CDH18', 'FKBP5', 'GRAMD1A', 'NUFIP2', 'ABHD3', 'SRC', 'HVCN1', 'FSTL4', 'APOLD1', 'SEC14L2', 'ADAP2', 'APOL6', 'SLC17A9', 'ZMAT4', 'ADAMTS17', 'CHST15', 'CDH23', 'SYNDIG1', 'PLXNA2', 'CDH26', 'SOCS6', 'GPR155', 'LAIR1', 'CD276', 'LMLN', 'MYO10', 'ATP2B4', 'IGF1', 'PLXDC1', 'BST2', 'PLCXD3', 'PIK3IP1', 'SFXN2', 'RAD18']",0.9999821229795979,0,0,80
4,hsa-miR-1282,0.04183933048691387,1.4787612629666087,4.693467672089714,"['NOTCH1', 'SELPLG', 'FAM13A', 'PRICKLE2', 'FMN1', 'IFI44L', 'TNFSF13B', 'SH3PXD2B', 'CASP4', 'FFAR4', 'IKBKE', 'SRGAP1', 'LAIR1', 'CALN1', 'P2RY12', 'SLC16A1', 'PLEKHG5', 'SFMBT2', 'SLC11A1', 'MTUS2', 'ATP11A', 'PDIA4', 'PLCXD3', 'KIF26B', 'PRKCQ', 'TCF4', 'PTPN2']",0.9999821229795979,0,0,27
5,hsa-miR-542-5p,0.04494577924772193,1.3839704543863334,4.293489355769087,"['MYOM1', 'NOTCH1', 'SH2D4A', 'TNFAIP2', 'DENND3', 'IQGAP1', 'ANTXR1', 'FSTL4', 'KBTBD12', 'CLEC1A', 'APOL6', 'TBC1D30', 'PDE4B', 'CDH23', 'FLVCR2', 'ERC2', 'JAK3', 'SRGAP1', 'KCNH1', 'PPP1R14B', 'MYO10', 'ACSL1', 'PLEKHG5', 'LIMK2', 'ATP2B4', 'MTUS2', 'KSR2', 'ATG14', 'PLXDC1', 'MPEG1', 'IGF2R', 'FOXP1', 'EEPD1', 'CXCL12', 'PIGL', 'MGLL', 'RAD18']",0.9999821229795979,0,0,37
6,mmu-miR-376a,0.052489469680270975,1.6587496553280023,4.8885719494744615,"['TSHZ3', 'FAM13A', 'NLRC5', 'ZC3HAV1', 'KRI1', 'MPEG1', 'PHF21A', 'GNA13', 'CTSO', 'PAPOLG', 'ADAMTS17', 'TBC1D30', 'GAL3ST4', 'ANKUB1', 'CREB5']",0.9999821229795979,0,0,15
7,hsa-miR-4655-3p,0.06506228158832417,1.3895297249334517,3.7967653180637178,"['STEAP3', 'FRMPD4', 'C5AR1', 'FAM13A', 'PRICKLE2', 'TMTC2', 'EMC10', 'SLC4A2', 'PHF21A', 'ADGRE2', 'RASSF2', 'SH3PXD2B', 'KCNMB2', 'PIM1', 'VSIG4', 'TRPM3', 'CALN1', 'IL15RA', 'WNT5B', 'SFMBT2', 'STAT3', 'TNFSF13', 'ATP11A', 'FOXP1', 'FAM177B', 'PLCXD3', 'RHOU', 'MGLL', 'FKBP5']",0.9999821229795979,0,0,29
8,mmu-miR-5123,0.06688797440610232,1.270776142471568,3.4371140856693736,"['PTPRT', 'MYOM1', 'STEAP3', 'CLIC4', 'PID1', 'UBXN2B', 'SH2D4A', 'LRRK2', 'SLA', 'LDLRAD3', 'FGF2', 'RIMS2', 'INSL6', 'CTSO', 'CYSLTR1', 'SGCB', 'PAPOLG', 'PMEPA1', 'IKBKE', 'CALN1', 'IL15RA', 'WNT5B', 'NUP210', 'TBC1D2B', 'DNAAF4', 'SYN3', 'MPEG1', 'RNF144B', 'DPYD', 'NME9', 'MGLL', 'CREB5', 'CX3CR1', 'NUFIP2', 'ZC3HAV1', 'SPATA6', 'SLC5A3', 'SEC14L1', 'STK38', 'PLXNA2', 'MGAT1', 'BUB3', 'SOCS6', 'PLTP', 'LAIR1', 'CD55', 'CD276', 'SLC16A1', 'ANGPT2', 'NR1D2', 'FBXL13', 'PTPRB', 'PLCXD3']",0.9999821229795979,0,0,53
9,mmu-miR-1839-3p,0.0696346727248992,1.2665553204700688,3.374727360389949,"['PTPRT', 'F13A1', 'IKZF2', 'ANTXR1', 'PCSK5', 'RIMS2', 'INSL6', 'SGCB', 'TRIM5', 'NAMPT', 'ITGAX', 'MS4A14', 'CALN1', 'CPT1A', 'CD93', 'ELOVL5', 'DUSP1', 'SFMBT2', 'PDE4D', 'MTUS2', 'SORCS1', 'SYN3', 'MPEG1', 'NAALADL2', 'FOXP1', 'PDE5A', 'AIDA', 'MGLL', 'PPARD', 'CREB5', 'CEMIP', 'NUFIP2', 'NLRC5', 'PRICKLE2', 'PDGFB', 'ZC3HAV1', 'SLC5A3', 'APOLD1', 'GNG10', 'SEC14L1', 'SRGAP1', 'GPR155', 'ATP2B4', 'RAB27B', 'IGF1', 'SSH2', 'TBX19', 'IGF2R', 'EEPD1', 'PLCXD3', 'FAM135B', 'TCF4', 'SFXN2']",0.9999821229795979,0,0,53
10,mmu-miR-669f-5p,0.08630959118622708,1.2185852048530441,2.985307764455322,"['ROBO2', 'SERPINA1', 'CRTC3', 'TNFAIP3', 'LDLRAD3', 'AFF3', 'RIMS2', 'SGCB', 'TRPS1', 'RASGEF1C', 'CLEC5A', 'NEK3', 'ERC2', 'GPSM3', 'KCNH1', 'ARG2', 'CD93', 'DUSP1', 'SFMBT2', 'WNT5A', 'MTUS2', 'TBC1D2B', 'MYRIP', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCTD7', 'CACNB4', 'ELF2', 'CHI3L1', 'PDE5A', 'KCNQ5', 'FAM20A', 'MGLL', 'PPARD', 'BEAN1', 'ABHD3', 'NLRC5', 'SEC14L2', 'SEC14L1', 'ZMAT4', 'CHST15', 'IL21R', 'PLXNA2', 'TBC1D14', 'SRGAP1', 'LAIR1', 'CD55', 'S100A11', 'EXPH5', 'LMLN', 'GSDMD', 'TTC12', 'ST14', 'ANGPT2', 'GK', 'LIMK2', 'KCNIP4', 'RAB27B', 'PLXDC1', 'PTPN14', 'IGF2R', 'PLCXD3', 'CXCL12', 'TCF4']",0.9999821229795979,0,0,65
