"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"FOS (human)",0.00163079444493181,2.20704798372622,14.1663523939359,"['FCGBP', 'TNFAIP8', 'MGAM', 'GCA', 'CD93', 'GK', 'HSPA5', 'LIMK2', 'RAB27A', 'IGF1', 'PRDM1', 'PRDM11', 'HRH1', 'RAB20', 'SCO2', 'DPYD', 'IL21R', 'PIM1', 'CDH26', 'ECT2', 'DLEU7']",0.39860879262613,0,0,21,"FOS",0.39860879262613,0.760012974173296,0.519866445023465,NA,NA,NA,0.920268708275661,0.977086806319326
"STAT1 (mouse)",0.00301976358050098,12.1006451612903,70.2149220945649,"['CEBPD', 'CASP4', 'HAMP']",0.39860879262613,0,0,3,"STAT1",0.39860879262613,0.746894045988198,0.420265581471786,NA,NA,NA,0.909590710562131,0.879998336855729
"HMGA1 (human)",0.00815976778300343,2.03655521783181,9.79285634812754,"['MGAM', 'GPR65', 'MAMDC2', 'F13A1', 'IGF1', 'OPRM1', 'HIF1A', 'LITAF', 'PLAC8', 'INSL6', 'CALCR', 'DHRS9', 'BCL6', 'CASP4', 'TBC1D14', 'CDH26', 'ERC2']",0.53110074418469,0,0,17,"HMGA1",0.53110074418469,0.0322585205310448,0.0199979304870724,0.726967226978048,0.735564661558406,0.107555324762767,0.998829719872075,0.999846643018902
"MYOG (mouse)",0.00981342174064343,1.95362068965517,9.03355040102699,"['TNFAIP8', 'ACY3', 'BEAN1', 'WNT5B', 'RAB27A', 'IGF1', 'LILRB3', 'MANF', 'FGR', 'CLEC1A', 'DRAM1', 'KIF26B', 'IL21R', 'CDH26', 'FAM20A', 'DLEU7', 'PTPN2', 'SH2B2']",0.53110074418469,0,0,18,"MYOG",0.53110074418469,NA,NA,NA,NA,NA,NA,NA
"CEBPB (human)",0.0109615638059628,1.89485247245242,8.55215197016486,"['FCGBP', 'TNFAIP8', 'MGAM', 'GRAMD1A', 'SERPINA1', 'GCA', 'GK', 'LIMK2', 'PRDM1', 'LTC4S', 'LILRB3', 'HRH1', 'RAB20', 'DPYD', 'IL21R', 'ENPP1', 'ECT2', 'ERC2', 'DLEU7']",0.53110074418469,0,0,19,"CEBPB",0.53110074418469,5.17370445376665e-05,0.196488132131424,0.611597874417937,0.620753086468867,-0.540526051471745,0.994761093733811,0.991768185705784
"JUND (mouse)",0.0145222592304407,1.94240393819226,8.22039465453921,"['MGAM', 'GCA', 'CD93', 'MAMDC2', 'PRDM1', 'LTC4S', 'MPEG1', 'DSE', 'DPYD', 'PDE4B', 'MAP3K8', 'CDH26', 'TRPM3', 'DLEU7', 'CD55', 'PTPN2']",0.53110074418469,0,0,16,"JUND",0.53110074418469,2.52431519864505e-05,0.0288296669784372,0.673928778412453,0.680123245997887,-0.345381506635012,0.876252954563826,0.974586352217346
"NR2C2 (human)",0.0155066988177604,6.2496106785317,26.0388976900909,"['TBC1D14', 'MAP3K8', 'APOE']",0.53110074418469,0,0,3,"NR2C2",0.53110074418469,0.310879204704611,0.344912376391916,NA,NA,NA,0.935399913954431,0.999846643018902
"TFAP2A (mouse)",0.0160939619449906,1.84474789915966,7.6175379984833,"['CX3CR1', 'SRGN', 'ACY3', 'GRAMD1A', 'IFITM2', 'LIMK2', 'MAMDC2', 'OPRM1', 'LTC4S', 'TMEM163', 'FGR', 'PPP1R3B', 'IL21R', 'PIM1', 'CDH26', 'TRPM3', 'DLEU7', 'SH2B2']",0.53110074418469,0,0,18,"TFAP2A",0.53110074418469,NA,NA,NA,NA,NA,NA,NA
"RUNX2 (mouse)",0.0298698445921624,1.76719285517724,6.20444773256788,"['CD93', 'GPR65', 'LIMK2', 'SLC11A1', 'C5AR1', 'RAB27A', 'LTC4S', 'PLAC8', 'DHRS9', 'PDE4B', 'TGFBI', 'ECT2', 'JAK3', 'IKBKE', 'HAMP', 'PLTP']",0.847287036578248,0,0,16,"RUNX2",0.847287036578248,0.176198153026331,0.000107334726663299,0.32255403013884,0.323152775394631,1.07826823191059,0.815760386784393,0.719629317298689
"NR3C1 (human)",0.0340943705359927,1.70602836879433,5.76402667734379,"['CX3CR1', 'CD163', 'MGAM', 'SERPINA1', 'BEAN1', 'GK', 'ACSL1', 'LIMK2', 'SPDYE3', 'NAV2', 'RAB20', 'DHRS9', 'PIM1', 'PRKCQ', 'APOE', 'CDH26', 'IKBKE']",0.847287036578248,0,0,17,"NR3C1",0.847287036578248,0.197732945675761,0.41950072879541,NA,NA,NA,0.963042506880727,0.994240324065926
