Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-380-5p,0.009061805740557469,1.4090937588163381,6.627935811484511,"['ROBO2', 'OSCP1', 'CNTNAP2', 'CHRM3', 'FRMPD4', 'KCNC2', 'FMN1', 'RORA', 'GRM5', 'CLEC1A', 'SH3PXD2B', 'PIM1', 'ENPP1', 'OLR1', 'DLGAP1', 'IKBKE', 'RGS6', 'SRRM4', 'KCND2', 'CD93', 'KCNH7', 'ACSL1', 'MAMDC2', 'NRG1', 'KSR2', 'ATG14', 'GABRG3', 'EML1', 'KIAA1217', 'PCP4', 'MYADM', 'KCNQ5', 'PRKCQ', 'AIDA', 'FKBP4', 'S100A9', 'MGLL', 'PFN2', 'KHDRBS2', 'BEAN1', 'TSHZ2', 'CACNA1B', 'CACNA1C', 'PPM1E', 'FSTL4', 'SEC14L2', 'DRAM1', 'FAM184B', 'OLFML3', 'ZMAT4', 'EPB41L3', 'CSMD1', 'CPA6', 'PLTP', 'PAK5', 'P2RY13', 'TPRG1', 'ALOX15B', 'IGF2R', 'STXBP5L', 'PLCXD3', 'DNAJA4', 'CCSER1', 'MDGA2', 'NOP10', 'HCN1']",0.9999801255269625,0,0,66
2,hsa-miR-1282,0.02178795796412676,1.6104193007733247,6.162104948105825,"['CPM', 'TENM2', 'AHNAK', 'FMN1', 'CACNA1C', 'LDB2', 'HS6ST3', 'CASP4', 'SH3PXD2B', 'FFAR4', 'ZNF385B', 'IKBKE', 'RGS6', 'P2RY12', 'SFMBT2', 'SLC11A1', 'MTUS2', 'PDIA4', 'PLCXD3', 'FGF14', 'UQCRQ', 'KIF26B', 'PRKCQ', 'RPL28', 'PTPN2']",0.9999801255269625,0,0,25
3,hsa-miR-2277-5p,0.0319069583787172,1.7831508881671279,6.142832061166697,"['CPM', 'CEBPB', 'NRN1', 'ATP8A2', 'SFMBT2', 'AZIN2', 'CACNA1C', 'KSR2', 'TNFRSF1B', 'VGF', 'FAM110B', 'MKNK2', 'APOE', 'MXD1', 'DLGAP2']",0.9999801255269625,0,0,15
4,hsa-miR-3676,0.057983895996793225,1.4153495193091088,4.030335084212949,"['RYR2', 'TENM2', 'TMTC2', 'CACNA1C', 'FSTL4', 'GRM5', 'RAB40B', 'CHSY1', 'NETO1', 'NAMPT', 'CSMD1', 'GPC6', 'DLGAP2', 'JUNB', 'TXNDC5', 'P2RY13', 'PTPN1', 'CD93', 'MTUS2', 'KAZN', 'KSR2', 'SYN3', 'LYVE1', 'NAP1L5', 'PDIA4', 'P4HA1', 'PRKD1', 'MXD1']",0.9999801255269625,0,0,28
5,mmu-miR-1951,0.07166079660489655,1.2789167686658507,3.3709834633619846,"['CX3CR1', 'ROBO2', 'PTPRT', 'SLC44A5', 'CNTNAP2', 'RYR2', 'SPON1', 'SLC35F3', 'UBXN2B', 'GALNT17', 'TSHZ2', 'PLAT', 'FMN1', 'RORA', 'CACNA1C', 'PLOD1', 'FSTL4', 'DUOX1', 'GRM5', 'NHSL1', 'NETO1', 'PEBP4', 'EPB41L3', 'NAMPT', 'SYNDIG1', 'ERC2', 'SERF2', 'RGS6', 'IFNAR2', 'SRRM4', 'KCND2', 'GK', 'KAZN', 'IGF1', 'KSR2', 'TRERF1', 'IQCH', 'STXBP5L', 'TMEM154', 'VEGFA', 'FCGR2A', 'OLFM3', 'BCL6', 'CDH12', 'PRKCQ', 'PIGL', 'MGLL', 'PTPN2']",0.9999801255269625,0,0,48
6,mmu-miR-1843-3p,0.07291588967514723,1.2983722358722358,3.399721090997321,"['CPM', 'NRN1', 'SERPINA1', 'PID1', 'FRMPD4', 'MAP3K7CL', 'PLAT', 'FMN1', 'RORA', 'PPM1E', 'SLC5A3', 'HS6ST3', 'DNAJB1', 'GRM5', 'HSPH1', 'CHSY1', 'SH3PXD2B', 'LEPR', 'PIM1', 'ZNF385B', 'DLGAP1', 'IKBKE', 'KCNJ2', 'SRRM4', 'TICAM2', 'KCND2', 'TPRG1', 'SFMBT2', 'NAV2', 'UNC5D', 'KSR2', 'ATG14', 'SYN3', 'TNFRSF1B', 'MPEG1', 'PDIA4', 'VEGFA', 'FGR', 'PTPRB', 'MGLL', 'CDH18', 'PFN2']",0.9999801255269625,0,0,42
7,hsa-miR-3605-3p,0.07991883797802936,1.3641082101289714,3.446751805002539,"['PTPRT', 'SPON1', 'ATP8A2', 'PID1', 'FRMPD4', 'CACNA1C', 'ZC3HAV1', 'PPM1E', 'STIP1', 'NHSL1', 'LRRTM4', 'IL21R', 'DLGAP2', 'SERF2', 'OPCML', 'SRRM4', 'CNTN5', 'SFMBT2', 'LAPTM5', 'KAZN', 'KSR2', 'PLXDC1', 'IGF2R', 'KIAA1217', 'AGBL4', 'VGF', 'CYCS', 'LAP3']",0.9999801255269625,0,0,28
8,mmu-miR-669f-5p,0.09601398848744942,1.22610513739546,2.8730848220637974,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'CHORDC1', 'ERC2', 'DLGAP2', 'RGS6', 'KCNH1', 'SRRM4', 'CD93', 'SFMBT2', 'MTUS2', 'KAZN', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCNQ5', 'FAM20A', 'MGLL', 'BEAN1', 'ABHD3', 'TSHZ2', 'CACNA1B', 'NRXN3', 'NLRC5', 'SEC14L2', 'ZMAT4', 'IL21R', 'TBC1D14', 'GPC6', 'S100A11', 'KCNJ2', 'OPCML', 'ST14', 'GK', 'LIMK2', 'KCNIP4', 'PLXDC1', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'MDGA2', 'MXD1']",0.9999801255269625,0,0,56
9,mmu-miR-669l,0.09601398848744942,1.22610513739546,2.8730848220637974,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'CHORDC1', 'ERC2', 'DLGAP2', 'RGS6', 'KCNH1', 'SRRM4', 'CD93', 'SFMBT2', 'MTUS2', 'KAZN', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCNQ5', 'FAM20A', 'MGLL', 'BEAN1', 'ABHD3', 'TSHZ2', 'CACNA1B', 'NRXN3', 'NLRC5', 'SEC14L2', 'ZMAT4', 'IL21R', 'TBC1D14', 'GPC6', 'S100A11', 'KCNJ2', 'OPCML', 'ST14', 'GK', 'LIMK2', 'KCNIP4', 'PLXDC1', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'MDGA2', 'MXD1']",0.9999801255269625,0,0,56
10,mmu-miR-669a-5p,0.09601398848744942,1.22610513739546,2.8730848220637974,"['ROBO2', 'CPM', 'SERPINA1', 'CRTC3', 'C4ORF19', 'RORA', 'LDLRAD3', 'AFF3', 'RIMS2', 'DEPTOR', 'GRM7', 'NETO1', 'CHORDC1', 'ERC2', 'DLGAP2', 'RGS6', 'KCNH1', 'SRRM4', 'CD93', 'SFMBT2', 'MTUS2', 'KAZN', 'UNC5D', 'SORCS3', 'MPEG1', 'NAALADL2', 'OVOL2', 'KCNQ5', 'FAM20A', 'MGLL', 'BEAN1', 'ABHD3', 'TSHZ2', 'CACNA1B', 'NRXN3', 'NLRC5', 'SEC14L2', 'ZMAT4', 'IL21R', 'TBC1D14', 'GPC6', 'S100A11', 'KCNJ2', 'OPCML', 'ST14', 'GK', 'LIMK2', 'KCNIP4', 'PLXDC1', 'IGF2R', 'STXBP5L', 'TMEM154', 'AGBL4', 'PLCXD3', 'MDGA2', 'MXD1']",0.9999801255269625,0,0,56
