Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-6761-5p,0.009943336484312247,2.723333333333333,12.556888722906415,"['SRRM4', 'CDKN1A', 'FCGR2A', 'CHSY1', 'HSPA6', 'TXNIP', 'TMTC2', 'MGLL', 'TXNDC5']",0.9999941057842795,0,0,9
2,hsa-miR-4700-3p,0.011759031109428003,2.845034788108792,12.640870025972355,"['IFITM3', 'SLC7A5', 'CDKN1A', 'GTF2IRD2', 'KCNMB1', 'CDK2AP2', 'TXNIP', 'KSR2']",0.9999941057842795,0,0,8
3,hsa-miR-1202,0.013710256377851233,3.3942018072289155,14.559805698783446,"['SFMBT2', 'SPNS3', 'TXNIP', 'PPIB', 'PAK5', 'PTPN2']",0.9999941057842795,0,0,6
4,mmu-miR-3089-3p,0.015530164070616545,18.01792828685259,75.04415018443885,"['SORCS3', 'TRPM3']",0.9999941057842795,0,0,2
5,mmu-miR-883b-5p,0.01753977297271728,6.765718562874252,27.355723207265143,"['RYR2', 'CD93', 'MDGA2']",0.9999941057842795,0,0,3
6,mmu-miR-190b-5p,0.024984623388660435,12.01062416998672,44.31313431250781,"['ELOVL5', 'ANKUB1']",0.9999941057842795,0,0,2
7,hsa-miR-1306-3p,0.024984623388660435,12.01062416998672,44.31313431250781,"['HSPA6', 'HIST1H2BD']",0.9999941057842795,0,0,2
8,mmu-miR-3069-3p,0.024984623388660435,12.01062416998672,44.31313431250781,"['HECW1', 'TNFRSF1B']",0.9999941057842795,0,0,2
9,hsa-miR-450a-5p,0.028110156463364212,5.411377245508982,19.327406617876438,"['INSL6', 'DUSP10', 'GPR155']",0.9999941057842795,0,0,3
10,mmu-miR-3065-5p,0.02826176643687673,2.235118306351183,7.970980371923861,"['SRRM4', 'DEPTOR', 'LRRTM4', 'CDH12', 'SPP1', 'IGF1', 'TRERF1', 'KCNH1', 'STXBP5L']",0.9999941057842795,0,0,9
11,hsa-miR-598-5p,0.03618122554110663,9.006972111553784,29.89607627206241,"['SFMBT2', 'VEGFA']",0.9999941057842795,0,0,2
12,mmu-miR-3086-5p,0.03618122554110663,9.006972111553784,29.89607627206241,"['SFMBT2', 'FMO5']",0.9999941057842795,0,0,2
