Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytosolic Small Ribosomal Subunit (GO:0022627),2.993754953414216e-13,19.5210173083716,562.9290943132274,"['RPS7', 'RPS27L', 'RPS3A', 'RPSA', 'RPS15', 'RPS14', 'RPS28', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'FAU', 'RPS10', 'RPS13']",3.910705309774604e-11,0,0,16
2,Small Ribosomal Subunit (GO:0015935),5.179742132151793e-13,18.539597315436243,524.4639048573871,"['RPS7', 'RPS27L', 'RPS3A', 'RPSA', 'RPS15', 'RPS14', 'RPS28', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'RPS2', 'FAU', 'RPS10', 'RPS13']",3.910705309774604e-11,0,0,16
3,Ribosome (GO:0005840),1.2774111066967878e-10,12.762962962962963,290.7532567414121,"['RPL41', 'RPS7', 'RPL11', 'RPL10A', 'RPL9', 'RPS28', 'RPL18A', 'RPS19', 'RPS18', 'RPS3', 'RPL38', 'RPL18', 'RPS10', 'RPL17', 'RPS13']",5.6939829359553855e-09,0,0,15
4,Large Ribosomal Subunit (GO:0015934),1.88542481323026e-10,12.303571428571429,275.4978529118428,"['RPL41', 'RPL21', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL7', 'RPL18A', 'RPL14', 'RPL38', 'RPL26', 'RPL18', 'RPL17']",5.6939829359553855e-09,0,0,15
5,Cytosolic Large Ribosomal Subunit (GO:0022625),1.88542481323026e-10,12.303571428571429,275.4978529118428,"['RPL41', 'RPL21', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL7', 'RPL18A', 'RPL14', 'RPL38', 'RPL26', 'RPL18', 'RPL17']",5.6939829359553855e-09,0,0,15
6,Focal Adhesion (GO:0005925),4.371804640904509e-08,4.605216042014801,78.0377108157143,"['RPS7', 'RPL12', 'RPLP1', 'RPS3A', 'SLC4A2', 'RPL10A', 'RPL9', 'RPL7', 'ENAH', 'RPS15', 'RPS14', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'CAPN2', 'RPL38', 'RPS2', 'PPIB', 'RPL18', 'RPS10', 'RPL17', 'RPS13']",1.1002375012943014e-06,0,0,23
7,Cell-Substrate Junction (GO:0030055),5.747649648893202e-08,4.525762910798122,75.45302019033029,"['RPS7', 'RPL12', 'RPLP1', 'RPS3A', 'SLC4A2', 'RPL10A', 'RPL9', 'RPL7', 'ENAH', 'RPS15', 'RPS14', 'RPS16', 'RPS19', 'RPS18', 'RPS3', 'CAPN2', 'RPL38', 'RPS2', 'PPIB', 'RPL18', 'RPS10', 'RPL17', 'RPS13']",1.2398501385469622e-06,0,0,23
8,Small-Subunit Processome (GO:0032040),8.447011488075015e-06,10.358935931060323,121.00995958588338,"['RPS14', 'RPS28', 'RPS16', 'RPS15A', 'RPS19', 'RPS7', 'RPS3A', 'RPS13']",0.00015943734183741592,0,0,8
9,Postsynaptic Density (GO:0014069),2.132698286653785e-05,5.159879336349925,55.49727562389684,"['RPS14', 'RPS19', 'RPS18', 'SYT11', 'RPL12', 'RPL14', 'RPS3', 'RPL38', 'GRIK2', 'CACNG3', 'RPS13', 'RPL7']",0.0003578193792052462,0,0,12
10,Polysomal Ribosome (GO:0042788),3.33049650368313e-05,10.213502109704642,105.29920563886003,"['RPL41', 'RPS28', 'RPL18A', 'RPL11', 'RPL38', 'RPL10A', 'RPL18']",0.0005029049720561527,0,0,7
