Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Myc Targets V1,0.0023352112897627644,3.520260989010989,21.331559724313923,"['TFDP1', 'NCBP2', 'RPL34', 'RPL14', 'RPS3', 'RPS2', 'RPL18', 'RPS10', 'NME1']",0.08173239514169675,0,0,9
2,Allograft Rejection,0.18028203547100946,1.892615596963423,3.242491100745838,"['RPS19', 'RPS3A', 'RPL9', 'NME1']",0.9673873182413281,0,0,4
3,Unfolded Protein Response,0.21025723618007752,1.9913194444444444,3.105310464507945,"['RPS14', 'SRPRA', 'PDIA6']",0.9673873182413281,0,0,3
4,Androgen Response,0.2467491405845848,1.819047619047619,2.5455444663844546,"['CDK6', 'DBI', 'PLPP1']",0.9673873182413281,0,0,3
5,Mitotic Spindle,0.27160229403999026,1.7197197197197198,2.2415109496151984,"['KIF3B', 'PCNT', 'ECT2']",0.9673873182413281,0,0,3
6,Xenobiotic Metabolism,0.33460870540782606,1.5127865961199294,1.6561888920947418,"['CBR1', 'ACOX3', 'GART']",0.9673873182413281,0,0,3
7,p53 Pathway,0.34060788185328744,1.3896751858262906,1.4967126517565605,"['RPS27L', 'RPL18', 'TPD52L1', 'RPS12']",0.9673873182413281,0,0,4
8,Wnt-beta Catenin Signaling,0.34177459656054965,2.6410060975609757,2.835394270873093,['WNT5B'],0.9673873182413281,0,0,1
9,Hedgehog Signaling,0.34177459656054965,2.6410060975609757,2.835394270873093,['CDK6'],0.9673873182413281,0,0,1
10,DNA Repair,0.3598507550994426,1.4431818181818181,1.4750269276992551,"['NT5C', 'NCBP2', 'NME1']",0.9673873182413281,0,0,3
11,E2F Targets,0.39787286040034475,1.5096406660823838,1.391319213831471,"['PSIP1', 'NME1']",0.9673873182413281,0,0,2
12,IL-2/STAT5 Signaling,0.45861424683917257,1.2183048433048433,0.9497244762303678,"['IFITM3', 'SYT11', 'PLPP1']",0.9673873182413281,0,0,3
13,G2-M Checkpoint,0.5344143751647943,1.1394461946609187,0.7139584781046399,"['TFDP1', 'E2F4']",0.9673873182413281,0,0,2
14,Fatty Acid Metabolism,0.548246581976443,1.1091378753632548,0.6666252771236577,"['CBR1', 'OSTC']",0.9673873182413281,0,0,2
15,Apical Junction,0.5617907530298557,1.0803838288500864,0.6229772155345016,"['SGCE', 'MPP5']",0.9673873182413281,0,0,2
16,Oxidative Phosphorylation,0.5897218125977883,0.9784775386393182,0.5167382517215086,"['TIMM8B', 'ATP5PF', 'UQCRQ', 'ATP5F1E']",0.9673873182413281,0,0,4
17,Epithelial Mesenchymal Transition,0.6130495153138165,0.9787416179198174,0.4789076411044198,"['PPIB', 'FGF2']",0.9673873182413281,0,0,2
18,Myogenesis,0.6251317366545897,0.9562186279977691,0.4492246962806387,"['TPD52L1', 'FGF2']",0.9673873182413281,0,0,2
19,Reactive Oxygen Species Pathway,0.6729312993488641,0.9146341463414634,0.36229759367680253,['MGST1'],0.9673873182413281,0,0,1
20,Cholesterol Homeostasis,0.6878638163060562,0.876270325203252,0.32786916227031554,['PMVK'],0.9673873182413281,0,0,1
21,Adipogenesis,0.6915604822008447,0.84,0.30979591984355875,"['STAT5A', 'UQCRQ']",0.9673873182413281,0,0,2
22,Coagulation,0.7287154719519898,0.7782294489611563,0.24628776967646476,['CAPN2'],0.9673873182413281,0,0,1
23,IL-6/JAK/STAT3 Signaling,0.7529507529779619,0.7241379310344828,0.20547808767814194,['LTBR'],0.9673873182413281,0,0,1
24,Pperoxisome,0.7529507529779619,0.7241379310344828,0.20547808767814194,['ABCB4'],0.9673873182413281,0,0,1
25,Interferon Alpha Response,0.8220259253514663,0.5821476964769647,0.114091252878195,['IFITM3'],0.9673873182413281,0,0,1
26,heme Metabolism,0.8220259253514663,0.5821476964769647,0.114091252878195,['TFDP2'],0.9673873182413281,0,0,1
27,UV Response Dn,0.8301807316106752,0.5662491760052736,0.10538568338727994,['NFIB'],0.9673873182413281,0,0,1
28,Apoptosis,0.8524827079358206,0.5233231707317073,0.08352360993919422,['IFITM3'],0.9673873182413281,0,0,1
29,Estrogen Response Late,0.8718711894782903,0.4863868406125922,0.06669024315679638,['TPD52L1'],0.9673873182413281,0,0,1
30,Estrogen Response Early,0.8938375873285268,0.44447327451997926,0.049883764508104236,['TPD52L1'],0.9673873182413281,0,0,1
31,TNF-alpha Signaling via NF-kB,0.9305199865450781,0.37206010452961674,0.02679268947317462,['STAT5A'],0.9673873182413281,0,0,1
32,Inflammatory Response,0.9305199865450781,0.37206010452961674,0.02679268947317462,['CLEC5A'],0.9673873182413281,0,0,1
33,Complement,0.9424717051239607,0.34684959349593497,0.020550623783845194,['CALM1'],0.9673873182413281,0,0,1
34,mTORC1 Signaling,0.9641468469244963,0.29642857142857143,0.010823100737399505,['SYTL2'],0.9673873182413281,0,0,1
35,Interferon Gamma Response,0.9673873182413281,0.2880250677506775,0.009549853559526622,['IFITM3'],0.9673873182413281,0,0,1
