Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-3099,0.020596962643102366,1.6542584250917585,6.422843047544286,"['ARHGAP9', 'COL18A1', 'CLSTN2', 'TMEM121B', 'IER3IP1', 'GALNT10', 'PTPDC1', 'KIF3B', 'CAMK2N1', 'S100PBP', 'TIMM8B', 'WNT5B', 'ATRNL1', 'NMNAT2', 'PDIA6', 'ENAH', 'TEF', 'TFDP2', 'SYT11', 'UQCRQ', 'NFIB', 'TSR2', 'RTL8A', 'KIAA0408', 'HCN1']",0.9992679270186301,0,0,25
2,hsa-miR-4788,0.02127824833039427,2.3784722222222223,9.157284389723946,"['ENAH', 'HLF', 'TEF', 'WNT5B', 'OSTC', 'PDE8B', 'NOL4', 'PTPDC1', 'NOP10']",0.9992679270186301,0,0,9
3,hsa-miR-127-3p,0.02135471581016049,3.0359333917616125,11.677665217120785,"['KIF3B', 'TFDP2', 'PLXNA2', 'ATXN7L3', 'CKLF', 'SYT7']",0.9992679270186301,0,0,6
4,mmu-miR-3098-5p,0.023185266769002448,1.6189008731381613,6.093928597884241,"['USP38', 'CLSTN2', 'TMEM121B', 'TMEM181', 'IER3IP1', 'FGF2', 'GALNT10', 'ENO4', 'NEUROD2', 'CLEC5A', 'ATXN7L3', 'S100PBP', 'ATRNL1', 'AKTIP', 'OPRM1', 'SYT7', 'SYTL2', 'ENAH', 'IRGQ', 'CDK6', 'SYT11', 'NFIB', 'CALM1', 'PTMA', 'KIAA0408', 'HCN1']",0.9992679270186301,0,0,26
5,hsa-miR-1181,0.02922694876721262,3.8391184573002755,13.562315920322469,"['NEUROD2', 'COL18A1', 'TEF', 'LIMCH1']",0.9992679270186301,0,0,4
6,hsa-miR-3619-3p,0.03608232235196457,1.5847845814787607,5.264578657269847,"['CBR1', 'P2RY11', 'CLSTN2', 'MIS12', 'TMEM181', 'NMNAT2', 'FGF2', 'TRERF1', 'GALNT10', 'SYT7', 'ENAH', 'UNC80', 'RIMS2', 'RIC8A', 'NEUROD2', 'IRGQ', 'TFDP2', 'CLEC5A', 'PLXNA2', 'E2F4', 'CALM1', 'CACNG3', 'ATXN7L3']",0.9992679270186301,0,0,23
7,mmu-miR-3092,0.04268579933396279,1.5266139044072005,4.814770773415126,"['HLF', 'GALNT13', 'RPL34', 'FGF2', 'ZNF25', 'FAM171A1', 'TUBB3', 'CAMK2N1', 'CLEC5A', 'ATXN7L3', 'S100PBP', 'WNT5B', 'LIMCH1', 'NMNAT2', 'PDIA6', 'SYT7', 'ENAH', 'MRPL52', 'IRGQ', 'TTC8', 'CDK6', 'TFDP1', 'GLRB', 'SYT11', 'CHST1']",0.9992679270186301,0,0,25
8,hsa-miR-1537,0.055795144346007845,1.9561224489795919,5.645503249654651,"['UNC80', 'TNKS2', 'WNT5B', 'TUBB3', 'NFIB', 'ZMIZ2', 'AKTIP', 'CAPN2', 'KIAA0408']",0.9992679270186301,0,0,9
9,mmu-miR-471-5p,0.06755728405930075,2.2273167581530515,6.002127291031211,"['UNC80', 'TEF', 'GRIK2', 'PDE8B', 'KIAA0408', 'HCN1']",0.9992679270186301,0,0,6
10,mmu-miR-700,0.0862203508076857,3.15,7.720174478900273,"['SYT11', 'DPF1', 'S100PBP']",0.9992679270186301,0,0,3
