Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Myc Targets V1,0.01521337328188241,18.825,78.79355134568044,"['RPS2', 'RPS10']",0.2738407190738834,0,0,2
2,Oxidative Phosphorylation,0.03554607134150996,9.3875,31.325389441998432,"['TIMM8B', 'UQCRQ']",0.2791967606545308,0,0,2
3,Epithelial Mesenchymal Transition,0.04718403010087813,4.390532544378698,13.40736830420309,"['SGCB', 'PPIB', 'FGF2']",0.2791967606545308,0,0,3
4,Adipogenesis,0.06204372458989574,6.241666666666666,17.351308453967597,"['STAT5A', 'UQCRQ']",0.2791967606545308,0,0,2
5,Mitotic Spindle,0.19504369679735428,6.1138211382113825,9.993234210203324,['ECT2'],0.5851310903920628,0,0,1
6,Wnt-beta Catenin Signaling,0.19504369679735428,6.1138211382113825,9.993234210203324,['WNT5B'],0.5851310903920628,0,0,1
7,Pperoxisome,0.27810305731753004,3.658536585365854,4.682061673946722,['ABCB4'],0.7119760804175014,0,0,1
8,Apical Junction,0.3164338135188895,3.0447154471544717,3.503374972655564,['SGCE'],0.7119760804175014,0,0,1
9,Myogenesis,0.3872282247970014,2.277439024390244,2.1606998494426364,['FGF2'],0.7744564495940028,0,0,1
10,Unfolded Protein Response,0.48019143796629277,1.6496674057649667,1.2101472207721422,['PDIA6'],0.8089570884822312,0,0,1
11,Apoptosis,0.6054286485205994,1.1265243902439024,0.5653108494288288,['IFITM3'],0.8089570884822312,0,0,1
12,Interferon Alpha Response,0.6266747332033827,1.0588235294117647,0.4948175009393359,['IFITM3'],0.8089570884822312,0,0,1
13,Allograft Rejection,0.6468026016774875,0.9986449864498645,0.4351237303553725,['RPS19'],0.8089570884822312,0,0,1
14,p53 Pathway,0.6839307716527836,0.8963414634146342,0.34051884691957024,['STEAP3'],0.8089570884822312,0,0,1
15,IL-2/STAT5 Signaling,0.7471125430319742,0.7428861788617886,0.21658062441827422,['IFITM3'],0.8089570884822312,0,0,1
16,Inflammatory Response,0.7471125430319742,0.7428861788617886,0.21658062441827422,['CLEC5A'],0.8089570884822312,0,0,1
17,TNF-alpha Signaling via NF-kB,0.7979051053441272,0.6332752613240418,0.1429717720054694,['STAT5A'],0.8089570884822312,0,0,1
18,Interferon Gamma Response,0.8089570884822312,0.6105971404541631,0.12945233705155829,['IFITM3'],0.8089570884822312,0,0,1
