Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Epithelial Mesenchymal Transition,0.11209695889624782,4.016129032258065,8.788860941335344,"['SGCB', 'FGF2']",0.4643262448553616,0,0,2
2,Wnt-beta Catenin Signaling,0.15681458809890678,7.875,14.589942720005938,['WNT5B'],0.4643262448553616,0,0,1
3,Pperoxisome,0.22600085156733002,4.7125,7.008507811480098,['ABCB4'],0.4643262448553616,0,0,1
4,Mitotic Spindle,0.2584969546804215,3.921875,5.305792387889732,['ECT2'],0.4643262448553616,0,0,1
5,Apical Junction,0.2584969546804215,3.921875,5.305792387889732,['SGCE'],0.4643262448553616,0,0,1
6,Inflammatory Response,0.2798122596506927,2.064516129032258,2.6294428943419974,"['KCNMB2', 'CLEC5A']",0.4643262448553616,0,0,2
7,Myogenesis,0.31956749544124985,2.93359375,3.3466049506943283,['FGF2'],0.4643262448553616,0,0,1
8,UV Response Up,0.31956749544124985,2.93359375,3.3466049506943283,['RAB27A'],0.4643262448553616,0,0,1
9,Adipogenesis,0.3482446836415212,2.6041666666666665,2.747005032197988,['STAT5A'],0.4643262448553616,0,0,1
10,p53 Pathway,0.6129611387155477,1.0982142857142858,0.5375250897929744,['STEAP3'],0.6867801452856291,0,0,1
11,IL-2/STAT5 Signaling,0.6295484665118267,1.046875,0.4844439568410674,['CDCP1'],0.6867801452856291,0,0,1
12,TNF-alpha Signaling via NF-kB,0.6892685762360352,0.8810096153846154,0.32784506709352434,['STAT5A'],0.6892685762360352,0,0,1
