"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"STAT3 (human)",0.00221164222708804,3.49473684210526,21.3668907734229,"['ARHGAP9', 'STAT5A', 'STEAP3', 'CDCP1', 'WNT5B', 'CLEC5A', 'ADAMTS17', 'CBWD3', 'RAB27A', 'OPRM1', 'ZNF420']",0.453386656553047,0,0,11,"STAT3",0.453386656553047,0.000462889169784718,0.000912771919137801,0.70671420077326,0.714210831745029,0.361649356565637,0.975583930969828,0.954257679258496
"POU2F1 (human)",0.0347475379893943,2.84444444444444,9.55632798921194,"['MGAM', 'CLEC1A', 'ADHFE1', 'CBWD3', 'RTTN', 'ECT2']",0.956260853006541,0,0,6,"POU2F1",0.956260853006541,0.0017336085450975,0.501840518499276,NA,NA,NA,0.91187330351561,0.999846643018902
"CPEB1 (human)",0.0416664659946134,Inf,Inf,"['RAB27A']",0.956260853006541,0,0,1,"CPEB1",0.956260853006541,NA,NA,NA,NA,NA,NA,NA
"MYOG (mouse)",0.0428289332936964,2.68582375478927,8.46179891444391,"['STAT5A', 'CLEC1A', 'WNT5B', 'SGCB', 'RAB27A', 'MANF']",0.956260853006541,0,0,6,"MYOG",0.956260853006541,NA,NA,NA,NA,NA,NA,NA
"FOS (human)",0.0543236842350155,2.76785714285714,8.06220037275147,"['ARHGAP9', 'MGAM', 'SGCB', 'RAB27A', 'ECT2']",0.956260853006541,0,0,5,"FOS",0.956260853006541,0.760012974173296,0.519866445023465,NA,NA,NA,0.920268708275661,0.977086806319326
"MZF1 1-4 (human)",0.0612121187985713,2.15836734693878,6.02920512374867,"['ARHGAP9', 'STAT5A', 'CLEC1A', 'KCNMB2', 'SLC4A2', 'ECT2', 'FGF2', 'ZNF420']",0.956260853006541,0,0,8,"MZF1 1-4",0.956260853006541,NA,NA,NA,NA,NA,NA,NA
"SRF (human)",0.0752586855048786,1.97727272727273,5.11485646640717,"['STAT5A', 'STEAP3', 'WNT5B', 'SGCB', 'RAB27A', 'YBX1', 'OPRM1', 'SLC4A2', 'ECT2']",0.956260853006541,0,0,9,"SRF",0.956260853006541,NA,NA,NA,NA,NA,NA,NA
"GABPA (human)",0.0816474272287216,23.6875,59.3453589724796,"['RTTN']",0.956260853006541,0,0,1,"GABPA",0.956260853006541,0.904409386968571,0.169341676555343,NA,NA,NA,0.664901170173695,0.529070409561627
"ETV4 (human)",0.0858556570842887,2.37870619946092,5.83993256728982,"['ARHGAP9', 'STAT5A', 'ABCB4', 'PLXNA2', 'RTTN']",0.956260853006541,0,0,5,"ETV4",0.956260853006541,NA,NA,NA,NA,NA,NA,NA
"BCL6 (human)",0.0963702948341097,2.28571428571429,5.34755947366035,"['SGCB', 'ABCB4', 'RAB27A', 'OPRM1', 'PIGX']",0.956260853006541,0,0,5,"BCL6",0.956260853006541,6.76038416316315e-05,0.00307215589633835,0.881474798779686,0.888230971013702,0.166988899581331,0.997705489529031,0.977066923209261
