"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"IKZF1 (human)",2.55460312418007e-05,3.73525539757767,39.5004326068212,"['CHID1', 'RPS7', 'RPL10', 'RPL11', 'LIN7B', 'MRPL52', 'NT5C', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'TSR2', 'SNRPE', 'FAU', 'RPS2', 'RPS10', 'ZNF630']",0.00633541574796658,0,0,17,"IKZF1",0.00633541574796658,0.768265881111074,0.469860100942291,NA,NA,NA,0.850305261945577,0.881494239317099
"NRF1 (mouse)",0.00126636004812857,2.58529741863075,17.2480924852,"['IFITM3', 'TIMM8B', 'RPL21', 'DBI', 'RPSA', 'IER3IP1', 'TRERF1', 'RPS15', 'RPS14', 'RPS28', 'RPS16', 'RPS19', 'RPS3', 'RPL38', 'RPS2', 'PCNT', 'RPS10']",0.120183287876148,0,0,17,"NRF1",0.120183287876148,0.0388426619678388,0.258228645761331,NA,NA,NA,0.891903599657696,0.950939635845586
"PLAU (human)",0.00189229791148689,2.62954884017876,16.4871748871551,"['RPL41', 'CLSTN2', 'RPL21', 'RPS3A', 'RPL9', 'NOL4', 'RIC8A', 'RPS14', 'ABHD16A', 'PMVK', 'CDK2AP2', 'ACOX3', 'RPL18', 'PCNT', 'PTMA']",0.120183287876148,0,0,15,"PLAU",0.120183287876148,NA,NA,NA,NA,NA,NA,NA
"PPARG (human)",0.00217099000703202,2.07349706744868,12.7158700393182,"['GALT', 'RPL36A', 'RPS27L', 'RPL10A', 'LIN7B', 'NT5C', 'RPS15', 'RPS14', 'RPS16', 'ABHD16A', 'RPL18A', 'RPS19', 'PMVK', 'CAPN2', 'RPL14', 'RPS3', 'E2F4', 'RPS10', 'SEC11C', 'CHID1', 'RPSA', 'MRPL52', 'OSTC', 'TSR2', 'SNRPE', 'ACOX3', 'RPL26']",0.120183287876148,0,0,27,"PPARG",0.120183287876148,0.102638045026039,0.641261964894072,NA,NA,NA,0.74806103479417,0.541310579166092
"RARA (human)",0.00242305015879331,2.64444444444444,15.9267699603068,"['RPL10A', 'PDIA6', 'RPL9', 'LIN7B', 'NT5C', 'RPS15', 'RPL18A', 'RPS19', 'PMVK', 'CAPN2', 'RPS3', 'SNRPE', 'RPS10', 'RPS12']",0.120183287876148,0,0,14,"RARA",0.120183287876148,NA,NA,NA,NA,NA,NA,NA
"FOXF2 (human)",0.00535779144892204,2.47988968053321,12.9678476282374,"['CHID1', 'RPL41', 'RPS7', 'RPL11', 'LIN7B', 'NT5C', 'RPS15', 'RPS15A', 'RPS16', 'SNRPE', 'FAU', 'RPS10', 'RPS13']",0.221455379888778,0,0,13,"FOXF2",0.221455379888778,NA,NA,NA,NA,NA,NA,NA
"NR1H3 (human)",0.0100003598668754,2.3582054309327,10.8598524804914,"['CHID1', 'MRPL52', 'RPS15', 'ABHD16A', 'RPL18A', 'RPS19', 'RPL11', 'RPS3', 'RPS27L', 'RPL9', 'LIN7B', 'NME1']",0.354298463855013,0,0,12,"NR1H3",0.354298463855013,NA,NA,NA,NA,NA,NA,NA
"ATF4 (human)",0.0138649023709839,2.1728307254623,9.29622733235585,"['CHID1', 'CCDC138', 'CLSTN2', 'RPL21', 'RPL34', 'RPL11', 'NOL4', 'RIMS2', 'RPS14', 'ABHD16A', 'ACOX3', 'RPL18', 'RPS12']",0.429811973500502,0,0,13,"ATF4",0.429811973500502,0.0104302405724448,0.283049652259572,NA,NA,NA,0.992694214972879,0.999846643018902
"SREBF2 (human)",0.0206510838974288,2.11092186502023,8.19035039059234,"['RIMS2', 'CHID1', 'RPS14', 'GALT', 'RPL12', 'CAPN2', 'RPL38', 'E2F4', 'MRPL24', 'RPL9', 'TRERF1', 'NOP10']",0.466356246012223,0,0,12,"SREBF2",0.466356246012223,0.0420386592885662,0.0470532743680316,0.89169933863353,0.897763005293052,0.225557489427011,0.809242371296041,0.706984325305021
"GFI1 (human)",0.0230418457171747,2.07436112274822,7.82126107402738,"['MRPL52', 'NT5C', 'RPS14', 'RPL41', 'RPS7', 'ABHD16A', 'RPL11', 'SNRPE', 'RPS3A', 'FAU', 'RPS10', 'RPS13']",0.466356246012223,0,0,12,"GFI1",0.466356246012223,NA,NA,NA,NA,NA,NA,NA
"CBX5 (human)",0.023440657862136,10.1752873563218,38.1907355869863,"['RPS15', 'RPS27L']",0.466356246012223,0,0,2,"CBX5",0.466356246012223,0.178678799585442,0.61242609879027,NA,NA,NA,0.991549575772422,0.999846643018902
"IRF8 (human)",0.0235492479167089,1.95728155339806,7.33718579763669,"['RPL41', 'RPS7', 'MRPL24', 'RIMS2', 'RIC8A', 'RPS15', 'RPS14', 'ABHD16A', 'UQCRQ', 'SNRPE', 'E2F4', 'PCNT', 'RPL17', 'RPS12']",0.466356246012223,0,0,14,"IRF8",0.466356246012223,0.767828509052755,0.576721209887576,NA,NA,NA,0.873766751344568,0.881494239317099
"Sox17 (mouse)",0.0268146319302075,3.83693570451436,13.8851319842512,"['FAM171A1', 'TSR2', 'ACOX3', 'RPS2']",0.466356246012223,0,0,4,"Sox17",0.466356246012223,NA,NA,NA,NA,NA,NA,NA
"FOXF1 (mouse)",0.0270960068093266,5.12354651162791,18.487645952579,"['RPL18A', 'RPP21', 'NOL4']",0.466356246012223,0,0,3,"FOXF1",0.466356246012223,NA,NA,NA,NA,NA,NA,NA
