Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-551a,0.14454080819993398,2.3926128590971274,4.6277760046768135,"['CHID1', 'UQCRQ', 'TMEM121B']",0.9999842037585239,0,0,3
2,hsa-miR-551b,0.14454080819993398,2.3926128590971274,4.6277760046768135,"['CHID1', 'UQCRQ', 'TMEM121B']",0.9999842037585239,0,0,3
3,hsa-miR-369-5p,0.2378448588063733,2.243295019157088,3.221678242261484,"['GALNT13', 'HCN1']",0.9999842037585239,0,0,2
4,hsa-miR-4321,0.3110260798611196,1.8312434691745036,2.1386698983368944,"['RPL41', 'RTL8A']",0.9999842037585239,0,0,2
5,mmu-miR-1843b-3p,0.3277467144990838,2.6772727272727272,2.9865356931423963,['NOL4'],0.9999842037585239,0,0,1
6,hsa-miR-4788,0.3384576662124541,1.4935400516795865,1.6180359605730426,"['OSTC', 'NOL4', 'NOP10']",0.9999842037585239,0,0,3
7,mmu-miR-219-5p,0.35079308102181667,1.2239459585371535,1.2821552887304073,"['CHID1', 'CLSTN2', 'UQCRQ', 'ATRNL1', 'SRPRA', 'DBI', 'NOL4', 'HCN1']",0.9999842037585239,0,0,8
8,mmu-miR-3099,0.37493832878353556,1.1680589501331484,1.145858498307082,"['TIMM8B', 'CLSTN2', 'UQCRQ', 'ATRNL1', 'TMEM121B', 'TSR2', 'RTL8A', 'IER3IP1', 'PDIA6', 'HCN1']",0.9999842037585239,0,0,10
9,hsa-miR-3197,0.38830912986798044,1.2444885361552027,1.1772283239612313,"['CHID1', 'UQCRQ', 'CDK2AP2', 'SRPRA', 'RTL8A']",0.9999842037585239,0,0,5
10,mmu-miR-676,0.43225634323247925,1.2682986536107712,1.0637683478240123,"['NCBP2', 'SORCS3', 'NME1']",0.9999842037585239,0,0,3
11,hsa-miR-3713,0.4402087868333016,1.1436076057785645,0.9383370726833924,"['RIMS2', 'NCBP2', 'SRPRA', 'SNRPE', 'PCNT', 'NOL4']",0.9999842037585239,0,0,6
12,mmu-miR-471-5p,0.4513257782623035,1.3367816091954023,1.063497802218896,"['GRIK2', 'HCN1']",0.9999842037585239,0,0,2
