Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,REST human,0.015623784828032007,12.972875226039783,53.95368027290319,"['TUBB3', 'OPRM1']",0.2067477285518609,0,0,2
2,HIF1A human,0.016730975691212076,6.244755244755245,25.544130399463082,"['TUBB3', 'ZNF217', 'FGF2']",0.2067477285518609,0,0,3
3,RBL1 mouse,0.02204066337467716,inf,inf,['FGF2'],0.2067477285518609,0,0,1
4,NFIL3 mouse,0.02204066337467716,inf,inf,['ABCB4'],0.2067477285518609,0,0,1
5,HOXA10 mouse,0.02204066337467716,inf,inf,['HLF'],0.2067477285518609,0,0,1
6,FOXA2 human,0.02204066337467716,inf,inf,['COL18A1'],0.2067477285518609,0,0,1
7,TCF3 human,0.04360148539831106,44.9125,140.6957746144609,['CDK6'],0.2067477285518609,0,0,1
8,GATA1 mouse,0.04360148539831106,44.9125,140.6957746144609,['TFDP2'],0.2067477285518609,0,0,1
9,TFAP2C mouse,0.04360148539831106,44.9125,140.6957746144609,['CDK6'],0.2067477285518609,0,0,1
10,TWIST1 mouse,0.04360148539831106,44.9125,140.6957746144609,['FGF2'],0.2067477285518609,0,0,1
11,WWTR1 human,0.04360148539831106,44.9125,140.6957746144609,['LTBR'],0.2067477285518609,0,0,1
12,HDAC5 human,0.04360148539831106,44.9125,140.6957746144609,['FGF2'],0.2067477285518609,0,0,1
13,EGR1 human,0.06441091720185702,5.326880119136262,14.60882031170657,"['SLC4A2', 'FGF2']",0.2067477285518609,0,0,2
14,NANOG human,0.06469271996087621,22.45,61.47049325375551,['CDK6'],0.2067477285518609,0,0,1
15,NFIC human,0.06469271996087621,22.45,61.47049325375551,['COL18A1'],0.2067477285518609,0,0,1
16,NFKB2 human,0.06469271996087621,22.45,61.47049325375551,['CDK6'],0.2067477285518609,0,0,1
17,CUX1 human,0.06469271996087621,22.45,61.47049325375551,['ECT2'],0.2067477285518609,0,0,1
18,E2F3 mouse,0.06469271996087621,22.45,61.47049325375551,['FGF2'],0.2067477285518609,0,0,1
19,LMO2 human,0.06469271996087621,22.45,61.47049325375551,['FGF2'],0.2067477285518609,0,0,1
20,SP1 human,0.0777635621061792,2.3225677830940987,5.932029290668052,"['COL18A1', 'CDK6', 'PSIP1', 'OPRM1', 'SLC4A2']",0.2067477285518609,0,0,5
21,TAL1 mouse,0.08532445940235531,14.9625,36.82711326985379,['TFDP2'],0.2067477285518609,0,0,1
22,ATF4 mouse,0.08532445940235531,14.9625,36.82711326985379,['FGF2'],0.2067477285518609,0,0,1
23,PTTG1 human,0.08532445940235531,14.9625,36.82711326985379,['FGF2'],0.2067477285518609,0,0,1
24,REST mouse,0.08532445940235531,14.9625,36.82711326985379,['OPRM1'],0.2067477285518609,0,0,1
25,ESR2 mouse,0.08532445940235531,14.9625,36.82711326985379,['STAT5A'],0.2067477285518609,0,0,1
26,STAT6 human,0.08532445940235531,14.9625,36.82711326985379,['OPRM1'],0.2067477285518609,0,0,1
27,STAT1 human,0.09694316448331136,4.110471806674338,9.59232198845664,"['OPRM1', 'FGF2']",0.20771609559225768,0,0,2
28,HOXB7 human,0.10550658823733723,11.21875,25.230765469262494,['FGF2'],0.20771609559225768,0,0,1
29,E2F4 mouse,0.10550658823733723,11.21875,25.230765469262494,['FGF2'],0.20771609559225768,0,0,1
30,SMARCA4 mouse,0.10550658823733723,11.21875,25.230765469262494,['CALM1'],0.20771609559225768,0,0,1
31,SOX2 human,0.10550658823733723,11.21875,25.230765469262494,['TUBB3'],0.20771609559225768,0,0,1
