Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-3098-5p,0.00014340786024269586,2.9453551912568305,26.06585685160844,"['USP38', 'AKTIP', 'TMEM181', 'OPRM1', 'FGF2', 'GALNT10', 'ENO4', 'SYT7', 'SYTL2', 'ENAH', 'NEUROD2', 'IRGQ', 'CDK6', 'SYT11', 'NFIB', 'CLEC5A', 'CALM1', 'ATXN7L3', 'S100PBP', 'KIAA0408']",0.05287362474927262,0,0,20
2,mmu-miR-3092,0.0001599807102852424,2.9183037528790137,25.50730937174047,"['HLF', 'WNT5B', 'LIMCH1', 'NMNAT2', 'FGF2', 'ZNF25', 'SYT7', 'ENAH', 'IRGQ', 'TTC8', 'CDK6', 'TFDP1', 'GLRB', 'CAMK2N1', 'SYT11', 'TUBB3', 'CLEC5A', 'CHST1', 'ATXN7L3', 'S100PBP']",0.05287362474927262,0,0,20
3,hsa-miR-3619-3p,0.00031024246810515177,2.9032830523513753,23.453174602390288,"['CBR1', 'P2RY11', 'MIS12', 'TMEM181', 'NMNAT2', 'FGF2', 'GALNT10', 'SYT7', 'ENAH', 'UNC80', 'NEUROD2', 'IRGQ', 'TFDP2', 'CLEC5A', 'PLXNA2', 'CALM1', 'CACNG3', 'ATXN7L3']",0.05469708977175935,0,0,18
4,mmu-miR-1251,0.0004903250232483263,2.6477893691008445,20.177325511392837,"['HLF', 'SRBD1', 'TMEM181', 'OPRM1', 'GALNT10', 'PTPDC1', 'ENAH', 'NEUROD2', 'IRGQ', 'CDK6', 'TFDP2', 'TNKS2', 'SYT11', 'NFIB', 'ZMIZ2', 'ADAMTS17', 'PLXNA2', 'ZNF217', 'ATXN7L3', 'S100PBP']",0.05469708977175935,0,0,20
5,hsa-miR-127-3p,0.0005576041507917337,6.765714285714286,50.68779271625865,"['TFDP2', 'KIF3B', 'PLXNA2', 'CKLF', 'ATXN7L3', 'SYT7']",0.05469708977175935,0,0,6
6,mmu-miR-133a,0.0005792430081729431,2.555080831408776,19.0450320288269,"['HLF', 'WNT5B', 'TMEM181', 'OPRM1', 'TPD52L1', 'MPP5', 'PTPDC1', 'GTPBP4', 'ENAH', 'UNC80', 'PEX5L', 'RAB30', 'TFDP2', 'KIF3B', 'TEF', 'NFIB', 'PLXNA2', 'ZNF217', 'LTBR', 'CALM1', 'S100PBP']",0.05469708977175935,0,0,21
7,mmu-miR-133b,0.0005792430081729431,2.555080831408776,19.0450320288269,"['HLF', 'WNT5B', 'TMEM181', 'OPRM1', 'TPD52L1', 'MPP5', 'PTPDC1', 'GTPBP4', 'ENAH', 'UNC80', 'PEX5L', 'RAB30', 'TFDP2', 'KIF3B', 'TEF', 'NFIB', 'PLXNA2', 'ZNF217', 'LTBR', 'CALM1', 'S100PBP']",0.05469708977175935,0,0,21
8,mmu-miR-184,0.0009656325351620776,3.6939820742637646,25.64630980300324,"['ENAH', 'NEUROD2', 'CDK6', 'DCTN2', 'PLXNA2', 'TMEM181', 'ZNF217', 'CACNG3', 'S100PBP', 'GALNT10']",0.07978538821776666,0,0,10
9,mmu-miR-101c,0.0010869049489555917,2.5746120175089535,17.57023662327832,"['USP38', 'TMEM181', 'MPP5', 'ENAH', 'UNC80', 'TMEFF1', 'IRGQ', 'RAB30', 'TFDP1', 'TFDP2', 'TNKS2', 'NFIB', 'ZMIZ2', 'CLEC5A', 'ADAMTS17', 'CHST1', 'ZNF217', 'KIAA0408']",0.07982713013996068,0,0,18
10,hsa-miR-1281,0.0015533747644800194,2.917820069204152,18.870491984662905,"['HLF', 'TMEM181', 'NMNAT2', 'NEUROD2', 'IRGQ', 'TFDP2', 'KIF3B', 'TEF', 'CAMK2N1', 'NFIB', 'C1RL', 'CHST1', 'ATXN7L3']",0.09552768108571963,0,0,13
