Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,9.848775996529115e-35,44.2375,3463.9347607817103,"['RPL10', 'RPL34', 'RPL12', 'RPLP1', 'RPL11', 'RPL36A', 'RPL10A', 'RPL9', 'RPL7', 'RPS15', 'RPS14', 'RPS15A', 'RPS16', 'RPL18A', 'RPS19', 'RPS18', 'RPL14', 'RPS3', 'RPL38', 'RPS2', 'RPL18', 'RPS10', 'RPL17', 'RPS13', 'RPS12', 'RPL41', 'RPS7', 'RPL21', 'RPSA', 'RPS3A', 'RPS28', 'FAU', 'RPL26']",4.23497367850752e-33,0,0,33
2,PPAR signaling pathway WP3942,0.027096784319191904,9.24547803617571,33.36083023206488,"['DBI', 'ACOX3']",0.36653256018650526,0,0,2
3,VEGFA-VEGFR2 Signaling Pathway WP3888,0.031126457679408612,2.4968106995884773,8.663176824187248,"['RPL18A', 'CAPN2', 'RPL26', 'RPL10A', 'PDIA6', 'PTMA', 'RPL7']",0.36653256018650526,0,0,7
4,Mevalonate pathway WP3963,0.07014865556820685,20.603448275862068,54.74621848401167,['PMVK'],0.36653256018650526,0,0,1
5,Eicosanoid metabolism via cyclooxygenases (COX) WP4719,0.0924326346041097,13.731800766283525,32.699196263660596,['ACOX3'],0.36653256018650526,0,0,1
6,PPAR-alpha pathway WP2878,0.0924326346041097,13.731800766283525,32.699196263660596,['DBI'],0.36653256018650526,0,0,1
7,Mevalonate arm of cholesterol biosynthesis pathway WP4190,0.0924326346041097,13.731800766283525,32.699196263660596,['PMVK'],0.36653256018650526,0,0,1
8,Omega-3/Omega-6 FA synthesis WP4723,0.0924326346041097,13.731800766283525,32.699196263660596,['ACOX3'],0.36653256018650526,0,0,1
9,Fatty acid transporters WP5061,0.0924326346041097,13.731800766283525,32.699196263660596,['DBI'],0.36653256018650526,0,0,1
10,Pyrimidine metabolism WP4022,0.09615117376184922,4.147674418604651,9.713163312903054,"['NT5C', 'NME1']",0.36653256018650526,0,0,2
11,Endoderm differentiation WP2853,0.10372558835071109,3.94905869324474,8.948592433050985,"['TRERF1', 'NME1']",0.36653256018650526,0,0,2
12,Mesodermal commitment pathway WP2857,0.11145781960913632,3.7684989429175477,8.268497669957958,"['RPL38', 'TRERF1']",0.36653256018650526,0,0,2
13,Pyrimidine metabolism and related diseases WP4225,0.11418850477209404,10.295977011494253,22.34128834787068,['NT5C'],0.36653256018650526,0,0,1
14,mRNA Processing WP411,0.11933618238630403,3.6036400404448936,7.660656581391225,"['NCBP2', 'SNRPE']",0.36653256018650526,0,0,2
15,Biomarkers for pyrimidine metabolism disorders WP4584,0.1354286394693497,8.23448275862069,16.463287210385264,['NT5C'],0.38343122293484083,0,0,1
16,Electron Transport Chain (OXPHOS system in mitochondria) WP111,0.15498692244094495,2.3091503267973854,4.3052134373326005,"['ATP5PF', 'UQCRQ', 'ATP5F1E']",0.38343122293484083,0,0,3
17,Mitochondrial complex III assembly WP4921,0.15616512623655096,6.860153256704981,12.73821609741693,['UQCRQ'],0.38343122293484083,0,0,1
18,Eicosanoid metabolism via lipooxygenases (LOX) WP4721,0.17640977297480884,5.878489326765189,10.198859983319247,['ACOX3'],0.38343122293484083,0,0,1
19,Cholesterol Biosynthesis Pathway WP197,0.17640977297480884,5.878489326765189,10.198859983319247,['PMVK'],0.38343122293484083,0,0,1
20,Oxidative phosphorylation WP623,0.19510452608806,2.583575581395349,4.222130454682453,"['ATP5PF', 'ATP5F1E']",0.38343122293484083,0,0,2
21,Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786,0.19617411405968602,5.142241379310345,8.375439412590211,['PPIB'],0.38343122293484083,0,0,1
22,Joubert Syndrome WP4656,0.19617411405968602,5.142241379310345,8.375439412590211,['PCNT'],0.38343122293484083,0,0,1
23,Host-pathogen interaction of human coronaviruses - MAPK signaling WP4877,0.23430668650744954,4.111494252873563,5.9662896128986675,['IFITM3'],0.4380516312965361,0,0,1
24,Photodynamic therapy-induced unfolded protein response WP3613,0.2526966743921853,3.7366771159874608,5.140043845046171,['PDIA6'],0.45274820828599865,0,0,1
25,MET in type 1 papillary renal cell carcinoma WP4205,0.2881765651056233,3.1600353669319188,3.9316588492897786,['RPL11'],0.4765997038285308,0,0,1
26,Splicing factor NOVA regulated synaptic proteins WP4148,0.2881765651056233,3.1600353669319188,3.9316588492897786,['GRIK2'],0.4765997038285308,0,0,1
27,Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718,0.33829651116659815,2.5653735632183907,2.7804352837274915,['PMVK'],0.5387685177838415,0,0,1
28,Sterol regulatory element-binding proteins (SREBP) signaling WP1982,0.35421499447269894,2.413793103448276,2.5051581200874127,['DBI'],0.5439730272259305,0,0,1
29,Integrin-mediated Cell Adhesion WP185,0.38492476721133684,2.158499697519661,2.060735577200203,['CAPN2'],0.5544692782639797,0,0,1
30,Selenium Micronutrient Network WP15,0.39973366572519464,2.05,1.8797614181228002,['SELENOH'],0.5544692782639797,0,0,1
31,Complement system WP2806,0.39973366572519464,2.05,1.8797614181228002,['RPS19'],0.5544692782639797,0,0,1
32,3q29 copy number variation syndrome WP4906,0.41418997130610263,1.9518336070060207,1.7204057551230296,['NCBP2'],0.5565677739425754,0,0,1
33,Prolactin Signaling Pathway WP2037,0.4283019847270481,1.8625914315569487,1.579341118521781,['PPIB'],0.5580904649473657,0,0,1
34,Alzheimer's disease WP2059,0.4420778136576872,1.7811094452773613,1.4538650730421954,['CAPN2'],0.5589716212392674,0,0,1
35,Cell cycle WP179,0.4555253769499096,1.7064176245210727,1.3417627504966785,['E2F4'],0.5589716212392674,0,0,1
36,7q11.23 copy number variation syndrome WP4932,0.48146646436167573,1.5742705570291777,1.1506637865233744,['ATP5F1E'],0.5589716212392674,0,0,1
37,TGF-beta Signaling Pathway WP366,0.48146646436167573,1.5742705570291777,1.1506637865233744,['E2F4'],0.5589716212392674,0,0,1
38,Integrated breast cancer pathway WP1984,0.49397492109516655,1.51553852703278,1.068864660342435,['FAU'],0.5589716212392674,0,0,1
39,Adipogenesis WP236,0.5521796481304158,1.2769396551724137,0.7583512670545681,['E2F4'],0.6088134581950738,0,0,1
40,Focal Adhesion WP306,0.5735620016126528,1.2011494252873562,0.6677060379498261,['CAPN2'],0.6165791517336018,0,0,1
41,Fragile X Syndrome  WP4549,0.6899328576073812,0.8657373440939105,0.3213279331256803,['HCN1'],0.7235881189540828,0,0,1
42,Nonalcoholic fatty liver disease WP4396,0.7856426982188238,0.6535038932146829,0.1576598873651989,['UQCRQ'],0.8043484767478434,0,0,1
43,Nuclear Receptors Meta-Pathway WP2882,0.8406328890166744,0.5456663560111836,0.09472780574282892,['DBI'],0.8406328890166744,0,0,1
