Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,3.292695299332547e-14,170.88888888888889,5305.157519173457,"['RPS15A', 'RPL18A', 'RPS19', 'RPL12', 'RPLP1', 'RPL36A', 'RPS2', 'RPL26', 'RPS10', 'RPS13']",6.25612106873184e-13,0,0,10
2,Coronavirus disease,7.587993377175536e-10,29.607843137254903,621.7434992845565,"['RPS15A', 'RPL18A', 'RPS19', 'RPL12', 'RPLP1', 'RPL36A', 'RPS2', 'RPL26', 'RPS10', 'RPS13']",7.208593708316759e-09,0,0,10
3,Ribosome biogenesis in eukaryotes,0.03136744934117426,inf,inf,['NOP10'],0.19866051249410363,0,0,1
4,Oxidative phosphorylation,0.09129267922258272,16.041666666666668,38.39869171531855,['UQCRQ'],0.27230205379203704,0,0,1
5,Mucin type O-glycan biosynthesis,0.09129267922258272,16.041666666666668,38.39869171531855,['GALNT13'],0.27230205379203704,0,0,1
6,GnRH secretion,0.09129267922258272,16.041666666666668,38.39869171531855,['HCN1'],0.27230205379203704,0,0,1
7,Other types of O-glycan biosynthesis,0.11990432605148374,10.680555555555555,22.654111311563156,['GALNT13'],0.27230205379203704,0,0,1
8,Diabetic cardiomyopathy,0.14765005152290867,8.0,15.303282574714228,['UQCRQ'],0.27230205379203704,0,0,1
9,Cardiac muscle contraction,0.17455500027064544,6.391666666666667,11.156752593242365,['UQCRQ'],0.27230205379203704,0,0,1
10,Insulin secretion,0.17455500027064544,6.391666666666667,11.156752593242365,['RIMS2'],0.27230205379203704,0,0,1
11,Thermogenesis,0.17455500027064544,6.391666666666667,11.156752593242365,['UQCRQ'],0.27230205379203704,0,0,1
12,Huntington disease,0.20064361858360624,5.319444444444445,8.544224580937827,['UQCRQ'],0.27230205379203704,0,0,1
13,Parkinson disease,0.20064361858360624,5.319444444444445,8.544224580937827,['UQCRQ'],0.27230205379203704,0,0,1
14,Non-alcoholic fatty liver disease,0.20064361858360624,5.319444444444445,8.544224580937827,['UQCRQ'],0.27230205379203704,0,0,1
15,Alzheimer disease,0.3413178821228902,2.638888888888889,2.836649941052239,['UQCRQ'],0.42770319618189223,0,0,1
16,Amyotrophic lateral sclerosis,0.36232174293979114,2.4326923076923075,2.4697243780728053,['UQCRQ'],0.42770319618189223,0,0,1
17,Prion disease,0.38268180711011407,2.255952380952381,2.16695827636452,['UQCRQ'],0.42770319618189223,0,0,1
18,Protein processing in endoplasmic reticulum,0.44008591873821135,1.8504901960784315,1.5188551530908507,['PDIA6'],0.45805488548503687,0,0,1
19,Pathways of neurodegeneration,0.45805488548503687,1.7453703703703705,1.3627263046694396,['UQCRQ'],0.45805488548503687,0,0,1
