Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Myc Targets V1,0.005457853806790003,33.47826086956522,174.44516193382893,"['RPS2', 'RPS10']",0.05457853806790003,0,0,2
2,Oxidative Phosphorylation,0.013125409963854136,16.695652173913043,72.34568741260792,"['TIMM8B', 'UQCRQ']",0.06562704981927069,0,0,2
3,Adipogenesis,0.2259396723689569,4.553571428571429,6.773379449997987,['UQCRQ'],0.5725686068562961,0,0,1
4,Unfolded Protein Response,0.31965074136030236,2.882575757575758,3.2876534992448767,['PDIA6'],0.5725686068562961,0,0,1
5,Epithelial Mesenchymal Transition,0.4024170098131082,2.102777777777778,1.914087937134116,['PPIB'],0.5725686068562961,0,0,1
6,Apoptosis,0.42154575275476214,1.96875,1.7006593274413182,['IFITM3'],0.5725686068562961,0,0,1
7,Interferon Alpha Response,0.44008591873821135,1.8504901960784315,1.5188551530908507,['IFITM3'],0.5725686068562961,0,0,1
8,Allograft Rejection,0.45805488548503687,1.7453703703703705,1.3627263046694396,['RPS19'],0.5725686068562961,0,0,1
9,IL-2/STAT5 Signaling,0.5547863837748815,1.2986111111111112,0.7651054788237313,['IFITM3'],0.616429315305424,0,0,1
10,Interferon Gamma Response,0.6225181001545917,1.0675287356321839,0.5059900184809398,['IFITM3'],0.6225181001545917,0,0,1
