Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-6784-5p,2.736010182444298e-05,inf,inf,"['IFITM3', 'RPL18A', 'PPIB']",0.014199892846885907,0,0,3
2,hsa-miR-423-5p,9.618368959834594e-05,15.833333333333334,146.44647038981557,"['RPS15A', 'RPL18A', 'RPS2', 'PPIB', 'RPS10']",0.024959667450770773,0,0,5
3,hsa-miR-661,0.0003161571148600742,18.19047619047619,146.60198213161542,"['RPS15A', 'RPS19', 'FMC1', 'RPL12']",0.05469518087079284,0,0,4
4,hsa-miR-100-5p,0.0006125137996216155,14.514285714285714,107.37580158825128,"['RPS15A', 'RPLP1', 'RPL36A', 'RPL26']",0.07947366550090461,0,0,4
5,hsa-miR-301a-3p,0.001066924610364141,12.063492063492063,82.5501741792932,"['RPS15A', 'RPL18A', 'CDK2AP2', 'PPIB']",0.11074677455579784,0,0,4
6,hsa-miR-652-3p,0.001379614435888886,20.918181818181818,137.76612492201826,"['RPL18A', 'RPS19', 'RPL26']",0.11933664870438863,0,0,3
7,hsa-miR-423-3p,0.0038174145496002077,13.022727272727273,72.5129143535643,"['RPLP1', 'RPS2', 'RPL26']",0.20233043755171512,0,0,3
8,hsa-miR-3176,0.005457853806790003,33.47826086956522,174.44516193382893,"['IFITM3', 'RPS10']",0.20233043755171512,0,0,2
9,hsa-miR-4654,0.005457853806790003,33.47826086956522,174.44516193382893,"['IFITM3', 'RPL12']",0.20233043755171512,0,0,2
10,hsa-miR-4316,0.005457853806790003,33.47826086956522,174.44516193382893,"['IFITM3', 'PPIB']",0.20233043755171512,0,0,2
11,hsa-miR-145-3p,0.005457853806790003,33.47826086956522,174.44516193382893,"['CLSTN2', 'PDIA6']",0.20233043755171512,0,0,2
12,hsa-miR-99b-5p,0.005457853806790003,33.47826086956522,174.44516193382893,"['RPS2', 'RPS10']",0.20233043755171512,0,0,2
13,hsa-miR-4656,0.005457853806790003,33.47826086956522,174.44516193382893,"['IFITM3', 'TIMM8B']",0.20233043755171512,0,0,2
14,hsa-miR-4769-5p,0.005457853806790003,33.47826086956522,174.44516193382893,"['IFITM3', 'RPL12']",0.20233043755171512,0,0,2
15,hsa-miR-208a-5p,0.008921535423850883,22.28985507246377,105.19222805619401,"['SRRM4', 'RPLP1']",0.2315138442489304,0,0,2
16,hsa-miR-4649-5p,0.008921535423850883,22.28985507246377,105.19222805619401,"['IFITM3', 'RPS19']",0.2315138442489304,0,0,2
17,hsa-miR-208b-5p,0.008921535423850883,22.28985507246377,105.19222805619401,"['SRRM4', 'RPLP1']",0.2315138442489304,0,0,2
18,hsa-miR-6729-5p,0.008921535423850883,22.28985507246377,105.19222805619401,"['IFITM3', 'RPS19']",0.2315138442489304,0,0,2
19,hsa-miR-3065-3p,0.008921535423850883,22.28985507246377,105.19222805619401,"['RIMS2', 'PPIB']",0.2315138442489304,0,0,2
20,hsa-miR-1294,0.008921535423850883,22.28985507246377,105.19222805619401,"['IFITM3', 'PPIB']",0.2315138442489304,0,0,2
21,hsa-miR-6720-5p,0.011670535541086881,7.961538461538462,35.43432324109879,"['RPS15A', 'RPS19', 'RPL12']",0.27531854299200414,0,0,3
22,hsa-miR-6512-3p,0.011670535541086881,7.961538461538462,35.43432324109879,"['RPS15A', 'RPS19', 'RPL12']",0.27531854299200414,0,0,3
23,hsa-miR-873-3p,0.013125409963854136,16.695652173913043,72.34568741260792,"['RPL18A', 'RPL12']",0.2838369904683457,0,0,2
24,hsa-miR-328-3p,0.013125409963854136,16.695652173913043,72.34568741260792,"['RPL36A', 'RPS2']",0.2838369904683457,0,0,2
25,hsa-miR-939-3p,0.01631078333319552,6.881818181818182,28.32507389670116,"['RPS15A', 'RPS19', 'RPL12']",0.334295369522011,0,0,3
26,hsa-miR-766-3p,0.018969564918268653,6.443181818181818,25.546696785477366,"['RPS15A', 'RPS19', 'RPL12']",0.334295369522011,0,0,3
27,hsa-miR-18a-3p,0.018969564918268653,6.443181818181818,25.546696785477366,"['RPL18A', 'RPS2', 'RPL26']",0.334295369522011,0,0,3
28,hsa-miR-3180-5p,0.023571317983920356,11.101449275362318,41.6051750526982,"['CLSTN2', 'RPL18A']",0.334295369522011,0,0,2
29,hsa-miR-130b-3p,0.028322690701899293,5.404306220095694,19.261444586262186,"['RPS15A', 'UQCRQ', 'CDK2AP2']",0.334295369522011,0,0,3
30,hsa-miR-558,0.029726990817390074,9.503105590062113,33.410067031844605,"['RPL18A', 'RPS19']",0.334295369522011,0,0,2
31,hsa-miR-3605-3p,0.03136744934117426,inf,inf,['RPLP1'],0.334295369522011,0,0,1
32,mmu-miR-669c-5p,0.03136744934117426,inf,inf,['GALNT13'],0.334295369522011,0,0,1
33,hsa-miR-4655-5p,0.03136744934117426,inf,inf,['PPIB'],0.334295369522011,0,0,1
34,hsa-miR-1185-5p,0.03136744934117426,inf,inf,['IFITM3'],0.334295369522011,0,0,1
35,hsa-miR-181d-3p,0.03136744934117426,inf,inf,['PPIB'],0.334295369522011,0,0,1
36,mmu-miR-3105-3p,0.03136744934117426,inf,inf,['SORCS3'],0.334295369522011,0,0,1
37,mmu-miR-5124a,0.03136744934117426,inf,inf,['HCN1'],0.334295369522011,0,0,1
38,hsa-miR-5705,0.03136744934117426,inf,inf,['PDIA6'],0.334295369522011,0,0,1
39,hsa-miR-3679-5p,0.03136744934117426,inf,inf,['IFITM3'],0.334295369522011,0,0,1
40,mmu-miR-669o-5p,0.03136744934117426,inf,inf,['GALNT13'],0.334295369522011,0,0,1
41,hsa-miR-210-5p,0.03136744934117426,inf,inf,['RPL18A'],0.334295369522011,0,0,1
42,mmu-miR-672-5p,0.03136744934117426,inf,inf,['SRRM4'],0.334295369522011,0,0,1
43,hsa-miR-455-3p,0.03202552230958997,3.894179894179894,13.400737998507694,"['RPS15A', 'RPL18A', 'RPS2', 'PPIB']",0.334295369522011,0,0,4
44,hsa-miR-92a-3p,0.033622473113166,3.2590909090909093,11.056663386973842,"['RPS15A', 'RPL18A', 'RPLP1', 'PPIB', 'RPS10']",0.334295369522011,0,0,5
45,hsa-miR-218-5p,0.034735640830122795,3.7837837837837838,12.713471914175406,"['SRRM4', 'RPL12', 'PDIA6', 'RPS13']",0.334295369522011,0,0,4
46,hsa-let-7a-5p,0.03570865428259504,4.876623376623376,16.250675417040334,"['RPS15A', 'RPS10', 'RPS13']",0.334295369522011,0,0,3
47,hsa-miR-5189-5p,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPS15A', 'RPL12']",0.334295369522011,0,0,2
48,hsa-miR-3187-5p,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPS15A', 'RPL12']",0.334295369522011,0,0,2
49,hsa-miR-331-3p,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPL36A', 'RPS2']",0.334295369522011,0,0,2
50,hsa-miR-1285-3p,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPS15A', 'RPL12']",0.334295369522011,0,0,2
51,hsa-miR-6860,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPS15A', 'RPL12']",0.334295369522011,0,0,2
52,hsa-miR-3160-3p,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPL18A', 'RPS19']",0.334295369522011,0,0,2
53,hsa-miR-760,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPL36A', 'RPS2']",0.334295369522011,0,0,2
54,hsa-miR-4700-3p,0.03644999643722987,8.304347826086957,27.50245471260255,"['IFITM3', 'CDK2AP2']",0.334295369522011,0,0,2
55,hsa-miR-612,0.03644999643722987,8.304347826086957,27.50245471260255,"['RPS15A', 'RPL12']",0.334295369522011,0,0,2
56,hsa-miR-7703,0.04370169524764498,7.371980676328502,23.07701524239319,"['RPS19', 'RPL12']",0.334295369522011,0,0,2
57,hsa-miR-222-3p,0.04370169524764498,7.371980676328502,23.07701524239319,"['RPL12', 'RPS2']",0.334295369522011,0,0,2
58,hsa-miR-4487,0.04370169524764498,7.371980676328502,23.07701524239319,"['RPL18A', 'RPS19']",0.334295369522011,0,0,2
