"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"SMAD4",0.0494637850730312,6.08766233766234,18.3026450396978,"['PARD3B', 'FOXP1']",0.45316074197281,0,0,2,"SMAD4",0.45316074197281,0.5939559013951,0.0738617946364165,NA,NA,NA,0.973881012141923,0.999846643018902
"GFI1B",0.107101907644727,9.40575396825397,21.0122144231502,"['DTNA']",0.45316074197281,0,0,1,"GFI1B",0.45316074197281,NA,NA,NA,NA,NA,NA,NA
"STAT5B",0.113290185493202,8.84967320261438,19.2728425378493,"['IL15']",0.45316074197281,0,0,1,"STAT5B",0.45316074197281,0.00490497727878649,0.00490590297487623,0.858652528763794,0.866009459858663,0.2599246110994,0.996410696017162,0.999846643018902
"SMC3",0.221560052573264,4.19314641744548,6.31932998467912,"['DPYD']",0.532452892860284,0,0,1,"SMC3",0.532452892860284,0.679362232840627,0.0792877281465852,NA,NA,NA,0.677284223372541,0.991244559631722
"SMAD1",0.265708961311865,3.38997113997114,4.49291079191356,"['PARD3B']",0.532452892860284,0,0,1,"SMAD1",0.532452892860284,NA,NA,NA,NA,NA,NA,NA
"TCF3",0.304206593828107,2.87987711213518,3.42719264098838,"['FOXP1']",0.532452892860284,0,0,1,"TCF3",0.532452892860284,0.950660822067558,0.863089535636779,NA,NA,NA,0.924235998023172,0.999846643018902
"HTT",0.40987314342695,1.96910052910053,1.75625567476064,"['FOXP1']",0.532452892860284,0,0,1,"HTT",0.532452892860284,0.822660930983689,0.0811168125934583,NA,NA,NA,0.725953935618223,0.625170459128529
"SMAD3",0.445069924574275,1.76019730601404,1.42492174443133,"['PARD3B']",0.532452892860284,0,0,1,"SMAD3",0.532452892860284,0.85165676987528,0.112391685507384,NA,NA,NA,0.966415935544325,0.999846643018902
"FOXP3",0.481962470627049,1.57295918367347,1.1480856523803,"['FOXP1']",0.532452892860284,0,0,1,"FOXP3",0.532452892860284,NA,NA,NA,NA,NA,NA,NA
"SMAD2",0.48808181845526,1.54452798663325,1.10784702773041,"['PARD3B']",0.532452892860284,0,0,1,"SMAD2",0.532452892860284,0.835430946976149,0.250173418542465,NA,NA,NA,0.710626692373606,0.672079946632164
"CTNNB1",0.48808181845526,1.54452798663325,1.10784702773041,"['PTPRG']",0.532452892860284,0,0,1,"CTNNB1",0.532452892860284,0.0227287485630256,0.0189060260731077,NA,NA,NA,0.920268708275661,0.999846643018902
"MYC",0.810621937968884,0.606216550020585,0.127277287216314,"['FOXP1']",0.810621937968884,0,0,1,"MYC",0.810621937968884,NA,NA,NA,NA,NA,NA,NA
