Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytokines and Inflammatory Response WP530,0.016017834778526495,75.57936507936508,312.44906344739445,['IL15'],0.09308242302457406,0,0,1
2,Development and heterogeneity of the ILC family WP3893,0.018286014644212385,64.77551020408163,259.2068954219032,['IL15'],0.09308242302457406,0,0,1
3,Pyrimidine metabolism and related diseases WP4225,0.020549203964270037,56.67261904761905,220.16933220322133,['DPYD'],0.09308242302457406,0,0,1
4,Urea cycle and metabolism of amino groups WP497,0.022807413083697478,50.370370370370374,190.4337310532939,['ARG2'],0.09308242302457406,0,0,1
5,Biomarkers for pyrimidine metabolism disorders WP4584,0.022807413083697478,50.370370370370374,190.4337310532939,['DPYD'],0.09308242302457406,0,0,1
6,7-oxo-C and 7beta-HC pathways WP5064,0.025060652352769937,45.32857142857143,167.10179763208882,['ACOT11'],0.09308242302457406,0,0,1
7,Eicosanoid Synthesis WP167,0.025060652352769937,45.32857142857143,167.10179763208882,['ALOX15B'],0.09308242302457406,0,0,1
8,Eicosanoid metabolism via lipooxygenases (LOX) WP4721,0.029552262733286018,37.76587301587302,132.99610826240212,['ALOX15B'],0.09425692344532596,0,0,1
9,Oxysterols derived from cholesterol WP4545,0.0340241177919581,32.363945578231295,109.41232668534627,['ACOT11'],0.09425692344532596,0,0,1
10,Fluoropyrimidine Activity WP1601,0.03625266286358691,30.203174603174602,100.19125267900834,['DPYD'],0.09425692344532596,0,0,1
11,Nuclear Receptors Meta-Pathway WP2882,0.04499758312414685,6.426712328767123,19.930176438477783,"['SLC6A6', 'CDC42EP3']",0.10635792374798347,0,0,2
12,Endochondral Ossification with Skeletal Dysplasias WP4808,0.07124884888548058,14.589861751152073,38.540237631890825,['SLC38A2'],0.14249769777096116,0,0,1
13,Endochondral Ossification WP474,0.07124884888548058,14.589861751152073,38.540237631890825,['SLC38A2'],0.14249769777096116,0,0,1
14,Glucocorticoid Receptor Pathway WP2880,0.08193406461675173,12.556878306878307,31.415306013744477,['CDC42EP3'],0.1468961755132248,0,0,1
15,Selenium Micronutrient Network WP15,0.09039764646967681,11.29642857142857,27.151384565138777,['ALOX15B'],0.1468961755132248,0,0,1
16,Synaptic Vesicle Pathway WP2267,0.09039764646967681,11.29642857142857,27.151384565138777,['STX3'],0.1468961755132248,0,0,1
17,Amino Acid metabolism WP3925,0.11534383168045015,8.678571428571429,18.74430636631397,['ARG2'],0.1606429668368624,0,0,1
18,TYROBP causal network in microglia WP3945,0.11739293730386098,8.51392632524708,18.23877589881908,['DPYD'],0.1606429668368624,0,0,1
19,Pyrimidine metabolism WP4022,0.11739293730386098,8.51392632524708,18.23877589881908,['DPYD'],0.1606429668368624,0,0,1
20,NRF2 pathway WP2884,0.13563213369598154,7.271121351766513,14.526311366833381,['SLC6A6'],0.1728828432494501,0,0,1
21,Genes related to primary cilium development (based on CRISPR) WP4536,0.13963614262455584,7.042410714285714,13.864501164627994,['SCLT1'],0.1728828432494501,0,0,1
22,B Cell Receptor Signaling Pathway WP23,0.17296272442492078,5.554379776601999,9.746154515448396,['RASGRP3'],0.2044104925021791,0,0,1
23,Ciliopathies WP4803,0.19761251053701467,4.779635258358662,7.749926126571794,['SCLT1'],0.22338805538966874,0,0,1
24,Integrated breast cancer pathway WP1984,0.22156005257326422,4.193146417445483,6.319329984679119,['RASGRP3'],0.2400233902877029,0,0,1
25,Ras signaling WP4223,0.23417071947187337,3.9327485380116958,5.7091901627963395,['RASGRP3'],0.2435375482507483,0,0,1
26,MAPK Signaling Pathway WP382,0.3090836251856194,2.824291742013261,3.316123528413762,['RASGRP3'],0.3090836251856194,0,0,1
